jean-claude van damme movies tend to be , if nothing else , a lot of mindless fun . 	Translation	Positive	Negative	EmotionRationale
his latest film , " knock off , " skips on the fun part leaving a wildly incoherent exercise that is , well , simply mindless . 	his latest film , " knock off , " skips on the fun part leaving a wildly incoherent exercise that is , well , simply mindless .	2	-1	 his[0] latest[0] film[0] knock[0] off[0] skips[0] on[0] the[0] fun[1] part[0] leaving[0] a[0] wildly[0] incoherent[0] exercise[0] that[0] is[0] well[0] simply[0] mindless[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you can't really blame van damme . 	you can't really blame van dame .	3	-1	 you[0] can't[0] really[0] blame[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] van[0] damme/dame[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no one , i suspect , has ever expected " the muscles from brussels " to contribute a heartfelt performance brimming with introspection and delicate shades of gray . 	no one , i suspect , has ever expected " the muscles from brussels " to contribute a heartfelt performance brimming with introspection and delicate shades of gray .	2	-2	 no[0] one[0] i[0] suspect[-1] has[0] ever[0] expected[0] the[0] muscles[0] from[0] brussels[0] to[0] contribute[0] a[0] heartfelt[1] performance[0] brimming[0] with[0] introspection[0] and[0] delicate[0] shades[0] of[0] gray[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and even his sidekick co-star , " saturday night live " alumnus rob " makin' copies " schneider , does what's expected of him , although neither appear to want the role of straight man . 	and even his sidekick co-star , " saturday night live " alumnus rob " makin' copies " schneider , does what's expected of him , although neither appear to want the role of straight man .	1	-1	 and[0] even[0] his[0] sidekick[0] co[0] star[0] saturday[0] night[0] live[0] alumnus[0] rob[0] makin'[0] copies[0] schneider[0] does[0] what's[0] expected[0] of[0] him[0] although[0] neither[0] appear[0] to[0] want[0] the[0] role[0] of[0] straight[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , the problem with the film is its direction . 	no , the problem with the film is its direction .	1	-2	 no[0] the[0] problem[-1] with[0] the[0] film[0] is[0] its[0] direction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first five minutes of the film are incomprehensible . . . 	the first five minutes of the film are incomprehensible .<br> .<br> .	1	-1	 the[0] first[0] five[0] minutes[0] of[0] the[0] film[0] are[0] incomprehensible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it goes downhill from there ! 	and it goes downhill from there !	1	-1	 and[0] it[0] goes[0] downhill[0] from[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
five hundred characters , it seems , are introduced within the first fifteen minutes . 	five hundred characters , it seems , are introduced within the first fifteen minutes .	1	-1	 five[0] hundred[0] characters[0] it[0] seems[0] are[0] introduced[0] within[0] the[0] first[0] fifteen[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van damme doesn't land his first kick until after thirty--too late for most action fans--and by the time the hour mark has rolled around , your jaw will be on your cup holder and you'll be wondering why you elected to spend seven dollars on this mess . 	van dame doesn't land his first kick until after thirty-too late for most action fans-and by the time the hour mark has rolled around , your jaw will be on your cup holder and you'll be wondering why you elected to spend seven dollars on this mess .	1	-2	 van[0] damme/dame[0] doesn't[0] land[0] his[0] first[0] kick[-1] until[0] after[0] thirty[0] too[0] late[0] for[0] most[0] action[0] fans[0] and[0] by[0] the[0] time[0] the[0] hour[0] mark[0] has[0] rolled[0] around[0] your[0] jaw[0] will[0] be[0] on[0] your[0] cup[0] holder[0] and[0] you'll[0] be[0] wondering[0] why[0] you[0] elected[0] to[0] spend[0] seven[0] dollars[0] on[0] this[0] mess[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director hark tsui , whose previous film was the van damme/dennis rodman teamed " double team , " films at such a frenetic pace that it's hard to know what's going on , who's on whose side , and what the point of all this is . 	director hark tsui , whose previous film was the van damme/dennis rodman teamed " double team , " films at such a frenetic pace that it's hard to know what's going on , who's on whose side , and what the point of all this is .	1	-1	 director[0] hark[0] tsui[0] whose[0] previous[0] film[0] was[0] the[0] van[0] damme/dennis[0] rodman[0] teamed[0] double[0] team[0] films[0] at[0] such[0] a[0] frenetic[0] pace[0] that[0] it's[0] hard[0] to[0] know[0] what's[0] going[0] on[0] who's[0] on[0] whose[0] side[0] and[0] what[0] the[0] point[0] of[0] all[0] this[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
