yeah , yeah , the advertisements didn't even try to conceal the fact that this movie had only one hook - sex . 	Translation	Positive	Negative	EmotionRationale
neve campbell and starship trooper's denise richards getting it on ? 	neve campbell and starship trooper's denise richards getting it on ?	1	-1	 neve[0] campbell[0] and[0] starship[0] trooper's[0] denise[0] richards[0] getting[0] it[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ok ! 	ok !	1	-1	 ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , it's a decent two minutes of film erotica , but even if that's your main interest in this film , there's plenty of cheeziness to sit thru in exchange for those two minutes . 	yeah , it's a decent two minutes of film erotica , but even if that's your main interest in this film , there's plenty of cheeziness to sit thru in exchange for those two minutes .	2	-1	 yeah[0] it's[0] a[0] decent[0] two[0] minutes[0] of[0] film[0] erotica[0] but[0] even[0] if[0] that's[0] your[0] main[0] interest[1] in[0] this[0] film[0] there's[0] plenty[0] of[0] cheeziness[0] to[0] sit[0] thru[0] in[0] exchange[0] for[0] those[0] two[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wild things does have a lot more to think about than you might expect however . 	wild things does have a lot more to think about than you might expect however .	1	-1	 wild[0] things[0] does[0] have[0] a[0] lot[0] more[0] to[0] think[0] about[0] than[0] you[0] might[0] expect[0] however[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nearly every single scene is a huge plot twist guaranteed to leave you guessing , or at least curious to see the next turn , throughout the entire movie . 	nearly every single scene is a huge plot twist guaranteed to leave you guessing , or at least curious to see the next turn , throughout the entire movie .	1	-1	 nearly[0] every[0] single[0] scene[0] is[0] a[0] huge[0] plot[0] twist[0] guaranteed[0] to[0] leave[0] you[0] guessing[0] or[0] at[0] least[0] curious[0] to[0] see[0] the[0] next[0] turn[0] throughout[0] the[0] entire[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this fast-paced , razor-sharp turning of events doesn't leave much time to enjoy the surprises . 	but this fast-paced , razor-sharp turning of events doesn't leave much time to enjoy the surprises .	3	-1	 but[0] this[0] fast[0] paced[0] razor[0] sharp[0] turning[0] of[0] events[0] doesn't[0] leave[0] much[0] time[0] to[0] enjoy[2] the[0] surprises[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we start off in a high-class california high school where every student resembles a supermodel in the making . 	we start off in a high-class california high school where every student resembles a supermodel in the making .	1	-1	 we[0] start[0] off[0] in[0] a[0] high[0] class[0] california[0] high[0] school[0] where[0] every[0] student[0] resembles[0] a[0] supermodel[0] in[0] the[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
guidance counselor sam lombardo ( matt dillon ) seems to catch the eye of every student , particularly kelly van ryan ( richards ) , daughter of the locally prestigious family whose social status is about as high as their bank accounts . 	guidance counselor sam lombardo ( matt dillon ) seems to catch the eye of every student , particularly kelly van ryan ( richards ) , daughter of the locally prestigious family whose social status is about as high as their bank accounts .	1	-1	 guidance[0] counselor[0] sam[0] lombardo[0] matt[0] dillon[0] seems[0] to[0] catch[0] the[0] eye[0] of[0] every[0] student[0] particularly[0] kelly[0] van[0] ryan[0] richards[0] daughter[0] of[0] the[0] locally[0] prestigious[0] family[0] whose[0] social[0] status[0] is[0] about[0] as[0] high[0] as[0] their[0] bank[0] accounts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right off the bat , kelly is using every asset she has in an effort to seduce " mr . lombardo " . 	right off the bat , kelly is using every asset she has in an effort to seduce " mr .<br> lombardo " .	1	-1	 right[0] off[0] the[0] bat[0] kelly[0] is[0] using[0] every[0] asset[0] she[0] has[0] in[0] an[0] effort[0] to[0] seduce[0] mr[0] [[Sentence=-1,1=word max, 1-5]] lombardo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fund-raiser car wash seems the opportune time , particularly when you wash your guidance counselor's jeep in all white clothes and take plenty of precautions to insure you'll be soaked from head to toe when you're done . 	the fund-raiser car wash seems the opportune time , particularly when you wash your guidance counselor's jeep in all white clothes and take plenty of precautions to insure you'll be soaked from head to toe when you're done .	1	-1	 the[0] fund[0] raiser[0] car[0] wash[0] seems[0] the[0] opportune[0] time[0] particularly[0] when[0] you[0] wash[0] your[0] guidance[0] counselor's[0] jeep[0] in[0] all[0] white[0] clothes[0] and[0] take[0] plenty[0] of[0] precautions[0] to[0] insure[0] you'll[0] be[0] soaked[0] from[0] head[0] to[0] toe[0] when[0] you're[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
