susan granger's review of " jeepers creepers " ( mgm/ua entertainment ) 	Translation	Positive	Negative	EmotionRationale
this nasty , little horror film begins as a bickering brother ( justin long ) and sister ( gina philips ) are driving through the desolate countryside on their way home from college and spy a man dropping wrapped-up bodies down a drainage pipe . 	this nasty , little horror film begins as a bickering brother ( justin long ) and sister ( gina philips ) are driving through the desolate countryside on their way home from college and spy a man dropping wrapped-up bodies down a drainage pipe .	1	-4	 this[0] nasty[-2] little[0] horror[-3] film[0] begins[0] as[0] a[0] bickering[0] brother[0] justin[0] long[0] and[0] sister[0] gina[0] philips[0] are[0] driving[0] through[0] the[0] desolate[-1] countryside[0] on[0] their[0] way[0] home[0] from[0] college[0] and[0] spy[0] a[0] man[0] dropping[0] wrapped[0] up[0] bodies[0] down[0] a[0] drainage[0] pipe[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when long decides to investigate , there's nothing but trouble . 	when long decides to investigate , there's nothing but trouble .	1	-2	 when[0] long[0] decides[0] to[0] investigate[0] there's[0] nothing[0] but[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " you know the part in scary movies where somebody does something really stupid and everybody hates them for it ? 	 " you know the part in scary movies where somebody does something really stupid and everybody hates them for it ?	1	-4	 you[0] know[0] the[0] part[0] in[0] scary[-3] movies[0] where[0] somebody[0] does[0] something[0] really[0] stupid[-1][-1 LastWordBoosterStrength] and[0] everybody[0] hates[-3] them[0] for[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
- well , this is it ! " 	- well , this is it !<br> "	1	-1	 well[0] this[0] is[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
philips warns . 	philips warns .	1	-1	 philips[0] warns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what he finds in the basement of an old , abandoned church is a dying boy with a horrifying , jagged-stitched incision from his neck to his navel , plus hundreds of other mutilated bodies , stitched together on the walls and ceiling like a disgusting tapestry . 	what he finds in the basement of an old , abandoned church is a dying boy with a horrifying , jagged-stitched incision from his neck to his navel , plus hundreds of other mutilated bodies , stitched together on the walls and ceiling like a disgusting tapestry .	2	-4	 what[0] he[0] finds[0] in[0] the[0] basement[0] of[0] an[0] old[0] abandoned[-1] church[0] is[0] a[0] dying[-1] boy[0] with[0] a[0] horrifying[-3] jagged[0] stitched[0] incision[0] from[0] his[0] neck[0] to[0] his[0] navel[0] plus[0] hundreds[0] of[0] other[0] mutilated[0] bodies[0] stitched[0] together[0] on[0] the[0] walls[0] and[0] ceiling[0] like[1] a[0] disgusting[-3] tapestry[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
long flees but now the monstrous , winged creeper ( jonathan breck ) is after both of them ! 	long flees but now the monstrous , winged creeper ( jonathan breck ) is after both of them !	1	-3	 long[0] flees[-1] but[0] now[0] the[0] monstrous[-2] winged[0] creeper[0] jonathan[0] breck[0] is[0] after[0] both[0] of[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eileen brennan appears briefly as the cat lady and patricia belcher is jezelle , a psychic who explains the evil creature's bizarre feeding habits . 	eileen brennan appears briefly as the cat lady and patricia belcher is jezelle , a psychic who explains the evil creature's bizarre feeding habits .	1	-3	 eileen[0] brennan[0] appears[0] briefly[0] as[0] the[0] cat[0] lady[0] and[0] patricia[0] belcher[0] is[0] jezelle[0] a[0] psychic[0] who[0] explains[0] the[0] evil[-2] creature's[0] bizarre[-1] feeding[0] habits[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the granger movie gauge of 1 to 10 , " jeepers creepers " is a fiendishly visceral 2 with an extraordinarily gruesome conclusion , giving new meaning to the old song " jeepers creepers . " 	on the granger movie gauge of 1 to 10 , " jeepers creepers " is a fiendishly visceral 2 with an extraordinarily gruesome conclusion , giving new meaning to the old song " jeepers creepers .<br> "	1	-1	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] jeepers[0] creepers[0] is[0] a[0] fiendishly[0] visceral[0] 2[0] with[0] an[0] extraordinarily[0] gruesome[0] conclusion[0] giving[0] new[0] meaning[0] to[0] the[0] old[0] song[0] jeepers[0] creepers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and now - as paul harvey would say - for the rest of the story . 	and now - as paul harvey would say - for the rest of the story .	1	-1	 and[0] now[0] as[0] paul[0] harvey[0] would[0] say[0] for[0] the[0] rest[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's more scary than the cruelty of the satanic film itself is the fact that writer/director victor salva is a convicted child molester who videotaped himself having oral sex with a 12 year-old actor in california . 	what's more scary than the cruelty of the satanic film itself is the fact that writer/director victor salva is a convicted child molester who videotaped himself having oral sex with a 12 year-old actor in california .	1	-4	 what's[0] more[0] scary[-3] than[0] the[0] cruelty[-3] of[0] the[0] satanic[-2] film[0] itself[0] is[0] the[0] fact[0] that[0] writer/director[0] victor[0] salva[0] is[0] a[0] convicted[-1] child[0] molester[-3] who[0] videotaped[0] himself[0] having[0] oral[0] sex[0] with[0] a[0] 12[0] year[0] old[0] actor[0] in[0] california[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sentenced to three years in prison , he served 15 months and completed parole in 1992 . 	sentenced to three years in prison , he served 15 months and completed parole in 1992 .	1	-2	 sentenced[0] to[0] three[0] years[0] in[0] prison[-1] he[0] served[0] 15[0] months[0] and[0] completed[0] parole[0] in[0] 1992[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
