robin williams is a comedic genus . 	Translation	Positive	Negative	EmotionRationale
that is , he is one when he's in a film that allows him space to move . 	that is , he is one when he's in a film that allows him space to move .	1	-1	 that[0] is[0] he[0] is[0] one[0] when[0] he's[0] in[0] a[0] film[0] that[0] allows[0] him[0] space[0] to[0] move[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " flubber " straps him in a straitjacket , covers him with duct tape , stuffs him in a coat closet and piles furniture against the door to make sure that he doesn't get out . 	 " flubber " straps him in a straitjacket , covers him with duct tape , stuffs him in a coat closet and piles furniture against the door to make sure that he doesn't get out .	1	-2	 flubber[0] straps[0] him[0] in[0] a[0] straitjacket[0] covers[0] him[0] with[0] duct[0] tape[0] stuffs[0] him[0] in[0] a[0] coat[0] closet[0] and[0] piles[0] furniture[0] against[-1] the[0] door[0] to[0] make[0] sure[0] that[0] he[0] doesn't[0] get[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a re-make of its own 1961 " absent minded professor " , disney offers us proof that more is definitely less . 	in a re-make of its own 1961 " absent minded professor " , disney offers us proof that more is definitely less .	1	-2	 in[0] a[0] re[0] make[0] of[0] its[0] own[0] 1961[0] absent[-1] minded[0] professor[0] disney[0] offers[0] us[0] proof[0] that[0] more[0] is[0] definitely[0] less[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
recycling old films ( " that darned cat " , " 101 dalmatians " ) dressed up as new is the newest money machine from the home of the mouse that roared . 	recycling old films ( " that darned cat " , " 101 dalmatians " ) dressed up as new is the newest money machine from the home of the mouse that roared .	1	-1	 recycling[0] old[0] films[0] that[0] darned[0] cat[0] 101[0] dalmatians[0] dressed[0] up[0] as[0] new[0] is[0] the[0] newest[0] money[0] machine[0] from[0] the[0] home[0] of[0] the[0] mouse[0] that[0] roared[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
professor phillip brainard ( williams ) is a terminally forgetful scientist teaching at a small college . 	professor phillip brainard ( williams ) is a terminally forgetful scientist teaching at a small college .	1	-1	 professor[0] phillip[0] brainard[0] williams[0] is[0] a[0] terminally[0] forgetful[0] scientist[0] teaching[0] at[0] a[0] small[0] college[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his fiancee , sara jean reynolds ( marcia gay harden ) , president of the college is none too happy with him because he's left her waiting at the altar due to his lack of short-term -- and long-term -- memory . 	his fiancee , sara jean reynolds ( marcia gay harden ) , president of the college is none too happy with him because he's left her waiting at the altar due to his lack of short-term - and long-term - memory .	2	-2	 his[0] fiancee[0] sara[0] jean[0] reynolds[0] marcia[0] gay[-1] harden[0] president[0] of[0] the[0] college[0] is[0] none[0] too[0] happy[1] with[0] him[0] because[0] he's[0] left[0] her[0] waiting[0] at[0] the[0] altar[0] due[0] to[0] his[0] lack[-1] of[0] short[0] term[0] and[0] long[0] term[0] memory[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she's giving him one more chance . 	she's giving him one more chance .	1	-1	 she's[0] giving[0] him[0] one[0] more[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he blows that chance when he invents " flubber " ( flying rubber ) and is so excited by his discovery that sara jean is once again awaiting him in her white dress . 	he blows that chance when he invents " flubber " ( flying rubber ) and is so excited by his discovery that sara jean is once again awaiting him in her white dress .	3	-1	 he[0] blows[0] that[0] chance[0] when[0] he[0] invents[0] flubber[0] flying[0] rubber[0] and[0] is[0] so[0] excited[2] by[0] his[0] discovery[0] that[0] sara[0] jean[0] is[0] once[0] again[0] awaiting[0] him[0] in[0] her[0] white[0] dress[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his tardiness is helped along by his jealous flying robotic assistant who wants him all to herself . 	his tardiness is helped along by his jealous flying robotic assistant who wants him all to herself .	1	-3	 his[0] tardiness[0] is[0] helped[0] along[0] by[0] his[0] jealous[-2] flying[0] robotic[0] assistant[0] who[0] wants[0] him[0] all[0] to[0] herself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not all bad news . 	it's not all bad news .	2	-1	 it's[0] not[0] all[0] bad[-1][NegatedDueToPreviousWord] news[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
