as forgetful as some people may be it is doubtful that anyone could forget their wedding , especially three times . 	Translation	Positive	Negative	EmotionRationale
but , alas professor brainard somehow manages to accomplish this feat twice before the momentous night that he actually creates flubber . 	but , alas professor brainard somehow manages to accomplish this feat twice before the momentous night that he actually creates flubber .	3	-2	 but[0] alas[-1] professor[0] brainard[0] somehow[0] manages[0] to[0] accomplish[1] this[0] feat[0] twice[0] before[0] the[0] momentous[2] night[0] that[0] he[0] actually[0] creates[0] flubber[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's amazing that he is able to remember any of the processes he uses to make anything . 	it's amazing that he is able to remember any of the processes he uses to make anything .	3	-1	 it's[0] amazing[2] that[0] he[0] is[0] able[0] to[0] remember[0] any[0] of[0] the[0] processes[0] he[0] uses[0] to[0] make[0] anything[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the whole point here is how could a man be so blatantly forgetful . 	the whole point here is how could a man be so blatantly forgetful .	1	-2	 the[0] whole[0] point[0] here[0] is[0] how[0] could[0] a[0] man[0] be[0] so[0] blatantly[-1] forgetful[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is not absent minded this is almost mindless and he is a professor . 	this is not absent minded this is almost mindless and he is a professor .	2	-1	 this[0] is[0] not[0] absent[-1][NegatedDueToPreviousWord] minded[0] this[0] is[0] almost[0] mindless[0] and[0] he[0] is[0] a[0] professor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , this is the case for about the first half of the movie then things begin to settle into what might truly be considered absent minded . 	well , this is the case for about the first half of the movie then things begin to settle into what might truly be considered absent minded .	1	-2	 well[0] this[0] is[0] the[0] case[0] for[0] about[0] the[0] first[0] half[0] of[0] the[0] movie[0] then[0] things[0] begin[0] to[0] settle[0] into[0] what[0] might[0] truly[1][-1 LastWordBoosterStrength] be[0] considered[0] absent[-1] minded[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way to becoming absent minded from absent of mind the professor stumbles onto flubber . 	along the way to becoming absent minded from absent of mind the professor stumbles onto flubber .	1	-2	 along[0] the[0] way[0] to[0] becoming[0] absent[-1] minded[0] from[0] absent[-1] of[0] mind[0] the[0] professor[0] stumbles[0] onto[0] flubber[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thankfully or there would be no movie or any amusement for the audience . 	thankfully or there would be no movie or any amusement for the audience .	2	-1	 thankfully[1] or[0] there[0] would[0] be[0] no[0] movie[0] or[0] any[0] amusement[1] for[0] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the flubber is supposed to be flying rubber , but it seems to have a life of its own . 	the flubber is supposed to be flying rubber , but it seems to have a life of its own .	1	-1	 the[0] flubber[0] is[0] supposed[0] to[0] be[0] flying[0] rubber[0] but[0] it[0] seems[0] to[0] have[0] a[0] life[0] of[0] its[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is there strictly for the kids . 	this is there strictly for the kids .	1	-2	 this[0] is[0] there[0] strictly[-1] for[0] the[0] kids[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the properties of the flubber provide some antics for the audience when flubber coated golfballs and bowling balls assail two would be thugs . 	the properties of the flubber provide some antics for the audience when flubber coated golfballs and bowling balls assail two would be thugs .	1	-3	 the[0] properties[0] of[0] the[0] flubber[0] provide[0] some[0] antics[0] for[0] the[0] audience[0] when[0] flubber[0] coated[0] golfballs[0] and[0] bowling[0] balls[0] assail[-2] two[0] would[0] be[0] thugs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although amusing this is not original what so ever and brings back haunting memories of home alone . 	although amusing this is not original what so ever and brings back haunting memories of home alone .	2	-1	 although[0] amusing[1] this[0] is[0] not[0] original[0] what[0] so[0] ever[0] and[0] brings[0] back[0] haunting[0] memories[0] of[0] home[0] alone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the poor professor has to save the university where he teaches at , get his fiancee back , finally stop the plotting of an evil millionaire , and do all this in the funniest way possible . 	the poor professor has to save the university where he teaches at , get his fiancee back , finally stop the plotting of an evil millionaire , and do all this in the funniest way possible .	2	-3	 the[0] poor[-1] professor[0] has[0] to[0] save[1] the[0] university[0] where[0] he[0] teaches[0] at[0] get[0] his[0] fiancee[0] back[0] finally[0] stop[0] the[0] plotting[0] of[0] an[0] evil[-2] millionaire[0] and[0] do[0] all[0] this[0] in[0] the[0] funniest[1] way[0] possible[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
admittedly there are funny moments but the movie is rather shallow and does not compare very well to the original ( the absent minded professor ) . 	admittedly there are funny moments but the movie is rather shallow and does not compare very well to the original ( the absent minded professor ) .	2	-2	 admittedly[0] there[0] are[0] funny[1] moments[0] but[0] the[0] movie[0] is[0] rather[0] shallow[-1] and[0] does[0] not[0] compare[0] very[0] well[0] to[0] the[0] original[0] the[0] absent[-1] minded[0] professor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the whole scene with the basketball game was just atrocious and totally unbelievable . 	the whole scene with the basketball game was just atrocious and totally unbelievable .	1	-3	 the[0] whole[0] scene[0] with[0] the[0] basketball[0] game[0] was[0] just[0] atrocious[-3][--1 LastWordBoosterStrength] and[0] totally[0] unbelievable[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the basketball players , stereotypically unqualified for the sport , somehow manage to bounce , fly and dribble their way back to being close to winning ? 	the basketball players , stereotypically unqualified for the sport , somehow manage to bounce , fly and dribble their way back to being close to winning ?	2	-2	 the[0] basketball[0] players[0] stereotypically[0] unqualified[-1] for[0] the[0] sport[0] somehow[0] manage[0] to[0] bounce[0] fly[0] and[0] dribble[0] their[0] way[0] back[0] to[0] being[0] close[0] to[0] winning[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this just sounds too bad to be true , the least that could have been done was keep semi close to the original movie to give this film a chance . 	this just sounds too bad to be true , the least that could have been done was keep semi close to the original movie to give this film a chance .	2	-2	 this[0] just[0] sounds[0] too[0] bad[-1] to[0] be[0] true[1] the[0] least[0] that[0] could[0] have[0] been[0] done[0] was[0] keep[0] semi[0] close[0] to[0] the[0] original[0] movie[0] to[0] give[0] this[0] film[0] a[0] chance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as for innovations and new ideas there is but two good ones in this movie . 	as for innovations and new ideas there is but two good ones in this movie .	2	-1	 as[0] for[0] innovations[0] and[0] new[0] ideas[0] there[0] is[0] but[0] two[0] good[1] ones[0] in[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
giving life to the flubber , which is so poorly executed that it's best forgotten , and prof . brainard's flying robot weebo . 	giving life to the flubber , which is so poorly executed that it's best forgotten , and prof .<br> brainard's flying robot weebo .	2	-2	 giving[0] life[0] to[0] the[0] flubber[0] which[0] is[0] so[0] poorly[-1] executed[-1] that[0] it's[0] best[1] forgotten[0] and[0] prof[0] [[Sentence=-2,2=word max, 1-5]] brainard's[0] flying[0] robot[0] weebo[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
giving life to the flubber would have worked beautifully if it wasn't for scenes of the sort where you have the flubber dancing around on tables and books for no real reason other than to put in a bit of music and extend the length of the movie . 	giving life to the flubber would have worked beautifully if it wasn't for scenes of the sort where you have the flubber dancing around on tables and books for no real reason other than to put in a bit of music and extend the length of the movie .	3	-1	 giving[0] life[0] to[0] the[0] flubber[0] would[0] have[0] worked[0] beautifully[2] if[0] it[0] wasn't[0] for[0] scenes[0] of[0] the[0] sort[0] where[0] you[0] have[0] the[0] flubber[0] dancing[0] around[0] on[0] tables[0] and[0] books[0] for[0] no[0] real[0] reason[0] other[0] than[0] to[0] put[0] in[0] a[0] bit[0] of[0] music[0] and[0] extend[0] the[0] length[0] of[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
