there were four movies that earned jamie lee curtis the title of " scream queen " in the early '80s . 	Translation	Positive	Negative	EmotionRationale
two of them were halloween movies , but the other two -- prom night and terror train -- were the uninspired knockoffs that came directly after the success of halloween . 	two of them were halloween movies , but the other two - prom night and terror train - were the uninspired knockoffs that came directly after the success of halloween .	3	-2	 two[0] of[0] them[0] were[0] halloween[0] movies[0] but[0] the[0] other[0] two[0] prom[0] night[0] and[0] terror[-1] train[0] were[0] the[0] uninspired[0] knockoffs[0] that[0] came[0] directly[0] after[0] the[0] success[2] of[0] halloween[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the same " god , i'm scared , there's some guy in a mask coming after me " routine she did in john carpenter's classic , jamie lee copies here , with none of the urgency or suspense . 	the same " god , i'm scared , there's some guy in a mask coming after me " routine she did in john carpenter's classic , jamie lee copies here , with none of the urgency or suspense .	1	-4	 the[0] same[0] god[0] i'm[0] scared[-3] there's[0] some[0] guy[0] in[0] a[0] mask[0] coming[0] after[0] me[0] routine[0] she[0] did[0] in[0] john[0] carpenter's[0] classic[0] jamie[0] lee[0] copies[0] here[0] with[0] none[0] of[0] the[0] urgency[0] or[0] suspense[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
terror train takes place on ( where else ? ) a train , charted by some pre-med students finishing their first four years of higher education . 	terror train takes place on ( where else ?<br> ) a train , charted by some pre-med students finishing their first four years of higher education .	1	-2	 terror[-1] train[0] takes[0] place[0] on[0] where[0] else[0] [[Sentence=-2,1=word max, 1-5]] a[0] train[0] charted[0] by[0] some[0] pre[0] med[0] students[0] finishing[0] their[0] first[0] four[0] years[0] of[0] higher[0] education[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of them won't make it to med school , though , and it's obvious from the foreshadowing done when the conductor complains , " i wish to hell they'd put a radio on that train . " 	most of them won't make it to med school , though , and it's obvious from the foreshadowing done when the conductor complains , " i wish to hell they'd put a radio on that train .<br> "	1	-2	 most[0] of[0] them[0] won't[0] make[0] it[0] to[0] med[0] school[0] though[0] and[0] it's[0] obvious[0] from[0] the[0] foreshadowing[0] done[0] when[0] the[0] conductor[0] complains[-1] i[0] wish[0] to[0] hell[-1] they'd[0] put[0] a[0] radio[0] on[0] that[0] train[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the conductor character probably has the most lines of anyone , even jamie lee . 	the conductor character probably has the most lines of anyone , even jamie lee .	1	-1	 the[0] conductor[0] character[0] probably[0] has[0] the[0] most[0] lines[0] of[0] anyone[0] even[0] jamie[0] lee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the beginning , he's talking his head off ( he tells one of his co-workers " think on this -- when's the last time someone built a shopping mall next to a train station ? " 	from the beginning , he's talking his head off ( he tells one of his co-workers " think on this - when's the last time someone built a shopping mall next to a train station ?<br> "	1	-1	 from[0] the[0] beginning[0] he's[0] talking[0] his[0] head[0] off[0] he[0] tells[0] one[0] of[0] his[0] co[0] workers[0] think[0] on[0] this[0] when's[0] the[0] last[0] time[0] someone[0] built[0] a[0] shopping[0] mall[0] next[0] to[0] a[0] train[0] station[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as if it makes any kind of sense ) and it only gets better as he engages himself in an argument about the benefits of railroad over recreational vehicles . 	as if it makes any kind of sense ) and it only gets better as he engages himself in an argument about the benefits of railroad over recreational vehicles .	2	-2	 as[0] if[0] it[0] makes[0] any[0] kind[1] of[0] sense[0] and[0] it[0] only[0] gets[0] better[0] as[0] he[0] engages[0] himself[0] in[0] an[0] argument[-1] about[0] the[0] benefits[0] of[0] railroad[0] over[0] recreational[0] vehicles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , the loudmouth conductor is the first person to find a bloody body , which is then gone when he brings a skeptical trainman back to view it . 	of course , the loudmouth conductor is the first person to find a bloody body , which is then gone when he brings a skeptical trainman back to view it .	1	-2	 of[0] course[0] the[0] loudmouth[0] conductor[0] is[0] the[0] first[0] person[0] to[0] find[0] a[0] bloody[-1] body[0] which[0] is[0] then[0] gone[0] when[0] he[0] brings[0] a[0] skeptical[-1] trainman[0] back[0] to[0] view[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i forgot to mention the prologue . 	i forgot to mention the prologue .	1	-1	 i[0] forgot[0] to[0] mention[0] the[0] prologue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a party three years earlier , with the same group of students . 	it's a party three years earlier , with the same group of students .	1	-1	 it's[0] a[0] party[0] three[0] years[0] earlier[0] with[0] the[0] same[0] group[0] of[0] students[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two of them play a trick on a geeky frat pledge , promising him he's going to get laid . 	two of them play a trick on a geeky frat pledge , promising him he's going to get laid .	2	-2	 two[0] of[0] them[0] play[0] a[0] trick[-1] on[0] a[0] geeky[0] frat[0] pledge[0] promising[1] him[0] he's[0] going[0] to[0] get[0] laid[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they send jamie lee up to stand behind the bed and talk to the geek as he comes in , noticing a form on the bed . 	they send jamie lee up to stand behind the bed and talk to the geek as he comes in , noticing a form on the bed .	1	-1	 they[0] send[0] jamie[0] lee[0] up[0] to[0] stand[0] behind[0] the[0] bed[0] and[0] talk[0] to[0] the[0] geek[0] as[0] he[0] comes[0] in[0] noticing[0] a[0] form[0] on[0] the[0] bed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she says , " kiss me , kenny , " and he kisses the body on the bed , which happens to be a cadaver . 	she says , " kiss me , kenny , " and he kisses the body on the bed , which happens to be a cadaver .	3	-1	 she[0] says[0] kiss[2] me[0] kenny[0] and[0] he[0] kisses[2] the[0] body[0] on[0] the[0] bed[0] which[0] happens[0] to[0] be[0] a[0] cadaver[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( " oh my god , they killed kenny ! 	 ( " oh my god , they killed kenny !	1	-4	 oh[0] my[0] god[0] they[0] killed[-3] kenny[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you bastards ! " ) 	you bastards !<br> " )	1	-3	 you[0] bastards[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a sick trick , and one jamie lee wasn't let in on . 	it's a sick trick , and one jamie lee wasn't let in on .	1	-2	 it's[0] a[0] sick[-1] trick[-1] and[0] one[0] jamie[0] lee[0] wasn't[0] let[0] in[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she still hasn't forgiven the guy as they board the terror train ( " you asshole , you can't have a good time without hurting somebody ! " ) . 	she still hasn't forgiven the guy as they board the terror train ( " you asshole , you can't have a good time without hurting somebody !<br> " ) .	2	-3	 she[0] still[0] hasn't[0] forgiven[1] the[0] guy[0] as[0] they[0] board[0] the[0] terror[-1] train[0] you[0] asshole[-2] you[0] can't[0] have[0] a[0] good[1] time[0] without[0] hurting[-2] somebody[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the killing starts before the train even leaves the station . 	the killing starts before the train even leaves the station .	1	-2	 the[0] killing[-1] starts[0] before[0] the[0] train[0] even[0] leaves[0] the[0] station[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since it's new year's , everyone's wearing disguises ( a convenient plot device we've seen before ) , and someone stabs the guy in the groucho mask when no one's looking . 	since it's new year's , everyone's wearing disguises ( a convenient plot device we've seen before ) , and someone stabs the guy in the groucho mask when no one's looking .	1	-2	 since[0] it's[0] new[0] year's[0] everyone's[0] wearing[0] disguises[0] a[0] convenient[0] plot[0] device[0] we've[0] seen[0] before[0] and[0] someone[0] stabs[-1] the[0] guy[0] in[0] the[0] groucho[0] mask[0] when[0] no[0] one's[0] looking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least one of the characters says it's a groucho mask ; when the killer dons it and steps aboard , it looks like gene shalit who , by the way , would make a great killer in a slasher movie . 	at least one of the characters says it's a groucho mask ; when the killer dons it and steps aboard , it looks like gene shalit who , by the way , would make a great killer in a slasher movie .	3	-2	 at[0] least[0] one[0] of[0] the[0] characters[0] says[0] it's[0] a[0] groucho[0] mask[0] when[0] the[0] killer[-1] dons[0] it[0] and[0] steps[0] aboard[0] it[0] looks[0] like[1] gene[0] shalit[0] who[0] by[0] the[0] way[0] would[0] make[0] a[0] great[2] killer[-1] in[0] a[0] slasher[-1] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
