capsule : combine one quart of raiders of the lost ark , a dash of a jackie chan movie ( sans jackie ) , two teaspoons of gun- and swordplay , and a dollop of cgi . 	Translation	Positive	Negative	EmotionRationale
simmer for 100 minutes . 	simmer for 100 minutes .	1	-1	 simmer[0] for[0] 100[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yields : zilch . 	yields : zilch .	1	-1	 yields[0] zilch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the phantom is a depressing and tired retread of so many earlier , better movies that after the fifteen-minute mark i started cataloguing them out loud . 	the phantom is a depressing and tired retread of so many earlier , better movies that after the fifteen-minute mark i started cataloguing them out loud .	1	-4	 the[0] phantom[0] is[0] a[0] depressing[-3] and[0] tired[-1] retread[0] of[0] so[0] many[0] earlier[0] better[0] movies[0] that[0] after[0] the[0] fifteen[0] minute[0] mark[0] i[0] started[0] cataloguing[0] them[0] out[0] loud[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's hard to make a good action-adventure movie that doesn't simply recycle its predecessors , and i've seen movies that even at least did the recycling gracefully . 	it's hard to make a good action-adventure movie that doesn't simply recycle its predecessors , and i've seen movies that even at least did the recycling gracefully .	3	-1	 it's[0] hard[0] to[0] make[0] a[0] good[1] action[0] adventure[0] movie[0] that[0] doesn't[0] simply[0] recycle[0] its[0] predecessors[0] and[0] i've[0] seen[0] movies[0] that[0] even[0] at[0] least[0] did[0] the[0] recycling[0] gracefully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the phantom , allegedly based on the long-running comic of the same name , doesn't even bother to be graceful . 	the phantom , allegedly based on the long-running comic of the same name , doesn't even bother to be graceful .	3	-2	 the[0] phantom[0] allegedly[-1] based[0] on[0] the[0] long[0] running[0] comic[0] of[0] the[0] same[0] name[0] doesn't[0] even[0] bother[-1] to[0] be[0] graceful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's a stupid and incompetent movie in too many ways to list , but i'll try . 	it's a stupid and incompetent movie in too many ways to list , but i'll try .	1	-3	 it's[0] a[0] stupid[-1] and[0] incompetent[-2] movie[0] in[0] too[0] many[0] ways[0] to[0] list[0] but[0] i'll[0] try[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film opens up with a " prelude " sequence that looks like it was slashed to ribbons in the editing and then given a heavy voice-over to compensate for whatever got thrown out . 	the film opens up with a " prelude " sequence that looks like it was slashed to ribbons in the editing and then given a heavy voice-over to compensate for whatever got thrown out .	2	-2	 the[0] film[0] opens[0] up[0] with[0] a[0] prelude[0] sequence[0] that[0] looks[0] like[1] it[0] was[0] slashed[-1] to[0] ribbons[0] in[0] the[0] editing[0] and[0] then[0] given[0] a[0] heavy[0] voice[0] over[0] to[0] compensate[0] for[0] whatever[0] got[0] thrown[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we go from there to a jungle sequence that , i swear to god , recycles the truck-chase scene from raiders of the lost ark note-for-note , possibly even shot-for-shot , right down to the moment where indy wrenched open the door and slung one of the drivers out into the brush -- and then goes on to rip off the rope-bridge scene from " sorcerer " as well ! 	we go from there to a jungle sequence that , i swear to god , recycles the truck-chase scene from raiders of the lost ark note-for-note , possibly even shot-for-shot , right down to the moment where indy wrenched open the door and slung one of the drivers out into the brush - and then goes on to rip off the rope-bridge scene from " sorcerer " as well !	1	-2	 we[0] go[0] from[0] there[0] to[0] a[0] jungle[0] sequence[0] that[0] i[0] swear[-1] to[0] god[0] recycles[0] the[0] truck[0] chase[-1] scene[0] from[0] raiders[0] of[0] the[0] lost[0] ark[0] note[0] for[0] note[0] possibly[0] even[0] shot[-1] for[0] shot[-1] right[0] down[0] to[0] the[0] moment[0] where[0] indy[0] wrenched[0] open[0] the[0] door[0] and[0] slung[0] one[0] of[0] the[0] drivers[0] out[0] into[0] the[0] brush[0] and[0] then[0] goes[0] on[0] to[0] rip[-1] off[0] the[0] rope[0] bridge[0] scene[0] from[0] sorcerer[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sorcerer , as you may well remember , was a remake of a french movie , the wages of fear , in which a bunch of lowlifes were paid piles of money to drive a truck loaded with nitro through horrible jungle terrain . 	sorcerer , as you may well remember , was a remake of a french movie , the wages of fear , in which a bunch of lowlifes were paid piles of money to drive a truck loaded with nitro through horrible jungle terrain .	1	-4	 sorcerer[0] as[0] you[0] may[0] well[0] remember[0] was[0] a[0] remake[0] of[0] a[0] french[0] movie[0] the[0] wages[0] of[0] fear[-3] in[0] which[0] a[0] bunch[0] of[0] lowlifes[-1] were[0] paid[0] piles[0] of[0] money[0] to[0] drive[0] a[0] truck[0] loaded[0] with[0] nitro[0] through[0] horrible[-3] jungle[0] terrain[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
both versions of that movie were far more interesting than this flick , but i've got my job to do , so back to the salt mines we go . 	both versions of that movie were far more interesting than this flick , but i've got my job to do , so back to the salt mines we go .	2	-1	 both[0] versions[0] of[0] that[0] movie[0] were[0] far[0] more[0] interesting[1] than[0] this[0] flick[0] but[0] i've[0] got[0] my[0] job[0] to[0] do[0] so[0] back[0] to[0] the[0] salt[0] mines[0] we[0] go[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anyway , the cinematic theft doesn't stop there . 	anyway , the cinematic theft doesn't stop there .	1	-2	 anyway[0] the[0] cinematic[0] theft[-1] doesn't[0] stop[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or at least the lack of inspiration . 	or at least the lack of inspiration .	3	-2	 or[0] at[0] least[0] the[0] lack[-1] of[0] inspiration[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there isn't a single thing here we haven't seen , and it's not given to us in a way that remotely evokes our interest . 	there isn't a single thing here we haven't seen , and it's not given to us in a way that remotely evokes our interest .	2	-1	 there[0] isn't[0] a[0] single[0] thing[0] here[0] we[0] haven't[0] seen[0] and[0] it's[0] not[0] given[0] to[0] us[0] in[0] a[0] way[0] that[0] remotely[0] evokes[0] our[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we have ( where's my list ? ) 	we have ( where's my list ?<br> )	1	-1	 we[0] have[0] where's[0] my[0] list[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bad girl , a tough good girl , a secret cave hideaway ( which seems inspired more by dr . 	a bad girl , a tough good girl , a secret cave hideaway ( which seems inspired more by dr .	3	-2	 a[0] bad[-1] girl[0] a[0] tough[-1] good[1] girl[0] a[0] secret[0] cave[0] hideaway[0] which[0] seems[0] inspired[2] more[0] by[0] dr[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
no than anything else ) , a boardroom meeting that drips with greed and venality , magical artifacts of terrible power , and cary-hiroyuki tagawa wasted in another stupid role where he gets to wear a fu manchu mustache and sneer a lot and generally humiliate himself . 	no than anything else ) , a boardroom meeting that drips with greed and venality , magical artifacts of terrible power , and cary-hiroyuki tagawa wasted in another stupid role where he gets to wear a fu manchu mustache and sneer a lot and generally humiliate himself .	1	-4	 no[0] than[0] anything[0] else[0] a[0] boardroom[0] meeting[0] that[0] drips[0] with[0] greed[-2] and[0] venality[0] magical[0] artifacts[0] of[0] terrible[-3] power[0] and[0] cary[0] hiroyuki[0] tagawa[0] wasted[-1] in[0] another[0] stupid[-1] role[0] where[0] he[0] gets[0] to[0] wear[0] a[0] fu[0] manchu[0] mustache[0] and[0] sneer[-1] a[0] lot[0] and[0] generally[0] humiliate[-3] himself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what else is there ? 	what else is there ?	1	-1	 what[0] else[0] is[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is a waste of time . 	the plot is a waste of time .	1	-2	 the[0] plot[0] is[0] a[0] waste[-1] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the sets alternate between big but hokey -- and tiny and still hokey . 	the sets alternate between big but hokey - and tiny and still hokey .	1	-1	 the[0] sets[0] alternate[0] between[0] big[0] but[0] hokey[0] and[0] tiny[0] and[0] still[0] hokey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are lines in the script that are just begging to be mst3ked -- and i'm sure once mike and the 'bots get the cash , they'll stick it on their sked . 	there are lines in the script that are just begging to be mst3ked - and i'm sure once mike and the 'bots get the cash , they'll stick it on their sked .	1	-1	 there[0] are[0] lines[0] in[0] the[0] script[0] that[0] are[0] just[0] begging[0] to[0] be[0] mst3ked[0] and[0] i'm[0] sure[0] once[0] mike[0] and[0] the[0] 'bots[0] get[0] the[0] cash[0] they'll[0] stick[0] it[0] on[0] their[0] sked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only thing in the movie worth noting is billy zane -- he's a good actor , and he tries very hard , even when the script is sending him down one dead alley of a scene after another . 	the only thing in the movie worth noting is billy zane - he's a good actor , and he tries very hard , even when the script is sending him down one dead alley of a scene after another .	2	-3	 the[0] only[0] thing[0] in[0] the[0] movie[0] worth[0] noting[0] is[0] billy[0] zane[0] he's[0] a[0] good[1] actor[0] and[0] he[0] tries[0] very[0] hard[0] even[0] when[0] the[0] script[0] is[0] sending[0] him[0] down[0] one[0] dead[-2] alley[0] of[0] a[0] scene[0] after[0] another[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all i can say is that i pray this isn't the beginning of the end for him -- although it sure looks like the final nail in the coffin for the comic-book super-hero movie . 	all i can say is that i pray this isn't the beginning of the end for him - although it sure looks like the final nail in the coffin for the comic-book super-hero movie .	4	-1	 all[0] i[0] can[0] say[0] is[0] that[0] i[0] pray[0] this[0] isn't[0] the[0] beginning[0] of[0] the[0] end[0] for[0] him[0] although[0] it[0] sure[0] looks[0] like[1] the[0] final[0] nail[0] in[0] the[0] coffin[0] for[0] the[0] comic[0] book[0] super[2] hero[2][+1 MultiplePositiveWords] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
