 * * * be warned . . . 	Translation	Positive	Negative	EmotionRationale
the following review contains some harsh language * * * 	the following review contains some harsh language * * *	1	-1	 the[0] following[0] review[0] contains[0] some[0] harsh[-1][--1 LastWordBoosterStrength] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the blair witch project . 	the blair witch project .	1	-1	 the[0] blair[0] witch[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quite possibly the least scariest movie of all time . 	quite possibly the least scariest movie of all time .	1	-4	 quite[0] possibly[0] the[0] least[0] scariest[-3] movie[0] of[0] all[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you want to see real terror on the big screen go back and watch any scene with jar jar binks in the phantom menace , because this movie is not scary or even remotely creepy . 	if you want to see real terror on the big screen go back and watch any scene with jar jar binks in the phantom menace , because this movie is not scary or even remotely creepy .	4	-3	 if[0] you[0] want[0] to[0] see[0] real[0] terror[-1] on[0] the[0] big[0] screen[0] go[0] back[0] and[0] watch[0] any[0] scene[0] with[0] jar[0] jar[0] binks[0] in[0] the[0] phantom[0] menace[-2] because[0] this[0] movie[0] is[0] not[0] scary[-3][NegatedDueToPreviousWord] or[0] even[0] remotely[0] creepy[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
my colleague and friend chuck dowling wrote that if less is more , then the blair witch filmmakers must have thought that nothing is more . 	my colleague and friend chuck dowling wrote that if less is more , then the blair witch filmmakers must have thought that nothing is more .	2	-1	 my[0] colleague[0] and[0] friend[1] chuck[0] dowling[0] wrote[0] that[0] if[0] less[0] is[0] more[0] then[0] the[0] blair[0] witch[0] filmmakers[0] must[0] have[0] thought[0] that[0] nothing[0] is[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and this worked for him . 	and this worked for him .	1	-1	 and[0] this[0] worked[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i'm sorry , but nothing . . . 	well , i'm sorry , but nothing .<br> .<br> .	1	-2	 well[0] i'm[0] sorry[-1] but[0] nothing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is nothing ! ! ! ! ! 	is nothing !<br> !<br> !<br> !<br> !	1	-1	 is[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing is not more . 	nothing is not more .	1	-1	 nothing[0] is[0] not[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's nothiiiiiinggggggggggg ! ! ! ! ! ! . 	it's nothing !<br> !<br> !<br> !<br> !<br> !<br> .	2	-1	 it's[0] nothiiiiiinggggggggggg/nothing[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
