after the huge success of " the exorcist " in 1973 a sequel was inevitable , and sadly like most horror fims that make money , the filmmakers decided to make a ridiculous sequel , that makes absolutely no sense at all , and to me was extremely pointless , wasting linda blair and max von sydow completely . 	Translation	Positive	Negative	EmotionRationale
needless , dumb sequel flopped in the box office , and never gained much success though it is voted as one of the worst sequels of all time , to which i agree with . 	needless , dumb sequel flopped in the box office , and never gained much success though it is voted as one of the worst sequels of all time , to which i agree with .	3	-3	 needless[0] dumb[-1] sequel[0] flopped[0] in[0] the[0] box[0] office[0] and[0] never[0] gained[0] much[0] success[2] though[0] it[0] is[0] voted[0] as[0] one[0] of[0] the[0] worst[-2] sequels[0] of[0] all[0] time[0] to[0] which[0] i[0] agree[0] with[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
to start the " story " it is four years later , and regan is being tormented by memories of what used to be , now a priest played by richard burton , is trying to figure out why this demon tried to possess regan , and now the demon somehow wants to possess her again ( maybe she was good or something ) . 	to start the " story " it is four years later , and regan is being tormented by memories of what used to be , now a priest played by richard burton , is trying to figure out why this demon tried to possess regan , and now the demon somehow wants to possess her again ( maybe she was good or something ) .	2	-2	 to[0] start[0] the[0] story[0] it[0] is[0] four[0] years[0] later[0] and[0] regan[0] is[0] being[0] tormented[0] by[0] memories[0] of[0] what[0] used[0] to[0] be[0] now[0] a[0] priest[0] played[0] by[0] richard[0] burton[0] is[0] trying[0] to[0] figure[0] out[0] why[0] this[0] demon[-1] tried[0] to[0] possess[0] regan[0] and[0] now[0] the[0] demon[-1] somehow[0] wants[0] to[0] possess[0] her[0] again[0] maybe[0] she[0] was[0] good[1] or[0] something[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now they must try to stop this demon from taking over regan's body , before it is too late . 	now they must try to stop this demon from taking over regan's body , before it is too late .	1	-2	 now[0] they[0] must[0] try[0] to[0] stop[0] this[0] demon[-1] from[0] taking[0] over[0] regan's[0] body[0] before[0] it[0] is[0] too[0] late[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the bad things exorcist ii has in it is : linda blair , she had no need to revive her character , and she is really terrible in this film , she brings it down to a lull , and in places it seems like it just stops in its place , and doesn't go anywhere . 	some of the bad things exorcist i has in it is : linda blair , she had no need to revive her character , and she is really terrible in this film , she brings it down to a lull , and in places it seems like it just stops in its place , and doesn't go anywhere .	2	-5	 some[0] of[0] the[0] bad[-1] things[0] exorcist[0] ii/i[0] has[0] in[0] it[0] is[0] linda[0] blair[0] she[0] had[0] no[0] need[0] to[0] revive[0] her[0] character[0] and[0] she[0] is[0] really[0] terrible[-3][-1 LastWordBoosterStrength] in[0] this[0] film[0] she[0] brings[0] it[0] down[0] to[0] a[0] lull[-1] and[0] in[0] places[0] it[0] seems[0] like[1] it[0] just[0] stops[0] in[0] its[0] place[0] and[0] doesn't[0] go[0] anywhere[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
louise fletcher is alright for what it's worth , but she could have done a lot better than this . 	louise fletcher is alright for what it's worth , but she could have done a lot better than this .	1	-1	 louise[0] fletcher[0] is[0] alright[0] for[0] what[0] it's[0] worth[0] but[0] she[0] could[0] have[0] done[0] a[0] lot[0] better[0] than[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the direction by john boorman , is that of a confused , stylish nature that i really couldn't figure out . 	the direction by john boorman , is that of a confused , stylish nature that i really couldn't figure out .	1	-2	 the[0] direction[0] by[0] john[0] boorman[0] is[0] that[0] of[0] a[0] confused[-1] stylish[0] nature[0] that[0] i[0] really[0] couldn't[0] figure[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , i had no idea what was going on in this film , the script was jumbled , the plot was jumbled , and the ending is just laugh out loud hilariosly bad . 	in fact , i had no idea what was going on in this film , the script was jumbled , the plot was jumbled , and the ending is just laugh out loud hilariosly bad .	1	-2	 in[0] fact[0] i[0] had[0] no[0] idea[0] what[0] was[0] going[0] on[0] in[0] this[0] film[0] the[0] script[0] was[0] jumbled[0] the[0] plot[0] was[0] jumbled[0] and[0] the[0] ending[0] is[0] just[0] laugh[1][-1 LastWordBoosterStrength] out[0] loud[0] hilariosly[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for those exorcist fans who haven't seen this one , i recommend renting it . 	for those exorcist fans who haven't seen this one , i recommend renting it .	1	-1	 for[0] those[0] exorcist[0] fans[0] who[0] haven't[0] seen[0] this[0] one[0] i[0] recommend[0] renting[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i actually gave this one a high rating , if it were any worse it would have deserved zero pumpkins , i went easy on it however because of the fact that it has a bit of good direction , but nothing else ! 	i actually gave this one a high rating , if it were any worse it would have deserved zero pumpkins , i went easy on it however because of the fact that it has a bit of good direction , but nothing else !	2	-3	 i[0] actually[0] gave[0] this[0] one[0] a[0] high[0] rating[0] if[0] it[0] were[0] any[0] worse[-2] it[0] would[0] have[0] deserved[0] zero[0] pumpkins[0] i[0] went[0] easy[0] on[0] it[0] however[0] because[0] of[0] the[0] fact[0] that[0] it[0] has[0] a[0] bit[0] of[0] good[1] direction[0] but[0] nothing[0] else[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
im not saying i like the film now , so dont start going anywhere . 	im not saying i like the film now , so dont start going anywhere .	2	-1	 im[0] not[0] saying[0] i[0] like[1] the[0] film[0] now[0] so[0] dont[0] start[0] going[0] anywhere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bad , bad , bad movie . 	bad , bad , bad movie .	1	-2	 bad[-1] bad[-1] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
