by the time dennis quaid , the ostensible star of switchback , makes his first appearance at about the 22-minute mark , you may find yourself wondering why he bothered . 	Translation	Positive	Negative	EmotionRationale
after all , writer/director jeb stuart has already set up a fairly promising pair of parallel story lines . 	after all , writer/director jeb stuart has already set up a fairly promising pair of parallel story lines .	2	-1	 after[0] all[0] writer/director[0] jeb[0] stuart[0] has[0] already[0] set[0] up[0] a[0] fairly[0] promising[1] pair[0] of[0] parallel[0] story[0] lines[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first finds amarillo , texas sheriff buck olmstead ( r . lee ermey ) facing a hotly-contested election battle just as a brutal double homicide is discovered at a motel in his jurisdiction . 	the first finds amarillo , texas sheriff buck olmstead ( are .<br> lee ermey ) facing a hotly-contested election battle just as a brutal double homicide is discovered at a motel in his jurisdiction .	1	-3	 the[0] first[0] finds[0] amarillo[0] texas[0] sheriff[0] buck[0] olmstead[0] r[0] [[Sentence=-1,1=word max, 1-5]] lee[0] ermey[0] facing[0] a[0] hotly[0] contested[0] election[0] battle[-1] just[0] as[0] a[0] brutal[-2] double[0] homicide[0] is[0] discovered[0] at[0] a[0] motel[0] in[0] his[0] jurisdiction[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as olmstead begins his investigation , we also meet the two men who come to be our prime suspects . 	as olmstead begins his investigation , we also meet the two men who come to be our prime suspects .	1	-1	 as[0] olmstead[0] begins[0] his[0] investigation[0] we[0] also[0] meet[0] the[0] two[0] men[0] who[0] come[0] to[0] be[0] our[0] prime[0] suspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lane dixon ( jared leto ) is an enigmatic young hitchhiker ; bob goodall ( danny glover ) is the jovial motorist who offers lane a ride from texas to his utah destination . 	lane dixon ( jared leto ) is an enigmatic young hitchiker ; bob goodall ( danny glover ) is the jovial motorist who offers lane a ride from texas to his utah destination .	1	-1	 lane[0] dixon[0] jared[0] leto[0] is[0] an[0] enigmatic[0] young[0] hitchhiker/hitchiker[0] bob[0] goodall[0] danny[0] glover[0] is[0] the[0] jovial[0] motorist[0] who[0] offers[0] lane[0] a[0] ride[0] from[0] texas[0] to[0] his[0] utah[0] destination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the necessary conflicts seem to be in place -- the internal struggle of olmstead over the clash between good politics and good police work , and the external struggle as one of the two travelers eventually becomes villain to the other's protagonist . 	all the necessary conflicts seem to be in place - the internal struggle of olmstead over the clash between good politics and good police work , and the external struggle as one of the two travelers eventually becomes villain to the other's protagonist .	2	-3	 all[0] the[0] necessary[0] conflicts[-1] seem[0] to[0] be[0] in[0] place[0] the[0] internal[0] struggle[-1] of[0] olmstead[0] over[0] the[0] clash[-1] between[0] good[1] politics[0] and[0] good[1] police[0] work[0] and[0] the[0] external[0] struggle[-1] as[0] one[0] of[0] the[0] two[0] travelers[0] eventually[0] becomes[0] villain[-2] to[0] the[0] other's[0] protagonist[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but then quaid shows up as grimly determined fbi agent frank lacrosse . 	but then quaid shows up as grimly determined fbi agent frank lacrosse .	1	-3	 but[0] then[0] quaid[0] shows[0] up[0] as[0] grimly[-2] determined[0] fbi[0] agent[0] frank[0] lacrosse[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lacrosse is certain that the amarillo murders are the work of a serial killer he has been tracking for nearly two years . 	lacrosse is certain that the amarillo murders are the work of a serial killer he has been tracking for nearly two years .	1	-4	 lacrosse[0] is[0] certain[0] that[0] the[0] amarillo[0] murders[-3] are[0] the[0] work[0] of[0] a[0] serial[0] killer[-1] he[0] has[0] been[0] tracking[0] for[0] nearly[0] two[0] years[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he's not supposed to be tracking him any more -- according to the bureau , they've got their man -- but lacrosse has a very important reason for believing otherwise . 	he's not supposed to be tracking him any more - according to the bureau , they've got their man - but lacrosse has a very important reason for believing otherwise .	1	-1	 he's[0] not[0] supposed[0] to[0] be[0] tracking[0] him[0] any[0] more[0] according[0] to[0] the[0] bureau[0] they've[0] got[0] their[0] man[0] but[0] lacrosse[0] has[0] a[0] very[0] important[0] reason[0] for[0] believing[0] otherwise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two months earlier , lacrosse's own son was kidnapped by the killer , and the boy has yet to turn up anywhere . 	two months earlier , lacrosse's own son was kidnapped by the killer , and the boy has yet to turn up anywhere .	1	-2	 two[0] months[0] earlier[0] lacrosse's[0] own[0] son[0] was[0] kidnapped[0] by[0] the[0] killer[-1] and[0] the[0] boy[0] has[0] yet[0] to[0] turn[0] up[0] anywhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lacrosse knows his killer's work , and he knows that the man is still out there somewhere trying to continue their game . 	lacrosse knows his killer's work , and he knows that the man is still out there somewhere trying to continue their game .	1	-1	 lacrosse[0] knows[0] his[0] killer's[0] work[0] and[0] he[0] knows[0] that[0] the[0] man[0] is[0] still[0] out[0] there[0] somewhere[0] trying[0] to[0] continue[0] their[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
