there're so many things to criticize about i don't know where to start . 	Translation	Positive	Negative	EmotionRationale
recommendation : turn off your brain - don't be like me , decreasing the rating everyday because i think about it too much . 	recommendation : turn off your brain - don't be like me , decreasing the rating everyday because i think about it too much .	1	-2	 recommendation[0] turn[0] off[0] your[0] brain[0] don't[0] be[0] like[1][NegatedDueToPreviousWord] me[0] decreasing[0] the[0] rating[0] everyday[0] because[0] i[0] think[0] about[0] it[0] too[0] much[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a comet is about to strike earth , causing a catastrophe similar to the extinction level event ( e . l . e . ) that wiped out the dinosaurs . 	a comet is about to strike earth , causing a catastrophe similar to the extinction level event ( e .<br> l .<br> e .<br> ) that wiped out the dinosaurs .	1	-4	 a[0] comet[0] is[0] about[0] to[0] strike[-1] earth[0] causing[0] a[0] catastrophe[-3] similar[0] to[0] the[0] extinction[0] level[0] event[0] e[0] [[Sentence=-4,1=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] that[0] wiped[0] out[0] the[0] dinosaurs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
what follows is the story of a president's bid to think for the good of his people , a rising reporter , the love story of two teenagers ( one of whom discovered the comet ) , and a team of astronauts on the ship  messiah' to save the world . 	what follows is the story of a president's bid to think for the good of his people , a rising reporter , the love story of two teenagers ( one of whom discovered the comet ) , and a team of astronauts on the ship  messiah' to save the world .	3	-1	 what[0] follows[0] is[0] the[0] story[0] of[0] a[0] president's[0] bid[0] to[0] think[0] for[0] the[0] good[1] of[0] his[0] people[0] a[0] rising[0] reporter[0] the[0] love[2] story[0] of[0] two[0] teenagers[0] one[0] of[0] whom[0] discovered[0] the[0] comet[0] and[0] a[0] team[0] of[0] astronauts[0] on[0] the[0] ship[0] messiah'[0] to[0] save[1] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
firstly , there is nothing outstandingly inferior about the making of the film ( nor is there anything outstandingly good about it ) , but the plot holes make the film corny and stupid . 	firstly , there is nothing outstandingly inferior about the making of the film ( nor is there anything outstandingly good about it ) , but the plot holes make the film corny and stupid .	2	-2	 firstly[0] there[0] is[0] nothing[0] outstandingly[0] inferior[-1] about[0] the[0] making[0] of[0] the[0] film[0] nor[0] is[0] there[0] anything[0] outstandingly[0] good[1] about[0] it[0] but[0] the[0] plot[0] holes[0] make[0] the[0] film[0] corny[0] and[0] stupid[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to be honest , i was more moved by the trailer than the film itself ( which isn't saying much ) . 	to be honest , i was more moved by the trailer than the film itself ( which isn't saying much ) .	1	-1	 to[0] be[0] honest[0] i[0] was[0] more[0] moved[0] by[0] the[0] trailer[0] than[0] the[0] film[0] itself[0] which[0] isn't[0] saying[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mimi leder's follow-up to  the peacemaker' is equally incompetent , with all the big stars wasted . 	mimi leder's follow-up to  the peacemaker' is equally incompetent , with all the big stars wasted .	1	-3	 mimi[0] leder's[0] follow[0] up[0] to[0] the[0] peacemaker'[0] is[0] equally[0] incompetent[-2] with[0] all[0] the[0] big[0] stars[0] wasted[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( perhaps i'm just annoyed that the release of  the peacemaker' in the us overshadowed a far superior thriller ,  the assignment' . ) 	 ( perhaps i'm just annoyed that the release of  the peacemaker' in the us overshadowed a far superior thriller ,  the assignment' .<br> )	3	-2	 perhaps[0] i'm[0] just[0] annoyed[-2][--1 LastWordBoosterStrength] that[0] the[0] release[0] of[0] the[0] peacemaker'[0] in[0] the[0] us[0] overshadowed[0] a[0] far[0] superior[2] thriller[1] the[0] assignment'[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is very obvious that the title not only represents the big boom that will result from the collision , but also connotes the heavy impact on human lives . 	it is very obvious that the title not only represents the big boom that will result from the collision , but also connotes the heavy impact on human lives .	1	-2	 it[0] is[0] very[0] obvious[0] that[0] the[0] title[0] not[0] only[0] represents[0] the[0] big[0] boom[0] that[0] will[0] result[0] from[0] the[0] collision[-1] but[0] also[0] connotes[0] the[0] heavy[0] impact[0] on[0] human[0] lives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the film simply fails on that note . 	however , the film simply fails on that note .	1	-3	 however[0] the[0] film[0] simply[0] fails[-2] on[0] that[0] note[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the effects are worn-out , the substandard screenplay limited the acting , and the director continued her sad run in terms of good-film-making credentials . 	the effects are worn-out , the substandard screenplay limited the acting , and the director continued her sad run in terms of good-film-making credentials .	2	-4	 the[0] effects[0] are[0] worn[-1] out[0] the[0] substandard[0] screenplay[0] limited[0] the[0] acting[0] and[0] the[0] director[0] continued[0] her[0] sad[-3] run[0] in[0] terms[0] of[0] good[1] film[0] making[0] credentials[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
