the characters in jonathan lynn's " the whole nine yards , " yet another in an endless recent string of mob comedies ( 1999's " analyze this " and " mickey blue eyes , " 2000's " gun shy " ) , are rarely ever written as real people , but merely as one-dimensional caricatures . 	Translation	Positive	Negative	EmotionRationale
when an added layer to one of their personalities is revealed , it is not to service the character development , or to naturally offer up instinctive characterizations , but to accommodate the convoluted plot . 	when an added layer to one of their personalities is revealed , it is not to service the character development , or to naturally offer up instinctive characterizations , but to accommodate the convoluted plot .	1	-1	 when[0] an[0] added[0] layer[0] to[0] one[0] of[0] their[0] personalities[0] is[0] revealed[0] it[0] is[0] not[0] to[0] service[0] the[0] character[0] development[0] or[0] to[0] naturally[0] offer[0] up[0] instinctive[0] characterizations[0] but[0] to[0] accommodate[0] the[0] convoluted[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a lightweight comedy , you might say , it is not required to have perfectly realized figures , just as long as they get the job done . 	in a lightweight comedy , you might say , it is not required to have perfectly realized figures , just as long as they get the job done .	2	-1	 in[0] a[0] lightweight[0] comedy[0] you[0] might[0] say[0] it[0] is[0] not[0] required[0] to[0] have[0] perfectly[1] realized[0] figures[0] just[0] as[0] long[0] as[0] they[0] get[0] the[0] job[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , for a comedy to work , it has to at least succeed at being funny , and if there was a laugh-o-meter available , i'd guess that it briefly ascended around 2 . 5% of the time for me . 	unfortunately , for a comedy to work , it has to at least succeed at being funny , and if there was a laugh-o-meter available , i'd guess that it briefly ascended around 2 .<br> 5% of the time for me .	3	-2	 unfortunately[-1] for[0] a[0] comedy[0] to[0] work[0] it[0] has[0] to[0] at[0] least[0] succeed[2] at[0] being[0] funny[1] and[0] if[0] there[0] was[0] a[0] laugh[1] o[0] meter[0] available[0] i'd[0] guess[0] that[0] it[0] briefly[0] ascended[0] around[0] 2[0] [[Sentence=-2,3=word max, 1-5]] 5%[0] of[0] the[0] time[0] for[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
suffice to say , the comedy in " the whole nine yards " works about as well as the broken-down lawnmower in my backyard , and when a giggle surprisingly arises every twenty to thirty minutes , it is by sheer luck . 	suffice to say , the comedy in " the whole nine yards " works about as well as the broken-down lawnmower in my backyard , and when a giggle surprisingly arises every twenty to thirty minutes , it is by sheer luck .	3	-2	 suffice[0] to[0] say[0] the[0] comedy[0] in[0] the[0] whole[0] nine[0] yards[0] works[0] about[0] as[0] well[0] as[0] the[0] broken[-1] down[0] lawnmower[0] in[0] my[0] backyard[0] and[0] when[0] a[0] giggle[2] surprisingly[0] arises[0] every[0] twenty[0] to[0] thirty[0] minutes[0] it[0] is[0] by[0] sheer[0] luck[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nicholas " oz " oseransky ( matthew perry ) is an amateur dentist living in the quiet suburbs of quebec . 	nicholas " oz " oseransky ( matthew perry ) is an amateur dentist living in the quiet suburbs of quebec .	1	-2	 nicholas[0] oz[0] oseransky[0] matthew[0] perry[0] is[0] an[0] amateur[0] dentist[-1] living[0] in[0] the[0] quiet[0] suburbs[0] of[0] quebec[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
trapped in a hateful marriage with the conniving sophie ( rosanna arquette , delightfully hamming it up with a clearly artificial french-canadian accent ) , one day oz sees that someone is moving into the house next-door . 	trapped in a hateful marriage with the conniving sophie ( rosanna arquette , delightfully hamming it up with a clearly artificial french-canadian accent ) , one day oz sees that someone is moving into the house next-door .	3	-4	 trapped[0] in[0] a[0] hateful[-3] marriage[0] with[0] the[0] conniving[0] sophie[0] rosanna[0] arquette[0] delightfully[2] hamming[0] it[0] up[0] with[0] a[0] clearly[0] artificial[0] french[0] canadian[0] accent[0] one[0] day[0] oz[0] sees[0] that[0] someone[0] is[0] moving[0] into[0] the[0] house[0] next[0] door[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
walking over to greet him , he is horrified to discover it is jimmy " the tulip " tudeski ( bruce willis ) , a former contract killer for the mafia who has just been released from prison . 	walking over to greet him , he is horrified to discover it is jimmy " the tulip " tudeski ( bruce willis ) , a former contract killer for the mafia who has just been released from prison .	1	-4	 walking[0] over[0] to[0] greet[0] him[0] he[0] is[0] horrified[-3] to[0] discover[0] it[0] is[0] jimmy[0] the[0] tulip[0] tudeski[0] bruce[0] willis[0] a[0] former[0] contract[0] killer[-1] for[0] the[0] mafia[0] who[0] has[0] just[0] been[0] released[0] from[0] prison[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
once getting to know him and becoming his friend , oz is more comfortable with his identity , but for sophie , it means a possible hitman to do away with oz . 	once getting to know him and becoming his friend , oz is more comfortable with his identity , but for sophie , it means a possible hitman to do away with oz .	2	-1	 once[0] getting[0] to[0] know[0] him[0] and[0] becoming[0] his[0] friend[1] oz[0] is[0] more[0] comfortable[1] with[0] his[0] identity[0] but[0] for[0] sophie[0] it[0] means[0] a[0] possible[0] hitman[0] to[0] do[0] away[0] with[0] oz[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in her scheme , sophie sends oz to chicago to cash in by informing his old mob boss ( kevin pollak ) about jimmy's whereabouts , but in the process , he falls in love with jimmy's wife , cynthia ( natasha henstridge ) , who is being held hostage . 	in her scheme , sophie sends oz to chicago to cash in by informing his old mob boss ( kevin pollak ) about jimmy's whereabouts , but in the process , he falls in love with jimmy's wife , cynthia ( natasha henstridge ) , who is being held hostage .	3	-1	 in[0] her[0] scheme[0] sophie[0] sends[0] oz[0] to[0] chicago[0] to[0] cash[0] in[0] by[0] informing[0] his[0] old[0] mob[0] boss[0] kevin[0] pollak[0] about[0] jimmy's[0] whereabouts[0] but[0] in[0] the[0] process[0] he[0] falls[0] in[0] love[2] with[0] jimmy's[0] wife[0] cynthia[0] natasha[0] henstridge[0] who[0] is[0] being[0] held[0] hostage[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
upon return to quebec , and with one contrivance after the next , oz's dental assistant , jill ( amanda peet ) , is overjoyed to discover that he lives beside " the tulip , " and forces him to set up a meeting , since jill's dream in life turns out being a contract killer herself . 	upon return to quebec , and with one contrivance after the next , oz's dental assistant , jill ( amanda pet ) , is overjoyed to discover that he lives beside " the tulip , " and forces him to set up a meeting , since jill's dream in life turns out being a contract killer herself .	5	-2	 upon[0] return[0] to[0] quebec[0] and[0] with[0] one[0] contrivance[0] after[0] the[0] next[0] oz's[0] dental[-1] assistant[0] jill[0] amanda[0] peet/pet[0] is[0] overjoyed[4] to[0] discover[0] that[0] he[0] lives[0] beside[0] the[0] tulip[0] and[0] forces[0] him[0] to[0] set[0] up[0] a[0] meeting[0] since[0] jill's[0] dream[0] in[0] life[0] turns[0] out[0] being[0] a[0] contract[0] killer[-1] herself[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
