the most absurd remake of 1998 ? 	Translation	Positive	Negative	EmotionRationale
it's a toss up between gus van sant's psycho and mighty joe young , the new disney picture based on the old rko picture . 	it's a toss up between gus van sant's psycho and mighty joe young , the new disney picture based on the old rko picture .	1	-1	 it's[0] a[0] toss[0] up[0] between[0] gus[0] van[0] sant's[0] psycho[0] and[0] mighty[0] joe[0] young[0] the[0] new[0] disney[0] picture[0] based[0] on[0] the[0] old[0] rko[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( i knew i was in trouble when a polished , computer-generated version of that famous rko logo appeared before the head credits . ) 	 ( i knew i was in trouble when a polished , computer-generated version of that famous rko logo appeared before the head credits .<br> )	1	-2	 i[0] knew[0] i[0] was[0] in[0] trouble[-1] when[0] a[0] polished[0] computer[0] generated[0] version[0] of[0] that[0] famous[0] rko[0] logo[0] appeared[0] before[0] the[0] head[0] credits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no great demand for another giant ape movie-make that ape movie , period . 	there is no great demand for another giant ape movie-make that ape movie , period .	3	-1	 there[0] is[0] no[0] great[2] demand[0] for[0] another[0] giant[0] ape[0] movie[0] make[0] that[0] ape[0] movie[0] period[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( witness the quick deaths of buddy , born to be wild and congo . ) 	 ( witness the quick deaths of buddy , born to be wild and congo .<br> )	1	-3	 witness[0] the[0] quick[0] deaths[-2] of[0] buddy[0] born[0] to[0] be[0] wild[0] and[0] congo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and while this latest entry is inoffensive and watchable , it's also an assembly line product through and through , lacking the charm and unpredictability of the jungle serials that partly inspired it . 	and while this latest entry is inoffensive and watchable , it's also an assembly line product through and through , lacking the charm and unpredictability of the jungle serials that partly inspired it .	3	-1	 and[0] while[0] this[0] latest[0] entry[0] is[0] inoffensive[0] and[0] watchable[0] it's[0] also[0] an[0] assembly[0] line[0] product[0] through[0] and[0] through[0] lacking[0] the[0] charm[1] and[0] unpredictability[0] of[0] the[0] jungle[0] serials[0] that[0] partly[0] inspired[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
theron is jill young : as a young girl in the wilds of africa , she befriended a baby gorilla after both their mothers were slain by poachers . 	theron is jill young : as a young girl in the wilds of africa , she befriended a baby gorilla after both their mothers were slain by poachers .	2	-1	 theron[0] is[0] jill[0] young[0] as[0] a[0] young[0] girl[0] in[0] the[0] wilds[0] of[0] africa[0] she[0] befriended[0] a[0] baby[1] gorilla[0] after[0] both[0] their[0] mothers[0] were[0] slain[0] by[0] poachers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that baby gorilla ( nicknamed joe ) grows to immense proportions , and adult jill basically bides her time looking after him , playing hide and seek with him and guarding him against poachers . 	that baby gorilla ( nicknamed joe ) grows to immense proportions , and adult jill basically bides her time looking after him , playing hide and seek with him and guarding him against poachers .	2	-2	 that[0] baby[1] gorilla[0] nicknamed[0] joe[0] grows[0] to[0] immense[0] proportions[0] and[0] adult[0] jill[0] basically[0] bides[0] her[0] time[0] looking[0] after[0] him[0] playing[1] hide[0] and[0] seek[0] with[0] him[0] and[0] guarding[0] him[0] against[-1] poachers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
enter conservationist greg ( paxton ) , who convinces jill to move with joe to california , where they can protect him better in a controlled environment . 	enter conservationist greg ( paxton ) , who convinces jill to move with joe to california , where they can protect him better in a controlled environment .	1	-1	 enter[0] conservationist[0] greg[0] paxton[0] who[0] convinces[0] jill[0] to[0] move[0] with[0] joe[0] to[0] california[0] where[0] they[0] can[0] protect[0] him[0] better[0] in[0] a[0] controlled[0] environment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe is restless at first ; no sooner does he finally settle in to the new place than those nasty poachers show up in l . a . , plotting joe's demise . 	joe is restless at first ; no sooner does he finally settle in to the new place than those nasty poachers show up in l .<br> a .<br> , plotting joe's demise .	1	-3	 joe[0] is[0] restless[-1] at[0] first[0] no[0] sooner[0] does[0] he[0] finally[0] settle[0] in[0] to[0] the[0] new[0] place[0] than[0] those[0] nasty[-2] poachers[0] show[0] up[0] in[0] l[0] [[Sentence=-3,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] plotting[0] joe's[0] demise[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
suffice it to say , the movie could have been called " joe : ape in the city . " 	suffice it to say , the movie could have been called " joe : ape in the city .<br> "	1	-1	 suffice[0] it[0] to[0] say[0] the[0] movie[0] could[0] have[0] been[0] called[0] joe[0] ape[0] in[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
