perhaps if the impostors didn't have so much going for it , it wouldn't have been such a tremendous disappointment . 	Translation	Positive	Negative	EmotionRationale
written , directed , and produced by one of its two stars , stanley tucci , whose last picture was the indie smash hit , big night , the impostors almost never catches fire . 	written , directed , and produced by one of its two stars , stanley tucci , whose last picture was the indie smash hit , big night , the impostors almost never catches fire .	1	-2	 written[0] directed[0] and[0] produced[0] by[0] one[0] of[0] its[0] two[0] stars[0] stanley[0] tucci[0] whose[0] last[0] picture[0] was[0] the[0] indie[0] smash[-1] hit[0] big[0] night[0] the[0] impostors[0] almost[0] never[0] catches[0] fire[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sputtering like a two-day old campfire , the story plays like an ad-lib sketch that was never polished or completed . 	sputtering like a two-day old campfire , the story plays like an ad-lib sketch that was never polished or completed .	2	-2	 sputtering[-1] like[1] a[0] two[0] day[0] old[0] campfire[0] the[0] story[0] plays[1] like[1] an[0] ad[0] lib[0] sketch[0] that[0] was[0] never[0] polished[0] or[0] completed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film's other star , oliver platt , was hilarious as the senator's aide in bulworth . 	the film's other star , oliver platt , was hilarious as the senator's aide in bulworth .	3	-1	 the[0] film's[0] other[0] star[0] oliver[0] platt[0] was[0] hilarious[2] as[0] the[0] senator's[0] aide[0] in[0] bulworth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the bloated supporting cast is a veritable cornucopia of acting talent , including woody allen , steve buscemi , hope davis , alfred molina , campbell scott , lili taylor and tony shalhoub . 	the bloated supporting cast is a veritable cornucopia of acting talent , including woody allen , steve buscemi , hope davis , alfred molina , campbell scot , lili taylor and tony shalhoub .	3	-1	 the[0] bloated[0] supporting[1] cast[0] is[0] a[0] veritable[0] cornucopia[0] of[0] acting[0] talent[1] including[0] woody[0] allen[0] steve[0] buscemi[0] hope[2] davis[0] alfred[0] molina[0] campbell[0] scott/scot[0] lili[0] taylor[0] and[0] tony[0] shalhoub[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all are wasted save allen , who plays a theatrical director who stares in disbelief at the bad acting before his eyes . 	all are wasted save allen , who plays a theatrical director who stares in disbelief at the bad acting before his eyes .	2	-2	 all[0] are[0] wasted[-1] save[1] allen[0] who[0] plays[1] a[0] theatrical[0] director[0] who[0] stares[0] in[0] disbelief[-1] at[0] the[0] bad[-1] acting[0] before[0] his[0] eyes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( the audience will easily identify with allen's sentiments . ) 	 ( the audience will easily identify with allen's sentiments .<br> )	1	-1	 the[0] audience[0] will[0] easily[0] identify[0] with[0] allen's[0] sentiments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the exception of a single original joke involving mirror-imaged subtitles , the movie engenders little genuine laughter . 	with the exception of a single original joke involving mirror-imaged subtitles , the movie engenders little genuine laughter .	2	-1	 with[0] the[0] exception[0] of[0] a[0] single[0] original[0] joke[1] involving[0] mirror[0] imaged[0] subtitles[0] the[0] movie[0] engenders[0] little[0] genuine[0] laughter[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the stale humor is so embarrassingly bad that you will find yourself laughing sporadically at the picture rather than with it . 	the stale humor is so embarrassingly bad that you will find yourself laughing sporadically at the picture rather than with it .	3	-3	 the[0] stale[-1] humor[2] is[0] so[0] embarrassingly[-2] bad[-1] that[0] you[0] will[0] find[0] yourself[0] laughing[1] sporadically[0] at[0] the[0] picture[0] rather[0] than[0] with[0] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot for the movie involves two starving actors , maurice ( oliver platt ) and arthur ( stanley tucci ) , who accidentally end up on a cruise ship . 	the plot for the movie involves two starving actors , maurice ( oliver platt ) and arthur ( stanley tucci ) , who accidentally end up on a cruise ship .	1	-3	 the[0] plot[0] for[0] the[0] movie[0] involves[0] two[0] starving[-2] actors[0] maurice[0] oliver[0] platt[0] and[0] arthur[0] stanley[0] tucci[0] who[0] accidentally[-1] end[0] up[0] on[0] a[0] cruise[0] ship[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in order to escape an angry shakespearean actor ( alfred molina ) , who is chasing them , they dress up as ship's stewards . 	in order to escape an angry shakespearean actor ( alfred molina ) , who is chasing them , they dress up as ship's stewards .	1	-4	 in[0] order[0] to[0] escape[0] an[0] angry[-3] shakespearean[0] actor[0] alfred[0] molina[0] who[0] is[0] chasing[0] them[0] they[0] dress[0] up[0] as[0] ship's[0] stewards[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
