vegas vacation is the fourth film starring chevy chase and beverly d'angelo as the heads of the hapless griswold family . 	Translation	Positive	Negative	EmotionRationale
as with the other three films , their two children , rusty and audrey , are played by a revolving series of actors . 	as with the other three films , their two children , rusty and audrey , are played by a revolving series of actors .	1	-2	 as[0] with[0] the[0] other[0] three[0] films[0] their[0] two[0] children[0] rusty[-1] and[0] audrey[0] are[0] played[0] by[0] a[0] revolving[0] series[0] of[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time ethan embry and marisol nichols fill the roles . 	this time ethan embry and marisol nichols fill the roles .	1	-1	 this[0] time[0] ethan[0] embry[0] and[0] marisol[0] nichols[0] fill[0] the[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also back , is cousin eddie ( randy quaid ) , the slob relative who seems to bring problems wherever he goes . 	also back , is cousin eddie ( randy quaid ) , the slob relative who seems to bring problems wherever he goes .	1	-2	 also[0] back[0] is[0] cousin[0] eddie[0] randy[0] quaid[0] the[0] slob[0] relative[0] who[0] seems[0] to[0] bring[0] problems[-1] wherever[0] he[0] goes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in vegas vacation clark griswold ( chase ) decides to take the family on vacation to las vegas so that he and wife ellen ( d'angelo ) can renew their wedding vows . 	in vegas vacation clark griswold ( chase ) decides to take the family on vacation to las vegas so that he and wife ellen ( d'angelo ) can renew their wedding vows .	1	-2	 in[0] vegas[0] vacation[0] clark[0] griswold[0] chase[-1] decides[0] to[0] take[0] the[0] family[0] on[0] vacation[0] to[0] las[0] vegas[0] so[0] that[0] he[0] and[0] wife[0] ellen[0] d'angelo[0] can[0] renew[0] their[0] wedding[0] vows[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is at this point when comedy is supposed to ensue . 	it is at this point when comedy is supposed to ensue .	1	-1	 it[0] is[0] at[0] this[0] point[0] when[0] comedy[0] is[0] supposed[0] to[0] ensue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently the filmmakers thought that putting the griswolds into las vegas would be so funny on its own that they wouldn't bother to write any jokes into the script . 	apparently the filmmakers thought that putting the griswolds into las vegas would be so funny on its own that they wouldn't bother to write any jokes into the script .	2	-1	 apparently[0] the[0] filmmakers[0] thought[0] that[0] putting[0] the[0] griswolds[0] into[0] las[0] vegas[0] would[0] be[0] so[0] funny[1] on[0] its[0] own[0] that[0] they[0] wouldn't[0] bother[-1][NegatedDueToPreviousWord] to[0] write[0] any[0] jokes[1] into[0] the[0] script[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least that's the way it looks when watching this turkey . 	at least that's the way it looks when watching this turkey .	1	-1	 at[0] least[0] that's[0] the[0] way[0] it[0] looks[0] when[0] watching[0] this[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
about half way through vegas vacation i began to have serious doubts as to whether there would actually be a single laugh in the entire film , since there had been none up to that point . 	about half way through vegas vacation i began to have serious doubts as to whether there would actually be a single laugh in the entire film , since there had been none up to that point .	2	-2	 about[0] half[0] way[0] through[0] vegas[0] vacation[0] i[0] began[0] to[0] have[0] serious[-1] doubts[-1] as[0] to[0] whether[0] there[0] would[0] actually[0] be[0] a[0] single[0] laugh[1] in[0] the[0] entire[0] film[0] since[0] there[0] had[0] been[0] none[0] up[0] to[0] that[0] point[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
by the end of the movie i had actually snickered a couple of times , and i had smiled at a couple of gags . 	by the end of the movie i had actually snickered a couple of times , and i had smiled at a couple of gags .	3	-1	 by[0] the[0] end[0] of[0] the[0] movie[0] i[0] had[0] actually[0] snickered[0] a[0] couple[0] of[0] times[0] and[0] i[0] had[0] smiled[2] at[0] a[0] couple[0] of[0] gags[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i might add that none of the funny ( and i use the term loosely ) moments came as a result of anything chase , d'angelo or quaid were involved in . 	i might add that none of the funny ( and i use the term loosely ) moments came as a result of anything chase , d'angelo or quaid were involved in .	2	-2	 i[0] might[0] add[0] that[0] none[0] of[0] the[0] funny[1] and[0] i[0] use[0] the[0] term[0] loosely[0] moments[0] came[0] as[0] a[0] result[0] of[0] anything[0] chase[-1] d'angelo[0] or[0] quaid[0] were[0] involved[0] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
