there are some pretty impressive stars in lost in space - it's just that none of them happen to be actors . 	Translation	Positive	Negative	EmotionRationale
the stars i'm referring to are the computer generated ones that make up the movie's " outer space " ; the stars that the less impressive actors hurtle thru as they try to find their way home . 	the stars i'm referring to are the computer generated ones that make up the movie's " outer space " ; the stars that the less impressive actors hurtle thru as they try to find their way home .	2	-1	 the[0] stars[0] i'm[0] referring[0] to[0] are[0] the[0] computer[0] generated[0] ones[0] that[0] make[0] up[0] the[0] movie's[0] outer[0] space[0] the[0] stars[0] that[0] the[0] less[0] impressive[1] actors[0] hurtle[0] thru[0] as[0] they[0] try[0] to[0] find[0] their[0] way[0] home[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , in terms of acting , the star power is . 	yes , in terms of acting , the star power is .	1	-1	 yes[0] in[0] terms[0] of[0] acting[0] the[0] star[0] power[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
well , more like a falling star . 	well , more like a falling star .	2	-1	 well[0] more[0] like[1] a[0] falling[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kinda pretty , short-lived , and pretty much dead . 	kinda pretty , short-lived , and pretty much dead .	3	-3	 kinda[0] pretty[2] short[0] lived[0] and[0] pretty[2] much[0] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
lost in space , as if you really didn't know , is based on the 60's sci-fi television series of the same name . 	lost in space , as if you really didn't know , is based on the 60's sci-fi television series of the same name .	1	-1	 lost[0] in[0] space[0] as[0] if[0] you[0] really[0] didn't[0] know[0] is[0] based[0] on[0] the[0] 60's[0] sci[0] fi[0] television[0] series[0] of[0] the[0] same[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the year 2058 , and earth's precious resources are quickly being usurped by the needs of its massive population . 	it's the year 2058 , and earth's precious resources are quickly being usurped by the needs of its massive population .	3	-2	 it's[0] the[0] year[0] 2058[0] and[0] earth's[0] precious[2] resources[0] are[0] quickly[0] being[0] usurped[-1] by[0] the[0] needs[0] of[0] its[0] massive[0] population[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
john robinson ( william hurt ) is the scientist leading a mission program to colonize a foreign planet . 	john robinson ( william hurt ) is the scientist leading a mission program to colonize a foreign planet .	1	-3	 john[0] robinson[0] william[0] hurt[-2] is[0] the[0] scientist[0] leading[0] a[0] mission[0] program[0] to[0] colonize[0] a[0] foreign[-1] planet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
earth's entire existance is contingent upon a successful mission , but nobody , whether it be john's family or hired battle pilot don west ( matt leblanc ) , seems too enthusiastic about leaving their home planet for several years . 	earth's entire existance is contingent upon a successful mission , but nobody , whether it be john's family or hired battle pilot don west ( matt leblanc ) , seems too enthusiastic about leaving their home planet for several years .	3	-2	 earth's[0] entire[0] existance[0] is[0] contingent[0] upon[0] a[0] successful[2] mission[0] but[0] nobody[0] whether[0] it[0] be[0] john's[0] family[0] or[0] hired[0] battle[-1] pilot[0] don[0] west[0] matt[0] leblanc[0] seems[0] too[0] enthusiastic[2] about[0] leaving[0] their[0] home[0] planet[0] for[0] several[0] years[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
john's family consists of his wife maureen ( mimi rogers ) , his atypical teenage daughter penny ( lacey chabert ) , his ingenious son will ( jack johnson ) , and his beautiful scientist daughter judy ( heather graham ) . 	john's family consists of his wife maureen ( mimi rogers ) , his atypical teenage daughter penny ( lacey chabert ) , his ingenious son will ( jack johnson ) , and his beautiful scientist daughter judy ( heather graham ) .	3	-1	 john's[0] family[0] consists[0] of[0] his[0] wife[0] maureen[0] mimi[0] rogers[0] his[0] atypical[0] teenage[0] daughter[0] penny[0] lacey[0] chabert[0] his[0] ingenious[0] son[0] will[0] jack[0] johnson[0] and[0] his[0] beautiful[2] scientist[0] daughter[0] judy[0] heather[0] graham[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite everyone's reluctance , the jupiter 2 spacecraft abandons planet earth and makes its way into the vast eternity of space . 	despite everyone's reluctance , the jupiter 2 spacecraft abandons planet earth and makes its way into the vast eternity of space .	1	-2	 despite[0] everyone's[0] reluctance[-1] the[0] jupiter[0] 2[0] spacecraft[0] abandons[-1] planet[0] earth[0] and[0] makes[0] its[0] way[0] into[0] the[0] vast[0] eternity[0] of[0] space[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unknown to anyone but the audience , there is an evil doctor stowaway determined to sabotage the entire mission . 	unknown to anyone but the audience , there is an evil doctor stowaway determined to sabotage the entire mission .	1	-3	 unknown[0] to[0] anyone[0] but[0] the[0] audience[0] there[0] is[0] an[0] evil[-2] doctor[0] stowaway[0] determined[0] to[0] sabotage[-1] the[0] entire[0] mission[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . smith ( gary oldman ) has been hired by a group of rebel conspirators to turn the expedition sour , and dr . smith has re-programmed a talking robot to " destroy robinson family " ! 	dr .<br> smith ( gary oldman ) has been hired by a group of rebel conspirators to turn the expedition sour , and dr .<br> smith has re-programmed a talking robot to " destroy robinson family " !	1	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] smith[0] gary[0] oldman[0] has[0] been[0] hired[0] by[0] a[0] group[0] of[0] rebel[-1] conspirators[-1] to[0] turn[0] the[0] expedition[0] sour[-1] and[0] dr[0] [[Sentence=-2,1=word max, 1-5]] smith[0] has[0] re[0] programmed[0] a[0] talking[0] robot[0] to[0] destroy[-2] robinson[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when everything that could go wrong does go wrong for both sides , the spaceship is warped to an unknown destination , and now the premise of being lost in space is complete . 	when everything that could go wrong does go wrong for both sides , the spaceship is warped to an unknown destination , and now the premise of being lost in space is complete .	1	-2	 when[0] everything[0] that[0] could[0] go[0] wrong[-1] does[0] go[0] wrong[-1] for[0] both[0] sides[0] the[0] spaceship[0] is[0] warped[-1] to[0] an[0] unknown[0] destination[0] and[0] now[0] the[0] premise[0] of[0] being[0] lost[0] in[0] space[0] is[0] complete[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for the audience , you will likely be lost in boredom by this point , wondering if the plot , like the jupiter 2 , will ever get off the ground . 	as for the audience , you will likely be lost in boredom by this point , wondering if the plot , like the jupiter 2 , will ever get off the ground .	2	-2	 as[0] for[0] the[0] audience[0] you[0] will[0] likely[0] be[0] lost[0] in[0] boredom[-1] by[0] this[0] point[0] wondering[0] if[0] the[0] plot[0] like[1] the[0] jupiter[0] 2[0] will[0] ever[0] get[0] off[0] the[0] ground[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's hard to tell who deserves the most blame - the incredibly bland and corny characters or the horrifically lame script ? 	it's hard to tell who deserves the most blame - the incredibly bland and corny characters or the horrifically lame script ?	1	-4	 it's[0] hard[0] to[0] tell[0] who[0] deserves[0] the[0] most[0] blame[-1] the[0] incredibly[0] bland[-1][-2 LastWordBoosterStrength] and[0] corny[0] characters[0] or[0] the[0] horrifically[-3] lame[-2][-1 MultiplePositiveWords] script[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
chabert is basically the only one to overdo it , sounding like a whiny munchkin on helium . 	chabert is basically the only one to overdo it , sounding like a whiny munchkin on helium .	2	-1	 chabert[0] is[0] basically[0] the[0] only[0] one[0] to[0] overdo[0] it[0] sounding[0] like[1] a[0] whiny[0] munchkin[0] on[0] helium[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you , like me , were convinced by commercials that her voice was altered for some sort of plot twist where her body would be taken over by aliens , you're wrong ! 	if you , like me , were convinced by commercials that her voice was altered for some sort of plot twist where her body would be taken over by aliens , you're wrong !	2	-2	 if[0] you[0] like[1] me[0] were[0] convinced[0] by[0] commercials[0] that[0] her[0] voice[0] was[0] altered[0] for[0] some[0] sort[0] of[0] plot[0] twist[0] where[0] her[0] body[0] would[0] be[0] taken[0] over[0] by[0] aliens[0] you're[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's just her normal voice ! 	that's just her normal voice !	1	-1	 that's[0] just[0] her[0] normal[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
