five years after his directorial debut based on stephen king's writings called the shawshank redemption ( 9/10 ) , writer/director frank darabont returns to the big screen with another prison film based on the famous scribblings of stephen king . 	Translation	Positive	Negative	EmotionRationale
unlike the latter film , this one is a big , long , laborious bore . 	unlike the latter film , this one is a big , long , laborious bore .	1	-2	 unlike[0] the[0] latter[0] film[0] this[0] one[0] is[0] a[0] big[0] long[0] laborious[0] bore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot : a seven-foot death row inmate is discovered to have secret healing powers . 	plot : a seven-foot death row inmate is discovered to have secret healing powers .	1	-3	 plot[0] a[0] seven[0] foot[0] death[-2] row[0] inmate[0] is[0] discovered[0] to[0] have[0] secret[0] healing[0] powers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : this film is slow , drawn-out , boring , uninteresting , unexciting , predictable and topped with a couple of one-dimensional " evil " characters . 	critique : this film is slow , drawn-out , boring , uninteresting , unexciting , predictable and topped with a couple of one-dimensional " evil " characters .	1	-3	 critique[0] this[0] film[0] is[0] slow[0] drawn[0] out[0] boring[-1] uninteresting[0] unexciting[0] predictable[0] and[0] topped[0] with[0] a[0] couple[0] of[0] one[0] dimensional[0] evil[-2] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
its only positive attribute lies in its actors who all do credible jobs and its message of hope and belief in miracles . 	its only positive attribute lies in its actors who all do credible jobs and its message of hope and belief in miracles .	3	-3	 its[0] only[0] positive[2] attribute[0] lies[-2] in[0] its[0] actors[0] who[0] all[0] do[0] credible[0] jobs[0] and[0] its[0] message[0] of[0] hope[2] and[0] belief[0] in[0] miracles[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the real miracle of my night was the fact that i did not fall asleep during this straightforward , unimpressive film about a guy with special powers who we never truly understand or care about . 	the real miracle of my night was the fact that i did not fall asleep during this straightforward , unimpressive film about a guy with special powers who we never truly understand or care about .	2	-2	 the[0] real[0] miracle[0] of[0] my[0] night[0] was[0] the[0] fact[0] that[0] i[0] did[0] not[0] fall[0] asleep[0] during[0] this[0] straightforward[0] unimpressive[-1] film[0] about[0] a[0] guy[0] with[0] special[1] powers[0] who[0] we[0] never[0] truly[1][NegatedDueToPreviousWord] understand[0] or[0] care[1] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , much like all other death row cell blocks , this one is filled with decent inmates who all happen to be " misunderstood " , except for one cookie-cutter crazy guy who is evil personified . 	of course , much like all other death row cell blocks , this one is filled with decent inmates who all happen to be " misunderstood " , except for one cookie-cutter crazy guy who is evil personified .	2	-3	 of[0] course[0] much[0] like[1] all[0] other[0] death[-2] row[0] cell[0] blocks[-1] this[0] one[0] is[0] filled[0] with[0] decent[0] inmates[0] who[0] all[0] happen[0] to[0] be[0] misunderstood[-1] except[0] for[0] one[0] cookie[0] cutter[0] crazy[-1] guy[0] who[0] is[0] evil[-2] personified[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and let's not forget all the guards on death row , who also happen to be angels from the heaven above , except for one cookie-cutter crazy guard who is also evil personified ( and is there any reason why there are about six guards when there appears to be no more than three inmates ? ? ? ) . 	and let's not forget all the guards on death row , who also happen to be angels from the heaven above , except for one cookie-cutter crazy guard who is also evil personified ( and is there any reason why there are about six guards when there appears to be no more than three inmates ?<br> ?<br> ?<br> ) .	2	-3	 and[0] let's[0] not[0] forget[0] all[0] the[0] guards[0] on[0] death[-2] row[0] who[0] also[0] happen[0] to[0] be[0] angels[0] from[0] the[0] heaven[1] above[0] except[0] for[0] one[0] cookie[0] cutter[0] crazy[-1] guard[0] who[0] is[0] also[0] evil[-2] personified[0] and[0] is[0] there[0] any[0] reason[0] why[0] there[0] are[0] about[0] six[0] guards[0] when[0] there[0] appears[0] to[0] be[0] no[0] more[0] than[0] three[0] inmates[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
am i supposed to identify with anyone in this film ? 	am i supposed to identify with anyone in this film ?	1	-1	 am[0] i[0] supposed[0] to[0] identify[0] with[0] anyone[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or even more importantly , am i supposed to give a rat's ass about anyone in this film ? 	or even more importantly , am i supposed to give a rat's ass about anyone in this film ?	1	-1	 or[0] even[0] more[0] importantly[0] am[0] i[0] supposed[0] to[0] give[0] a[0] rat's[0] ass[0] about[0] anyone[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , if i was , i sure missed that boat , because the only thing that i ended up caring about during this entire picture was the obscene amount of fat that tom hanks has been able to burrow under his loose chin . 	well , if i was , i sure missed that boat , because the only thing that i ended up caring about during this entire picture was the obscene amount of fat that tom hanks has been able to burrow under his loose chin .	3	-2	 well[0] if[0] i[0] was[0] i[0] sure[0] missed[-1] that[0] boat[0] because[0] the[0] only[0] thing[0] that[0] i[0] ended[0] up[0] caring[2] about[0] during[0] this[0] entire[0] picture[0] was[0] the[0] obscene[0] amount[0] of[0] fat[-1] that[0] tom[0] hanks[0] has[0] been[0] able[0] to[0] burrow[0] under[0] his[0] loose[0] chin[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
furthermore , there is absolutely no reason in the world why director frank darabont needed to take three hours and ten minutes out of anyone's life to present this story . 	furthermore , there is absolutely no reason in the world why director frank darabont needed to take three hours and ten minutes out of anyone's life to present this story .	1	-1	 furthermore[0] there[0] is[0] absolutely[0] no[0] reason[0] in[0] the[0] world[0] why[0] director[0] frank[0] darabont[0] needed[0] to[0] take[0] three[0] hours[0] and[0] ten[0] minutes[0] out[0] of[0] anyone's[0] life[0] to[0] present[0] this[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the story is empty within itself . 	in fact , the story is empty within itself .	1	-1	 in[0] fact[0] the[0] story[0] is[0] empty[0] within[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i truly did not get anything out of the film other than the fact that there is a guy on death row who has special powers to heal , and we are left wondering if he should still be executed or not . 	i truly did not get anything out of the film other than the fact that there is a guy on death row who has special powers to heal , and we are left wondering if he should still be executed or not .	2	-3	 i[0] truly[1] did[0] not[0] get[0] anything[0] out[0] of[0] the[0] film[0] other[0] than[0] the[0] fact[0] that[0] there[0] is[0] a[0] guy[0] on[0] death[-2] row[0] who[0] has[0] special[1] powers[0] to[0] heal[0] and[0] we[0] are[0] left[0] wondering[0] if[0] he[0] should[0] still[0] be[0] executed[-1] or[0] not[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
wow . 	wow .	3	-1	 wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
how interesting . 	how interesting .	2	-1	 how[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot's utter predictability is also at fault here with one guess as to whom is to get healed by the gentle monster in this film ( we are told that one certain lady has a tumor early on in the movie ) . 	the plot's utter predictability is also at fault here with one guess as to whom is to get healed by the gentle monster in this film ( we are told that one certain lady has a tumor early on in the movie ) .	2	-2	 the[0] plot's[0] utter[0] predictability[0] is[0] also[0] at[0] fault[-1] here[0] with[0] one[0] guess[0] as[0] to[0] whom[0] is[0] to[0] get[0] healed[0] by[0] the[0] gentle[1] monster[-1] in[0] this[0] film[0] we[0] are[0] told[0] that[0] one[0] certain[0] lady[0] has[0] a[0] tumor[0] early[0] on[0] in[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
