it's a rare treat when a quality horror film is released in the theater . 	Translation	Positive	Negative	EmotionRationale
and unfortunately with man's best friend , we'll be waiting a while longer . 	and unfortunately with man's best friend , we'll be waiting a while longer .	2	-2	 and[0] unfortunately[-1] with[0] man's[0] best[1] friend[1] we'll[0] be[0] waiting[0] a[0] while[0] longer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film stars ally sheedy and lance henrikson in a tale of bio-genetics gone wrong . 	the film stars ally sheedy and lance henrikson in a tale of bio-genetics gone wrong .	1	-2	 the[0] film[0] stars[0] ally[0] sheedy[0] and[0] lance[0] henrikson[0] in[0] a[0] tale[0] of[0] bio[0] genetics[0] gone[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sheedy plays a nosy reporter whose need for a " good " story provokes her to snoop inside of emax , a poorly guarded million dollar bio-lab that she finds herself effortlessly intruding . 	sheedy plays a nosy reporter whose need for a " good " story provokes her to snoop inside of emax , a poorly guarded million dollar bio-lab that she finds herself effortlessly intruding .	2	-2	 sheedy[0] plays[1] a[0] nosy[0] reporter[0] whose[0] need[0] for[0] a[0] good[1] story[0] provokes[0] her[0] to[0] snoop[0] inside[0] of[0] emax[0] a[0] poorly[-1] guarded[0] million[0] dollar[0] bio[0] lab[0] that[0] she[0] finds[0] herself[0] effortlessly[0] intruding[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the result : she unleashes the experimental wonder dog named max , a german shepherd with genetic recombination allowing it to swallow like a snake , camouflage like a chameleon , climb trees like a leopard , and attack with the strength of tiger . 	the result : she unleashes the experimental wonder dog named max , a german shepherd with genetic recombination allowing it to swallow like a snake , camouflage like a chameleon , climb trees like a leopard , and attack with the strength of tiger .	2	-3	 the[0] result[0] she[0] unleashes[0] the[0] experimental[0] wonder[0] dog[0] named[0] max[0] a[0] german[-1] shepherd[0] with[0] genetic[0] recombination[0] allowing[0] it[0] to[0] swallow[0] like[1] a[0] snake[0] camouflage[0] like[1] a[0] chameleon[0] climb[0] trees[0] like[1] a[0] leopard[0] and[0] attack[-2] with[0] the[0] strength[0] of[0] tiger[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
max takes a liking to sheedy , and she finds herself protecting the animal from the cruel technological realm of emax , owned by henrikson . 	max takes a liking to sheedy , and she finds herself protecting the animal from the cruel technological realm of emax , owned by henrikson .	3	-4	 max[0] takes[0] a[0] liking[2] to[0] sheedy[0] and[0] she[0] finds[0] herself[0] protecting[0] the[0] animal[0] from[0] the[0] cruel[-3] technological[0] realm[0] of[0] emax[0] owned[0] by[0] henrikson[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
well , it doesn't take long before the hormonally unstable biohazard unleashes his jowls upon the unsuspecting suburban landscape which offers max juicy leg of mailman , etc . . . 	well , it doesn't take long before the hormonally unstable biohazard unleashes his jowls upon the unsuspecting suburban landscape which offers max juicy leg of mailman , etc .<br> .<br> .	1	-2	 well[0] it[0] doesn't[0] take[0] long[0] before[0] the[0] hormonally[0] unstable[-1] biohazard[0] unleashes[0] his[0] jowls[0] upon[0] the[0] unsuspecting[0] suburban[0] landscape[0] which[0] offers[0] max[0] juicy[0] leg[0] of[0] mailman[0] etc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sheedy is a boring non-presence on the screen , tripping through the enormous plot chasms neglected by the writer/director ( i apologize for a lack of credits . 	sheedy is a boring non-presence on the screen , tripping through the enormous plot chasms neglected by the writer/director ( i apologize for a lack of credits .	1	-2	 sheedy[0] is[0] a[0] boring[-1] non[0] presence[0] on[0] the[0] screen[0] tripping[0] through[0] the[0] enormous[0] plot[0] chasms[0] neglected[0] by[0] the[0] writer/director[0] i[0] apologize[0] for[0] a[0] lack[-1] of[0] credits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose i was eager to leave the theater , and in my rush , forgot to take note of the director , writer , producer , etc . . . ) . 	i suppose i was eager to leave the theater , and in my rush , forgot to take note of the director , writer , producer , etc .<br> .<br> .<br> ) .	1	-1	 i[0] suppose[0] i[0] was[0] eager[0] to[0] leave[0] the[0] theater[0] and[0] in[0] my[0] rush[0] forgot[0] to[0] take[0] note[0] of[0] the[0] director[0] writer[0] producer[0] etc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
henrikson offered the only relief from the contrived narration of the script , giving his character as much development as he could considering the flat dialogue plaguing the film . 	henrikson offered the only relief from the contrived narration of the script , giving his character as much development as he could considering the flat dialogue plaguing the film .	2	-1	 henrikson[0] offered[0] the[0] only[0] relief[1] from[0] the[0] contrived[0] narration[0] of[0] the[0] script[0] giving[0] his[0] character[0] as[0] much[0] development[0] as[0] he[0] could[0] considering[0] the[0] flat[0] dialogue[0] plaguing[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie depends upon it's ability to impress the audience with animal special effects , but all it presents is a dog that can growl , open door handles with his paw , sit , roll over , play dead , and sick . 	the movie depends upon it's ability to impress the audience with animal special effects , but all it presents is a dog that can growl , open door handles with his paw , sit , roll over , play dead , and sick .	2	-3	 the[0] movie[0] depends[0] upon[0] it's[0] ability[0] to[0] impress[1] the[0] audience[0] with[0] animal[0] special[1] effects[0] but[0] all[0] it[0] presents[0] is[0] a[0] dog[0] that[0] can[0] growl[-1] open[0] door[0] handles[0] with[0] his[0] paw[0] sit[0] roll[0] over[0] play[0] dead[-2] and[0] sick[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
