humanities quest for knowledge never ends . 	Translation	Positive	Negative	EmotionRationale
so a team of scientists and film-makers travel to the amazon to search for a legendary indian tribe . 	so a team of scientists and film-makers travel to the amazon to search for a legendary indian tribe .	1	-1	 so[0] a[0] team[0] of[0] scientists[0] and[0] film[0] makers[0] travel[0] to[0] the[0] amazon[0] to[0] search[0] for[0] a[0] legendary[0] indian[0] tribe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the party consists of anthropologist steven cale ( eric stoltz ) and the camera team consisting of terri flores ( jennifer lopez ) , danny rich ( ice cube ) , gary dixon ( owen wilson ) , denise kahlberg ( kari wuhrer ) and warren westridge ( jonathan hyde ) . 	the party consists of anthropologist steven cale ( eric stoltz ) and the camera team consisting of terri flores ( jennifer lopez ) , danny rich ( ice cube ) , gary dixon ( owen wilson ) , denise kahlberg ( kari wuhrer ) and warren westridge ( jonathan hyde ) .	1	-1	 the[0] party[0] consists[0] of[0] anthropologist[0] steven[0] cale[0] eric[0] stoltz[0] and[0] the[0] camera[0] team[0] consisting[0] of[0] terri[0] flores[0] jennifer[0] lopez[0] danny[0] rich[0] ice[0] cube[0] gary[0] dixon[0] owen[0] wilson[0] denise[0] kahlberg[0] kari[0] wuhrer[0] and[0] warren[0] westridge[0] jonathan[0] hyde[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
early on their journey they meet paul sarone ( jon voight ) whose boat is stuck on the shore . 	early on their journey they meet paul sarone ( jon voight ) whose boat is stuck on the shore .	1	-1	 early[0] on[0] their[0] journey[0] they[0] meet[0] paul[0] sarone[0] jon[0] voight[0] whose[0] boat[0] is[0] stuck[0] on[0] the[0] shore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they agree to give him a ride to the next village . 	they agree to give him a ride to the next village .	1	-1	 they[0] agree[0] to[0] give[0] him[0] a[0] ride[0] to[0] the[0] next[0] village[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he claims to know the area well and can be useful locating the native tribe . 	he claims to know the area well and can be useful locating the native tribe .	2	-1	 he[0] claims[0] to[0] know[0] the[0] area[0] well[0] and[0] can[0] be[0] useful[1] locating[0] the[0] native[0] tribe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
very soon their friendliness backfires on the group because sarone turns out to be a snake hunter without scruples who only wants to catch a giant anaconda and sell it to a zoo . 	very soon their friendliness backfires on the group because sarone turns out to be a snake hunter without scruples who only wants to catch a giant anaconda and sell it to a zoo .	2	-2	 very[0] soon[0] their[0] friendliness[1] backfires[0] on[0] the[0] group[0] because[0] sarone[0] turns[0] out[0] to[0] be[0] a[0] snake[0] hunter[-1] without[0] scruples[0] who[0] only[0] wants[0] to[0] catch[0] a[0] giant[0] anaconda[0] and[0] sell[0] it[0] to[0] a[0] zoo[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we don't have to wait too long for the giant snake . 	we don't have to wait too long for the giant snake .	1	-1	 we[0] don't[0] have[0] to[0] wait[0] too[0] long[0] for[0] the[0] giant[0] snake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she just had a panther hors d'oevre and now is looking for the main course . 	she just had a panther hors d'oevre and now is looking for the main course .	1	-1	 she[0] just[0] had[0] a[0] panther[0] hors[0] d'oevre[0] and[0] now[0] is[0] looking[0] for[0] the[0] main[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our heroes paddle around in the amazonas as if it were the pool in their own backyard . 	our heroes paddle around in the amazonas as if it were the pool in their own backyard .	3	-1	 our[0] heroes[2] paddle[0] around[0] in[0] the[0] amazonas[0] as[0] if[0] it[0] were[0] the[0] pool[0] in[0] their[0] own[0] backyard[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no wonder giant animals mistake their splashing for a dinner bell . 	no wonder giant animals mistake their splashing for a dinner bell .	1	-2	 no[0] wonder[0] giant[0] animals[0] mistake[-1] their[0] splashing[0] for[0] a[0] dinner[0] bell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our anaconda is a polite one and swallows the first victim in one big gulp . 	our anaconda is a polite one and swallows the first victim in one big gulp .	1	-3	 our[0] anaconda[0] is[0] a[0] polite[0] one[0] and[0] swallows[0] the[0] first[0] victim[-2] in[0] one[0] big[0] gulp[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
enjoy ! 	enjoy !	3	-1	 enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so much for the first attempt to catch her . 	so much for the first attempt to catch her .	1	-1	 so[0] much[0] for[0] the[0] first[0] attempt[0] to[0] catch[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but who would want to catch a giant snake with a fishing pole ? 	but who would want to catch a giant snake with a fishing pole ?	1	-1	 but[0] who[0] would[0] want[0] to[0] catch[0] a[0] giant[0] snake[0] with[0] a[0] fishing[0] pole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our villain sarone shows his soft side when he stops terri from shooting the snake . 	our villain sarone shows his soft side when he stops terri from shooting the snake .	1	-3	 our[0] villain[-2] sarone[0] shows[0] his[0] soft[0] side[0] when[0] he[0] stops[0] terri[0] from[0] shooting[-1] the[0] snake[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
too bad that anaconda is just about to strangle another member of the expedition . 	too bad that anaconda is just about to strangle another member of the expedition .	1	-3	 too[0] bad[-1] that[0] anaconda[0] is[0] just[0] about[0] to[0] strangle[-2] another[0] member[0] of[0] the[0] expedition[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one by one she goes after the others . 	one by one she goes after the others .	1	-1	 one[0] by[0] one[0] she[0] goes[0] after[0] the[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eric stoltz is stung by a giant wasp right in the beginning and is mercifully unconcious for the rest of the adventure . 	eric stoltz is stung by a giant wasp right in the beginning and is mercifully unconcious for the rest of the adventure .	1	-1	 eric[0] stoltz[0] is[0] stung[0] by[0] a[0] giant[0] wasp[0] right[0] in[0] the[0] beginning[0] and[0] is[0] mercifully[0] unconcious[0] for[0] the[0] rest[0] of[0] the[0] adventure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the crew keeps entertaining the viewer although not the way the makers of the movie had planned . 	the rest of the crew keeps entertaining the viewer although not the way the makers of the movie had planned .	1	-1	 the[0] rest[0] of[0] the[0] crew[0] keeps[0] entertaining[0] the[0] viewer[0] although[0] not[0] the[0] way[0] the[0] makers[0] of[0] the[0] movie[0] had[0] planned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however the scenes without the anaconda are rather boring . 	however the scenes without the anaconda are rather boring .	1	-2	 however[0] the[0] scenes[0] without[0] the[0] anaconda[0] are[0] rather[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whenever the leading lady shows up we're in for a laugh . 	whenever the leading lady shows up we're in for a laugh .	2	-1	 whenever[0] the[0] leading[0] lady[0] shows[0] up[0] we're[0] in[0] for[0] a[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
