a fullyloaded entertainment review : website coming soon ! 	Translation	Positive	Negative	EmotionRationale
hunter s . thompson's fear and loathing in las vegas , written in 1971 , is already an american classic ; not merely because it was an unadulterated journey through the post-psychedelia of the 1960's , but also because it ushered in a new form of journalism known as " gonzo " . 	hunter s .<br> thompson's fear and loathing in las vegas , written in 1971 , is already an american classic ; not merely because it was an unadulterated journey through the post-psychedelia of the 1960's , but also because it ushered in a new form of journalism known as " gonzo " .	1	-4	 hunter[-1] s[0] [[Sentence=-2,1=word max, 1-5]] thompson's[0] fear[-3] and[0] loathing[0] in[0] las[0] vegas[0] written[0] in[0] 1971[0] is[0] already[0] an[0] american[0] classic[0] not[0] merely[0] because[0] it[0] was[0] an[0] unadulterated[0] journey[0] through[0] the[0] post[0] psychedelia[0] of[0] the[0] 1960's[0] but[0] also[0] because[0] it[0] ushered[0] in[0] a[0] new[0] form[0] of[0] journalism[0] known[0] as[0] gonzo[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
soon after the book was written , hunter s . thomspon became the basis for a character in doonesbury known as uncle duke . 	soon after the book was written , hunter s .<br> thomspon became the basis for a character in doonesbury known as uncle duke .	1	-2	 soon[0] after[0] the[0] book[0] was[0] written[0] hunter[-1] s[0] [[Sentence=-2,1=word max, 1-5]] thomspon[0] became[0] the[0] basis[0] for[0] a[0] character[0] in[0] doonesbury[0] known[0] as[0] uncle[0] duke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that is the problem with fear and loathing in las vegas ( the movie . ) 	and that is the problem with fear and loathing in las vegas ( the movie .<br> )	1	-4	 and[0] that[0] is[0] the[0] problem[-1] with[0] fear[-3] and[0] loathing[0] in[0] las[0] vegas[0] the[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although the book is one of my favorites , i now agree with thompson's own assessment of the novel as " unfilmable . " 	although the book is one of my favorites , i now agree with thompson's own assessment of the novel as " unfilmable .<br> "	2	-1	 although[0] the[0] book[0] is[0] one[0] of[0] my[0] favorites[1] i[0] now[0] agree[0] with[0] thompson's[0] own[0] assessment[0] of[0] the[0] novel[0] as[0] unfilmable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the main problem is that the book , although detailing wild drug use and tripped-out adventures , was not written on the road . 	the main problem is that the book , although detailing wild drug use and tripped-out adventures , was not written on the road .	1	-2	 the[0] main[0] problem[-1] is[0] that[0] the[0] book[0] although[0] detailing[0] wild[0] drug[0] use[0] and[0] tripped[0] out[0] adventures[0] was[0] not[0] written[0] on[0] the[0] road[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was written and edited by hunter s . thomspons , relatively sober , at his home . 	it was written and edited by hunter s .<br> thomspons , relatively sober , at his home .	1	-2	 it[0] was[0] written[0] and[0] edited[0] by[0] hunter[-1] s[0] [[Sentence=-2,1=word max, 1-5]] thomspons[0] relatively[0] sober[0] at[0] his[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
so although the book depicts drug use and still more drug use , it is told with a sense of aloofness and some humor . 	so although the book depicts drug use and still more drug use , it is told with a sense of aloofness and some humor .	2	-1	 so[0] although[0] the[0] book[0] depicts[0] drug[0] use[0] and[0] still[0] more[0] drug[0] use[0] it[0] is[0] told[0] with[0] a[0] sense[0] of[0] aloofness[0] and[0] some[0] humor[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hunter s . thomspon , the narrator , while always drugged out , still has a grip on reality , and can still tell , with journalistic ability , what is going on around him . 	hunter s .<br> thomspon , the narrator , while always drugged out , still has a grip on reality , and can still tell , with journalistic ability , what is going on around him .	1	-2	 hunter[-1] s[0] [[Sentence=-2,1=word max, 1-5]] thomspon[0] the[0] narrator[0] while[0] always[0] drugged[0] out[0] still[0] has[0] a[0] grip[0] on[0] reality[0] and[0] can[0] still[0] tell[0] with[0] journalistic[0] ability[0] what[0] is[0] going[0] on[0] around[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
not so with the characters in fear and loathing in las vegas . 	not so with the characters in fear and loathing in las vegas .	1	-4	 not[0] so[0] with[0] the[0] characters[0] in[0] fear[-3] and[0] loathing[0] in[0] las[0] vegas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
despite name changes and one minor scene from the book dropped , the movie is an exact duplicate of the book , in terms of dialouge . 	despite name changes and one minor scene from the book dropped , the movie is an exact duplicate of the book , in terms of dialouge .	1	-1	 despite[0] name[0] changes[0] and[0] one[0] minor[0] scene[0] from[0] the[0] book[0] dropped[0] the[0] movie[0] is[0] an[0] exact[0] duplicate[0] of[0] the[0] book[0] in[0] terms[0] of[0] dialouge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , this can get annoying , in the form of johnny depp's ( who plays thompson ) excessive narration . 	unfortunately , this can get annoying , in the form of johnny depp's ( who plays thompson ) excessive narration .	2	-3	 unfortunately[-1] this[0] can[0] get[0] annoying[-2] in[0] the[0] form[0] of[0] johnny[0] depp's[0] who[0] plays[1] thompson[0] excessive[-1] narration[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and the characters , while having vivid personalities , are played as 2-d characers on the screen : dr . raoul duke ( johnny depp , the name raoul duke was an alias of thompson's ) and his riding companion , dr . gonzo ( benicio del toro ) , who is a large samoan lawyer , have no personalities or emotions at all , save for stoned . 	and the characters , while having vivid personalities , are played as 2-d characers on the screen : dr .<br> raoul duke ( johnny dep , the name raoul duke was an alias of thompson's ) and his riding companion , dr .<br> gonzo ( benicio del toro ) , who is a large samoan lawyer , have no personalities or emotions at all , save for stoned .	2	-1	 and[0] the[0] characters[0] while[0] having[0] vivid[0] personalities[0] are[0] played[0] as[0] 2[0] d[0] characers[0] on[0] the[0] screen[0] dr[0] [[Sentence=-1,1=word max, 1-5]] raoul[0] duke[0] johnny[0] depp/dep[0] the[0] name[0] raoul[0] duke[0] was[0] an[0] alias[0] of[0] thompson's[0] and[0] his[0] riding[0] companion[0] dr[0] [[Sentence=-1,1=word max, 1-5]] gonzo[0] benicio[0] del[0] toro[0] who[0] is[0] a[0] large[0] samoan[0] lawyer[0] have[0] no[0] personalities[0] or[0] emotions[0] at[0] all[0] save[1] for[0] stoned[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
