chris tucker is one of those guys you immediately get a reaction from -- you either find his helium voice , crazy eyes and jerky mannerisms funny or annoying . 	Translation	Positive	Negative	EmotionRationale
i think i fall into the former category ( i'm one of the few who thought his turn in " the fifth element " as a prancing , prince-like deejay was complete inspired lunacy and not the least bit aggravating ) , but his new vehicle " money talks " just doesn't do him service . 	i think i fall into the former category ( i'm one of the few who thought his turn in " the fifth element " as a prancing , prince-like deejay was complete inspired lunacy and not the least bit aggravating ) , but his new vehicle " money talks " just doesn't do him service .	4	-3	 i[0] think[0] i[0] fall[0] into[0] the[0] former[0] category[0] i'm[0] one[0] of[0] the[0] few[0] who[0] thought[0] his[0] turn[0] in[0] the[0] fifth[0] element[0] as[0] a[0] prancing[0] prince[0] like[1] deejay[0] was[0] complete[0] inspired[2][1 LastWordBoosterStrength] lunacy[0] and[0] not[0] the[0] least[0] bit[0] aggravating[-2] but[0] his[0] new[0] vehicle[0] money[0] talks[0] just[0] doesn't[0] do[0] him[0] service[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
tucker is good in the movie -- and this is the kind of film that , if people see it , could make him a big star -- but he's also really the only thing good about the movie . 	tucker is good in the movie - and this is the kind of film that , if people see it , could make him a big star - but he's also really the only thing good about the movie .	2	-1	 tucker[0] is[0] good[1] in[0] the[0] movie[0] and[0] this[0] is[0] the[0] kind[1] of[0] film[0] that[0] if[0] people[0] see[0] it[0] could[0] make[0] him[0] a[0] big[0] star[0] but[0] he's[0] also[0] really[0] the[0] only[0] thing[0] good[1] about[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , if you see " money talks , " it should shock you beyond recognition that two of " toy story " 's writers penned the sloppy script . 	in fact , if you see " money talks , " it should shock you beyond recognition that two of " toy story " 's writers penned the sloppy script .	1	-2	 in[0] fact[0] if[0] you[0] see[0] money[0] talks[0] it[0] should[0] shock[-2][--1 LastWordBoosterStrength] you[0] beyond[0] recognition[0] that[0] two[0] of[0] toy[0] story[0] 's[0] writers[0] penned[0] the[0] sloppy[-1] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tucker's role here is that of franklin hatchett , a petty los angeles con artist whose carwash scams get him dogged by investigative reporter james russell ( charlie sheen ) . 	tucker's role here is that of franklin hatchet , a petty los angeles con artist whose carwash scams get him dogged by investigative reporter james russell ( charlie sheen ) .	1	-1	 tucker's[0] role[0] here[0] is[0] that[0] of[0] franklin[0] hatchett/hatchet[0] a[0] petty[0] los[0] angeles[0] con[0] artist[0] whose[0] carwash[0] scams[0] get[0] him[0] dogged[0] by[0] investigative[0] reporter[0] james[0] russell[0] charlie[0] sheen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after being busted on the job for some illegal business involving counterfeit passports , franklin finds himself on a bus to the county jail and handcuffed to slick international jewel smuggler raymond villard ( gerard ismael ) . 	after being busted on the job for some illegal business involving counterfeit passports , franklin finds himself on a bus to the county jail and handcuffed to slick international jewel smuggler raymond villard ( gerard ismael ) .	1	-2	 after[0] being[0] busted[0] on[0] the[0] job[0] for[0] some[0] illegal[-1][--1 LastWordBoosterStrength] business[0] involving[0] counterfeit[-1] passports[0] franklin[0] finds[0] himself[0] on[0] a[0] bus[0] to[0] the[0] county[0] jail[-1] and[0] handcuffed[0] to[0] slick[0] international[0] jewel[0] smuggler[-1] raymond[0] villard[0] gerard[0] ismael[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but villard's thugs blow up the bus in an attempt to free their leader ( never mind that the explosion could have instead killed him ) , and because he and franklin are joined at the wrist , franklin is allowed to escape as well , but not before overhearing some important information regarding a diamond stash that -- for some reason or another -- is being hidden in a vintage roadster waiting to be auctioned off at an upcoming auto expo . 	but villard's thugs blow up the bus in an attempt to free their leader ( never mind that the explosion could have instead killed him ) , and because he and franklin are joined at the wrist , franklin is allowed to escape as well , but not before overhearing some important information regarding a diamond stash that - for some reason or another - is being hidden in a vintage roadster waiting to be auctioned off at an upcoming auto expo .	1	-4	 but[0] villard's[0] thugs[0] blow[0] up[0] the[0] bus[0] in[0] an[0] attempt[0] to[0] free[0] their[0] leader[0] never[0] mind[0] that[0] the[0] explosion[-1] could[0] have[0] instead[0] killed[-3] him[0] and[0] because[0] he[0] and[0] franklin[0] are[0] joined[0] at[0] the[0] wrist[0] franklin[0] is[0] allowed[0] to[0] escape[0] as[0] well[0] but[0] not[0] before[0] overhearing[0] some[0] important[0] information[0] regarding[0] a[0] diamond[0] stash[0] that[0] for[0] some[0] reason[0] or[0] another[0] is[0] being[0] hidden[0] in[0] a[0] vintage[0] roadster[0] waiting[0] to[0] be[0] auctioned[0] off[0] at[0] an[0] upcoming[0] auto[0] expo[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the local media mistakenly puts the prison break-out blame on franklin , which is where james comes back into the picture . 	the local media mistakenly puts the prison break-out blame on franklin , which is where james comes back into the picture .	1	-2	 the[0] local[0] media[0] mistakenly[-1] puts[0] the[0] prison[-1] break[0] out[0] blame[-1] on[0] franklin[0] which[0] is[0] where[0] james[0] comes[0] back[0] into[0] the[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he makes a deal to protect franklin if , in turn , franklin gives him an exclusive interview . 	he makes a deal to protect franklin if , in turn , franklin gives him an exclusive interview .	1	-1	 he[0] makes[0] a[0] deal[0] to[0] protect[0] franklin[0] if[0] in[0] turn[0] franklin[0] gives[0] him[0] an[0] exclusive[0] interview[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this means james must present his new " friend " in the stickiest of situations -- a formal dinner party for he and fiancee grace ( heather locklear ) , also attended by her uber-rich parents ( veronica cartwright and nicely game paul sorvino ) . 	this means james must present his new " friend " in the stickiest of situations - a formal dinner party for he and fiancee grace ( heather locklear ) , also attended by her uber-rich parents ( veronica cartwright and nicely game paul sorvino ) .	3	-1	 this[0] means[0] james[0] must[0] present[0] his[0] new[0] friend[1] in[0] the[0] stickiest[0] of[0] situations[0] a[0] formal[0] dinner[0] party[0] for[0] he[0] and[0] fiancee[0] grace[2] heather[0] locklear[0] also[0] attended[0] by[0] her[0] uber[0] rich[0] parents[0] veronica[0] cartwright[0] and[0] nicely[1] game[0] paul[0] sorvino[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and of course the bad guys track franklin down and try to knock him off , all the while he spars and forms an unlikely bond with james . 	and of course the bad guys track franklin down and try to knock him off , all the while he spars and forms an unlikely bond with james .	1	-2	 and[0] of[0] course[0] the[0] bad[-1] guys[0] track[0] franklin[0] down[0] and[0] try[0] to[0] knock[0] him[0] off[0] all[0] the[0] while[0] he[0] spars[0] and[0] forms[0] an[0] unlikely[0] bond[0] with[0] james[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
