they should have stuck to the promise emblazoned on the original movie's poster : " no sequel . " 	Translation	Positive	Negative	EmotionRationale
scary movie 2 is nowhere near as funny as its predecessor , and it is not because the wayans brothers , shawn and marlon doing the writing and keenen ivory behind the camera , don't try . 	scary movie 2 is nowhere near as funny as its predecessor , and it is not because the wayans brothers , shawn and marlon doing the writing and keenen ivory behind the camera , don't try .	2	-4	 scary[-3] movie[0] 2[0] is[0] nowhere[0] near[0] as[0] funny[1] as[0] its[0] predecessor[0] and[0] it[0] is[0] not[0] because[0] the[0] wayans[0] brothers[0] shawn[0] and[0] marlon[0] doing[0] the[0] writing[0] and[0] keenen[0] ivory[0] behind[0] the[0] camera[0] don't[0] try[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what defeats them is the genre they have chosen to spoof . 	what defeats them is the genre they have chosen to spoof .	1	-1	 what[0] defeats[0] them[0] is[0] the[0] genre[0] they[0] have[0] chosen[0] to[0] spoof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first movie - an outrageous , low-brow , savage satire of teen slasher flicks such as scream and i know what you did last summer - succeeded because of its take-no-prisoners attitude toward a type of film that was in vogue , familiar and popular . 	the first movie - an outrageous , low-brow , savage satire of teen slasher flicks such as scream and i know what you did last summer - succeeded because of its take-no-prisoners attitude toward a type of film that was in vogue , familiar and popular .	3	-4	 the[0] first[0] movie[0] an[0] outrageous[-2] low[-1] brow[0] savage[-2] satire[0] of[0] teen[0] slasher[-1] flicks[0] such[0] as[0] scream[-3] and[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] succeeded[2] because[0] of[0] its[0] take[0] no[0] prisoners[-1] attitude[0] toward[0] a[0] type[0] of[0] film[0] that[0] was[0] in[0] vogue[0] familiar[0] and[0] popular[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in scary movie 2 , the filmmakers take on the haunted house-ghost story format which , if you look at the grosses for such recent lame offerings as the respective remakes of the haunting and house on haunted hill , did not draw audiences nor enter the cultural psyche as did the various teen slasher series . 	in scary movie 2 , the filmmakers take on the haunted house-ghost story format which , if you look at the grosses for such recent lame offerings as the respective remakes of the haunting and house on haunted hill , did not draw audiences nor enter the cultural psyche as did the various teen slasher series .	3	-4	 in[0] scary[-3] movie[0] 2[0] the[0] filmmakers[0] take[0] on[0] the[0] haunted[0] house[0] ghost[0] story[0] format[0] which[0] if[0] you[0] look[0] at[0] the[0] grosses[-1] for[0] such[0] recent[0] lame[-2] offerings[0] as[0] the[0] respective[2] remakes[0] of[0] the[0] haunting[0] and[0] house[0] on[0] haunted[0] hill[0] did[0] not[0] draw[0] audiences[0] nor[0] enter[0] the[0] cultural[0] psyche[0] as[0] did[0] the[0] various[0] teen[0] slasher[-1] series[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
scary movie 2 does start off promising with a wonderful spoof of the exorcist , featuring james wood in the max von sydow role and veronica cartwright lampooning ellen burstyn . 	scary movie 2 does start off promising with a wonderful spoof of the exorcist , featuring james wood in the max von sydow role and veronica cartwright lampooning ellen burstyn .	3	-4	 scary[-3] movie[0] 2[0] does[0] start[0] off[0] promising[1] with[0] a[0] wonderful[2] spoof[0] of[0] the[0] exorcist[0] featuring[0] james[0] wood[0] in[0] the[0] max[0] von[0] sydow[0] role[0] and[0] veronica[0] cartwright[0] lampooning[0] ellen[0] burstyn[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
of course split pea soup is the punch line - an overabundant amount , which offers the hope that the rest of the movie will be just as tasteless and excessive . 	of course split pea soup is the punch line - an overabundant amount , which offers the hope that the rest of the movie will be just as tasteless and excessive .	3	-2	 of[0] course[0] split[0] pea[0] soup[0] is[0] the[0] punch[-1] line[0] an[0] overabundant[0] amount[0] which[0] offers[0] the[0] hope[2] that[0] the[0] rest[0] of[0] the[0] movie[0] will[0] be[0] just[0] as[0] tasteless[0] and[0] excessive[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but this pre-credit sequence has nothing at all to do with the main action , which features the cast members from the original signing up to spend a weekend at a creepy haunted mansion as part of a university class project . 	but this pre-credit sequence has nothing at all to do with the main action , which features the cast members from the original signing up to spend a weekend at a creepy haunted mansion as part of a university class project .	1	-1	 but[0] this[0] pre[0] credit[0] sequence[0] has[0] nothing[0] at[0] all[0] to[0] do[0] with[0] the[0] main[0] action[0] which[0] features[0] the[0] cast[0] members[0] from[0] the[0] original[0] signing[0] up[0] to[0] spend[0] a[0] weekend[0] at[0] a[0] creepy[0] haunted[0] mansion[0] as[0] part[0] of[0] a[0] university[0] class[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the jokes are as scatological and offensive as in the original , but they lack that take-no-prisoners bite that raised scary movie to the heights of burlesque . 	some of the jokes are as scatological and offensive as in the original , but they lack that take-no-prisoners bite that raised scary movie to the heights of burlesque .	2	-4	 some[0] of[0] the[0] jokes[1] are[0] as[0] scatological[0] and[0] offensive[-2] as[0] in[0] the[0] original[0] but[0] they[0] lack[-1] that[0] take[0] no[0] prisoners[-1] bite[0] that[0] raised[0] scary[-3] movie[0] to[0] the[0] heights[0] of[0] burlesque[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
scary movie 2 merely lurches from one lame sendup to another , offering weak spoofs of that nike shoe ad in which everyone does acrobatics with a basketball , and the films what lies beneath and hannibal ( features that only faired adequately at the box office ) , john woo's mission : impossible 2 and charlie's angels . 	scary movie 2 merely lurches from one lame sendup to another , offering weak spoofs of that nike shoe ad in which everyone does acrobatics with a basketball , and the films what lies beneath and hannibal ( features that only faired adequately at the box office ) , john woo's mission : impossible 2 and charlie's angels .	1	-4	 scary[-3] movie[0] 2[0] merely[0] lurches[0] from[0] one[0] lame[-2] sendup[0] to[0] another[0] offering[0] weak[-1] spoofs[0] of[0] that[0] nike[0] shoe[0] ad[0] in[0] which[0] everyone[0] does[0] acrobatics[0] with[0] a[0] basketball[0] and[0] the[0] films[0] what[0] lies[-2] beneath[0] and[0] hannibal[0] features[0] that[0] only[0] faired[0] adequately[0] at[0] the[0] box[0] office[0] john[0] woo's[0] mission[0] impossible[0] 2[0] and[0] charlie's[0] angels[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is as if the wayans and their team of writers - at least seven are credited - just threw ideas in a blender and hoped they'd coalesce . 	it is as if the wayans and their team of writers - at least seven are credited - just threw ideas in a blender and hoped they'd coalesce .	2	-1	 it[0] is[0] as[0] if[0] the[0] wayans[0] and[0] their[0] team[0] of[0] writers[0] at[0] least[0] seven[0] are[0] credited[0] just[0] threw[0] ideas[0] in[0] a[0] blender[0] and[0] hoped[1] they'd[0] coalesce[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they don't . 	they don't .	1	-1	 they[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the pace of the original left you breathless , the sequel moves with the speed of an 18-wheeler carrying two tons of concrete up a steep mountain road . 	while the pace of the original left you breathless , the sequel moves with the speed of an 18-wheeler carrying two tons of concrete up a steep mountain road .	1	-1	 while[0] the[0] pace[0] of[0] the[0] original[0] left[0] you[0] breathless[0] the[0] sequel[0] moves[0] with[0] the[0] speed[0] of[0] an[0] 18[0] wheeler[0] carrying[0] two[0] tons[0] of[0] concrete[0] up[0] a[0] steep[0] mountain[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can almost hear the reels panting . 	you can almost hear the reels panting .	1	-1	 you[0] can[0] almost[0] hear[0] the[0] reels[0] panting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scary movie 2 tries very hard to live up to its original , but it falls very short . 	scary movie 2 tries very hard to live up to its original , but it falls very short .	1	-4	 scary[-3] movie[0] 2[0] tries[0] very[0] hard[0] to[0] live[0] up[0] to[0] its[0] original[0] but[0] it[0] falls[0] very[0] short[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's a dissatisfying spectacle , a very weak sister of a very good movie . 	it's a dissatisfying spectacle , a very weak sister of a very good movie .	3	-3	 it's[0] a[0] dissatisfying[-1] spectacle[0] a[0] very[0] weak[-1][-1 LastWordBoosterStrength] sister[0] of[0] a[0] very[0] good[1][1 LastWordBoosterStrength] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the really scary aspect of this sequel is how disappointing it really is . 	the really scary aspect of this sequel is how disappointing it really is .	1	-5	 the[0] really[0] scary[-3][-1 LastWordBoosterStrength] aspect[0] of[0] this[0] sequel[0] is[0] how[0] disappointing[-1] it[0] really[0] is[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
