once upon a time jean-claude van damme was a decent action hero . 	Translation	Positive	Negative	EmotionRationale
the muscles from brussels bursted into the hollywood market with mindless adventure films , boasting his spectacular martial-arts ability . 	the muscles from brussels bursted into the hollywood market with mindless adventure films , boasting his spectacular martial-arts ability .	1	-2	 the[0] muscles[0] from[0] brussels[0] bursted[0] into[0] the[0] hollywood[0] market[0] with[0] mindless[0] adventure[0] films[0] boasting[-1] his[0] spectacular[0] martial[0] arts[0] ability[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of these excursions were fun . 	some of these excursions were fun .	2	-1	 some[0] of[0] these[0] excursions[0] were[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but now it seems like watching a van damme movie has become a painful chore , with no rewards but the virtually guaranteed helping of mind-numbing action . 	but now it seems like watching a van dame movie has become a painful chore , with no rewards but the virtually guaranteed helping of mind-numbing action .	2	-4	 but[0] now[0] it[0] seems[0] like[1] watching[0] a[0] van[0] damme/dame[0] movie[0] has[0] become[0] a[0] painful[-3] chore[-2][-1 MultiplePositiveWords] with[0] no[0] rewards[1] but[0] the[0] virtually[0] guaranteed[0] helping[0] of[0] mind[0] numbing[-1] action[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and when the action goes sour , what is there left to enjoy ? 	and when the action goes sour , what is there left to enjoy ?	3	-2	 and[0] when[0] the[0] action[0] goes[0] sour[-1] what[0] is[0] there[0] left[0] to[0] enjoy[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'll explain . 	i'll explain .	1	-1	 i'll[0] explain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
knock off is about a pair of counterfeit jeans salesmen working out of an office in hong kong . 	knock off is about a pair of counterfeit jeans salesmen working out of an office in hong kong .	1	-2	 knock[0] off[0] is[0] about[0] a[0] pair[0] of[0] counterfeit[-1] jeans[0] salesmen[0] working[0] out[0] of[0] an[0] office[0] in[0] hong[0] kong[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
marcus ray ( van damme ) , a babe-magnet and stylish dresser , heads up the company with an annoying weasel of a partner ( rob schneider ) . 	marcus ray ( van dame ) , a babe-magnet and stylish dresser , heads up the company with an annoying weasel of a partner ( rob schneider ) .	1	-3	 marcus[0] ray[0] van[0] damme/dame[0] a[0] babe[0] magnet[0] and[0] stylish[0] dresser[0] heads[0] up[0] the[0] company[0] with[0] an[0] annoying[-2] weasel[0] of[0] a[0] partner[0] rob[0] schneider[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they become part of a plot involving microbombs implanted in counterfeit jeans , seemingly by a mole in the business . 	they become part of a plot involving microbombs implanted in counterfeit jeans , seemingly by a mole in the business .	1	-2	 they[0] become[0] part[0] of[0] a[0] plot[0] involving[0] microbombs[0] implanted[0] in[0] counterfeit[-1] jeans[0] seemingly[0] by[0] a[0] mole[0] in[0] the[0] business[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm going to reveal about everything in the next paragraph , so if you want a review devoid of spoilers , skip onto the next one . 	i'm going to reveal about everything in the next paragraph , so if you want a review devoid of spoilers , skip onto the next one .	1	-2	 i'm[0] going[0] to[0] reveal[0] about[0] everything[0] in[0] the[0] next[0] paragraph[0] so[0] if[0] you[0] want[0] a[0] review[0] devoid[-1] of[0] spoilers[-1] skip[0] onto[0] the[0] next[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not quite sure who gives a crap , but i'll issue a warning anyhow . 	i'm not quite sure who gives a crap , but i'll issue a warning anyhow .	1	-3	 i'm[0] not[0] quite[0] sure[0] who[0] gives[0] a[0] crap[-2] but[0] i'll[0] issue[0] a[0] warning[0] anyhow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tommy is really working with the cia . 	tommy is really working with the cia .	1	-1	 tommy[0] is[0] really[0] working[0] with[0] the[0] cia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his boss ( a very hammy and flat paul sorvino ) is the mole , and he wants to cause carnage with these tiny but immensely powerful super weapons . 	his boss ( a very hammy and flat paul sorvino ) is the mole , and he wants to cause carnage with these tiny but immensely powerful super weapons .	3	-2	 his[0] boss[0] a[0] very[0] hammy[0] and[0] flat[0] paul[0] sorvino[0] is[0] the[0] mole[0] and[0] he[0] wants[0] to[0] cause[0] carnage[0] with[0] these[0] tiny[0] but[0] immensely[0] powerful[0] super[2] weapons[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he even stoops so low to put them into children's toys . 	he even stoops so low to put them into children's toys .	1	-2	 he[0] even[0] stoops[0] so[0] low[-1] to[0] put[0] them[0] into[0] children's[0] toys[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you thought this plot outline sounded intriguing , then you probably will enjoy knock off . 	if you thought this plot outline sounded intriguing , then you probably will enjoy knock off .	3	-1	 if[0] you[0] thought[0] this[0] plot[0] outline[0] sounded[0] intriguing[0] then[0] you[0] probably[0] will[0] enjoy[2] knock[0] off[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you think that this ridiculous set-up couldn't even fill five minutes of screen time without causing you to roll over laughing , this might not be your cup of tea . 	if you think that this ridiculous set-up couldn't even fill five minutes of screen time without causing you to roll over laughing , this might not be your cup of tea .	2	-3	 if[0] you[0] think[0] that[0] this[0] ridiculous[-2] set[0] up[0] couldn't[0] even[0] fill[0] five[0] minutes[0] of[0] screen[0] time[0] without[0] causing[0] you[0] to[0] roll[0] over[0] laughing[1] this[0] might[0] not[0] be[0] your[0] cup[0] of[0] tea[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
knock off sucks . 	knock off sucks .	1	-2	 knock[0] off[0] sucks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it stoops to ridiculous levels that most individuals could only conjure up in horrific nightmares . 	it stoops to ridiculous levels that most individuals could only conjure up in horrific nightmares .	1	-4	 it[0] stoops[0] to[0] ridiculous[-2] levels[0] that[0] most[0] individuals[0] could[0] only[0] conjure[0] up[0] in[0] horrific[-3] nightmares[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
