 " the 44 caliber killer has struck again . " 	Translation	Positive	Negative	EmotionRationale
starring john leguizamo , mira sorvino , adrian brody , jennifer esposito , michael rispoli , bebe neuwirth . 	starring john leguizamo , mira sorvino , adrian brody , jennifer esposito , michael rispoli , bebe neuwirth .	1	-1	 starring[0] john[0] leguizamo[0] mira[0] sorvino[0] adrian[0] brody[0] jennifer[0] esposito[0] michael[0] rispoli[0] bebe[0] neuwirth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r . 	rated are .	1	-1	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
summer of sam will be remembered as a waste of spike lee's abilities . 	summer of sam will be remembered as a waste of spike lee's abilities .	1	-2	 summer[0] of[0] sam[0] will[0] be[0] remembered[0] as[0] a[0] waste[-1] of[0] spike[0] lee's[0] abilities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lee is a great filmmaker , often exhibiting kinetic visual flair on par with brian depalma and martin scorsese and a storytelling ability comparable to steven spielberg . 	lee is a great filmmaker , often exhibiting kinetic visual flair on par with brian depalma and martin scorsese and a storytelling ability comparable to steven spielberg .	3	-1	 lee[0] is[0] a[0] great[2] filmmaker[0] often[0] exhibiting[0] kinetic[0] visual[0] flair[0] on[0] par[0] with[0] brian[0] depalma[0] and[0] martin[0] scorsese[0] and[0] a[0] storytelling[0] ability[0] comparable[0] to[0] steven[0] spielberg[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but here , he gets himself into a bind . 	but here , he gets himself into a bind .	1	-1	 but[0] here[0] he[0] gets[0] himself[0] into[0] a[0] bind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his latest effort is a case of a director pretending he has something to say when in reality there is little of substance to absorb from his work . 	his latest effort is a case of a director pretending he has something to say when in reality there is little of substance to absorb from his work .	1	-1	 his[0] latest[0] effort[0] is[0] a[0] case[0] of[0] a[0] director[0] pretending[0] he[0] has[0] something[0] to[0] say[0] when[0] in[0] reality[0] there[0] is[0] little[0] of[0] substance[0] to[0] absorb[0] from[0] his[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the summer of 1977 was an unusual summer in new york city . 	the summer of 1977 was an unusual summer in new york city .	1	-1	 the[0] summer[0] of[0] 1977[0] was[0] an[0] unusual[0] summer[0] in[0] new[0] york[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was the hottest summer on record . 	it was the hottest summer on record .	1	-1	 it[0] was[0] the[0] hottest[0] summer[0] on[0] record[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to boot , new york's first serial killer was on the loose : calling himself the son of sam , david berkowitz killed 9 people in the new york area and frightened the whole city population . 	to boot , new york's first serial killer was on the loose : calling himself the son of sam , david berkowitz killed 9 people in the new york area and frightened the whole city population .	1	-4	 to[0] boot[0] new[0] york's[0] first[0] serial[0] killer[-1] was[0] on[0] the[0] loose[0] calling[0] himself[0] the[0] son[0] of[0] sam[0] david[0] berkowitz[0] killed[-3] 9[0] people[0] in[0] the[0] new[0] york[0] area[0] and[0] frightened[-3] the[0] whole[0] city[0] population[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so it was understandable that when nyc was hit with a citywide blackout , people went berserk , causing billions of dollars in damage to the city . 	so it was understandable that when nyc was hit with a citywide blackout , people went berserk , causing billions of dollars in damage to the city .	1	-2	 so[0] it[0] was[0] understandable[0] that[0] when[0] nyc[0] was[0] hit[0] with[0] a[0] citywide[0] blackout[0] people[0] went[0] berserk[-1] causing[0] billions[0] of[0] dollars[0] in[0] damage[0] to[0] the[0] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
