dear god , this is a fantastically bad film ! 	Translation	Positive	Negative	EmotionRationale
regardless of what i say about knock off , you can't grasp its awfulness from my words . 	regardless of what i say about knock off , you can't grasp its awfulness from my words .	1	-4	 regardless[-1] of[0] what[0] i[0] say[0] about[0] knock[0] off[0] you[0] can't[0] grasp[0] its[0] awfulness[-3] from[0] my[0] words[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you have to see it and experience it for yourself . 	you have to see it and experience it for yourself .	1	-1	 you[0] have[0] to[0] see[0] it[0] and[0] experience[0] it[0] for[0] yourself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's the kicker , though -- i suggest that you do so . 	here's the kicker , though - i suggest that you do so .	1	-2	 here's[0] the[0] kicker[-1] though[0] i[0] suggest[0] that[0] you[0] do[0] so[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , this is a bad film -- easily one of the most incompetent films of the year -- but it has a certain misguided charm that makes it a unique kind of disaster to endure . 	yes , this is a bad film - easily one of the most incompetent films of the year - but it has a certain misguided charm that makes it a unique kind of disaster to endure .	2	-3	 yes[0] this[0] is[0] a[0] bad[-1] film[0] easily[0] one[0] of[0] the[0] most[0] incompetent[-2] films[0] of[0] the[0] year[0] but[0] it[0] has[0] a[0] certain[0] misguided[0] charm[1] that[0] makes[0] it[0] a[0] unique[0] kind[1] of[0] disaster[-1] to[0] endure[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , i enjoyed myself for most of its brief running time , despite the dreadful acting and a completely incomprehensible story . 	in fact , i enjoyed myself for most of its brief running time , despite the dreadful acting and a completely incomprehensible story .	3	-4	 in[0] fact[0] i[0] enjoyed[2] myself[0] for[0] most[0] of[0] its[0] brief[0] running[0] time[0] despite[0] the[0] dreadful[-3] acting[0] and[0] a[0] completely[0] incomprehensible[0] story[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
don't get me wrong : i'm not excusing knock off . 	don't get me wrong : i'm not excusing knock off .	1	-2	 don't[0] get[0] me[0] wrong[-1] i'm[0] not[0] excusing[0] knock[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it reaches an unacceptable level of badness ; it's so incoherent that i wonder if it was hacked up worse than the avengers was . 	it reaches an unacceptable level of badness ; it's so incoherent that i wonder if it was hacked up worse than the avengers was .	1	-3	 it[0] reaches[0] an[0] unacceptable[0] level[0] of[0] badness[-2] it's[0] so[0] incoherent[0] that[0] i[0] wonder[0] if[0] it[0] was[0] hacked[0] up[0] worse[-2] than[0] the[0] avengers[-1] was[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it also features some truly terrible performances from lela rochon , michael wong , paul sorvino , and -- of course -- jean-claude van damme . 	it also features some truly terrible performances from lela rochon , michael wong , paul sorvino , and - of course - jean-claude van dame .	1	-4	 it[0] also[0] features[0] some[0] truly[1][-1 LastWordBoosterStrength] terrible[-3] performances[0] from[0] lela[0] rochon[0] michael[0] wong[0] paul[0] sorvino[0] and[0] of[0] course[0] jean[0] claude[0] van[0] damme/dame[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it does , however , have the entertaining presence of rob schneider , and the excessively inventive and pretentious direction of tsui hark . 	it does , however , have the entertaining presence of rob schneider , and the excessively inventive and pretentious direction of tsui hark .	1	-2	 it[0] does[0] however[0] have[0] the[0] entertaining[0] presence[0] of[0] rob[0] schneider[0] and[0] the[0] excessively[-1] inventive[0] and[0] pretentious[-1] direction[0] of[0] tsui[0] hark[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as i watched it , i occasionally wondered if it was aware of its own awfulness . 	as i watched it , i occasionally wondered if it was aware of its own awfulness .	1	-4	 as[0] i[0] watched[0] it[0] i[0] occasionally[0] wondered[0] if[0] it[0] was[0] aware[0] of[0] its[0] own[0] awfulness[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now , in retrospect , it seems clear that it wasn't , but it's still a fascinating kind of mess . 	now , in retrospect , it seems clear that it wasn't , but it's still a fascinating kind of mess .	2	-1	 now[0] in[0] retrospect[0] it[0] seems[0] clear[0] that[0] it[0] wasn't[0] but[0] it's[0] still[0] a[0] fascinating[0] kind[1] of[0] mess[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't like writing plot descriptions ( it is , by far , the most boring part of writing a review ) , but , in this case , i'm off the hook : there is no way i could write an accurate synopsis for knock off . 	i don't like writing plot descriptions ( it is , by far , the most boring part of writing a review ) , but , in this case , i'm off the hook : there is no way i could write an accurate synopsis for knock off .	1	-2	 i[0] don't[0] like[1][NegatedDueToPreviousWord] writing[0] plot[0] descriptions[0] it[0] is[0] by[0] far[0] the[0] most[0] boring[-1] part[0] of[0] writing[0] a[0] review[0] but[0] in[0] this[0] case[0] i'm[0] off[0] the[0] hook[0] there[0] is[0] no[0] way[0] i[0] could[0] write[0] an[0] accurate[0] synopsis[0] for[0] knock[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for the sake of comparison , i had no trouble understanding the usual suspects during my first viewing . 	for the sake of comparison , i had no trouble understanding the usual suspects during my first viewing .	1	-2	 for[0] the[0] sake[0] of[0] comparison[0] i[0] had[0] no[0] trouble[-1] understanding[0] the[0] usual[0] suspects[0] during[0] my[0] first[0] viewing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i paid closer attention to knock off , and the only thing i am able to say about it is that van damme plays a dude named ray , and is accused by the cia ( i think ) of selling knock off products ( knock off products are , of course , products that look like name-brand materials but are generic and cheap ) . 	i paid closer attention to knock off , and the only thing i am able to say about it is that van dame plays a dude named ray , and is accused by the cia ( i think ) of selling knock off products ( knock off products are , of course , products that look like name-brand materials but are generic and cheap ) .	2	-2	 i[0] paid[0] closer[0] attention[0] to[0] knock[0] off[0] and[0] the[0] only[0] thing[0] i[0] am[0] able[0] to[0] say[0] about[0] it[0] is[0] that[0] van[0] damme/dame[0] plays[1] a[0] dude[0] named[0] ray[0] and[0] is[0] accused[-1] by[0] the[0] cia[0] i[0] think[0] of[0] selling[0] knock[0] off[0] products[0] knock[0] off[0] products[0] are[0] of[0] course[0] products[0] that[0] look[0] like[1] name[0] brand[0] materials[0] but[0] are[0] generic[0] and[0] cheap[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i don't know what any of this has to do with martial arts , but there are lots of martial arts in the film . 	i don't know what any of this has to do with martial arts , but there are lots of martial arts in the film .	1	-1	 i[0] don't[0] know[0] what[0] any[0] of[0] this[0] has[0] to[0] do[0] with[0] martial[0] arts[0] but[0] there[0] are[0] lots[0] of[0] martial[0] arts[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ray is good at martial arts , so when he has to beat up bad guys , there's no problem . 	ray is good at martial arts , so when he has to beat up bad guys , there's no problem .	2	-2	 ray[0] is[0] good[1] at[0] martial[0] arts[0] so[0] when[0] he[0] has[0] to[0] beat[0] up[0] bad[-1] guys[0] there's[0] no[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rob schneider plays his sidekick , although i had no idea who he really was by the end of the film . 	rob schneider plays his sidekick , although i had no idea who he really was by the end of the film .	2	-1	 rob[0] schneider[0] plays[1] his[0] sidekick[0] although[0] i[0] had[0] no[0] idea[0] who[0] he[0] really[0] was[0] by[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lela rochon is just some woman who accuses them of stuff , while paul sorvino is both the good guy and the bad guy at once ! 	lela rochon is just some woman who accuses them of stuff , while paul sorvino is both the good guy and the bad guy at once !	2	-2	 lela[0] rochon[0] is[0] just[0] some[0] woman[0] who[0] accuses[-1] them[0] of[0] stuff[0] while[0] paul[0] sorvino[0] is[0] both[0] the[0] good[1] guy[0] and[0] the[0] bad[-1] guy[0] at[0] once[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , every character goes through so many shifts from good to bad that the end provides absolutely no insight into what any of them really do . 	in fact , every character goes through so many shifts from good to bad that the end provides absolutely no insight into what any of them really do .	2	-2	 in[0] fact[0] every[0] character[0] goes[0] through[0] so[0] many[0] shifts[0] from[0] good[1] to[0] bad[-1] that[0] the[0] end[0] provides[0] absolutely[0] no[0] insight[0] into[0] what[0] any[0] of[0] them[0] really[0] do[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in that order , knock off is completely incoherent and makes absolutely no sense . 	in that order , knock off is completely incoherent and makes absolutely no sense .	1	-1	 in[0] that[0] order[0] knock[0] off[0] is[0] completely[0] incoherent[0] and[0] makes[0] absolutely[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what a strange mess it is . 	but what a strange mess it is .	1	-1	 but[0] what[0] a[0] strange[0] mess[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was written by stephen e . de souza , who also wrote die hard and 48 hours . 	it was written by stephen e .<br> de souza , who also wrote die hard and 48 hours .	1	-1	 it[0] was[0] written[0] by[0] stephen[0] e[0] [[Sentence=-1,1=word max, 1-5]] de[0] souza[0] who[0] also[0] wrote[0] die[0] hard[0] and[0] 48[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can this be the same man ? 	can this be the same man ?	1	-1	 can[0] this[0] be[0] the[0] same[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't see how , unless , of course , huge chunks of the film have been removed for the sake of running time . 	i don't see how , unless , of course , huge chunks of the film have been removed for the sake of running time .	1	-1	 i[0] don't[0] see[0] how[0] unless[0] of[0] course[0] huge[0] chunks[0] of[0] the[0] film[0] have[0] been[0] removed[0] for[0] the[0] sake[0] of[0] running[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
knock off seems to have an interesting premise ( as far as action films go ) , but there's no semblance here . 	knock off seems to have an interesting premise ( as far as action films go ) , but there's no semblance here .	2	-1	 knock[0] off[0] seems[0] to[0] have[0] an[0] interesting[1] premise[0] as[0] far[0] as[0] action[0] films[0] go[0] but[0] there's[0] no[0] semblance[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for instance , van damme is introduced , and then seconds later he's running a chariot race through the streets of hong kong . 	for instance , van dame is introduced , and then seconds later he's running a chariot race through the streets of hong kong .	1	-1	 for[0] instance[0] van[0] damme/dame[0] is[0] introduced[0] and[0] then[0] seconds[0] later[0] he's[0] running[0] a[0] chariot[0] race[0] through[0] the[0] streets[0] of[0] hong[0] kong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who knows . 	who knows .	1	-1	 who[0] knows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what are the implications of this ? 	what are the implications of this ?	1	-1	 what[0] are[0] the[0] implications[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have no idea . 	i have no idea .	1	-1	 i[0] have[0] no[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most action films abandon depth in favor of action , and this is normally a problem . 	most action films abandon depth in favor of action , and this is normally a problem .	2	-2	 most[0] action[0] films[0] abandon[-1] depth[0] in[0] favor[1] of[0] action[0] and[0] this[0] is[0] normally[0] a[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
knock off , however , is the first film that i would have preferred to see with all of the talky sequences cut . 	knock off , however , is the first film that i would have preferred to see with all of the talky sequences cut .	1	-1	 knock[0] off[0] however[0] is[0] the[0] first[0] film[0] that[0] i[0] would[0] have[0] preferred[0] to[0] see[0] with[0] all[0] of[0] the[0] talky[0] sequences[0] cut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is embarrassingly bad : rochon , in particular , delivers each of her lines with stiff and talentless insincerity . 	the acting is embarrassingly bad : rochon , in particular , delivers each of her lines with stiff and talentless insincerity .	1	-4	 the[0] acting[0] is[0] embarrassingly[-2] bad[-1] rochon[0] in[0] particular[0] delivers[0] each[0] of[0] her[0] lines[0] with[0] stiff[0] and[0] talentless[-2] insincerity[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sorvino , in addition , deserves better than this . 	sorvino , in addition , deserves better than this .	1	-1	 sorvino[0] in[0] addition[0] deserves[0] better[0] than[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
