i can imagine how good krippendorf's tribe must have looked on paper . 	Translation	Positive	Negative	EmotionRationale
it does not surprise me in the least that a group of extremely talented actors , led by the great richard dreyfuss and a good director ( todd holland ) , all wanted to make this film . 	it does not surprise me in the least that a group of extremely talented actors , led by the great richard dreyfuss and a good director ( todd holland ) , all wanted to make this film .	4	-1	 it[0] does[0] not[0] surprise[0] me[0] in[0] the[0] least[0] that[0] a[0] group[0] of[0] extremely[0] talented[1][2 LastWordBoosterStrength] actors[0] led[0] by[0] the[0] great[2] richard[0] dreyfuss[0] and[0] a[0] good[1] director[0] todd[0] holland[0] all[0] wanted[0] to[0] make[0] this[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in fact , it is only the expertise by which this excruciatingly bad script has been executed that keeps me from suggesting that you stay as far away from krippendorf's tribe as possible . 	in fact , it is only the expertise by which this excruciatingly bad script has been executed that keeps me from suggesting that you stay as far away from krippendorf's tribe as possible .	1	-5	 in[0] fact[0] it[0] is[0] only[0] the[0] expertise[0] by[0] which[0] this[0] excruciatingly[-4] bad[-1] script[0] has[0] been[0] executed[-1] that[0] keeps[0] me[0] from[0] suggesting[0] that[0] you[0] stay[0] as[0] far[0] away[0] from[0] krippendorf's[0] tribe[0] as[0] possible[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
in retrospect , i can imagine how bad this film could have been . 	in retrospect , i can imagine how bad this film could have been .	1	-2	 in[0] retrospect[0] i[0] can[0] imagine[0] how[0] bad[-1] this[0] film[0] could[0] have[0] been[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i shudder at the possibilities of awfulness had it starred an actor less able than dreyfuss . 	i shudder at the possibilities of awfulness had it starred an actor less able than dreyfuss .	1	-4	 i[0] shudder[0] at[0] the[0] possibilities[0] of[0] awfulness[-3] had[0] it[0] starred[0] an[0] actor[0] less[0] able[0] than[0] dreyfuss[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dreyfuss plays james krippendorf , an anthropologist who is granted  100 , 000 by his university to find an undiscovered tribe in new guinea . 	dreyfuss plays james krippendorf , an anthropologist who is granted  100 , 00 by his university to find an undiscovered tribe in new guinea .	2	-1	 dreyfuss[0] plays[1] james[0] krippendorf[0] an[0] anthropologist[0] who[0] is[0] granted[0] 100[0] 000/00[0] by[0] his[0] university[0] to[0] find[0] an[0] undiscovered[0] tribe[0] in[0] new[0] guinea[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
halfway into his two-year expedition , his wife ( apparently ) dies . 	halfway into his two-year expedition , his wife ( apparently ) dies .	1	-1	 halfway[0] into[0] his[0] two[0] year[0] expedition[0] his[0] wife[0] apparently[0] dies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i say apparently because when or how she dies is never truly established . 	i say apparently because when or how she dies is never truly established .	1	-2	 i[0] say[0] apparently[0] because[0] when[0] or[0] how[0] she[0] dies[0] is[0] never[0] truly[1][NegatedDueToPreviousWord] established[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later , we find out that much of the grant money was spent on big-screen tvs and other such pleasures . 	later , we find out that much of the grant money was spent on big-screen tvs and other such pleasures .	3	-1	 later[0] we[0] find[0] out[0] that[0] much[0] of[0] the[0] grant[0] money[0] was[0] spent[0] on[0] big[0] screen[0] tvs[0] and[0] other[0] such[0] pleasures[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so , when krippendorf finds out what happens to professors who do not use their grant money wisely , he decides to construct an elaborate lie . 	so , when krippendorf finds out what happens to professors who do not use their grant money wisely , he decides to construct an elaborate lie .	1	-1	 so[0] when[0] krippendorf[0] finds[0] out[0] what[0] happens[0] to[0] professors[0] who[0] do[0] not[0] use[0] their[0] grant[0] money[0] wisely[0] he[0] decides[0] to[0] construct[0] an[0] elaborate[0] lie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he makes his own tribe , using his three children as actors in a video . 	he makes his own tribe , using his three children as actors in a video .	1	-1	 he[0] makes[0] his[0] own[0] tribe[0] using[0] his[0] three[0] children[0] as[0] actors[0] in[0] a[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
