the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
the concept of enjoying a stupid comedy is best realized as keeping it stupid , really . 	the concept of enjoying a stupid comedy is best realized as keeping it stupid , really .	3	-2	 the[0] concept[0] of[0] enjoying[2] a[0] stupid[-1] comedy[0] is[0] best[1] realized[0] as[0] keeping[0] it[0] stupid[-1] really[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
shift gears even once and the audience can be thrown miserably out of control . 	shift gears even once and the audience can be thrown miserably out of control .	1	-3	 shift[0] gears[0] even[0] once[0] and[0] the[0] audience[0] can[0] be[0] thrown[0] miserably[-2] out[0] of[0] control[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sadly , that is the case with kingpin , a film directed by the farrelly brothers , the duo that brought us there's something about mary and dumb and dumber . 	sadly , that is the case with kingpin , a film directed by the farrelly brothers , the duo that brought us there's something about mary and dumb and dumber .	1	-2	 sadly[-1] that[0] is[0] the[0] case[0] with[0] kingpin[0] a[0] film[0] directed[0] by[0] the[0] farrelly[0] brothers[0] the[0] duo[0] that[0] brought[0] us[0] there's[0] something[0] about[0] mary[0] and[0] dumb[-1] and[0] dumber[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since the duo directed and didn't write the script , i can assume that's part of the problem . 	since the duo directed and didn't write the script , i can assume that's part of the problem .	1	-2	 since[0] the[0] duo[0] directed[0] and[0] didn't[0] write[0] the[0] script[0] i[0] can[0] assume[0] that's[0] part[0] of[0] the[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story seems good enough : a pro bowler in the 1970's by the name of roy munson ( woody harrelson ) is sitting on top of the world . 	the story seems good enough : a pro bowler in the 1970's by the name of roy munson ( woody harrelson ) is sitting on top of the world .	2	-1	 the[0] story[0] seems[0] good[1] enough[0] a[0] pro[0] bowler[0] in[0] the[0] 1970's[0] by[0] the[0] name[0] of[0] roy[0] munson[0] woody[0] harrelson[0] is[0] sitting[0] on[0] top[0] of[0] the[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his popularity has gone through the roof and he's getting his career off the ground . 	his popularity has gone through the roof and he's getting his career off the ground .	2	-1	 his[0] popularity[1] has[0] gone[0] through[0] the[0] roof[0] and[0] he's[0] getting[0] his[0] career[0] off[0] the[0] ground[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then , however , he runs into ed mccracken ( bill murray ) , a rival bowler with hardly any real consideration for , well , anything . 	then , however , he runs into ed mccracken ( bill murray ) , a rival bowler with hardly any real consideration for , well , anything .	1	-2	 then[0] however[0] he[0] runs[0] into[0] ed[0] mccracken[0] bill[0] murray[0] a[0] rival[-1] bowler[0] with[0] hardly[0] any[0] real[0] consideration[0] for[0] well[0] anything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these two form an ill-timed relationship that involves risky betting , and , before roy sees it coming , ed's abandoned him and he's about to lose his hand in a bowling ball machine . 	these two form an ill-timed relationship that involves risky betting , and , before roy sees it coming , ed's abandoned him and he's about to lose his hand in a bowling ball machine .	1	-2	 these[0] two[0] form[0] an[0] ill[-1] timed[0] relationship[0] that[0] involves[0] risky[-1] betting[0] and[0] before[0] roy[0] sees[0] it[0] coming[0] ed's[0] abandoned[-1] him[0] and[0] he's[0] about[0] to[0] lose[-1] his[0] hand[0] in[0] a[0] bowling[0] ball[0] machine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
forward seventeen years later , where roy has become quite the loser , complete with mechanical hand , torn-up car , and , of course , the occasional knocking up of the ugly-ass landlord to avoid paying rent for a while . 	forward seventeen years later , where roy has become quite the loser , complete with mechanical hand , torn-up car , and , of course , the occasional knocking up of the ugly-ass landlord to avoid paying rent for a while .	1	-3	 forward[0] seventeen[0] years[0] later[0] where[0] roy[0] has[0] become[0] quite[0] the[0] loser[-2] complete[0] with[0] mechanical[0] hand[0] torn[0] up[0] car[0] and[0] of[0] course[0] the[0] occasional[0] knocking[0] up[0] of[0] the[0] ugly[-2] ass[0] landlord[0] to[0] avoid[-1] paying[0] rent[0] for[0] a[0] while[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , he finds a glimmer of a hope upon a visit to a local bowling alley , where he runs into an amish kid named ishmael ( randy quaid ) , who has quite the bowling arm . 	however , he finds a glimmer of a hope upon a visit to a local bowling alley , where he runs into an amish kid named ishmael ( randy quaid ) , who has quite the bowling arm .	3	-1	 however[0] he[0] finds[0] a[0] glimmer[0] of[0] a[0] hope[2] upon[0] a[0] visit[0] to[0] a[0] local[0] bowling[0] alley[0] where[0] he[0] runs[0] into[0] an[0] amish[0] kid[0] named[0] ishmael[0] randy[0] quaid[0] who[0] has[0] quite[0] the[0] bowling[0] arm[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
