hollywood never fails to astound me . 	Translation	Positive	Negative	EmotionRationale
every time i think those coked-up little buggers have hit rock bottom ; they come up with a new excavating tool . 	every time i think those coked-up little buggers have hit rock bottom ; they come up with a new excavating tool .	2	-1	 every[0] time[0] i[0] think[0] those[0] coked[0] up[0] little[0] buggers[0] have[0] hit[0] rock[1] bottom[0] they[0] come[0] up[0] with[0] a[0] new[0] excavating[0] tool[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was truly convinced that " wild wild west " marked 1999 studio filmmaking at its most hapless , but then along comes " end of days " to prove me wrong . 	i was truly convinced that " wild wild west " marked 199 studio filmmaking at its most hapless , but then along comes " end of days " to prove me wrong .	2	-2	 i[0] was[0] truly[1] convinced[0] that[0] wild[0] wild[0] west[0] marked[0] 1999/199[0] studio[0] filmmaking[0] at[0] its[0] most[0] hapless[-1] but[0] then[0] along[0] comes[0] end[0] of[0] days[0] to[0] prove[0] me[0] wrong[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this big budget , brain dead apocalyptic thriller bludgeons its audience with overwrought music , grisly violence , explosions galore and lots of cheesy special effects . 	this big budget , brain dead apocalyptic thriller bludgeons its audience with overwrought music , grisly violence , explosions galore and lots of cheesy special effects .	2	-4	 this[0] big[0] budget[0] brain[0] dead[-2] apocalyptic[0] thriller[1] bludgeons[0] its[0] audience[0] with[0] overwrought[0] music[0] grisly[0] violence[-3] explosions[-1] galore[0] and[0] lots[0] of[0] cheesy[0] special[1] effects[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the result ? 	the result ?	1	-1	 the[0] result[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing but groans and yawns . 	nothing but groans and yawns .	1	-1	 nothing[0] but[0] groans[0] and[0] yawns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the devil himself is unable to produce a decent scare in this festival of the inept . 	even the devil himself is unable to produce a decent scare in this festival of the inept .	1	-4	 even[0] the[0] devil[-1] himself[0] is[0] unable[0] to[0] produce[0] a[0] decent[0] scare[-3] in[0] this[0] festival[0] of[0] the[0] inept[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at the very least , " end of days " should have done us the courtesy of being bad-enough-to-be-good , but it can't even manage that . 	at the very least , " end of days " should have done us the courtesy of being bad-enough-to-be-good , but it can't even manage that .	2	-2	 at[0] the[0] very[0] least[0] end[0] of[0] days[0] should[0] have[0] done[0] us[0] the[0] courtesy[0] of[0] being[0] bad[-1] enough[0] to[0] be[0] good[1] but[0] it[0] can't[0] even[0] manage[0] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's just lousy . 	it's just lousy .	1	-2	 it's[0] just[0] lousy[-2][--1 LastWordBoosterStrength] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
arnold schwarzenegger , still recovering from heart problems and " batman & robin , " plays an ex-cop turned security agent or bodyguard or something . 	arnold schwarzenegger , still recovering from heart problems and " batman & robin , " plays an ex-cop turned security agent or bodyguard or something .	2	-2	 arnold[0] schwarzenegger[0] still[0] recovering[0] from[0] heart[0] problems[-1] and[0] batman[0] &[0] robin[0] plays[1] an[0] ex[0] cop[0] turned[0] security[1] agent[0] or[0] bodyguard[0] or[0] something[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
along with his obligatory comic relief partner ( kevin pollak , impersonating matthew perry's chandler character from " friends " ) , he gets involved in some major league supernatural hoodoo . 	along with his obligatory comic relief partner ( kevin pollak , impersonating matthew perry's chandler character from " friends " ) , he gets involved in some major league supernatural hoodoo .	2	-1	 along[0] with[0] his[0] obligatory[0] comic[0] relief[1] partner[0] kevin[0] pollak[0] impersonating[0] matthew[0] perry's[0] chandler[0] character[0] from[0] friends[1] he[0] gets[0] involved[0] in[0] some[0] major[0] league[0] supernatural[0] hoodoo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
