play it to the bone is a punch-drunk mess of a movie . 	Translation	Positive	Negative	EmotionRationale
containing a good cast but awful acting ; an interesting premise but terrible execution , ron shelton ( white men can't jump ) gives us a rocky story with not one rocky but two . 	containing a good cast but awful acting ; an interesting premise but terrible execution , ron shelton ( white men can't jump ) gives us a rocky story with not one rocky but two .	2	-4	 containing[0] a[0] good[1] cast[0] but[0] awful[-3] acting[0] an[0] interesting[1] premise[0] but[0] terrible[-3] execution[0] ron[0] shelton[0] white[0] men[0] can't[0] jump[0] gives[0] us[0] a[0] rocky[0] story[0] with[0] not[0] one[0] rocky[0] but[0] two[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
rocky no . 1 is vince boudreau ( woody harrelson , edtv ) , a bald , tattooed , newly converted christian , whose idea of christianity is not using the name of christ as a curse word . . . 	rocky no .<br> 1 is vince boudreau ( woody harrelson , edtv ) , a bald , tattooed , newly converted christian , whose idea of christianity is not using the name of christ as a curse word .<br> .<br> .	1	-2	 rocky[0] no[0] [[Sentence=-1,1=word max, 1-5]] 1[0] is[0] vince[0] boudreau[0] woody[0] harrelson[0] edtv[0] a[0] bald[0] tattooed[0] newly[0] converted[0] christian[0] whose[0] idea[0] of[0] christianity[0] is[0] not[0] using[0] the[0] name[0] of[0] christ[0] as[0] a[0] curse[-1] word[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
something that he has not yet successfully achieved . 	something that he has not yet successfully achieved .	1	-3	 something[0] that[0] he[0] has[0] not[0] yet[0] successfully[2][NegatedDueToPreviousWord] achieved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rocky no . 2 is caesar dominguez ( antonio banderas , the 13th warrior ) , best friend of vince who is currently dating vince's ex-girlfriend , grace . 	rocky no .<br> 2 is caesar dominguez ( antonio banderas , the 13th warrior ) , best friend of vince who is currently dating vince's ex-girlfriend , grace .	3	-1	 rocky[0] no[0] [[Sentence=-1,1=word max, 1-5]] 2[0] is[0] caesar[0] dominguez[0] antonio[0] banderas[0] the[0] 13th[0] warrior[0] best[1] friend[1] of[0] vince[0] who[0] is[0] currently[0] dating[0] vince's[0] ex[0] girlfriend[0] grace[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both men are nearing the end of their " almost " careers when a fluke provides them with a redemptive opportunity . 	both men are nearing the end of their " almost " careers when a fluke provides them with a redemptive opportunity .	1	-1	 both[0] men[0] are[0] nearing[0] the[0] end[0] of[0] their[0] almost[0] careers[0] when[0] a[0] fluke[0] provides[0] them[0] with[0] a[0] redemptive[0] opportunity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when both fighters of the undercard of a vegas based mike tyson title fight become incapacitated , the fight promoters need to find a quick replacement . 	when both fighters of the undercard of a vegas based mike tyson title fight become incapacitated , the fight promoters need to find a quick replacement .	1	-3	 when[0] both[0] fighters[-2] of[0] the[0] undercard[0] of[0] a[0] vegas[0] based[0] mike[0] tyson[0] title[0] fight[-2] become[0] incapacitated[0] the[0] fight[-2] promoters[0] need[0] to[0] find[0] a[0] quick[0] replacement[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
our boys are tapped to fight each other , the winner of which is " promised " a shot at a future title fight . 	our boys are tapped to fight each other , the winner of which is " promised " a shot at a future title fight .	2	-3	 our[0] boys[0] are[0] tapped[0] to[0] fight[-2] each[0] other[0] the[0] winner[1] of[0] which[0] is[0] promised[1] a[0] shot[-1] at[0] a[0] future[0] title[0] fight[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film is divided into two sections . 	the film is divided into two sections .	1	-1	 the[0] film[0] is[0] divided[0] into[0] two[0] sections[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at first , we have a buddy road picture as our two heroes , in grace's " sassy grassy " green muscle car , travel through the desert to vegas in order to make the fight scheduled for that day . 	at first , we have a buddy road picture as our two heroes , in grace's " sassy grassy " green muscle car , travel through the desert to vegas in order to make the fight scheduled for that day .	3	-3	 at[0] first[0] we[0] have[0] a[0] buddy[0] road[0] picture[0] as[0] our[0] two[0] heroes[2] in[0] grace's[0] sassy[0] grassy[0] green[0] muscle[0] car[0] travel[0] through[0] the[0] desert[0] to[0] vegas[0] in[0] order[0] to[0] make[0] the[0] fight[-2] scheduled[0] for[0] that[0] day[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
along the way we learn about their pasts and the opportunities that have come and gone by . 	along the way we learn about their pasts and the opportunities that have come and gone by .	1	-1	 along[0] the[0] way[0] we[0] learn[0] about[0] their[0] pasts[0] and[0] the[0] opportunities[0] that[0] have[0] come[0] and[0] gone[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once in vegas , the movie settles down to the effectively staged fight sequences between vince and caesar . 	once in vegas , the movie settles down to the effectively staged fight sequences between vince and caesar .	1	-3	 once[0] in[0] vegas[0] the[0] movie[0] settles[0] down[0] to[0] the[0] effectively[0] staged[0] fight[-2] sequences[0] between[0] vince[0] and[0] caesar[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
both mr . harrelson and mr . banderas have provided us with stunning characterizations in the past , not that we'd know it from their work here . 	both mr .<br> harrelson and mr .<br> banderas have provided us with stunning characterizations in the past , not that we'd know it from their work here .	1	-1	 both[0] mr[0] [[Sentence=-1,1=word max, 1-5]] harrelson[0] and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] banderas[0] have[0] provided[0] us[0] with[0] stunning[0] characterizations[0] in[0] the[0] past[0] not[0] that[0] we'd[0] know[0] it[0] from[0] their[0] work[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . harrelson is uncomfortably awkward , apparently never having gotten a firm handle on vince . 	mr .<br> harrelson is uncomfortably awkward , apparently never having gotten a firm handle on vince .	1	-3	 mr[0] [[Sentence=-1,1=word max, 1-5]] harrelson[0] is[0] uncomfortably[-2] awkward[-1] apparently[0] never[0] having[0] gotten[0] a[0] firm[0] handle[0] on[0] vince[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the christian conversion angle simply falls flat and unbelievable . 	the christian conversion angle simply falls flat and unbelievable .	1	-2	 the[0] christian[0] conversion[0] angle[0] simply[0] falls[0] flat[0] and[0] unbelievable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mr . banderas is uncharacteristically non-charismatic as caesar . 	mr .<br> banderas is uncharacteristically non-charismatic as caesar .	1	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] banderas[0] is[0] uncharacteristically[0] non[0] charismatic[0] as[0] caesar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weak and ineffectual , there is little life in his screen performance . 	weak and ineffectual , there is little life in his screen performance .	1	-2	 weak[-1] and[0] ineffectual[-1] there[0] is[0] little[0] life[0] in[0] his[0] screen[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other actors involved merely play stereotypes of one sort or another . 	the other actors involved merely play stereotypes of one sort or another .	1	-1	 the[0] other[0] actors[0] involved[0] merely[0] play[0] stereotypes[0] of[0] one[0] sort[0] or[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tom sizemore ( saving private ryan ) , robert wagner ( austin powers ii : the spy who shagged me ) , and richard masur ( fire down below ) are crooked promoters , lucy liu ( payback ) is a sex-starved hitchhiker looking for a good time , and lolita davidovich ( gods and monsters ) , is the shared girlfriend who can't make her mind up which boxer she prefers . 	tom sizemore ( saving private ryan ) , robert wagner ( austin powers i : the spy who shagged me ) , and richard masur ( fire down below ) are crooked promoters , lucy liu ( payback ) is a sex-starved hitchiker looking for a good time , and lolita davidovich ( gods and monsters ) , is the shared girlfriend who can't make her mind up which boxer she prefers .	2	-2	 tom[0] sizemore[0] saving[0] private[0] ryan[0] robert[0] wagner[0] austin[0] powers[0] ii/i[0] the[0] spy[0] who[0] shagged[0] me[0] and[0] richard[0] masur[0] fire[0] down[0] below[0] are[0] crooked[-1] promoters[0] lucy[0] liu[0] payback[0] is[0] a[0] sex[0] starved[-1] hitchhiker/hitchiker[0] looking[0] for[0] a[0] good[1] time[0] and[0] lolita[0] davidovich[0] gods[0] and[0] monsters[0] is[0] the[0] shared[0] girlfriend[0] who[0] can't[0] make[0] her[0] mind[0] up[0] which[0] boxer[0] she[0] prefers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
because of the weak characters and the lack of screen chemistry between them , the film flounders with all the appeal of a dead fish until the boxing match actually begins . 	because of the weak characters and the lack of screen chemistry between them , the film flounders with all the appeal of a dead fish until the boxing match actually begins .	1	-3	 because[0] of[0] the[0] weak[-1] characters[0] and[0] the[0] lack[-1] of[0] screen[0] chemistry[0] between[0] them[0] the[0] film[0] flounders[-1] with[0] all[0] the[0] appeal[0] of[0] a[0] dead[-2] fish[0] until[0] the[0] boxing[0] match[0] actually[0] begins[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but even then , because the outcome is so predictably obvious , the suspense factor is negated and we are relegated to just watching two men pummel each other . 	but even then , because the outcome is so predictably obvious , the suspense factor is negated and we are relegated to just watching two men pummel each other .	1	-1	 but[0] even[0] then[0] because[0] the[0] outcome[0] is[0] so[0] predictably[0] obvious[0] the[0] suspense[0] factor[0] is[0] negated[0] and[0] we[0] are[0] relegated[0] to[0] just[0] watching[0] two[0] men[0] pummel[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer/director ron shelton clearly spent much time orchestrating the fight sequence as it is well photographed , well-choreographed , well-edited , and well-performed . 	writer/director ron shelton clearly spent much time orchestrating the fight sequence as it is well photographed , well-choreographed , well-edited , and well-performed .	1	-3	 writer/director[0] ron[0] shelton[0] clearly[0] spent[0] much[0] time[0] orchestrating[0] the[0] fight[-2] sequence[0] as[0] it[0] is[0] well[0] photographed[0] well[0] choreographed[-2] well[0] edited[0] and[0] well[0] performed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if only some of that same detailed attention had been diverted to the remaining parts of the film . 	if only some of that same detailed attention had been diverted to the remaining parts of the film .	1	-1	 if[0] only[0] some[0] of[0] that[0] same[0] detailed[0] attention[0] had[0] been[0] diverted[0] to[0] the[0] remaining[0] parts[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as it is , the scenes which require the characters to actually talk to one another are weak and laughable . 	as it is , the scenes which require the characters to actually talk to one another are weak and laughable .	1	-2	 as[0] it[0] is[0] the[0] scenes[0] which[0] require[0] the[0] characters[0] to[0] actually[0] talk[0] to[0] one[0] another[0] are[0] weak[-1] and[0] laughable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the title is actually the most interesting aspect of the film . 	the title is actually the most interesting aspect of the film .	2	-1	 the[0] title[0] is[0] actually[0] the[0] most[0] interesting[1] aspect[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the phrase , " play it to the bone' is a reference to seeing something all the way through or not quitting until you've achieved your desired goal . 	the phrase , " play it to the bone' is a reference to seeing something all the way through or not quitting until you've achieved your desired goal .	1	-1	 the[0] phrase[0] play[0] it[0] to[0] the[0] bone'[0] is[0] a[0] reference[0] to[0] seeing[0] something[0] all[0] the[0] way[0] through[0] or[0] not[0] quitting[0] until[0] you've[0] achieved[0] your[0] desired[0] goal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is a biblical principle . 	that is a biblical principle .	1	-1	 that[0] is[0] a[0] biblical[0] principle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " know ye not that they which run in a race run all , but one receiveth the prize ? 	 " know ye not that they which run in a race run all , but one receiveth the prize ?	3	-1	 know[0] ye[0] not[0] that[0] they[0] which[0] run[0] in[0] a[0] race[0] run[0] all[0] but[0] one[0] receiveth[0] the[0] prize[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so run , that ye may obtain . " 	so run , that ye may obtain .<br> "	1	-1	 so[0] run[0] that[0] ye[0] may[0] obtain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 corinthians 9 : 24 [kjv] 	1 corinthians 9 : 24 [kjv]	1	-1	 1[0] corinthians[0] 9[0] 24[0] [kjv][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achieving anything worthy in life requires " playing it to the bone " . 	achieving anything worthy in life requires " playing it to the bone " .	2	-1	 achieving[0] anything[0] worthy[0] in[0] life[0] requires[0] playing[1] it[0] to[0] the[0] bone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we need to develop fully persuaded mindsets and commitment levels in order to endure and persevere past the obstacles and distractions which lay between us and our stated objectives . 	we need to develop fully persuaded mindsets and commitment levels in order to endure and persevere past the obstacles and distractions which lay between us and our stated objectives .	1	-2	 we[0] need[0] to[0] develop[0] fully[0] persuaded[0] mindsets[0] and[0] commitment[0] levels[0] in[0] order[0] to[0] endure[0] and[0] persevere[0] past[0] the[0] obstacles[-1] and[0] distractions[-1] which[0] lay[0] between[0] us[0] and[0] our[0] stated[0] objectives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is true in practical matters of our physical lives as well as the in the developing maturity of our spiritual lives . 	this is true in practical matters of our physical lives as well as the in the developing maturity of our spiritual lives .	2	-1	 this[0] is[0] true[1] in[0] practical[0] matters[0] of[0] our[0] physical[0] lives[0] as[0] well[0] as[0] the[0] in[0] the[0] developing[0] maturity[0] of[0] our[0] spiritual[0] lives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a movie , play it to the bone is hardly worth our time . 	as a movie , play it to the bone is hardly worth our time .	1	-1	 as[0] a[0] movie[0] play[0] it[0] to[0] the[0] bone[0] is[0] hardly[0] worth[0] our[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but as a principle of life , the phrase " play it to the bone " are words to live by . 	but as a principle of life , the phrase " play it to the bone " are words to live by .	1	-1	 but[0] as[0] a[0] principle[0] of[0] life[0] the[0] phrase[0] play[0] it[0] to[0] the[0] bone[0] are[0] words[0] to[0] live[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
