in the mid-1980s , following the splendid debut in hugh hudson's greystoke and relative success of first highlander film , it looked like christopher lambert's acting career might go somewhere . 	Translation	Positive	Negative	EmotionRationale
but , it wasn't meant to be , which became obvious following highlander ii . 	but , it wasn't meant to be , which became obvious following highlander i .	1	-1	 but[0] it[0] wasn't[0] meant[0] to[0] be[0] which[0] became[0] obvious[0] following[0] highlander[0] ii/i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this decade christopher lambert became associated with films with low budgets and even lower quality . 	in this decade christopher lambert became associated with films with low budgets and even lower quality .	1	-2	 in[0] this[0] decade[0] christopher[0] lambert[0] became[0] associated[0] with[0] films[0] with[0] low[-1] budgets[0] and[0] even[0] lower[0] quality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
very often such films were science fiction , which meant that the fans of that genre learned the hard way what to evade anything starring christopher lambert . 	very often such films were science fiction , which meant that the fans of that genre learned the hard way what to evade anything starring christopher lambert .	1	-2	 very[0] often[0] such[0] films[0] were[0] science[0] fiction[0] which[0] meant[0] that[0] the[0] fans[0] of[0] that[0] genre[0] learned[0] the[0] hard[0] way[0] what[0] to[0] evade[-1] anything[0] starring[0] christopher[0] lambert[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whether it was because of real lack of talent , terrible miscasting or simple bad luck isn't important - the end result was almost always horrible . 	whether it was because of real lack of talent , terrible miscasting or simple bad luck isn't important - the end result was almost always horrible .	3	-4	 whether[0] it[0] was[0] because[0] of[0] real[0] lack[-1] of[0] talent[1] terrible[-3] miscasting[0] or[0] simple[0] bad[-1] luck[2] isn't[0] important[0] the[0] end[0] result[0] was[0] almost[0] always[0] horrible[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the same can be said for fortress , 1993 science fiction film directed by stuart gordon , director who created cult following with his 1980s horror gorefests like reanimator and from beyond . 	the same can be said for fortress , 1993 science fiction film directed by stuart gordon , director who created cult following with his 1980s horror gorefests like reanimator and from beyond .	2	-4	 the[0] same[0] can[0] be[0] said[0] for[0] fortress[0] 1993[0] science[0] fiction[0] film[0] directed[0] by[0] stuart[0] gordon[0] director[0] who[0] created[0] cult[0] following[0] with[0] his[0] 1980s[0] horror[-3] gorefests[0] like[1] reanimator[0] and[0] from[0] beyond[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie is set in 2018 . 	the movie is set in 2018 .	1	-1	 the[0] movie[0] is[0] set[0] in[0] 2018[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for some undisclosed reason , usa introduced strict population control and couples are barred from having more than one child . 	for some undisclosed reason , usa introduced strict population control and couples are barred from having more than one child .	1	-2	 for[0] some[0] undisclosed[0] reason[0] usa[0] introduced[0] strict[-1] population[0] control[0] and[0] couples[0] are[0] barred[0] from[0] having[0] more[0] than[0] one[0] child[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jake ( christopher lambert ) and karen brennick ( lori laughlin ) broke that law and are caught by authorities on the border . 	jake ( christopher lambert ) and karen brennick ( lori laughlin ) broke that law and are caught by authorities on the border .	2	-2	 jake[0] christopher[0] lambert[0] and[0] karen[0] brennick[0] lori[0] laughlin[1] broke[-1] that[0] law[0] and[0] are[0] caught[0] by[0] authorities[0] on[0] the[0] border[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sentenced to 31 years in prison , they are both thrown into fortress , privately owned correctional facility , equiped with state-of-the-art futuristic technology and run by computer called zed . 	sentenced to 31 years in prison , they are both thrown into fortress , privately owned correctional facility , equiped with state-of-the-art futuristic technology and run by computer called zed .	1	-2	 sentenced[0] to[0] 31[0] years[0] in[0] prison[-1] they[0] are[0] both[0] thrown[0] into[0] fortress[0] privately[0] owned[0] correctional[0] facility[0] equiped[0] with[0] state[0] of[0] the[0] art[0] futuristic[0] technology[0] and[0] run[0] by[0] computer[0] called[0] zed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although equiped with gismos that regulate every aspect of inmates' lives and make any escape impossible , prison authorities often use violence . 	although equiped with gismos that regulate every aspect of inmates' lives and make any escape impossible , prison authorities often use violence .	1	-4	 although[0] equiped[0] with[0] gismos[0] that[0] regulate[0] every[0] aspect[0] of[0] inmates'[0] lives[0] and[0] make[0] any[0] escape[0] impossible[0] prison[-1] authorities[0] often[0] use[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
