a big house . 	Translation	Positive	Negative	EmotionRationale
a big director , jan de bont of speed and twister fame . 	a big director , jan de bont of speed and twister fame .	1	-1	 a[0] big[0] director[0] jan[0] de[0] bont[0] of[0] speed[0] and[0] twister[0] fame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a big star , catherine zeta-jones , hot of the heels of entrapment ( 6 . 5/10 ) and zorro . 	a big star , catherine zeta-jones , hot of the heels of entrapment ( 6 .<br> 5/10 ) and zorro .	1	-1	 a[0] big[0] star[0] catherine[0] zeta[0] jones[0] hot[0] of[0] the[0] heels[0] of[0] entrapment[0] 6[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] and[0] zorro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a big remake of the haunting . 	a big remake of the haunting .	1	-1	 a[0] big[0] remake[0] of[0] the[0] haunting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and big special effects . 	and big special effects .	2	-1	 and[0] big[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so what do they all amount to ? 	so what do they all amount to ?	1	-1	 so[0] what[0] do[0] they[0] all[0] amount[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately for us , a big bore ! 	unfortunately for us , a big bore !	1	-2	 unfortunately[-1] for[0] us[0] a[0] big[0] bore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot : a hotshot doctor brings three insomniacs to an old , spooky mansion for controlled testing . 	plot : a hotshot doctor brings three insomniacs to an old , spooky mansion for controlled testing .	1	-1	 plot[0] a[0] hotshot[0] doctor[0] brings[0] three[0] insomniacs[0] to[0] an[0] old[0] spooky[0] mansion[0] for[0] controlled[0] testing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unbeknownst to the patients , the good doctor is actually conducting his own cover project that has to do with the psychology of fear . 	unbeknownst to the patients , the good doctor is actually conducting his own cover project that has to do with the psychology of fear .	2	-4	 unbeknownst[0] to[0] the[0] patients[0] the[0] good[1] doctor[0] is[0] actually[0] conducting[0] his[0] own[0] cover[0] project[0] that[0] has[0] to[0] do[0] with[0] the[0] psychology[0] of[0] fear[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
critique : this movie just didn't scare me one bit . 	critique : this movie just didn't scare me one bit .	1	-4	 critique[0] this[0] movie[0] just[0] didn't[0] scare[-3] me[0] one[0] bit[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sure , it creeped and spooked me out a little here and there , but on the whole , it took waaaaay too long to get going , provided very little meat in the plot , went way past its own bedtime , and basically relied on grunts , the muttering of children's voices and over-the-top special effects , to scare us . 	sure , it creeped and spooked me out a little here and there , but on the whole , it took way too long to get going , provided very little meat in the plot , went way past its own bedtime , and basically relied on grunts , the muttering of children's voices and over-the-top special effects , to scare us .	2	-4	 sure[0] it[0] creeped[0] and[0] spooked[0] me[0] out[0] a[0] little[0] here[0] and[0] there[0] but[0] on[0] the[0] whole[0] it[0] took[0] waaaaay/way[0][+0.6 MultipleLetters] too[0] long[0] to[0] get[0] going[0] provided[0] very[0] little[0] meat[0] in[0] the[0] plot[0] went[0] way[0] past[0] its[0] own[0] bedtime[0] and[0] basically[0] relied[0] on[0] grunts[0] the[0] muttering[0] of[0] children's[0] voices[0] and[0] over[0] the[0] top[0] special[1] effects[0] to[0] scare[-3] us[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
