a follow-up to disney's live-action " 101 dalmatians " that's better , more entertaining than the first ? 	Translation	Positive	Negative	EmotionRationale
just as unlikely . 	just as unlikely .	1	-1	 just[0] as[0] unlikely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with " 102 dalmatians , " the disney studios have proven that when it comes to going to the dogs , more is definitely * not * the merrier . 	with " 102 dalmatians , " the disney studios have proven that when it comes to going to the dogs , more is definitely * not * the merrier .	1	-2	 with[0] 102[0] dalmatians[0] the[0] disney[0] studios[0] have[0] proven[0] that[0] when[0] it[0] comes[0] to[0] going[0] to[0] the[0] dogs[0] more[0] is[0] definitely[0] not[0] the[0] merrier[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1996's " 101 dalmatians " certainly wasn't the greatest movie-going experience of all time , but it did feature glenn close in an outrageous , larger-than-life performance . 	1996's " 101 dalmatians " certainly wasn't the greatest movie-going experience of all time , but it did feature glen close in an outrageous , larger-than-life performance .	3	-3	 1996's[0] 101[0] dalmatians[0] certainly[0] wasn't[0] the[0] greatest[2] movie[0] going[0] experience[0] of[0] all[0] time[0] but[0] it[0] did[0] feature[0] glenn/glen[0] close[0] in[0] an[0] outrageous[-2] larger[0] than[0] life[0] performance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in addition , we had two amiable leads in the form of jeff daniels and joely richardson , and lots and lots of adorable spotted puppies . 	in addition , we had two amiable leads in the form of jeff daniels and joely richardson , and lots and lots of adorable spotted puppies .	4	-1	 in[0] addition[0] we[0] had[0] two[0] amiable[2] leads[0] in[0] the[0] form[0] of[0] jeff[0] daniels[0] and[0] joely[0] richardson[0] and[0] lots[0] and[0] lots[0] of[0] adorable[3] spotted[0] puppies[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this time around there seem to be fewer puppies on the screen , and close's facial and physical gyrations are starting to feel as old as the 53-year-old actress under that startling black and white wig of hers . 	this time around there seem to be fewer puppies on the screen , and close's facial and physical gyrations are starting to feel as old as the 53-year-old actress under that startling black and white wig of hers .	1	-2	 this[0] time[0] around[0] there[0] seem[0] to[0] be[0] fewer[0] puppies[0] on[0] the[0] screen[0] and[0] close's[0] facial[0] and[0] physical[0] gyrations[0] are[0] starting[0] to[0] feel[0] as[0] old[0] as[0] the[0] 53[0] year[0] old[0] actress[0] under[0] that[0] startling[-1] black[0] and[0] white[0] wig[0] of[0] hers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but that's only half the problem with kevin lima's laborious film . 	but that's only half the problem with kevin lima's laborious film .	1	-2	 but[0] that's[0] only[0] half[0] the[0] problem[-1] with[0] kevin[0] lima's[0] laborious[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what makes " 102 dalmatians " such a collosal bore is its embarrassing attempts at humor ( here almost single-handedly foisted on a wisecracking macaw who thinks he's a dog , voiced by eric idle ) , its rabid plotlessness ( cruella goes after puppies again ; winds up in goo again ) and most of all , the incredibly wooden actors who plays the romantic " heroes " of the piece , a welshman named ioan gruffudd and the blander-than-bland alice evans as a parole officer named chlo ? . 	what makes " 102 dalmatians " such a collosal bore is its embarrassing attempts at humor ( here almost single-handedly foisted on a wisecracking macaw who thinks he's a dog , voiced by eric idle ) , its rabid plotlessness ( cruella goes after puppies again ; winds up in goo again ) and most of all , the incredibly wooden actors who plays the romantic " heroes " of the piece , a welshman named ioan gruffudd and the blander-than-bland alice evans as a parole officer named chlo ?<br> .	4	-4	 what[0] makes[0] 102[0] dalmatians[0] such[0] a[0] collosal[0] bore[-1] is[0] its[0] embarrassing[-2] attempts[0] at[0] humor[2] here[0] almost[0] single[0] handedly[0] foisted[0] on[0] a[0] wisecracking[0] macaw[0] who[0] thinks[0] he's[0] a[0] dog[0] voiced[0] by[0] eric[0] idle[0] its[0] rabid[0] plotlessness[0] cruella[-3] goes[0] after[0] puppies[0] again[0] winds[0] up[0] in[0] goo[0] again[0] and[0] most[0] of[0] all[0] the[0] incredibly[0] wooden[0] actors[0] who[0] plays[1] the[0] romantic[3] heroes[2][+1 MultiplePositiveWords] of[0] the[0] piece[0] a[0] welshman[0] named[0] ioan[0] gruffudd[0] and[0] the[0] blander[0] than[0] bland[-1] alice[0] evans[0] as[0] a[0] parole[0] officer[0] named[0] chlo[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
gruffudd is cute and harmless , perhaps , but evans can't even aspire to that . 	gruffudd is cute and harmless , perhaps , but evans can't even aspire to that .	2	-1	 gruffudd[0] is[0] cute[1] and[0] harmless[1] perhaps[0] but[0] evans[0] can't[0] even[0] aspire[0] to[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dogs upstage them both , of course , but in the case of evans , even close's split ends are more animated . 	the dogs upstage them both , of course , but in the case of evans , even close's split ends are more animated .	1	-1	 the[0] dogs[0] upstage[0] them[0] both[0] of[0] course[0] but[0] in[0] the[0] case[0] of[0] evans[0] even[0] close's[0] split[0] ends[0] are[0] more[0] animated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bad acting , however , seems to be a requirement for this sequel , since g ? rard depardieu shows up as a french furrier with a haircut like robert de niro's in " men of honor . " 	bad acting , however , seems to be a requirement for this sequel , since grin� ?<br> rard depardieu shows up as a french furrier with a haircut like robert de niro's in " men of honor .<br> "	2	-2	 bad[-1] acting[0] however[0] seems[0] to[0] be[0] a[0] requirement[0] for[0] this[0] sequel[0] since[0] g[0] [[Sentence=-2,1=word max, 1-5]] rard[0] depardieu[0] shows[0] up[0] as[0] a[0] french[0] furrier[0] with[0] a[0] haircut[0] like[1] robert[0] de[0] niro's[0] in[0] men[0] of[0] honor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
jean pierre le pelt is a flamboyant fashion designer with a penchant for fine furs and depardieu's over-the-top antics mimic those of the campy close flail for flail , and wail for wail . 	jean pierre le pelt is a flamboyant fashion designer with a penchant for fine furs and depardieu's over-the-top antics mimic those of the campy close flail for flail , and wail for wail .	3	-2	 jean[0] pierre[0] le[0] pelt[0] is[0] a[0] flamboyant[0] fashion[0] designer[0] with[0] a[0] penchant[0] for[0] fine[2] furs[0] and[0] depardieu's[0] over[0] the[0] top[0] antics[0] mimic[0] those[0] of[0] the[0] campy[0] close[0] flail[0] for[0] flail[0] and[0] wail[-1] for[0] wail[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
france's most popular export besides brie has long since turned into a caricature of himself , and in " 102 dalmatians " the producers milk that realization for all it's worth--le pelt likes to refer to the furry little critters as " poopies , " par example ( and ad nauseum ) . 	france's most popular export besides brie has long since turned into a caricature of himself , and in " 102 dalmatians " the producers milk that realization for all it's worth-le pelt likes to refer to the furry little critters as " poopies , " par example ( and ad nauseum ) .	3	-1	 france's[0] most[0] popular[0] export[0] besides[0] brie[0] has[0] long[0] since[0] turned[0] into[0] a[0] caricature[0] of[0] himself[0] and[0] in[0] 102[0] dalmatians[0] the[0] producers[0] milk[0] that[0] realization[0] for[0] all[0] it's[0] worth[0] le[0] pelt[0] likes[2] to[0] refer[0] to[0] the[0] furry[0] little[0] critters[0] as[0] poopies[0] par[0] example[0] and[0] ad[0] nauseum[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the finesses of the script ( attributed to four screenwriters no less , and far removed from anything dodie smith ever dreamed up ) are quickly dispensed with , since all it takes for a paroled cruella to be shaken from her years of successful aversion therapy in the slammer is the tolling of big ben ( ? ) . 	the finesses of the script ( attributed to four screenwriters no less , and far removed from anything dodie smith ever dreamed up ) are quickly dispensed with , since all it takes for a paroled cruella to be shaken from her years of successful aversion therapy in the slammer is the tolling of big ben ( ?<br> ) .	3	-4	 the[0] finesses[0] of[0] the[0] script[0] attributed[0] to[0] four[0] screenwriters[0] no[0] less[0] and[0] far[0] removed[0] from[0] anything[0] dodie[0] smith[0] ever[0] dreamed[0] up[0] are[0] quickly[0] dispensed[-1] with[0] since[0] all[0] it[0] takes[0] for[0] a[0] paroled[0] cruella[-3] to[0] be[0] shaken[-1] from[0] her[0] years[0] of[0] successful[2] aversion[-2] therapy[0] in[0] the[0] slammer[-1] is[0] the[0] tolling[0] of[0] big[0] ben[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
that done , it's back to the mansion to roll around in her heretofore off-limits sables and minks and a plan to skin those little dahlings for the sake of a hooded designer gown . 	that done , it's back to the mansion to roll around in her heretofore off-limits sables and minks and a plan to skin those little dahlings for the sake of a hooded designer gown .	1	-1	 that[0] done[0] it's[0] back[0] to[0] the[0] mansion[0] to[0] roll[0] around[0] in[0] her[0] heretofore[0] off[0] limits[0] sables[0] and[0] minks[0] and[0] a[0] plan[0] to[0] skin[0] those[0] little[0] dahlings[0] for[0] the[0] sake[0] of[0] a[0] hooded[0] designer[0] gown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dogs are pretty cute--try making a puppy look otherwise--but that's pretty much all they are . 	the dogs are pretty cute-try making a puppy look otherwise-but that's pretty much all they are .	3	-1	 the[0] dogs[0] are[0] pretty[2] cute[1] try[0] making[0] a[0] puppy[0] look[0] otherwise[0] but[0] that's[0] pretty[2] much[0] all[0] they[0] are[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's always the feeling that there's a trainer off in the wings , coaxing the dogs to open doors , or pick up their food bowls in unison , or pop a tape into the videocasette recorder . 	there's always the feeling that there's a trainer off in the wings , coaxing the dogs to open doors , or pick up their food bowls in unison , or pop a tape into the videocasette recorder .	1	-1	 there's[0] always[0] the[0] feeling[0] that[0] there's[0] a[0] trainer[0] off[0] in[0] the[0] wings[0] coaxing[0] the[0] dogs[0] to[0] open[0] doors[0] or[0] pick[0] up[0] their[0] food[0] bowls[0] in[0] unison[0] or[0] pop[0] a[0] tape[0] into[0] the[0] videocasette[0] recorder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
savvy holiday goers should skip " 102 dalmatians " and pop the original 1961 animated classic into * their * vcrs instead . 	savy holiday goers should skip " 102 dalmatians " and pop the original 1961 animated classic into * their * vcrs instead .	1	-1	 savvy/savy[0] holiday[0] goers[0] should[0] skip[0] 102[0] dalmatians[0] and[0] pop[0] the[0] original[0] 1961[0] animated[0] classic[0] into[0] their[0] vcrs[0] instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's one dalmatian less , but 101% more satisfying . 	it's one dalmatian less , but 101% more satisfying .	2	-1	 it's[0] one[0] dalmatian[0] less[0] but[0] 101%[0] more[0] satisfying[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
