 " quest for camelot " is warner bros . ' first feature-length , fully-animated attempt to steal clout from disney's cartoon empire , but the mouse has no reason to be worried . 	Translation	Positive	Negative	EmotionRationale
the only other recent challenger to their throne was last fall's promising , if flawed , 20th century fox production " anastasia , " but disney's " hercules , " with its lively cast and colorful palate , had her beat hands-down when it came time to crown 1997's best piece of animation . 	the only other recent challenger to their throne was last fall's promising , if flawed , 20th century fox production " anastasia , " but disney's " hercules , " with its lively cast and colorful palate , had her beat hands-down when it came time to crown 1997's best piece of animation .	2	-2	 the[0] only[0] other[0] recent[0] challenger[-1] to[0] their[0] throne[0] was[0] last[0] fall's[0] promising[1] if[0] flawed[0] 20th[0] century[0] fox[0] production[0] anastasia[0] but[0] disney's[0] hercules[0] with[0] its[0] lively[1] cast[0] and[0] colorful[0] palate[0] had[0] her[0] beat[0] hands[0] down[0] when[0] it[0] came[0] time[0] to[0] crown[0] 1997's[0] best[1] piece[0] of[0] animation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this year , it's no contest , as " quest for camelot " is pretty much dead on arrival . 	this year , it's no contest , as " quest for camelot " is pretty much dead on arrival .	3	-3	 this[0] year[0] it's[0] no[0] contest[0] as[0] quest[0] for[0] camelot[0] is[0] pretty[2] much[0] dead[-2] on[0] arrival[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even the magic kingdom at its most mediocre -- that'd be " pocahontas " for those of you keeping score -- isn't nearly as dull as this . 	even the magic kingdom at its most mediocre - that'd be " pocahontas " for those of you keeping score - isn't nearly as dull as this .	1	-2	 even[0] the[0] magic[0] kingdom[0] at[0] its[0] most[0] mediocre[-1] that'd[0] be[0] pocahontas[0] for[0] those[0] of[0] you[0] keeping[0] score[0] isn't[0] nearly[0] as[0] dull[-1] as[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story revolves around the adventures of free-spirited kayley ( voiced by jessalyn gilsig ) , the early-teen daughter of a belated knight from king arthur's round table . 	the story revolves around the adventures of free-spirited kayley ( voiced by jessalyn gilsig ) , the early-teen daughter of a belated knight from king arthur's round table .	1	-2	 the[0] story[0] revolves[0] around[0] the[0] adventures[0] of[0] free[0] spirited[0] kayley[0] voiced[0] by[0] jessalyn[0] gilsig[0] the[0] early[0] teen[0] daughter[0] of[0] a[0] belated[-1] knight[0] from[0] king[0] arthur's[0] round[0] table[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kayley's only dream is to follow in her father's footsteps , and she gets her chance when evil warlord ruber ( gary oldman ) , an ex-round table member-gone-bad , steals arthur's magical sword excalibur and accidentally loses it in a dangerous , booby-trapped forest . 	kayley's only dream is to follow in her father's footsteps , and she gets her chance when evil warlord ruber ( gary oldman ) , an ex-round table member-gone-bad , steals arthur's magical sword excalibur and accidentally loses it in a dangerous , booby-trapped forest .	1	-3	 kayley's[0] only[0] dream[0] is[0] to[0] follow[0] in[0] her[0] father's[0] footsteps[0] and[0] she[0] gets[0] her[0] chance[0] when[0] evil[-2] warlord[0] ruber[0] gary[0] oldman[0] an[0] ex[0] round[0] table[0] member[0] gone[0] bad[-1] steals[-2] arthur's[0] magical[0] sword[0] excalibur[0] and[0] accidentally[-1] loses[-1] it[0] in[0] a[0] dangerous[-1] booby[0] trapped[0] forest[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the help of hunky , blind timberland-dweller garrett ( carey elwes ) and a two-headed dragon ( eric idle and don rickles ) that's always arguing with itself , kayley just might be able to break the medieval sexist mold and prove her worth as a fighter on arthur's side . 	with the help of hunky , blind timberland-dweller garret ( carey elwes ) and a two-headed dragon ( eric idle and don rickles ) that's always arguing with itself , kayley just might be able to break the medieval sexist mold and prove her worth as a fighter on arthur's side .	1	-3	 with[0] the[0] help[0] of[0] hunky[0] blind[-1] timberland[0] dweller[0] garrett/garret[0] carey[0] elwes[0] and[0] a[0] two[0] headed[0] dragon[0] eric[0] idle[0] and[0] don[0] rickles[0] that's[0] always[0] arguing[-1] with[0] itself[0] kayley[0] just[0] might[0] be[0] able[0] to[0] break[0] the[0] medieval[0] sexist[-2] mold[0] and[0] prove[0] her[0] worth[0] as[0] a[0] fighter[-2] on[0] arthur's[0] side[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " quest for camelot " is missing pure showmanship , an essential element if it's ever expected to climb to the high ranks of disney . 	 " quest for camelot " is missing pure showmanship , an essential element if it's ever expected to climb to the high ranks of disney .	1	-1	 quest[0] for[0] camelot[0] is[0] missing[0] pure[0] showmanship[0] an[0] essential[0] element[0] if[0] it's[0] ever[0] expected[0] to[0] climb[0] to[0] the[0] high[0] ranks[0] of[0] disney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's nothing here that differentiates " quest " from something you'd see on any given saturday morning cartoon -- subpar animation , instantly forgettable songs , poorly-integrated computerized footage . 	there's nothing here that differentiates " quest " from something you'd see on any given saturday morning cartoon - subpar animation , instantly forgettable songs , poorly-integrated computerized footage .	1	-2	 there's[0] nothing[0] here[0] that[0] differentiates[0] quest[0] from[0] something[0] you'd[0] see[0] on[0] any[0] given[0] saturday[0] morning[0] cartoon[0] subpar[0] animation[0] instantly[0] forgettable[0] songs[0] poorly[-1] integrated[0] computerized[0] footage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( compare kayley and garrett's run-in with the angry ogre to herc's battle with the hydra . 	 ( compare kayley and garrett's run-in with the angry ogre to herc's battle with the hydra .	1	-4	 compare[0] kayley[0] and[0] garrett's[0] run[0] in[0] with[0] the[0] angry[-3] ogre[0] to[0] herc's[0] battle[-1] with[0] the[0] hydra[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i rest my case . ) 	i rest my case .<br> )	1	-1	 i[0] rest[0] my[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the characters stink -- none of them are remotely interesting , so much that the film becomes a race to see which one can out-bland the others . 	even the characters stink - none of them are remotely interesting , so much that the film becomes a race to see which one can out-bland the others .	2	-3	 even[0] the[0] characters[0] stink[-2] none[0] of[0] them[0] are[0] remotely[0] interesting[1] so[0] much[0] that[0] the[0] film[0] becomes[0] a[0] race[0] to[0] see[0] which[0] one[0] can[0] out[0] bland[-1] the[0] others[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the end , it's a tie -- they all win . 	in the end , it's a tie - they all win .	1	-1	 in[0] the[0] end[0] it's[0] a[0] tie[0] they[0] all[0] win[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that dragon's comedy shtick is awfully cloying , but at least it shows signs of a pulse . 	that dragon's comedy shtick is awfully cloying , but at least it shows signs of a pulse .	1	-4	 that[0] dragon's[0] comedy[0] shtick[0] is[0] awfully[-3] cloying[0] but[0] at[0] least[0] it[0] shows[0] signs[0] of[0] a[0] pulse[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at least fans of the early-'90s tgif television line-up will be thrilled to find jaleel " urkel " white and bronson " balki " pinchot sharing the same footage . 	at least fans of the early-'90s tgif television line-up will be thrilled to find jaleel " urkel " white and bronson " balki " pinchot sharing the same footage .	4	-2	 at[0] least[0] fans[0] of[0] the[0] early[0] '90s[0] tgif[0] television[0] line[0] up[0] will[0] be[0] thrilled[3] to[0] find[0] jaleel[0] urkel[0] white[0] and[0] bronson[0] balki[-1] pinchot[0] sharing[0] the[0] same[0] footage[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
a few scenes are nicely realized ( though i'm at a loss to recall enough to be specific ) , and the actors providing the voice talent are enthusiastic ( though most are paired up with singers who don't sound a thing like them for their big musical moments -- jane seymour and celine dion ? ? ? ) . 	a few scenes are nicely realized ( though i'm at a loss to recall enough to be specific ) , and the actors providing the voice talent are enthusiastic ( though most are paired up with singers who don't sound a thing like them for their big musical moments - jane seymour and celine dion ?<br> ?<br> ?<br> ) .	3	-3	 a[0] few[0] scenes[0] are[0] nicely[1] realized[0] though[0] i'm[0] at[0] a[0] loss[-2] to[0] recall[0] enough[0] to[0] be[0] specific[0] and[0] the[0] actors[0] providing[0] the[0] voice[0] talent[1] are[0] enthusiastic[2] though[0] most[0] are[0] paired[0] up[0] with[0] singers[0] who[0] don't[0] sound[0] a[0] thing[0] like[1] them[0] for[0] their[0] big[0] musical[0] moments[0] jane[0] seymour[0] and[0] celine[0] dion[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but one must strain through too much of this mess to find the good . 	but one must strain through too much of this mess to find the good .	2	-2	 but[0] one[0] must[0] strain[-1] through[0] too[0] much[0] of[0] this[0] mess[0] to[0] find[0] the[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aside from the fact that children will probably be as bored watching this as adults , " quest for camelot " 's most grievous error is its complete lack of personality . 	aside from the fact that children will probably be as bored watching this as adults , " quest for camelot " 's most grievous error is its complete lack of personality .	1	-4	 aside[0] from[0] the[0] fact[0] that[0] children[0] will[0] probably[0] be[0] as[0] bored[-1] watching[0] this[0] as[0] adults[0] quest[0] for[0] camelot[0] 's[0] most[0] grievous[-3] error[-1] is[0] its[0] complete[0] lack[-1][-1 LastWordBoosterStrength] of[0] personality[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and personality , we learn from this mess , goes a very long way . 	and personality , we learn from this mess , goes a very long way .	1	-1	 and[0] personality[0] we[0] learn[0] from[0] this[0] mess[0] goes[0] a[0] very[0] long[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
