michael richards leaves his spot as kramer on the infamous seinfeld tv sitcom for a stint as a lanky , goofy best friend to jeff daniels' lawyer character in this ill-fated , and unfunny , " comedy " . 	Translation	Positive	Negative	EmotionRationale
plot : richard the actor ( richards ) has to take the place of charles the lawyer ( daniels ) in a real court case , after charles is left unintelligible from a night of heavy drinking at his bachelor party . 	plot : richard the actor ( richards ) has to take the place of charles the lawyer ( daniels ) in a real court case , after charles is left unintelligible from a night of heavy drinking at his bachelor party .	1	-1	 plot[0] richard[0] the[0] actor[0] richards[0] has[0] to[0] take[0] the[0] place[0] of[0] charles[0] the[0] lawyer[0] daniels[0] in[0] a[0] real[0] court[0] case[0] after[0] charles[0] is[0] left[0] unintelligible[0] from[0] a[0] night[0] of[0] heavy[0] drinking[0] at[0] his[0] bachelor[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film follows the antics of the two men as they try to get away with their tomfoolery . 	the film follows the antics of the two men as they try to get away with their tomfoolery .	1	-1	 the[0] film[0] follows[0] the[0] antics[0] of[0] the[0] two[0] men[0] as[0] they[0] try[0] to[0] get[0] away[0] with[0] their[0] tomfoolery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : this movie did not make me laugh once . 	critique : this movie did not make me laugh once .	2	-1	 critique[0] this[0] movie[0] did[0] not[0] make[0] me[0] laugh[1] once[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps it was because i was tired when i watched it . 	perhaps it was because i was tired when i watched it .	1	-2	 perhaps[0] it[0] was[0] because[0] i[0] was[0] tired[-1] when[0] i[0] watched[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps . 	perhaps .	1	-1	 perhaps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps it was because i had seen richards perform most of the same schtick a thousand times on seinfeld . 	perhaps it was because i had seen richards perform most of the same schtick a thousand times on seinfeld .	1	-1	 perhaps[0] it[0] was[0] because[0] i[0] had[0] seen[0] richards[0] perform[0] most[0] of[0] the[0] same[0] schtick[0] a[0] thousand[0] times[0] on[0] seinfeld[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps . 	perhaps .	1	-1	 perhaps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps it was because the movie just wasn't funny . 	perhaps it was because the movie just wasn't funny .	2	-1	 perhaps[0] it[0] was[0] because[0] the[0] movie[0] just[0] wasn't[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
absolutely . 	absolutely .	1	-1	 absolutely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lack of humour wasn't the only issue that i had with this film either . 	the lack of humour wasn't the only issue that i had with this film either .	3	-2	 the[0] lack[-1] of[0] humour[2] wasn't[0] the[0] only[0] issue[0] that[0] i[0] had[0] with[0] this[0] film[0] either[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
