first impressions : critically , a close-to-awful film , but money-wise , it has been doing ( and will continue to do ) great . 	Translation	Positive	Negative	EmotionRationale
a sometimes-funny film that sags and lags and oftentimes gets boring . 	a sometimes-funny film that sags and lags and oftentimes gets boring .	1	-2	 a[0] sometimes[0] funny[1][-1 LastWordBoosterStrength] film[0] that[0] sags[-1] and[0] lags[0] and[0] oftentimes[0] gets[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an orginal plot that grows old real fast . 	an orginal plot that grows old real fast .	1	-1	 an[0] orginal[0] plot[0] that[0] grows[0] old[0] real[0] fast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the only 90 minute films that i've gotten bored through . 	one of the only 90 minute films that i've gotten bored through .	1	-2	 one[0] of[0] the[0] only[0] 90[0] minute[0] films[0] that[0] i've[0] gotten[0] bored[-1] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
men in black has defied the odds . 	men in black has defied the odds .	1	-1	 men[0] in[0] black[0] has[0] defied[0] the[0] odds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i first saw that the flick was 89 minutes long , i thought maybe that this was a poor attempt at an independence day type film that just ran out of gas . 	when i first saw that the flick was 89 minutes long , i thought maybe that this was a poor attempt at an independence day type film that just ran out of gas .	1	-2	 when[0] i[0] first[0] saw[0] that[0] the[0] flick[0] was[0] 89[0] minutes[0] long[0] i[0] thought[0] maybe[0] that[0] this[0] was[0] a[0] poor[-1] attempt[0] at[0] an[0] independence[0] day[0] type[0] film[0] that[0] just[0] ran[0] out[0] of[0] gas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , i now realize that not only did men in black run out of gas , but the film in 90 minutes manages to show off a very original idea ( which summer audiences have embraced ) that becomes old about 25 minutes into the movie . 	however , i now realize that not only did men in black run out of gas , but the film in 90 minutes manages to show off a very original idea ( which summer audiences have embraced ) that becomes old about 25 minutes into the movie .	1	-1	 however[0] i[0] now[0] realize[0] that[0] not[0] only[0] did[0] men[0] in[0] black[0] run[0] out[0] of[0] gas[0] but[0] the[0] film[0] in[0] 90[0] minutes[0] manages[0] to[0] show[0] off[0] a[0] very[0] original[0] idea[0] which[0] summer[0] audiences[0] have[0] embraced[0] that[0] becomes[0] old[0] about[0] 25[0] minutes[0] into[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tommy lee jones and will smith play two " government " agents who are responsible for keeping order in alien society . 	tommy lee jones and will smith play two " government " agents who are responsible for keeping order in alien society .	1	-2	 tommy[0] lee[0] jones[0] and[0] will[0] smith[0] play[0] two[0] government[0] agents[0] who[0] are[0] responsible[0] for[0] keeping[0] order[0] in[0] alien[-1] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ridiculous plot begins when an alien " bug " , played weirdly by vincent d'onofrio , who was so great in full metal jacket , lands on earth to retrieve a galaxy that's somewhere on " orion's belt . " 	the ridiculous plot begins when an alien " bug " , played weirdly by vincent d'onofrio , who was so great in full metal jacket , lands on earth to retrieve a galaxy that's somewhere on " orion's belt .<br> "	3	-3	 the[0] ridiculous[-2] plot[0] begins[0] when[0] an[0] alien[-1] bug[-1] played[0] weirdly[-1] by[0] vincent[0] d'onofrio[0] who[0] was[0] so[0] great[2] in[0] full[0] metal[0] jacket[0] lands[0] on[0] earth[0] to[0] retrieve[0] a[0] galaxy[0] that's[0] somewhere[0] on[0] orion's[0] belt[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
anyway , the basic plot revolves around jones and smith to stop this bug from getting the galaxy , or a higher power will blow up the earth . 	anyway , the basic plot revolves around jones and smith to stop this bug from getting the galaxy , or a higher power will blow up the earth .	1	-2	 anyway[0] the[0] basic[0] plot[0] revolves[0] around[0] jones[0] and[0] smith[0] to[0] stop[0] this[0] bug[-1] from[0] getting[0] the[0] galaxy[0] or[0] a[0] higher[0] power[0] will[0] blow[0] up[0] the[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the premise is ridulous , but that is not why i didn't like this film . 	the premise is ridulous , but that is not why i didn't like this film .	2	-1	 the[0] premise[0] is[0] ridulous[0] but[0] that[0] is[0] not[0] why[0] i[0] didn't[0] like[1] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i love original plots . 	i love original plots .	3	-1	 i[0] love[2] original[0] plots[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this one had an original one . 	this one had an original one .	1	-1	 this[0] one[0] had[0] an[0] original[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but director barry sonnenfeld did something to this film that ruined its plot : he made the film drag and also put in unncessary elements in it that are found in romance films . 	but director barry sonnenfeld did something to this film that ruined its plot : he made the film drag and also put in unncessary elements in it that are found in romance films .	4	-2	 but[0] director[0] barry[0] sonnenfeld[0] did[0] something[0] to[0] this[0] film[0] that[0] ruined[-1] its[0] plot[0] he[0] made[0] the[0] film[0] drag[-1] and[0] also[0] put[0] in[0] unncessary[0] elements[0] in[0] it[0] that[0] are[0] found[0] in[0] romance[3] films[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
whenever i saw d'onofrio's bug stomp and eat people in the film , it got terribly boring after a while . 	whenever i saw d'onofrio's bug stomp and eat people in the film , it got terribly boring after a while .	1	-4	 whenever[0] i[0] saw[0] d'onofrio's[0] bug[-1] stomp[0] and[0] eat[0] people[0] in[0] the[0] film[0] it[0] got[0] terribly[-3] boring[-1] after[0] a[0] while[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while smith's wise-cracks did fill in the gaps , it wasn't enough . 	while smith's wise-cracks did fill in the gaps , it wasn't enough .	1	-1	 while[0] smith's[0] wise[0] cracks[0] did[0] fill[0] in[0] the[0] gaps[0] it[0] wasn't[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and also , i cannot believe the screenwriters elected to have a sub-plot where tommy lee jones missed his former lover because as an alien agent , they can't have contact with any humans really . 	and also , i cannot believe the screenwriters elected to have a sub-plot where tommy lee jones missed his former lover because as an alien agent , they can't have contact with any humans really .	4	-2	 and[0] also[0] i[0] cannot[0] believe[0] the[0] screenwriters[0] elected[0] to[0] have[0] a[0] sub[0] plot[0] where[0] tommy[0] lee[0] jones[0] missed[-1] his[0] former[0] lover[3] because[0] as[0] an[0] alien[-1] agent[0] they[0] can't[0] have[0] contact[0] with[0] any[0] humans[0] really[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and here i see jones , at a satellite computer , watching his lover plant the garden ? 	and here i see jones , at a satellite computer , watching his lover plant the garden ?	4	-1	 and[0] here[0] i[0] see[0] jones[0] at[0] a[0] satellite[0] computer[0] watching[0] his[0] lover[3] plant[0] the[0] garden[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
