plot : token director alan smithee steals the only copy of his film " trio " from the studio , after they complete the " final cut " without him . 	Translation	Positive	Negative	EmotionRationale
he threatens to burn the film reel if they do not allow him to keep his vision . 	he threatens to burn the film reel if they do not allow him to keep his vision .	1	-3	 he[0] threatens[-2] to[0] burn[-1] the[0] film[0] reel[0] if[0] they[0] do[0] not[0] allow[0] him[0] to[0] keep[0] his[0] vision[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : wow . 	critique : wow .	3	-1	 critique[0] wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i really can't remember the last time a movie sucked on so many levels ! 	i really can't remember the last time a movie sucked on so many levels !	1	-2	 i[0] really[0] can't[0] remember[0] the[0] last[0] time[0] a[0] movie[0] sucked[-1] on[0] so[0] many[0] levels[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the " comedy " in this film is pathetic , obvious and dated ( oj simpson jokes galore ) . 	the " comedy " in this film is pathetic , obvious and dated ( oj simpson jokes galore ) .	2	-3	 the[0] comedy[0] in[0] this[0] film[0] is[0] pathetic[-2] obvious[0] and[0] dated[0] oj[0] simpson[0] jokes[1] galore[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot is uninteresting , boring and bad . 	the plot is uninteresting , boring and bad .	1	-2	 the[0] plot[0] is[0] uninteresting[0] boring[-1] and[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the structure of the film is annoying , repetitive and pretentious . 	the structure of the film is annoying , repetitive and pretentious .	1	-3	 the[0] structure[0] of[0] the[0] film[0] is[0] annoying[-2] repetitive[0] and[0] pretentious[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting is pretty bad , especially jackie chan , who can't act to save his life . 	the acting is pretty bad , especially jackie chan , who can't act to save his life .	3	-2	 the[0] acting[0] is[0] pretty[2] bad[-1] especially[0] jackie[0] chan[0] who[0] can't[0] act[0] to[0] save[1] his[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the cameos are lame and seem forced , and the ending blows chunks . 	the cameos are lame and seem forced , and the ending blows chunks .	1	-3	 the[0] cameos[0] are[0] lame[-2] and[0] seem[0] forced[0] and[0] the[0] ending[0] blows[0] chunks[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all in all , this movie believes itself to be a clever , humorous and edgy look behind the closed doors of hollywood , but comes across as a boring , stupid and completely unentertaining piece of shite . 	all in all , this movie believes itself to be a clever , humorous and edgy look behind the closed doors of hollywood , but comes across as a boring , stupid and completely unentertaining piece of shite .	3	-2	 all[0] in[0] all[0] this[0] movie[0] believes[0] itself[0] to[0] be[0] a[0] clever[0] humorous[2] and[0] edgy[0] look[0] behind[0] the[0] closed[0] doors[0] of[0] hollywood[0] but[0] comes[0] across[0] as[0] a[0] boring[-1] stupid[-1] and[0] completely[0] unentertaining[0] piece[0] of[0] shite[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i love to see movies about hollywood shenanigans , but this one bites the big one . 	i love to see movies about hollywood shenanigans , but this one bites the big one .	3	-1	 i[0] love[2] to[0] see[0] movies[0] about[0] hollywood[0] shenanigans[0] but[0] this[0] one[0] bites[0] the[0] big[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
