possibly the years the most anticipated film and finally it arrives here in the uk . 	Translation	Positive	Negative	EmotionRationale
it smashed u . s box office office records in it's opening weekend and will no doubt do the same here . 	it smashed you .<br> s box office office records in it's opening weekend and will no doubt do the same here .	1	-2	 it[0] smashed[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] box[0] office[0] office[0] records[0] in[0] it's[0] opening[0] weekend[0] and[0] will[0] no[0] doubt[-1] do[0] the[0] same[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but is it any good ? 	but is it any good ?	2	-1	 but[0] is[0] it[0] any[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a word , no . 	in a word , no .	1	-1	 in[0] a[0] word[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll elaborate further . 	i'll elaborate further .	1	-1	 i'll[0] elaborate[0] further[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is as follows . 	the story is as follows .	1	-1	 the[0] story[0] is[0] as[0] follows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently there were two islands with dinosaurs on . 	apparently there were two islands with dinosaurs on .	1	-1	 apparently[0] there[0] were[0] two[0] islands[0] with[0] dinosaurs[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one where the dinos lived untouched by mankind and the other a tourist attraction which failed before it even opened . 	one where the dinos lived untouched by mankind and the other a tourist attraction which failed before it even opened .	2	-3	 one[0] where[0] the[0] dinos[0] lived[0] untouched[0] by[0] mankind[0] and[0] the[0] other[0] a[0] tourist[0] attraction[1] which[0] failed[-2] before[0] it[0] even[0] opened[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( see jurrasic park . ) 	 ( see jurrasic park .<br> )	1	-1	 see[0] jurrasic[0] park[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
imgen , the company that funded jurrasic park , want to reccover their losses by taking more dinos off the other island and move them to a new attraction in san diago . 	imgen , the company that funded jurrasic park , want to recover their losses by taking more dinos off the other island and move them to a new attraction in san diago .	2	-3	 imgen[0] the[0] company[0] that[0] funded[0] jurrasic[0] park[0] want[0] to[0] reccover/recover[0] their[0] losses[-2] by[0] taking[0] more[0] dinos[0] off[0] the[0] other[0] island[0] and[0] move[0] them[0] to[0] a[0] new[0] attraction[1] in[0] san[0] diago[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
realizing what a bad idea this is , proffessor john hammond ( richard attenborough ) decides to send a team to document the dinosaurs , so as to rally public support to preserve the island . 	realizing what a bad idea this is , professor john hammond ( richard attenborough ) decides to send a team to document the dinosaurs , so as to rally public support to preserve the island .	2	-2	 realizing[0] what[0] a[0] bad[-1] idea[0] this[0] is[0] proffessor/professor[0] john[0] hammond[0] richard[0] attenborough[0] decides[0] to[0] send[0] a[0] team[0] to[0] document[0] the[0] dinosaurs[0] so[0] as[0] to[0] rally[0] public[0] support[1] to[0] preserve[0] the[0] island[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
