i have never been a " star trek " fan , and , to tell the truth , out of the five films in the series that i have seen ( 1 , 2 , 3 , 8 , 9 ) , i have disliked all of them . 	Translation	Positive	Negative	EmotionRationale
i do , however , always go into one of these with an open mind , and the ninth film in the series , " star trek : insurrection , " is no exception . 	i do , however , always go into one of these with an open mind , and the ninth film in the series , " star trek : insurrection , " is no exception .	1	-1	 i[0] do[0] however[0] always[0] go[0] into[0] one[0] of[0] these[0] with[0] an[0] open[0] mind[0] and[0] the[0] ninth[0] film[0] in[0] the[0] series[0] star[0] trek[0] insurrection[0] is[0] no[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dropping almost completely the hard-core sci-fi element of the previous one in the series , " first contact , " " insurrection , " tells the story of a planet that holds only 600 people , known as the ba'ku , as well as the fountain of youth . 	dropping almost completely the hard-core sci-fi element of the previous one in the series , " first contact , " " insurrection , " tells the story of a planet that holds only 600 people , known as the ba'ku , as well as the fountain of youth .	1	-1	 dropping[0] almost[0] completely[0] the[0] hard[0] core[0] sci[0] fi[0] element[0] of[0] the[0] previous[0] one[0] in[0] the[0] series[0] first[0] contact[0] insurrection[0] tells[0] the[0] story[0] of[0] a[0] planet[0] that[0] holds[0] only[0] 600[0] people[0] known[0] as[0] the[0] ba'ku[0] as[0] well[0] as[0] the[0] fountain[0] of[0] youth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the start of the picture , the villagers go under attack by a second alien species , known as the son'a , who want to push all of the ba'ku out so that their own race will not die out . 	at the start of the picture , the villagers go under attack by a second alien species , known as the son'a , who want to push all of the ba'ku out so that their own race will not die out .	1	-3	 at[0] the[0] start[0] of[0] the[0] picture[0] the[0] villagers[0] go[0] under[0] attack[-2] by[0] a[0] second[0] alien[-1] species[0] known[0] as[0] the[0] son'a[0] who[0] want[0] to[0] push[0] all[0] of[0] the[0] ba'ku[0] out[0] so[0] that[0] their[0] own[0] race[0] will[0] not[0] die[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also attacking the ba'ku is data ( brent spiner ) , a robot from the star trek enterprise . 	also attacking the ba'ku is data ( brent spiner ) , a robot from the star trek enterprise .	1	-3	 also[0] attacking[-2] the[0] ba'ku[0] is[0] data[0] brent[0] spiner[0] a[0] robot[0] from[0] the[0] star[0] trek[0] enterprise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after returning to jean-luc picard ( patrick stewart ) and the gang on their space ship , no one can understand why data was somehow taken over by another force . 	after returning to jean-luc picard ( patrick stewart ) and the gang on their space ship , no one can understand why data was somehow taken over by another force .	1	-2	 after[0] returning[0] to[0] jean[0] luc[0] picard[0] patrick[0] stewart[0] and[0] the[0] gang[0] on[0] their[0] space[0] ship[0] no[0] one[0] can[0] understand[0] why[0] data[0] was[0] somehow[0] taken[0] over[0] by[0] another[0] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so several of the star trek members travel down to the planet of the ba'ku , where picard meets up and starts to fall in love with one of the inhabitants , a sultry , kind alien woman ( donna murphy ) , who is over six-hundred-years-old , but looks to only be in her thirties . 	so several of the star trek members travel down to the planet of the ba'ku , where picard meets up and starts to fall in love with one of the inhabitants , a sultry , kind alien woman ( donna murphy ) , who is over six-hundred-years-old , but looks to only be in her thirties .	3	-2	 so[0] several[0] of[0] the[0] star[0] trek[0] members[0] travel[0] down[0] to[0] the[0] planet[0] of[0] the[0] ba'ku[0] where[0] picard[0] meets[0] up[0] and[0] starts[0] to[0] fall[0] in[0] love[2] with[0] one[0] of[0] the[0] inhabitants[0] a[0] sultry[0] kind[1] alien[-1] woman[0] donna[0] murphy[0] who[0] is[0] over[0] six[0] hundred[0] years[0] old[0] but[0] looks[0] to[0] only[0] be[0] in[0] her[0] thirties[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " star trek : insurrection , " is a completely unoriginal and cheap-looking installment in the series , and is a big step down from , 1996's " first contact , " which at least appeared to try to make something a bit different . 	 " star trek : insurrection , " is a completely unoriginal and cheap-looking instalment in the series , and is a big step down from , 1996's " first contact , " which at least appeared to try to make something a bit different .	1	-2	 star[0] trek[0] insurrection[0] is[0] a[0] completely[0] unoriginal[0] and[0] cheap[-1] looking[0] installment/instalment[0] in[0] the[0] series[0] and[0] is[0] a[0] big[0] step[0] down[0] from[0] 1996's[0] first[0] contact[0] which[0] at[0] least[0] appeared[0] to[0] try[0] to[0] make[0] something[0] a[0] bit[0] different[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in , " insurrection , " however , it plays like a low-rent episode of the television show , due to the small-scale , generic storyline , and an emphasis on one-liners rather than excitement . 	in , " insurrection , " however , it plays like a low-rent episode of the television show , due to the small-scale , generic storyline , and an emphasis on one-liners rather than excitement .	3	-2	 in[0] insurrection[0] however[0] it[0] plays[1] like[1] a[0] low[-1] rent[0] episode[0] of[0] the[0] television[0] show[0] due[0] to[0] the[0] small[0] scale[0] generic[0] storyline[0] and[0] an[0] emphasis[0] on[0] one[0] liners[0] rather[0] than[0] excitement[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film was filled with nearly non-stop comedy , and worse yet , most of it fell flatter than a cartoon character that drops off a cliff . 	the film was filled with nearly non-stop comedy , and worse yet , most of it fell flatter than a cartoon character that drops off a cliff .	1	-3	 the[0] film[0] was[0] filled[0] with[0] nearly[0] non[0] stop[0] comedy[0] and[0] worse[-2] yet[0] most[0] of[0] it[0] fell[0] flatter[0] than[0] a[0] cartoon[0] character[0] that[0] drops[0] off[0] a[0] cliff[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , when there were action sequences , they were not at all interesting or inventive , relying on that old reliable ticking timer that counts down very , very slowly . 	meanwhile , when there were action sequences , they were not at all interesting or inventive , relying on that old reliable ticking timer that counts down very , very slowly .	2	-1	 meanwhile[0] when[0] there[0] were[0] action[0] sequences[0] they[0] were[0] not[0] at[0] all[0] interesting[1] or[0] inventive[0] relying[0] on[0] that[0] old[0] reliable[0] ticking[0] timer[0] that[0] counts[0] down[0] very[0] very[0] slowly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
