 " the red violin " is a cold , sterile feature that leaves you uninvolved and detached . 	Translation	Positive	Negative	EmotionRationale
it's a movie that seems almost clinical , as it traces the 300-plus-years history of the legendary musical instrument of the title . 	it's a movie that seems almost clinical , as it traces the 300-plus-years history of the legendary musical instrument of the title .	1	-1	 it's[0] a[0] movie[0] that[0] seems[0] almost[0] clinical[0] as[0] it[0] traces[0] the[0] 300[0] plus[0] years[0] history[0] of[0] the[0] legendary[0] musical[0] instrument[0] of[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opening in the 17th century , the story shows how violin-maker nicolo bussotti created the instrument as a gift for his unborn son . 	opening in the 17th century , the story shows how violin-maker nicolo bussotti created the instrument as a gift for his unborn son .	1	-1	 opening[0] in[0] the[0] 17th[0] century[0] the[0] story[0] shows[0] how[0] violin[0] maker[0] nicolo[0] bussotti[0] created[0] the[0] instrument[0] as[0] a[0] gift[0] for[0] his[0] unborn[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but when tragedy strikes , the violin becomes the personification of its maker's grief . 	but when tragedy strikes , the violin becomes the personification of its maker's grief .	1	-4	 but[0] when[0] tragedy[-2] strikes[0] the[0] violin[0] becomes[0] the[0] personification[0] of[0] its[0] maker's[0] grief[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from there the violin comes into the hands of an orphaned child prodigy at an austrian monastery . 	from there the violin comes into the hands of an orphaned child prodigy at an austrian monastery .	1	-1	 from[0] there[0] the[0] violin[0] comes[0] into[0] the[0] hands[0] of[0] an[0] orphaned[0] child[0] prodigy[0] at[0] an[0] austrian[0] monastery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
again , tragedy strikes as the child is struck down at the moment of his triumph . 	again , tragedy strikes as the child is struck down at the moment of his triumph .	3	-3	 again[0] tragedy[-2] strikes[0] as[0] the[0] child[0] is[0] struck[-1] down[0] at[0] the[0] moment[0] of[0] his[0] triumph[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we follow the violin through the centuries as it finds a home in england and in mao's communist china before being discovered by expert charles morritz ( samuel l . jackson ) , who mounts a painstaking investigation to prove its authenticity . 	we follow the violin through the centuries as it finds a home in england and in mao's communist china before being discovered by expert charles morritz ( samuel l .<br> jackson ) , who mounts a painstaking investigation to prove its authenticity .	1	-1	 we[0] follow[0] the[0] violin[0] through[0] the[0] centuries[0] as[0] it[0] finds[0] a[0] home[0] in[0] england[0] and[0] in[0] mao's[0] communist[0] china[0] before[0] being[0] discovered[0] by[0] expert[0] charles[0] morritz[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] who[0] mounts[0] a[0] painstaking[0] investigation[0] to[0] prove[0] its[0] authenticity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the violin becomes morritz's obsession , just as it is for all those who converge on a montreal auction house to bid on it . 	the violin becomes morritz's obsession , just as it is for all those who converge on a montreal auction house to bid on it .	1	-3	 the[0] violin[0] becomes[0] morritz's[0] obsession[-2] just[0] as[0] it[0] is[0] for[0] all[0] those[0] who[0] converge[0] on[0] a[0] montreal[0] auction[0] house[0] to[0] bid[0] on[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
morritz , however , is the only one who knows the secret of the instrument and can understand and appreciate its creator's intention . 	morritz , however , is the only one who knows the secret of the instrument and can understand and appreciate its creator's intention .	2	-1	 morritz[0] however[0] is[0] the[0] only[0] one[0] who[0] knows[0] the[0] secret[0] of[0] the[0] instrument[0] and[0] can[0] understand[0] and[0] appreciate[1] its[0] creator's[0] intention[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the red violin " could have been a touching , inspirational story , as soaring as a beethoven symphony . 	 " the red violin " could have been a touching , inspirational story , as soaring as a beethoven symphony .	3	-1	 the[0] red[0] violin[0] could[0] have[0] been[0] a[0] touching[0] inspirational[2] story[0] as[0] soaring[0] as[0] a[0] beethoven[0] symphony[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however director francois girard fails to make any emotional connection with the viewer . 	however director francois girard fails to make any emotional connection with the viewer .	1	-3	 however[0] director[0] francois[0] girard[0] fails[-2] to[0] make[0] any[0] emotional[-1] connection[0] with[0] the[0] viewer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
