a friend invites you to a movie . 	Translation	Positive	Negative	EmotionRationale
this film would evade the explosions and special effects of standard summer fare , and be grounded in reality . 	this film would evade the explosions and special effects of standard summer fare , and be grounded in reality .	2	-2	 this[0] film[0] would[0] evade[-1][--1 LastWordBoosterStrength] the[0] explosions[-1] and[0] special[1] effects[0] of[0] standard[0] summer[0] fare[0] and[0] be[0] grounded[0] in[0] reality[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is as follows : after a terrifying incident , a mother and her independent daughter separate from the father and move away from the city . 	the plot is as follows : after a terrifying incident , a mother and her independent daughter separate from the father and move away from the city .	1	-4	 the[0] plot[0] is[0] as[0] follows[0] after[0] a[0] terrifying[-3] incident[0] a[0] mother[0] and[0] her[0] independent[0] daughter[0] separate[0] from[0] the[0] father[0] and[0] move[0] away[0] from[0] the[0] city[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they need fresh air to get some perspective , maybe to start over . 	they need fresh air to get some perspective , maybe to start over .	1	-1	 they[0] need[0] fresh[0] air[0] to[0] get[0] some[0] perspective[0] maybe[0] to[0] start[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
romance begins to brew , however , as one of the locals , played by an international superstar in rugged clothing , sparks things up , ( especially at a country-western slow dance ) . 	romance begins to brew , however , as one of the locals , played by an international superstar in rugged clothing , sparks things up , ( especially at a country-western slow dance ) .	4	-1	 romance[3] begins[0] to[0] brew[0] however[0] as[0] one[0] of[0] the[0] locals[0] played[0] by[0] an[0] international[0] superstar[0] in[0] rugged[0] clothing[0] sparks[0] things[0] up[0] especially[0] at[0] a[0] country[0] western[0] slow[0] dance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it stars a rising young starlet , helms a good cast , and is directed by one of the better actor-turned-directors in hollywood . 	it stars a rising young starlet , helms a good cast , and is directed by one of the better actor-turned-directors in hollywood .	2	-1	 it[0] stars[0] a[0] rising[0] young[0] starlet[0] helms[0] a[0] good[1] cast[0] and[0] is[0] directed[0] by[0] one[0] of[0] the[0] better[0] actor[0] turned[0] directors[0] in[0] hollywood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you accept . 	you accept .	1	-1	 you[0] accept[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you jump at the opportunity to see , what you believe to be , _the horse whisperer_ . 	you jump at the opportunity to see , what you believe to be , _the horse whisperer_ .	1	-1	 you[0] jump[0] at[0] the[0] opportunity[0] to[0] see[0] what[0] you[0] believe[0] to[0] be[0] _the[0] horse[0] whisperer_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , poor moviegoer , you have been conned . 	but , poor moviegoer , you have been conned .	1	-2	 but[0] poor[-1] moviegoer[0] you[0] have[0] been[0] conned[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alas , you find yourself watching , incredulously , _hope floats_ . 	alas , you find yourself watching , incredulously , _hope floats_ .	1	-2	 alas[-1] you[0] find[0] yourself[0] watching[0] incredulously[0] _hope[0] floats_[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , woe . 	oh , woe .	1	-3	 oh[0] woe[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
your hope has sunk . 	your hope has sunk .	3	-1	 your[0] hope[2] has[0] sunk[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why was this movie made ? 	why was this movie made ?	1	-1	 why[0] was[0] this[0] movie[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why was it released ? 	why was it released ?	1	-1	 why[0] was[0] it[0] released[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a travesty on nearly every level , and has the authority to sink the careers of nearly everyone involved . 	it is a travesty on nearly every level , and has the authority to sink the careers of nearly everyone involved .	1	-1	 it[0] is[0] a[0] travesty[0] on[0] nearly[0] every[0] level[0] and[0] has[0] the[0] authority[0] to[0] sink[0] the[0] careers[0] of[0] nearly[0] everyone[0] involved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the hands of a better script , the film could have been a gem . 	at the hands of a better script , the film could have been a gem .	1	-1	 at[0] the[0] hands[0] of[0] a[0] better[0] script[0] the[0] film[0] could[0] have[0] been[0] a[0] gem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it is clueless as to what it is about , and only succeeds in transferring same cluelessness to us poor viewers . 	but it is clueless as to what it is about , and only succeeds in transferring same cluelessness to us poor viewers .	3	-2	 but[0] it[0] is[0] clueless[0] as[0] to[0] what[0] it[0] is[0] about[0] and[0] only[0] succeeds[2] in[0] transferring[0] same[0] cluelessness[0] to[0] us[0] poor[-1] viewers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
_hope floats_ stars sandra bullock as birdy , who , after discovering her husband has been cheating on her with her best friend ( on national television no less ) , takes her daughter and drives back to her home , helmed by a countryish bumpkin eccentric played by gena rowlands , ( she decorates with stuffed wildlife ) . 	_hope floats_ stars sandra bullock as birdy , who , after discovering her husband has been cheating on her with her best friend ( on national television no less ) , takes her daughter and drives back to her home , helmed by a countryish bumpkin eccentric played by gena rowlands , ( she decorates with stuffed wildlife ) .	2	-3	 _hope[0] floats_[0] stars[0] sandra[0] bullock[0] as[0] birdy[0] who[0] after[0] discovering[0] her[0] husband[0] has[0] been[0] cheating[-2] on[0] her[0] with[0] her[0] best[1] friend[1] on[0] national[0] television[0] no[0] less[0] takes[0] her[0] daughter[0] and[0] drives[0] back[0] to[0] her[0] home[0] helmed[0] by[0] a[0] countryish[0] bumpkin[0] eccentric[-1] played[0] by[0] gena[0] rowlands[0] she[0] decorates[0] with[0] stuffed[0] wildlife[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
birdy's nephew , travis ( played by _leave it to beaver_'s cameron finley ) , is under her custody , and in one of the film's many failed in-jokes , is always seen wearing a different halloween costume . 	birdy's nephew , travis ( played by _leave it to beaver_'s cameron finley ) , is under her custody , and in one of the film's many failed in-jokes , is always seen wearing a different halloween costume .	2	-3	 birdy's[0] nephew[0] travis[0] played[0] by[0] _leave[0] it[0] to[0] beaver_'s[0] cameron[0] finley[0] is[0] under[0] her[0] custody[0] and[0] in[0] one[0] of[0] the[0] film's[0] many[0] failed[-2] in[0] jokes[1] is[0] always[0] seen[0] wearing[0] a[0] different[0] halloween[0] costume[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what is the point of this ? 	what is the point of this ?	1	-1	 what[0] is[0] the[0] point[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does it make any sense ? 	does it make any sense ?	1	-1	 does[0] it[0] make[0] any[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it supposed to be funny ? 	is it supposed to be funny ?	2	-1	 is[0] it[0] supposed[0] to[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the point of the film is to show that the family is eccentric , but i was convinced that the grandma should have been locked up for endangering the mental welfare of a child . 	the point of the film is to show that the family is eccentric , but i was convinced that the grandma should have been locked up for endangering the mental welfare of a child .	1	-2	 the[0] point[0] of[0] the[0] film[0] is[0] to[0] show[0] that[0] the[0] family[0] is[0] eccentric[-1] but[0] i[0] was[0] convinced[0] that[0] the[0] grandma[0] should[0] have[0] been[0] locked[0] up[0] for[0] endangering[-1] the[0] mental[0] welfare[0] of[0] a[0] child[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of this undercuts the plot , of which there is none . 	all of this undercuts the plot , of which there is none .	1	-1	 all[0] of[0] this[0] undercuts[0] the[0] plot[0] of[0] which[0] there[0] is[0] none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are only many scenes that are supposed to register emotion . 	there are only many scenes that are supposed to register emotion .	1	-1	 there[0] are[0] only[0] many[0] scenes[0] that[0] are[0] supposed[0] to[0] register[0] emotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's the scene where birdy , who used to be the prom queen , is humbled by approaching a peer she once mocked , for a job . 	there's the scene where birdy , who used to be the prom queen , is humbled by approaching a peer she once mocked , for a job .	1	-3	 there's[0] the[0] scene[0] where[0] birdy[0] who[0] used[0] to[0] be[0] the[0] prom[0] queen[0] is[0] humbled[0] by[0] approaching[0] a[0] peer[0] she[0] once[0] mocked[-2] for[0] a[0] job[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's the scene where birdy dances with her father , in the hospital for alzheimer's . 	there's the scene where birdy dances with her father , in the hospital for alzheimer's .	1	-1	 there's[0] the[0] scene[0] where[0] birdy[0] dances[0] with[0] her[0] father[0] in[0] the[0] hospital[0] for[0] alzheimer's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then there's the sentimental scenes with justin , played by harry connick jr . , who is taking a liking to her again , showing her a beautiful pad that he built from scratch . 	and then there's the sentimental scenes with justin , played by harry connick jr .<br> , who is taking a liking to her again , showing her a beautiful pad that he built from scratch .	3	-1	 and[0] then[0] there's[0] the[0] sentimental[2] scenes[0] with[0] justin[0] played[0] by[0] harry[0] connick[0] jr[0] [[Sentence=-1,3=word max, 1-5]] who[0] is[0] taking[0] a[0] liking[2] to[0] her[0] again[0] showing[0] her[0] a[0] beautiful[2] pad[0] that[0] he[0] built[0] from[0] scratch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and during each of these scenes , i was sidetracked by my earlier question . 	and during each of these scenes , i was sidetracked by my earlier question .	1	-1	 and[0] during[0] each[0] of[0] these[0] scenes[0] i[0] was[0] sidetracked[0] by[0] my[0] earlier[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what sort of eccentric grandmother go through such great pains as to provide a dog costume , a kermit costume , a cowboy costume ( with whip ) , and a full furred barney costume for her grandson to wear during dinner ? 	what sort of eccentric grandmother go through such great pains as to provide a dog costume , a kermit costume , a cowboy costume ( with whip ) , and a full furred barney costume for her grandson to wear during dinner ?	3	-4	 what[0] sort[0] of[0] eccentric[-1] grandmother[0] go[0] through[0] such[0] great[2] pains[-3] as[0] to[0] provide[0] a[0] dog[0] costume[0] a[0] kermit[0] costume[0] a[0] cowboy[0] costume[0] with[0] whip[-1] and[0] a[0] full[0] furred[0] barney[0] costume[0] for[0] her[0] grandson[0] to[0] wear[0] during[0] dinner[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
