wesley snipes is a master of selecting bad action roles . 	Translation	Positive	Negative	EmotionRationale
murder at 1600 , u . s . marshals , money train , drop zone , boiling point , and the ultimate camp film - passenger 57 . 	murder at 1600 , you .<br> s .<br> marshals , money train , drop zone , boiling point , and the ultimate camp film - passenger 57 .	1	-4	 murder[-3] at[0] 1600[0] u[0] [[Sentence=-4,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshals[0] money[0] train[0] drop[-1] zone[0] boiling[0] point[0] and[0] the[0] ultimate[0] camp[0] film[0] passenger[0] 57[0] [[Sentence=-2,1=word max, 1-5]][[[1,-4 max of sentences]]]
the art of war is another entry in this very ugly and unique category . 	the art of war is another entry in this very ugly and unique category .	1	-4	 the[0] art[0] of[0] war[-2] is[0] another[0] entry[0] in[0] this[0] very[0] ugly[-2][-1 LastWordBoosterStrength] and[0] unique[0] category[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ultimately , it is little more than a ridiculous action film with a plot as believable as the warren report , ugly violence that would have made peckinpah cringe , and terrible acting by b-list actors like michael biehn and anne archer . 	ultimately , it is little more than a ridiculous action film with a plot as believable as the warren report , ugly violence that would have made peckinpah cringe , and terrible acting by b-list actors like michael biehn and anne archer .	2	-5	 ultimately[0] it[0] is[0] little[0] more[0] than[0] a[0] ridiculous[-2] action[0] film[0] with[0] a[0] plot[0] as[0] believable[0] as[0] the[0] warren[0] report[0] ugly[-2] violence[-3][-1 MultiplePositiveWords] that[0] would[0] have[0] made[0] peckinpah[0] cringe[-1] and[0] terrible[-3] acting[0] by[0] b[0] list[0] actors[0] like[1] michael[0] biehn[0] and[0] anne[0] archer[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
oddly , it feels like the undiscovered sequel to another snipes " masterpiece , " rising sun . 	oddly , it feels like the undiscovered sequel to another snipes " masterpiece , " rising sun .	2	-1	 oddly[0] it[0] feels[0] like[1] the[0] undiscovered[0] sequel[0] to[0] another[0] snipes[0] masterpiece[0] rising[0] sun[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie revolves around the convenient story of a special un operative caught up in a secret murder conspiracy involving a chinese ambassador , the chinese triad brotherhood , a rich chinese businessman ( played by ? that bad guy from rising sun , cary-hiroyuki tagawa ) a chinese un interpreter , and , inexplicably , donald sutherland . 	the movie revolves around the convenient story of a special un operative caught up in a secret murder conspiracy involving a chinese ambassador , the chinese triad brotherhood , a rich chinese businessman ( played by ?<br> that bad guy from rising sun , cary-hiroyuki tagawa ) a chinese un interpreter , and , inexplicably , donald sutherland .	2	-4	 the[0] movie[0] revolves[0] around[0] the[0] convenient[0] story[0] of[0] a[0] special[1] un[0] operative[0] caught[0] up[0] in[0] a[0] secret[0] murder[-3] conspiracy[-1] involving[0] a[0] chinese[0] ambassador[0] the[0] chinese[0] triad[0] brotherhood[0] a[0] rich[0] chinese[0] businessman[0] played[0] by[0] [[Sentence=-4,2=word max, 1-5]] that[0] bad[-1] guy[0] from[0] rising[0] sun[0] cary[0] hiroyuki[0] tagawa[0] a[0] chinese[0] un[0] interpreter[0] and[0] inexplicably[0] donald[0] sutherland[0] [[Sentence=-2,1=word max, 1-5]][[[2,-4 max of sentences]]]
the film ends with more confusion than a boatload of chinese immigrants trying to register at ellis island . 	the film ends with more confusion than a boatload of chinese immigrants trying to register at ellis island .	1	-2	 the[0] film[0] ends[0] with[0] more[0] confusion[-1] than[0] a[0] boatload[0] of[0] chinese[0] immigrants[0] trying[0] to[0] register[0] at[0] ellis[0] island[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or should i say the film ends with the most blatant ripoff of both the matrix and all of john woo's hong kong films combined . 	or should i say the film ends with the most blatant ripoff of both the matrix and all of john woo's hong kong films combined .	1	-2	 or[0] should[0] i[0] say[0] the[0] film[0] ends[0] with[0] the[0] most[0] blatant[-1] ripoff[0] of[0] both[0] the[0] matrix[0] and[0] all[0] of[0] john[0] woo's[0] hong[0] kong[0] films[0] combined[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i am really at a loss to figure out why wesley snipes had the gumption to not only star in this action dud but also act as one of the producers of the film . 	i am really at a loss to figure out why wesley snipes had the gumption to not only star in this action dud but also act as one of the producers of the film .	1	-3	 i[0] am[0] really[0] at[0] a[0] loss[-2] to[0] figure[0] out[0] why[0] wesley[0] snipes[0] had[0] the[0] gumption[0] to[0] not[0] only[0] star[0] in[0] this[0] action[0] dud[0] but[0] also[0] act[0] as[0] one[0] of[0] the[0] producers[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i usually enjoy snipes' movies - though his dramatic roles better show off his creativity as an actor than the flashiness of his action films . 	i usually enjoy snipes' movies - though his dramatic roles better show off his creativity as an actor than the flashiness of his action films .	3	-1	 i[0] usually[0] enjoy[2] snipes'[0] movies[0] though[0] his[0] dramatic[0] roles[0] better[0] show[0] off[0] his[0] creativity[0] as[0] an[0] actor[0] than[0] the[0] flashiness[0] of[0] his[0] action[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
simply , i am amazed by the how inane the script was , filled with terrible cliches and extremely violent action sequences . 	simply , i am amazed by the how inane the script was , filled with terrible cliches and extremely violent action sequences .	3	-5	 simply[0] i[0] am[0] amazed[2] by[0] the[0] how[0] inane[-1] the[0] script[0] was[0] filled[0] with[0] terrible[-3] cliches[0] and[0] extremely[0] violent[-2][-2 LastWordBoosterStrength] action[0] sequences[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
