this is my first review that i post to this newsgroup , and i kind of feel like i have to say something negative about this film . 	Translation	Positive	Negative	EmotionRationale
no one else seems to care that it takes certain liberties that should not be taken with a historical story . 	no one else seems to care that it takes certain liberties that should not be taken with a historical story .	2	-1	 no[0] one[0] else[0] seems[0] to[0] care[1] that[0] it[0] takes[0] certain[0] liberties[0] that[0] should[0] not[0] be[0] taken[0] with[0] a[0] historical[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , even if one thinks of it as fiction , " the prince of egypt " remains shallow . 	however , even if one thinks of it as fiction , " the prince of egypt " remains shallow .	1	-2	 however[0] even[0] if[0] one[0] thinks[0] of[0] it[0] as[0] fiction[0] the[0] prince[0] of[0] egypt[0] remains[0] shallow[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i'll begin from the beginning . 	but i'll begin from the beginning .	1	-1	 but[0] i'll[0] begin[0] from[0] the[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the biggest difference between the original , biblical story and this version is that moses has some semblance of divinity in the bible , whereas the animated version gives the impression of a reluctant hero . 	the biggest difference between the original , biblical story and this version is that moses has some semblance of divinity in the bible , whereas the animated version gives the impression of a reluctant hero .	3	-2	 the[0] biggest[0] difference[0] between[0] the[0] original[0] biblical[0] story[0] and[0] this[0] version[0] is[0] that[0] moses[0] has[0] some[0] semblance[0] of[0] divinity[1] in[0] the[0] bible[0] whereas[0] the[0] animated[0] version[0] gives[0] the[0] impression[0] of[0] a[0] reluctant[-1] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
maybe it's just me , but if i knew i had god on my side , i'd have a little bit more confidence . 	maybe it's just me , but if i knew i had god on my side , i'd have a little bit more confidence .	2	-1	 maybe[0] it's[0] just[0] me[0] but[0] if[0] i[0] knew[0] i[0] had[0] god[0] on[0] my[0] side[0] i'd[0] have[0] a[0] little[0] bit[0] more[0] confidence[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are other differences as well , such as a lack of important female characters and the passing over of the original pharoah's death like it's nothing but a thing . 	there are other differences as well , such as a lack of important female characters and the passing over of the original pharoah's death like it's nothing but a thing .	2	-3	 there[0] are[0] other[0] differences[0] as[0] well[0] such[0] as[0] a[0] lack[-1] of[0] important[0] female[0] characters[0] and[0] the[0] passing[0] over[0] of[0] the[0] original[0] pharoah's[0] death[-2] like[1] it's[0] nothing[0] but[0] a[0] thing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
most of all , though , the story's focus has shifted . 	most of all , though , the story's focus has shifted .	1	-1	 most[0] of[0] all[0] though[0] the[0] story's[0] focus[0] has[0] shifted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather than being a story about father-son , man-ethnicity , man-god , " the prince of egypt " is almost solely about the brother-brother relationship between rameses and moses . 	rather than being a story about father-son , man-ethnicity , man-god , " the prince of egypt " is almost solely about the brother-brother relationship between rameses and moses .	1	-1	 rather[0] than[0] being[0] a[0] story[0] about[0] father[0] son[0] man[0] ethnicity[0] man[0] god[0] the[0] prince[0] of[0] egypt[0] is[0] almost[0] solely[0] about[0] the[0] brother[0] brother[0] relationship[0] between[0] rameses[0] and[0] moses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was originally excited about this story element until i saw the movie , where it came off as maudlin . 	i was originally excited about this story element until i saw the movie , where it came off as maudlin .	3	-1	 i[0] was[0] originally[0] excited[2] about[0] this[0] story[0] element[0] until[0] i[0] saw[0] the[0] movie[0] where[0] it[0] came[0] off[0] as[0] maudlin[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rameses and moses squabble like children and then , in the interests of peace , moses saves rameses' butt , even though moses was the one who started it . . . 	rameses and moses squabble like children and then , in the interests of peace , moses saves rameses' butt , even though moses was the one who started it .<br> .<br> .	2	-1	 rameses[0] and[0] moses[0] squabble[0] like[1] children[0] and[0] then[0] in[0] the[0] interests[1] of[0] peace[0] moses[0] saves[1] rameses'[0] butt[0] even[0] though[0] moses[0] was[0] the[0] one[0] who[0] started[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 * yawn * i didn't care anymore by the time moses ran off for murdering an overseer ( which , of course , never happened in the original story - moses was exiled ) . 	 * yawn * i didn't care anymore by the time moses ran off for murdering an overseer ( which , of course , never happened in the original story - moses was exiled ) .	2	-4	 yawn[-1] i[0] didn't[0] care[1] anymore[0] by[0] the[0] time[0] moses[0] ran[0] off[0] for[0] murdering[-3] an[0] overseer[0] which[0] of[0] course[0] never[0] happened[0] in[0] the[0] original[0] story[0] moses[0] was[0] exiled[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but enough about the differences . 	but enough about the differences .	1	-1	 but[0] enough[0] about[0] the[0] differences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's talk about the movie itself . 	let's talk about the movie itself .	1	-1	 let's[0] talk[0] about[0] the[0] movie[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it features a moses who , in the interests of making the character more human , lacks any divinity whatsoever , which isn't convincing at all to anyone who knows who god is . 	it features a moses who , in the interests of making the character more human , lacks any divinity whatsoever , which isn't convincing at all to anyone who knows who god is .	2	-1	 it[0] features[0] a[0] moses[0] who[0] in[0] the[0] interests[1] of[0] making[0] the[0] character[0] more[0] human[0] lacks[0] any[0] divinity[1] whatsoever[0] which[0] isn't[0] convincing[0] at[0] all[0] to[0] anyone[0] who[0] knows[0] who[0] god[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it features a cookie-cutter " i-wanna-please-dada " rameses , who at least is given dignity by the voicework of ralph fiennes ( from schindler's list , among other things ) . 	it features a cookie-cutter " i-wanna-please-dada " rameses , who at least is given dignity by the voicework of ralph fiennes ( from schindler's list , among other things ) .	2	-1	 it[0] features[0] a[0] cookie[0] cutter[0] i[0] wanna[0] please[1] dada[0] rameses[0] who[0] at[0] least[0] is[0] given[0] dignity[1] by[0] the[0] voicework[0] of[0] ralph[0] fiennes[0] from[0] schindler's[0] list[0] among[0] other[0] things[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film also features an extremely annoying character by way of the " new-improved " miriam , voiced by the ever-antsy sandra bullock , even though the most irritating thing about her is her tendency to burst into song for no apparent reason ( here bullock is replaced by a singing voice ) . 	the film also features an extremely annoying character by way of the " new-improved " miriam , voiced by the ever-antsy sandra bullock , even though the most irritating thing about her is her tendency to burst into song for no apparent reason ( here bullock is replaced by a singing voice ) .	2	-5	 the[0] film[0] also[0] features[0] an[0] extremely[0] annoying[-2][-2 LastWordBoosterStrength] character[0] by[0] way[0] of[0] the[0] new[0] improved[1] miriam[0] voiced[0] by[0] the[0] ever[0] antsy[0] sandra[0] bullock[0] even[0] though[0] the[0] most[0] irritating[-2] thing[0] about[0] her[0] is[0] her[0] tendency[0] to[0] burst[0] into[0] song[0] for[0] no[0] apparent[0] reason[0] here[0] bullock[0] is[0] replaced[0] by[0] a[0] singing[0] voice[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
speaking of which , it contains * very * annoying music . 	speaking of which , it contains * very * annoying music .	1	-4	 speaking[0] of[0] which[0] it[0] contains[0] very[0] annoying[-2][-1 LastWordBoosterStrength] music[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it contains shallow writing . 	it contains shallow writing .	1	-2	 it[0] contains[0] shallow[-1] writing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it features extraordinary animation , which is one good thing i can say about this film . 	it features extraordinary animation , which is one good thing i can say about this film .	2	-1	 it[0] features[0] extraordinary[0] animation[0] which[0] is[0] one[0] good[1] thing[0] i[0] can[0] say[0] about[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of all , it contains an attempt to commercialize , homogenize , and mass-market a story about a manifestation of god . 	most of all , it contains an attempt to commercialize , homogenize , and mass-market a story about a manifestation of god .	1	-1	 most[0] of[0] all[0] it[0] contains[0] an[0] attempt[0] to[0] commercialize[0] homogenize[0] and[0] mass[0] market[0] a[0] story[0] about[0] a[0] manifestation[0] of[0] god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am not christian , but i got the impression of blasphemy . 	i am not christian , but i got the impression of blasphemy .	1	-1	 i[0] am[0] not[0] christian[0] but[0] i[0] got[0] the[0] impression[0] of[0] blasphemy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the writers and producers took a butcher knife and chop-chopped into the story . 	the writers and producers took a butcher knife and chop-chopped into the story .	1	-2	 the[0] writers[0] and[0] producers[0] took[0] a[0] butcher[0] knife[-1] and[0] chop[0] chopped[0] into[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
