if you've been following william fichtner's career ( and there's absolutely no reason why you should have ) , you might have noticed that he's played some rather similar roles over the years . 	Translation	Positive	Negative	EmotionRationale
like sully in " the perfect storm " --tough , gruff , and a little bit scary . 	like sully in " the perfect storm " -tough , gruff , and a little bit scary .	2	-4	 like[1] sully[0] in[0] the[0] perfect[1] storm[-1] tough[-1] gruff[-1] and[0] a[0] little[0] bit[0] scary[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
or law in " albino alligator " --tough , gruff , and little bit scarier . 	or law in " albino alligator " -tough , gruff , and little bit scarier .	1	-2	 or[0] law[0] in[0] albino[0] alligator[0] tough[-1] gruff[-1] and[0] little[0] bit[0] scarier[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or colonel william sharp in " armageddon , " or dwayne engelman in " strange days , " or even his brief appearance towards the beginning of " pearl harbor , " as the abusive father of danny--here is an actor who gravitates towards tough , gruff , hard-hitting roles . 	or colonel william sharp in " armageddon , " or dwayne engelman in " strange days , " or even his brief appearance towards the beginning of " pearl harbor , " as the abusive father of danny-here is an actor who gravitates towards tough , gruff , hard-hitting roles .	1	-4	 or[0] colonel[0] william[0] sharp[0] in[0] armageddon[0] or[0] dwayne[0] engelman[0] in[0] strange[0] days[0] or[0] even[0] his[0] brief[0] appearance[0] towards[0] the[0] beginning[0] of[0] pearl[0] harbor[0] as[0] the[0] abusive[-3] father[0] of[0] danny[0] here[0] is[0] an[0] actor[0] who[0] gravitates[0] towards[0] tough[-1] gruff[-1] hard[0] hitting[0] roles[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
which is why his performance in " what's the worst that could happen ? " 	which is why his performance in " what's the worst that could happen ?<br> "	1	-3	 which[0] is[0] why[0] his[0] performance[0] in[0] what's[0] the[0] worst[-2] that[0] could[0] happen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is such a shock , such a delight . 	is such a shock , such a delight .	3	-3	 is[0] such[0] a[0] shock[-2] such[0] a[0] delight[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in the film , fichtner plays a blonde haired , meticulously dressed , overtly effeminate , dog-loving detective . 	in the film , fichtner plays a blonde haired , meticulously dressed , overtly effeminate , dog-loving detective .	4	-1	 in[0] the[0] film[0] fichtner[0] plays[1] a[0] blonde[0] haired[0] meticulously[0] dressed[0] overtly[0] effeminate[0] dog[0] loving[3] detective[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as alex tardio , fichtner's performance borders on caricature but goes beyond it . 	as alex tardio , fichtner's performance borders on caricature but goes beyond it .	1	-1	 as[0] alex[0] tardio[0] fichtner's[0] performance[0] borders[0] on[0] caricature[0] but[0] goes[0] beyond[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it borders on offensive but doesn't really manage it . 	it borders on offensive but doesn't really manage it .	1	-3	 it[0] borders[0] on[0] offensive[-2] but[0] doesn't[0] really[0] manage[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and it borders on clich ? d stereotype but doesn't quite succumb to that definition either . 	and it borders on clich ?<br> d stereotype but doesn't quite succumb to that definition either .	1	-2	 and[0] it[0] borders[0] on[0] clich[0] [[Sentence=-1,1=word max, 1-5]] d[0] stereotype[0] but[0] doesn't[0] quite[0] succumb[-1] to[0] that[0] definition[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a role so diametrically opposed to what the actor has played before we should have seen it coming , fichtner isn't perfect--you can see him struggling a little at times , concentrating a little too hard on the look as he swishes his hand through the air , or nuzzles a coiffed canine up close and personal--but he's pretty damned good , and silly , and without question the best thing in the film . 	in a role so diametrically opposed to what the actor has played before we should have seen it coming , fichtner isn't perfect-you can see him struggling a little at times , concentrating a little too hard on the look as he swishes his hand through the air , or nuzles a coiffed canine up close and personal-but he's pretty damned good , and silly , and without question the best thing in the film .	3	-2	 in[0] a[0] role[0] so[0] diametrically[0] opposed[0] to[0] what[0] the[0] actor[0] has[0] played[0] before[0] we[0] should[0] have[0] seen[0] it[0] coming[0] fichtner[0] isn't[0] perfect[1][NegatedDueToPreviousWord] you[0] can[0] see[0] him[0] struggling[-1] a[0] little[0] at[0] times[0] concentrating[0] a[0] little[0] too[0] hard[0] on[0] the[0] look[0] as[0] he[0] swishes[0] his[0] hand[0] through[0] the[0] air[0] or[0] nuzzles/nuzles[0] a[0] coiffed[0] canine[0] up[0] close[0] and[0] personal[0] but[0] he's[0] pretty[2] damned[-1] good[1] and[0] silly[-1] and[0] without[0] question[0] the[0] best[1] thing[0] in[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , had it not been for fitchner's sudden and bizarre appearance , and his jarring screen presence thereafter , i would have walked out , for " what's the worst that could happen ? " 	in fact , had it not been for fitchner's sudden and bizarre appearance , and his jarring screen presence thereafter , i would have walked out , for " what's the worst that could happen ?<br> "	1	-3	 in[0] fact[0] had[0] it[0] not[0] been[0] for[0] fitchner's[0] sudden[0] and[0] bizarre[-1] appearance[0] and[0] his[0] jarring[0] screen[0] presence[0] thereafter[0] i[0] would[0] have[0] walked[0] out[0] for[0] what's[0] the[0] worst[-2] that[0] could[0] happen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
