this is the kind of movie that makes one appreciate disney's live- action george of the jungle . 	Translation	Positive	Negative	EmotionRationale
tarzan and the lost city , the latest attempt to bring edgar rice burrough's legendary hero to the big screen , is one of the most inept and ill-timed of any tarzan adventure so far . 	tarzan and the lost city , the latest attempt to bring edgar rice burrough's legendary hero to the big screen , is one of the most inept and ill-timed of any tarzan adventure so far .	3	-2	 tarzan[0] and[0] the[0] lost[0] city[0] the[0] latest[0] attempt[0] to[0] bring[0] edgar[0] rice[0] burrough's[0] legendary[0] hero[2] to[0] the[0] big[0] screen[0] is[0] one[0] of[0] the[0] most[0] inept[0] and[0] ill[-1] timed[0] of[0] any[0] tarzan[0] adventure[0] so[0] far[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
badly conceived and poorly executed , tarzan and the lost city appears headed for a quick trip to video store shelves . 	badly conceived and poorly executed , tarzan and the lost city appears headed for a quick trip to video store shelves .	1	-2	 badly[-1] conceived[0] and[0] poorly[-1] executed[-1] tarzan[0] and[0] the[0] lost[0] city[0] appears[0] headed[0] for[0] a[0] quick[0] trip[0] to[0] video[0] store[0] shelves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have no idea why the producers chose now to bring back tarzan ; it's not as if there are legions of new fans clamoring for his next movie . 	i have no idea why the producers chose now to bring back tarzan ; it's not as if there are legions of new fans clamoring for his next movie .	1	-1	 i[0] have[0] no[0] idea[0] why[0] the[0] producers[0] chose[0] now[0] to[0] bring[0] back[0] tarzan[0] it's[0] not[0] as[0] if[0] there[0] are[0] legions[0] of[0] new[0] fans[0] clamoring[0] for[0] his[0] next[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
furthermore , it's even more curious that this film is rated pg , which , by definition , rules out any sex or explicit violence . 	furthermore , it's even more curious that this film is rated pg , which , by definition , rules out any sex or explicit violence .	1	-4	 furthermore[0] it's[0] even[0] more[0] curious[0] that[0] this[0] film[0] is[0] rated[0] pg[0] which[0] by[0] definition[0] rules[0] out[0] any[0] sex[0] or[0] explicit[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and , while i'm not advocating the excesses embraced by the 1981 bo derek version of the story , tarzan deserves a slightly more adult approach than the one used in the embarrassing production . 	and , while i'm not advocating the excesses embraced by the 1981 bo derek version of the story , tarzan deserves a slightly more adult approach than the one used in the embarrassing production .	1	-3	 and[0] while[0] i'm[0] not[0] advocating[0] the[0] excesses[0] embraced[0] by[0] the[0] 1981[0] bo[0] derek[0] version[0] of[0] the[0] story[0] tarzan[0] deserves[0] a[0] slightly[0] more[0] adult[0] approach[0] than[0] the[0] one[0] used[0] in[0] the[0] embarrassing[-2] production[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , no tweaking of the content to change the rating could have saved tarzan and the lost city , since the film's troubles originated with the script and were propagated all the way down the line . 	of course , no tweaking of the content to change the rating could have saved tarzan and the lost city , since the film's troubles originated with the script and were propagated all the way down the line .	2	-2	 of[0] course[0] no[0] tweaking[0] of[0] the[0] content[0] to[0] change[0] the[0] rating[0] could[0] have[0] saved[1] tarzan[0] and[0] the[0] lost[0] city[0] since[0] the[0] film's[0] troubles[-1] originated[0] with[0] the[0] script[0] and[0] were[0] propagated[0] all[0] the[0] way[0] down[0] the[0] line[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
imagine george of the jungle stripped of all ( intentional ) humor , and you have a fair idea of what this tarzan is like . 	imagine george of the jungle stripped of all ( intentional ) humor , and you have a fair idea of what this tarzan is like .	3	-1	 imagine[0] george[0] of[0] the[0] jungle[0] stripped[0] of[0] all[0] intentional[0] humor[2] and[0] you[0] have[0] a[0] fair[0] idea[0] of[0] what[0] this[0] tarzan[0] is[0] like[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with its uninspired action and tepid adventure sequences , the film barely registers a pulse . 	with its uninspired action and tepid adventure sequences , the film barely registers a pulse .	1	-1	 with[0] its[0] uninspired[0] action[0] and[0] tepid[0] adventure[0] sequences[0] the[0] film[0] barely[0] registers[0] a[0] pulse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyone in search of a relatively entertaining , family jungle adventure should check out the 1994 version of the jungle book , which uses the same basic elements to much better effect . 	anyone in search of a relatively entertaining , family jungle adventure should check out the 1994 version of the jungle book , which uses the same basic elements to much better effect .	1	-1	 anyone[0] in[0] search[0] of[0] a[0] relatively[0] entertaining[0] family[0] jungle[0] adventure[0] should[0] check[0] out[0] the[0] 1994[0] version[0] of[0] the[0] jungle[0] book[0] which[0] uses[0] the[0] same[0] basic[0] elements[0] to[0] much[0] better[0] effect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only worthwhile element of tarzan and the lost city is the pretty scenery ( which , unfortunately , includes the two lead actors ) . 	the only worthwhile element of tarzan and the lost city is the pretty scenery ( which , unfortunately , includes the two lead actors ) .	3	-2	 the[0] only[0] worthwhile[1] element[0] of[0] tarzan[0] and[0] the[0] lost[0] city[0] is[0] the[0] pretty[2] scenery[0] which[0] unfortunately[-1] includes[0] the[0] two[0] lead[0] actors[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film doesn't attempt to re-tell the origin story ? the thinking is that it has been done often enough . 	the film doesn't attempt to re-tell the origin story ?<br> the thinking is that it has been done often enough .	1	-1	 the[0] film[0] doesn't[0] attempt[0] to[0] re[0] tell[0] the[0] origin[0] story[0] [[Sentence=-1,1=word max, 1-5]] the[0] thinking[0] is[0] that[0] it[0] has[0] been[0] done[0] often[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , tarzan and the lost city introduces us to lord graystoke a . k . a . john clayton a . k . a . tarzan the ape man ( casper van dien ) several days before his marriage to lady jane porter ( jane march ) . 	instead , tarzan and the lost city introduces us to lord graystoke a .<br> k .<br> a .<br> john clayton a .<br> k .<br> a .<br> tarzan the ape man ( casper van dien ) several days before his marriage to lady jane porter ( jane march ) .	1	-1	 instead[0] tarzan[0] and[0] the[0] lost[0] city[0] introduces[0] us[0] to[0] lord[0] graystoke[0] a[0] [[Sentence=-1,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] john[0] clayton[0] a[0] [[Sentence=-1,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] tarzan[0] the[0] ape[0] man[0] casper[0] van[0] dien[0] several[0] days[0] before[0] his[0] marriage[0] to[0] lady[0] jane[0] porter[0] jane[0] march[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is living happily in england , enjoying the benefits of being a land-owning noble . 	he is living happily in england , enjoying the benefits of being a land-owning noble .	3	-1	 he[0] is[0] living[0] happily[2] in[0] england[0] enjoying[2] the[0] benefits[0] of[0] being[0] a[0] land[0] owning[0] noble[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
meanwhile , in central africa , the dastardly nigel ravens ( steven waddington ) , a self-proclaimed scholar and explorer , believes he has found the way to the lost city of opar , which he calls the cradle of civilization . 	meanwhile , in central africa , the dastardly nigel ravens ( steven waddington ) , a self-proclaimed scholar and explorer , believes he has found the way to the lost city of opar , which he calls the cradle of civilization .	1	-1	 meanwhile[0] in[0] central[0] africa[0] the[0] dastardly[0] nigel[0] ravens[0] steven[0] waddington[0] a[0] self[0] proclaimed[0] scholar[0] and[0] explorer[0] believes[0] he[0] has[0] found[0] the[0] way[0] to[0] the[0] lost[0] city[0] of[0] opar[0] which[0] he[0] calls[0] the[0] cradle[0] of[0] civilization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the way there , he and his band of mercenaries do all sorts of nasty things , like burning native villages , to earn the wrath of the locals . 	on the way there , he and his band of mercenaries do all sorts of nasty things , like burning native villages , to earn the wrath of the locals .	2	-3	 on[0] the[0] way[0] there[0] he[0] and[0] his[0] band[0] of[0] mercenaries[0] do[0] all[0] sorts[0] of[0] nasty[-2] things[0] like[1] burning[-1] native[0] villages[0] to[0] earn[0] the[0] wrath[-1] of[0] the[0] locals[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one shaman , determined to stop ravens from unearthing opal , sends a mystical message to tarzan for help . 	one shaman , determined to stop ravens from unearthing opal , sends a mystical message to tarzan for help .	1	-1	 one[0] shaman[0] determined[0] to[0] stop[0] ravens[0] from[0] unearthing[0] opal[0] sends[0] a[0] mystical[0] message[0] to[0] tarzan[0] for[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with lady jane following close behind , he returns to the jungle where he was born . 	with lady jane following close behind , he returns to the jungle where he was born .	1	-1	 with[0] lady[0] jane[0] following[0] close[0] behind[0] he[0] returns[0] to[0] the[0] jungle[0] where[0] he[0] was[0] born[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its patently obvious that casper van dien ( one of the pretty-boy heroes of starship troopers ) was not hired on the basis of his acting ability . 	its patently obvious that casper van dien ( one of the pretty-boy heroes of starship troopers ) was not hired on the basis of his acting ability .	3	-1	 its[0] patently[0] obvious[0] that[0] casper[0] van[0] dien[0] one[0] of[0] the[0] pretty[2] boy[0] heroes[2] of[0] starship[0] troopers[0] was[0] not[0] hired[0] on[0] the[0] basis[0] of[0] his[0] acting[0] ability[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with his plastic facial expressions , monotone voice , and complete inability to make convincing animal noises , his range rivals that of steven seagal . 	with his plastic facial expressions , monotone voice , and complete inability to make convincing animal noises , his range rivals that of steven seagal .	1	-3	 with[0] his[0] plastic[0] facial[0] expressions[0] monotone[0] voice[0] and[0] complete[0] inability[-1][-1 LastWordBoosterStrength] to[0] make[0] convincing[0] animal[0] noises[0] his[0] range[0] rivals[0] that[0] of[0] steven[0] seagal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his pecs , however , are impressive , and director carl schenkel makes sure that he is given every opportunity to show them off . 	his pecs , however , are impressive , and director carl schenkel makes sure that he is given every opportunity to show them off .	2	-1	 his[0] pecs[0] however[0] are[0] impressive[1] and[0] director[0] carl[0] schenkel[0] makes[0] sure[0] that[0] he[0] is[0] given[0] every[0] opportunity[0] to[0] show[0] them[0] off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jane march , on the other hand , has to keep her shirt on , which may be a first for her . 	jane march , on the other hand , has to keep her shirt on , which may be a first for her .	1	-1	 jane[0] march[0] on[0] the[0] other[0] hand[0] has[0] to[0] keep[0] her[0] shirt[0] on[0] which[0] may[0] be[0] a[0] first[0] for[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some six years ago , march give a solid performance in jean jacques annaud's steamy the lover . 	some six years ago , march give a solid performance in jean jacques annaud's steamy the lover .	4	-1	 some[0] six[0] years[0] ago[0] march[0] give[0] a[0] solid[0] performance[0] in[0] jean[0] jacques[0] annaud's[0] steamy[0] the[0] lover[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
since then , she made the career-killing decision of appearing opposite bruce willis in the color of night , which exploited her every acting defiency . 	since then , she made the career-killing decision of appearing opposite bruce willis in the color of night , which exploited her every acting defiency .	1	-2	 since[0] then[0] she[0] made[0] the[0] career[0] killing[-1] decision[0] of[0] appearing[0] opposite[0] bruce[0] willis[0] in[0] the[0] color[0] of[0] night[0] which[0] exploited[0] her[0] every[0] acting[0] defiency[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tarzan continues this trend . 	tarzan continues this trend .	1	-1	 tarzan[0] continues[0] this[0] trend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
march may be attractive , but , at least judging by this performance , she can't act . 	march may be attractive , but , at least judging by this performance , she can't act .	2	-1	 march[0] may[0] be[0] attractive[1] but[0] at[0] least[0] judging[0] by[0] this[0] performance[0] she[0] can't[0] act[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile , steven waddington has serious trouble summoning up the menace necessary to be a really detestable bad guy . 	meanwhile , steven waddington has serious trouble summoning up the menace necessary to be a really detestable bad guy .	1	-5	 meanwhile[0] steven[0] waddington[0] has[0] serious[-1] trouble[-1] summoning[0] up[0] the[0] menace[-2] necessary[0] to[0] be[0] a[0] really[0] detestable[-3][-1 LastWordBoosterStrength] bad[-1] guy[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
instead , he turns out to be little more than a nuisance . 	instead , he turns out to be little more than a nuisance .	1	-2	 instead[0] he[0] turns[0] out[0] to[0] be[0] little[0] more[0] than[0] a[0] nuisance[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story line is pure formula , which has largely been true throughout the years for almost all of the tarzan movies . 	the story line is pure formula , which has largely been true throughout the years for almost all of the tarzan movies .	2	-1	 the[0] story[0] line[0] is[0] pure[0] formula[0] which[0] has[0] largely[0] been[0] true[1] throughout[0] the[0] years[0] for[0] almost[0] all[0] of[0] the[0] tarzan[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the problem is that this one seems so childish and lifeless . 	the problem is that this one seems so childish and lifeless .	1	-2	 the[0] problem[-1] is[0] that[0] this[0] one[0] seems[0] so[0] childish[-1] and[0] lifeless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the romantic elements are all contrived ? in fact , lady jane's presence is necessary only so she can be captured and subsequently rescued by her buff fiance . 	the romantic elements are all contrived ?<br> in fact , lady jane's presence is necessary only so she can be captured and subsequently rescued by her buff fiance .	4	-2	 the[0] romantic[3] elements[0] are[0] all[0] contrived[0] [[Sentence=-1,4=word max, 1-5]] in[0] fact[0] lady[0] jane's[0] presence[0] is[0] necessary[0] only[0] so[0] she[0] can[0] be[0] captured[-1] and[0] subsequently[0] rescued[0] by[0] her[0] buff[0] fiance[0] [[Sentence=-2,1=word max, 1-5]][[[4,-2 max of sentences]]]
