anna and the king is at least the fourth film adaptation of margaret landon's fact based novel the king and i , and it's big , expensive and soulless . 	Translation	Positive	Negative	EmotionRationale
though good-looking , its lavish sets , fancy costumes and luscious cinematography can do little to compensate for the emotional wasteland that is peter krikes and steve meerson's script . 	though good-looking , its lavish sets , fancy costumes and luscious cinematography can do little to compensate for the emotional wasteland that is peter krikes and steve meerson's script .	2	-2	 though[0] good[1] looking[0] its[0] lavish[0] sets[0] fancy[0] costumes[0] and[0] luscious[0] cinematography[0] can[0] do[0] little[0] to[0] compensate[0] for[0] the[0] emotional[-1] wasteland[-1] that[0] is[0] peter[0] krikes[0] and[0] steve[0] meerson's[0] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so much money was spent on pretty pictures that they forgot to actually make the movie interesting . 	so much money was spent on pretty pictures that they forgot to actually make the movie interesting .	3	-1	 so[0] much[0] money[0] was[0] spent[0] on[0] pretty[2] pictures[0] that[0] they[0] forgot[0] to[0] actually[0] make[0] the[0] movie[0] interesting[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is jodie foster's first movie since the jaw-droppingly brilliant contact came out more than two years ago and it isn't the best choice to show off her acting chops . 	this is jodie foster's first movie since the jaw-droppingly brilliant contact came out more than two years ago and it isn't the best choice to show off her acting chops .	2	-2	 this[0] is[0] jodie[0] foster's[0] first[0] movie[0] since[0] the[0] jaw[0] droppingly[0] brilliant[1] contact[0] came[0] out[0] more[0] than[0] two[0] years[0] ago[0] and[0] it[0] isn't[0] the[0] best[1][NegatedDueToPreviousWord] choice[0] to[0] show[0] off[0] her[0] acting[0] chops[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she's trapped in the stoic role of anna leonowens , the uptight , widowed british schoolteacher who comes to siam ( now thailand ) with her son to instruct the king's ( chow yun-fat ) son in the ways of the west ( because " the ways of england are the ways of the world ) . 	she's trapped in the stoic role of anna leonowens , the uptight , widowed british schoolteacher who comes to siam ( now thailand ) with her son to instruct the king's ( chow yun-fat ) son in the ways of the west ( because " the ways of england are the ways of the world ) .	1	-3	 she's[0] trapped[0] in[0] the[0] stoic[0] role[0] of[0] anna[0] leonowens[0] the[0] uptight[-2] widowed[0] british[0] schoolteacher[0] who[0] comes[0] to[0] siam[0] now[0] thailand[0] with[0] her[0] son[0] to[0] instruct[0] the[0] king's[0] chow[0] yun[0] fat[-1] son[0] in[0] the[0] ways[0] of[0] the[0] west[0] because[0] the[0] ways[0] of[0] england[0] are[0] the[0] ways[0] of[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the king likes her so much he puts her in charge of educating the whole royal family ( 58 kids with 10 more in the way ; impressive , no ? ) . 	the king likes her so much he puts her in charge of educating the whole royal family ( 58 kids with 10 more in the way ; impressive , no ?<br> ) .	3	-2	 the[0] king[0] likes[2] her[0] so[0] much[0] he[0] puts[0] her[0] in[0] charge[-1] of[0] educating[0] the[0] whole[0] royal[0] family[0] 58[0] kids[0] with[0] 10[0] more[0] in[0] the[0] way[0] impressive[1] no[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the eldest prince is none too happy about this ( " father , have i offended you in some way ? 	the eldest prince is none too happy about this ( " father , have i offended you in some way ?	2	-3	 the[0] eldest[0] prince[0] is[0] none[0] too[0] happy[1] about[0] this[0] father[0] have[0] i[0] offended[-2] you[0] in[0] some[0] way[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
why do you punish me with imperialist schoolteacher ? ) , but soon gets to know anna and her stern- mother-who-loves-you personality better and comes to like her . 	why do you punish me with imperialist schoolteacher ?<br> ) , but soon gets to know anna and her stern- mother-who-loves-you personality better and comes to like her .	3	-2	 why[0] do[0] you[0] punish[-1] me[0] with[0] imperialist[0] schoolteacher[0] [[Sentence=-2,1=word max, 1-5]] but[0] soon[0] gets[0] to[0] know[0] anna[0] and[0] her[0] stern[-1] mother[0] who[0] loves[2] you[0] personality[0] better[0] and[0] comes[0] to[0] like[1] her[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
meanwhile , siam comes under attack from the neighboring british colony of burma . 	meanwhile , siam comes under attack from the neighboring british colony of burma .	1	-3	 meanwhile[0] siam[0] comes[0] under[0] attack[-2] from[0] the[0] neighboring[0] british[0] colony[0] of[0] burma[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the king and his close advisors suspect that this is britain's doing which arouses suspicion in siam , putting anna in an uncomfortable position . 	the king and his close advisors suspect that this is britain's doing which arouses suspicion in siam , putting anna in an uncomfortable position .	1	-3	 the[0] king[0] and[0] his[0] close[0] advisors[0] suspect[-1] that[0] this[0] is[0] britain's[0] doing[0] which[0] arouses[0] suspicion[-1] in[0] siam[0] putting[0] anna[0] in[0] an[0] uncomfortable[-2] position[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she is not sure what to make of this and seems to herself suspect british involvement in the crisis but works to diffuse the king's prejudices . 	she is not sure what to make of this and seems to herself suspect british involvement in the crisis but works to diffuse the king's prejudices .	1	-3	 she[0] is[0] not[0] sure[0] what[0] to[0] make[0] of[0] this[0] and[0] seems[0] to[0] herself[0] suspect[-1] british[0] involvement[0] in[0] the[0] crisis[-2] but[0] works[0] to[0] diffuse[0] the[0] king's[0] prejudices[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
