one would think that david duchovny , star of the cult favorite " x-files " would be very careful in choosing his leading man cinema roles . 	Translation	Positive	Negative	EmotionRationale
at least one would hope so . 	at least one would hope so .	2	-1	 at[0] least[0] one[0] would[0] hope[2][-1 LastWordBoosterStrength] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one would be seriously incorrect . 	one would be seriously incorrect .	1	-2	 one[0] would[0] be[0] seriously[0] incorrect[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eugene sands ( duchovny ) is a surgeon so dedicated to his craft that he becomes addicted to amphetamines to stay awake and work more . 	eugene sands ( duchovny ) is a surgeon so dedicated to his craft that he becomes addicted to amphetamines to stay awake and work more .	1	-2	 eugene[0] sands[0] duchovny[0] is[0] a[0] surgeon[0] so[0] dedicated[0] to[0] his[0] craft[0] that[0] he[0] becomes[0] addicted[-1] to[0] amphetamines[0] to[0] stay[0] awake[0] and[0] work[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it turns out to be a bad plan when he loses a patient and his license while under the influence . 	it turns out to be a bad plan when he loses a patient and his license while under the influence .	1	-2	 it[0] turns[0] out[0] to[0] be[0] a[0] bad[-1] plan[0] when[0] he[0] loses[-1] a[0] patient[0] and[0] his[0] license[0] while[0] under[0] the[0] influence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ten months later , in a seedy bar to score synthetic heroin , the doctor gets a chance to ply his trade when assassins gun down a customer . 	ten months later , in a seedy bar to score synthetic heroin , the doctor gets a chance to ply his trade when assassins gun down a customer .	3	-3	 ten[0] months[0] later[0] in[0] a[0] seedy[0] bar[0] to[0] score[0] synthetic[0] heroin[2] the[0] doctor[0] gets[0] a[0] chance[0] to[0] ply[0] his[0] trade[0] when[0] assassins[-2] gun[-1] down[0] a[0] customer[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
using a plastic water bottle and bar tubing , sands operates and saves his life . 	using a plastic water bottle and bar tubing , sands operates and saves his life .	2	-1	 using[0] a[0] plastic[0] water[0] bottle[0] and[0] bar[0] tubing[0] sands[0] operates[0] and[0] saves[1] his[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
smalltime hoodlum raymond blossom ( timothy hutton ) is impressed with the cutlery skills on his associate . 	smalltime hoodlum raymond blossom ( timothy hutton ) is impressed with the cutlery skills on his associate .	2	-1	 smalltime[0] hoodlum[0] raymond[0] blossom[0] timothy[0] hutton[0] is[0] impressed[1] with[0] the[0] cutlery[0] skills[0] on[0] his[0] associate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he kidnaps and then offers down-and-out eugene a position in his organization . 	he kidnaps and then offers down-and-out eugene a position in his organization .	1	-1	 he[0] kidnaps[0] and[0] then[0] offers[0] down[0] and[0] out[0] eugene[0] a[0] position[0] in[0] his[0] organization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blossom needs a doctor to patch up gunshot victims that would be problematic at a hospital . 	blossom needs a doctor to patch up gunshot victims that would be problematic at a hospital .	1	-3	 blossom[0] needs[0] a[0] doctor[0] to[0] patch[0] up[0] gunshot[-1] victims[-2] that[0] would[0] be[0] problematic[-1] at[0] a[0] hospital[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sand's temptation is that this will give him a chance to practice medicine again albeit illegally , big chunks of cash to fuel his habit and close proximity to the gangster's womanfriend claire ( angelina jolie ) , this film's babe factor . 	sand's temptation is that this will give him a chance to practice medicine again albeit illegally , big chunks of cash to fuel his habit and close proximity to the gangster's womanfriend claire ( angelina jolie ) , this film's babe factor .	1	-2	 sand's[0] temptation[-1] is[0] that[0] this[0] will[0] give[0] him[0] a[0] chance[0] to[0] practice[0] medicine[0] again[0] albeit[0] illegally[0] big[0] chunks[0] of[0] cash[0] to[0] fuel[0] his[0] habit[0] and[0] close[0] proximity[0] to[0] the[0] gangster's[0] womanfriend[0] claire[0] angelina[0] jolie[0] this[0] film's[0] babe[0] factor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
