when i first saw the preview for cruel intentions , i turned to my friend and said , " dangerous liaisons for kids ! " 	Translation	Positive	Negative	EmotionRationale
it was clear to me that the film would be an obvious chunk of plagiarized nonsense , owing everything it is to stephen frears' 1988 masterpiece . 	it was clear to me that the film would be an obvious chunk of plagiarized nonsense , owing everything it is to stephen frears' 1988 masterpiece .	1	-2	 it[0] was[0] clear[0] to[0] me[0] that[0] the[0] film[0] would[0] be[0] an[0] obvious[0] chunk[0] of[0] plagiarized[0] nonsense[-1] owing[0] everything[0] it[0] is[0] to[0] stephen[0] frears'[0] 1988[0] masterpiece[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
imagine my surprise to see that writer/director roger kumble has given credit to his source material : choderlos de laclos is recognized for his novel les liaisons dangereuses in the opening credits . 	imagine my surprise to see that writer/director roger kumble has given credit to his source material : choderlos de laclos is recognized for his novel les liaisons dangereuses in the opening credits .	1	-2	 imagine[0] my[0] surprise[0] to[0] see[0] that[0] writer/director[0] roger[0] kumble[0] has[0] given[0] credit[0] to[0] his[0] source[-1] material[0] choderlos[0] de[0] laclos[0] is[0] recognized[0] for[0] his[0] novel[0] les[0] liaisons[0] dangereuses[-1] in[0] the[0] opening[0] credits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i was impressed . 	and i was impressed .	2	-1	 and[0] i[0] was[0] impressed[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , i was much more impressed with this recognition than with the actual film , which is an appalling excuse for a movie . 	in fact , i was much more impressed with this recognition than with the actual film , which is an appalling excuse for a movie .	2	-4	 in[0] fact[0] i[0] was[0] much[0] more[0] impressed[1] with[0] this[0] recognition[0] than[0] with[0] the[0] actual[0] film[0] which[0] is[0] an[0] appalling[-3] excuse[0] for[0] a[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's kiddie-porn hackwork , complete with earthy sex-talk and fully-clothed hand-jobs . 	it's kiddie-porn hackwork , complete with earthy sex-talk and fully-clothed hand-jobs .	1	-1	 it's[0] kiddie[0] porn[0] hackwork[0] complete[0] with[0] earthy[0] sex[0] talk[0] and[0] fully[0] clothed[0] hand[0] jobs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose this kind of movie was inevitable ; with all the teen high-school angst movies coming out , there was certainly room for a pretentious and laughable movie about a bunch of teenagers who think they're smarter and more beautiful than all the other people on earth combined . 	i suppose this kind of movie was inevitable ; with all the teen high-school angst movies coming out , there was certainly room for a pretentious and laughable movie about a bunch of teenagers who think they're smarter and more beautiful than all the other people on earth combined .	3	-2	 i[0] suppose[0] this[0] kind[1] of[0] movie[0] was[0] inevitable[0] with[0] all[0] the[0] teen[0] high[0] school[0] angst[0] movies[0] coming[0] out[0] there[0] was[0] certainly[0] room[0] for[0] a[0] pretentious[-1] and[0] laughable[-1] movie[0] about[0] a[0] bunch[0] of[0] teenagers[0] who[0] think[0] they're[0] smarter[1] and[0] more[0] beautiful[2] than[0] all[0] the[0] other[0] people[0] on[0] earth[0] combined[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cruel intentions is a mess in every possible way , and it fails primarily in the way i expected it to : i hated all the characters , and i hate everything they do . 	cruel intentions is a mess in every possible way , and it fails primarily in the way i expected it to : i hated all the characters , and i hate everything they do .	1	-4	 cruel[-3] intentions[0] is[0] a[0] mess[0] in[0] every[0] possible[0] way[0] and[0] it[0] fails[-2] primarily[0] in[0] the[0] way[0] i[0] expected[0] it[0] to[0] i[0] hated[-3] all[0] the[0] characters[0] and[0] i[0] hate[-3] everything[0] they[0] do[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i also hate ryan phillippe , so perhaps my opinion is not as objective as it could be . 	i also hate ryan phillippe , so perhaps my opinion is not as objective as it could be .	1	-4	 i[0] also[0] hate[-3] ryan[0] phillippe[0] so[0] perhaps[0] my[0] opinion[0] is[0] not[0] as[0] objective[0] as[0] it[0] could[0] be[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
phillippe plays ( check out this name ) sebastian valmont . 	phillippe plays ( check out this name ) sebastian valmont .	2	-1	 phillippe[0] plays[1] check[0] out[0] this[0] name[0] sebastian[0] valmont[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wow . 	wow .	3	-1	 wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
isn't that a memorable name ? 	isn't that a memorable name ?	1	-1	 isn't[0] that[0] a[0] memorable[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could just say it over and over again . 	i could just say it over and over again .	1	-1	 i[0] could[0] just[0] say[0] it[0] over[0] and[0] over[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sebastian valmont . 	sebastian valmont .	1	-1	 sebastian[0] valmont[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
