one of the indicator of badness in film is the hype being remembered more than film itself . 	Translation	Positive	Negative	EmotionRationale
such was the case with boxing helena , 1993 directorial debut of jennifer chambers lynch , daughter of the great david lynch . 	such was the case with boxing helena , 1993 directorial debut of jennifer chambers lynch , daughter of the great david lynch .	3	-1	 such[0] was[0] the[0] case[0] with[0] boxing[0] helena[0] 1993[0] directorial[0] debut[0] of[0] jennifer[0] chambers[0] lynch[0] daughter[0] of[0] the[0] great[2] david[0] lynch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
made in the dying years of post-twin peaks lynch craze among movie snobs , it was hyped as another , " warped , twisted masterpiece " of lynch clan . 	made in the dying years of post-twin peaks lynch craze among movie snobs , it was hyped as another , " warped , twisted masterpiece " of lynch clan .	1	-3	 made[0] in[0] the[0] dying[-1] years[0] of[0] post[0] twin[0] peaks[0] lynch[0] craze[-1] among[0] movie[0] snobs[-2] it[0] was[0] hyped[0] as[0] another[0] warped[-1] twisted[0] masterpiece[0] of[0] lynch[0] clan[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kim basinger also provided extra publicity by quitting the lead role and being sued for the breech of contract . 	kim basinger also provided extra publicity by quitting the lead role and being sued for the breech of contract .	1	-1	 kim[0] basinger[0] also[0] provided[0] extra[0] publicity[0] by[0] quitting[0] the[0] lead[0] role[0] and[0] being[0] sued[0] for[0] the[0] breech[0] of[0] contract[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , the result was extremely disappointing film , which quickly sank into well-deserved oblivion . 	but , the result was extremely disappointing film , which quickly sank into well-deserved oblivion .	1	-4	 but[0] the[0] result[0] was[0] extremely[0] disappointing[-1][-2 LastWordBoosterStrength] film[0] which[0] quickly[0] sank[-1] into[0] well[0] deserved[0] oblivion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie protagonist is nick cavanaugh ( played by julian sands ) , talented surgeon who is getting obsessed by helena ( sherilyn fenn ) , beautiful woman who ditched him after brief affair . 	the movie protagonist is nick cavanaugh ( played by julian sands ) , talented surgeon who is getting obsessed by helena ( sherilyn fen ) , beautiful woman who ditched him after brief affair .	3	-3	 the[0] movie[0] protagonist[0] is[0] nick[0] cavanaugh[0] played[0] by[0] julian[0] sands[0] talented[1] surgeon[0] who[0] is[0] getting[0] obsessed[-2] by[0] helena[0] sherilyn[0] fenn/fen[0] beautiful[2] woman[0] who[0] ditched[0] him[0] after[0] brief[0] affair[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
cavanaugh stalks her and uses every opportunity for the pathetic attempts to re-establish the relationship . 	cavanaugh stalks her and uses every opportunity for the pathetic attempts to re-establish the relationship .	1	-3	 cavanaugh[0] stalks[0] her[0] and[0] uses[0] every[0] opportunity[0] for[0] the[0] pathetic[-2] attempts[0] to[0] re[0] establish[0] the[0] relationship[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
during one of such occasions , helena is hit by a car , and nick quickly takes the role of her personal physician in order to have his way with her . 	during one of such occasions , helena is hit by a car , and nick quickly takes the role of her personal physician in order to have his way with her .	1	-1	 during[0] one[0] of[0] such[0] occasions[0] helena[0] is[0] hit[0] by[0] a[0] car[0] and[0] nick[0] quickly[0] takes[0] the[0] role[0] of[0] her[0] personal[0] physician[0] in[0] order[0] to[0] have[0] his[0] way[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after she wakes up , helena discovers not only that she is prisoner in cavanaugh's stylish residence , but also that cavanaugh amputated her legs in order to prevent her from escaping . 	after she wakes up , helena discovers not only that she is prisoner in cavanaugh's stylish residence , but also that cavanaugh amputated her legs in order to prevent her from escaping .	1	-2	 after[0] she[0] wakes[0] up[0] helena[0] discovers[0] not[0] only[0] that[0] she[0] is[0] prisoner[-1] in[0] cavanaugh's[0] stylish[0] residence[0] but[0] also[0] that[0] cavanaugh[0] amputated[-1] her[0] legs[0] in[0] order[0] to[0] prevent[0] her[0] from[0] escaping[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is still trying to escape , so cavanaugh takes off her arms . 	she is still trying to escape , so cavanaugh takes off her arms .	1	-1	 she[0] is[0] still[0] trying[0] to[0] escape[0] so[0] cavanaugh[0] takes[0] off[0] her[0] arms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apart from casting sherilyn fenn ( audrey horne in twin peaks and small cameo in wild at heart ) and the use of twisted characters and their perverse fantasies , this film by ms . lynch hasn't got anything in common with the works of director's more talented father . 	apart from casting sherilyn fen ( audrey horne in twin peaks and small cameo in wild at heart ) and the use of twisted characters and their perverse fantasies , this film by ms .<br> lynch hasn't got anything in common with the works of director's more talented father .	2	-2	 apart[0] from[0] casting[0] sherilyn[0] fenn/fen[0] audrey[0] horne[0] in[0] twin[0] peaks[0] and[0] small[0] cameo[0] in[0] wild[0] at[0] heart[0] and[0] the[0] use[0] of[0] twisted[0] characters[0] and[0] their[0] perverse[-1] fantasies[0] this[0] film[0] by[0] ms[0] [[Sentence=-2,1=word max, 1-5]] lynch[0] hasn't[0] got[0] anything[0] in[0] common[0] with[0] the[0] works[0] of[0] director's[0] more[0] talented[1] father[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
despite rather bizarre subject , the style of this film is conventional and setting is light , characters are beautiful - but the result at the end is quite sterile and the film in the end looks too artificial for dark sexual fantasy it was supposed to portray . 	despite rather bizarre subject , the style of this film is conventional and setting is light , characters are beautiful - but the result at the end is quite sterile and the film in the end looks too artificial for dark sexual fantasy it was supposed to portray .	3	-2	 despite[0] rather[0] bizarre[-1] subject[0] the[0] style[0] of[0] this[0] film[0] is[0] conventional[0] and[0] setting[0] is[0] light[0] characters[0] are[0] beautiful[2] but[0] the[0] result[0] at[0] the[0] end[0] is[0] quite[0] sterile[0] and[0] the[0] film[0] in[0] the[0] end[0] looks[0] too[0] artificial[0] for[0] dark[0] sexual[0] fantasy[0] it[0] was[0] supposed[0] to[0] portray[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
jennifer lynch obviously lacks talents in directing and it becomes painfully obvious in the scenes that are supposed to erotic - its banal artificiality is even bellow the standards of playboy videos . 	jennifer lynch obviously lacks talents in directing and it becomes painfully obvious in the scenes that are supposed to erotic - its banal artificiality is even bellow the standards of playboy videos .	2	-4	 jennifer[0] lynch[0] obviously[0] lacks[0] talents[1] in[0] directing[0] and[0] it[0] becomes[0] painfully[-3] obvious[0] in[0] the[0] scenes[0] that[0] are[0] supposed[0] to[0] erotic[0] its[0] banal[-1] artificiality[0] is[0] even[0] bellow[0] the[0] standards[0] of[0] playboy[0] videos[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the actors aren't good either . 	the actors aren't good either .	1	-2	 the[0] actors[0] aren't[0] good[1][NegatedDueToPreviousWord] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
julian sands is terribly miscast as emotionally disturbed man - this actors is best either when he plays charismatic protagonists or villains ; being neurotic doesn't suit him . 	julian sands is terribly miscast as emotionally disturbed man - this actors is best either when he plays charismatic protagonists or villains ; being neurotic doesn't suit him .	2	-4	 julian[0] sands[0] is[0] terribly[-3] miscast[0] as[0] emotionally[0] disturbed[-1] man[0] this[0] actors[0] is[0] best[1] either[0] when[0] he[0] plays[1] charismatic[0] protagonists[0] or[0] villains[-2] being[0] neurotic[-2] doesn't[0] suit[0] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
bill paxton was better for this role , but his presence was wasted in forgettable and unnecessary subplot dealing with helena's boyfriend . 	bill paxton was better for this role , but his presence was wasted in forgettable and unnecessary subplot dealing with helena's boyfriend .	1	-2	 bill[0] paxton[0] was[0] better[0] for[0] this[0] role[0] but[0] his[0] presence[0] was[0] wasted[-1] in[0] forgettable[0] and[0] unnecessary[-1] subplot[0] dealing[0] with[0] helena's[0] boyfriend[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sherilyn fenn contributed to this film mostly by her looks , but even the her greater effort in acting couldn't help this film . 	sherilyn fen contributed to this film mostly by her looks , but even the her greater effort in acting couldn't help this film .	3	-1	 sherilyn[0] fenn/fen[0] contributed[0] to[0] this[0] film[0] mostly[0] by[0] her[0] looks[0] but[0] even[0] the[0] her[0] greater[2] effort[0] in[0] acting[0] couldn't[0] help[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the screenplay , on the other hand , is awful , at least for someone who had made best-seller with laura palmer's diary - the events in this movie are implausible , characters come and go without purpose and many unnecessary subplots only slow down the film and add to the total confusion . 	the screenplay , on the other hand , is awful , at least for someone who had made best-seller with laura palmer's diary - the events in this movie are implausible , characters come and go without purpose and many unnecessary subplots only slow down the film and add to the total confusion .	2	-4	 the[0] screenplay[0] on[0] the[0] other[0] hand[0] is[0] awful[-3] at[0] least[0] for[0] someone[0] who[0] had[0] made[0] best[1] seller[0] with[0] laura[0] palmer's[0] diary[0] the[0] events[0] in[0] this[0] movie[0] are[0] implausible[0] characters[0] come[0] and[0] go[0] without[0] purpose[0] and[0] many[0] unnecessary[-1] subplots[0] only[0] slow[0] down[0] the[0] film[0] and[0] add[0] to[0] the[0] total[0] confusion[-1][-1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one of those subplots involves character of cavanaugh's " regular " girlfriend , played by betsy clarke . 	one of those subplots involves character of cavanaugh's " regular " girlfriend , played by betsy clarke .	1	-1	 one[0] of[0] those[0] subplots[0] involves[0] character[0] of[0] cavanaugh's[0] regular[0] girlfriend[0] played[0] by[0] betsy[0] clarke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the twist at the end , although unpredictable , is unbelievable and the viewers , who had the stomach to endure entire film , would feel cheated . 	the twist at the end , although unpredictable , is unbelievable and the viewers , who had the stomach to endure entire film , would feel cheated .	1	-3	 the[0] twist[0] at[0] the[0] end[0] although[0] unpredictable[0] is[0] unbelievable[-1] and[0] the[0] viewers[0] who[0] had[0] the[0] stomach[0] to[0] endure[0] entire[0] film[0] would[0] feel[0] cheated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all in all , boxing helena is disorganised quasi-artistic mess of a movie that should be remembered as nothing more than one of the wiser decisions in kim basinger's career . 	all in all , boxing helena is disorganised quasi-artistic mess of a movie that should be remembered as nothing more than one of the wiser decisions in kim basinger's career .	1	-1	 all[0] in[0] all[0] boxing[0] helena[0] is[0] disorganised[0] quasi[0] artistic[0] mess[0] of[0] a[0] movie[0] that[0] should[0] be[0] remembered[0] as[0] nothing[0] more[0] than[0] one[0] of[0] the[0] wiser[0] decisions[0] in[0] kim[0] basinger's[0] career[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
