robin williams has the rarest of gifts : the ability to rise above the most inept material and suffuse it with his irreverent style . 	Translation	Positive	Negative	EmotionRationale
overwhelmingly , his worst films are pleasantly diverting at worst and enjoyable at best ( with the notable exception of flubber ) . 	overwhelmingly , his worst films are pleasantly diverting at worst and enjoyable at best ( with the notable exception of flubber ) .	3	-3	 overwhelmingly[-2] his[0] worst[-2] films[0] are[0] pleasantly[2] diverting[0] at[0] worst[-2] and[0] enjoyable[2] at[0] best[1] with[0] the[0] notable[0] exception[0] of[0] flubber[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
so when i , the one person who has refused to abandon him despite patch adams , tell you that not even williams can save his latest project , you know it's in trouble . 	so when i , the one person who has refused to abandon him despite patch adams , tell you that not even williams can save his latest project , you know it's in trouble .	2	-2	 so[0] when[0] i[0] the[0] one[0] person[0] who[0] has[0] refused[-1] to[0] abandon[-1] him[0] despite[0] patch[0] adams[0] tell[0] you[0] that[0] not[0] even[0] williams[0] can[0] save[1] his[0] latest[0] project[0] you[0] know[0] it's[0] in[0] trouble[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jakob the liar is a confused , muddled little movie ; a generically " uplifting " film with a fundamental contradiction : the message it delivers is depressing as opposed to inspiring and the movie doesn't realize it . 	jakob the liar is a confused , muddled little movie ; a generically " uplifting " film with a fundamental contradiction : the message it delivers is depressing as opposed to inspiring and the movie doesn't realize it .	3	-4	 jakob[0] the[0] liar[-2] is[0] a[0] confused[-1] muddled[-1] little[0] movie[0] a[0] generically[0] uplifting[0] film[0] with[0] a[0] fundamental[0] contradiction[-1] the[0] message[0] it[0] delivers[0] is[0] depressing[-3] as[0] opposed[0] to[0] inspiring[2] and[0] the[0] movie[0] doesn't[0] realize[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
williams plays jakob haim , a jew imprisoned in a polish ghetto during world war ii . 	williams plays jakob haim , a jew imprisoned in a polish ghetto during world war i .	2	-3	 williams[0] plays[1] jakob[0] haim[0] a[0] jew[0] imprisoned[-1] in[0] a[0] polish[0] ghetto[-1] during[0] world[0] war[-2] ii/i[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one night he wanders outside after curfew and is promptly sent to the office of a high-ranking german officer for his punishment . 	one night he wanders outside after curfew and is promptly sent to the office of a high-ranking german officer for his punishment .	1	-2	 one[0] night[0] he[0] wanders[0] outside[0] after[0] curfew[0] and[0] is[0] promptly[0] sent[0] to[0] the[0] office[0] of[0] a[0] high[0] ranking[0] german[-1] officer[0] for[0] his[0] punishment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jakob gets off easy and he gets to hear approximately 30 seconds of a radio broadcast . 	jakob gets off easy and he gets to hear approximately 30 seconds of a radio broadcast .	1	-1	 jakob[0] gets[0] off[0] easy[0] and[0] he[0] gets[0] to[0] hear[0] approximately[0] 30[0] seconds[0] of[0] a[0] radio[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the announcement ( in english , but punctuated by a triumphant " heil hitler ! " ) is that russian troops are only miles away from jakob's ghetto . 	the announcement ( in english , but punctuated by a triumphant " heil hitler !<br> " ) is that russian troops are only miles away from jakob's ghetto .	3	-2	 the[0] announcement[0] in[0] english[0] but[0] punctuated[0] by[0] a[0] triumphant[2] heil[0] hitler[0] [[Sentence=-1,3=word max, 1-5]] is[0] that[0] russian[0] troops[0] are[0] only[0] miles[0] away[0] from[0] jakob's[0] ghetto[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
liberation ! he thinks . 	liberation !<br> he thinks .	1	-1	 liberation[0] [[Sentence=-1,1=word max, 1-5]] he[0] thinks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next day , jakob tells the news to his closest friend , a volatile prize fighter named misha ( liev schreiber ) , who despite being sworn to secrecy passes the message along . 	the next day , jakob tells the news to his closest friend , a volatile prize fighter named misha ( liev schreiber ) , who despite being sworn to secrecy passes the message along .	3	-3	 the[0] next[0] day[0] jakob[0] tells[0] the[0] news[0] to[0] his[0] closest[0] friend[1] a[0] volatile[-1] prize[2] fighter[-2] named[0] misha[0] liev[0] schreiber[0] who[0] despite[0] being[0] sworn[0] to[0] secrecy[0] passes[0] the[0] message[0] along[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
soon , it is a common assumption in the ghetto that jakob has a radio hidden in his home -- a crime punishable by death . 	soon , it is a common assumption in the ghetto that jakob has a radio hidden in his home - a crime punishable by death .	1	-3	 soon[0] it[0] is[0] a[0] common[0] assumption[0] in[0] the[0] ghetto[-1] that[0] jakob[0] has[0] a[0] radio[0] hidden[0] in[0] his[0] home[0] a[0] crime[-1] punishable[-1] by[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
