among multitude of erotic thrillers , that had been released in the early 1990s , woman of desire is interesting only because it was directed by robert ginty , star of the b-grade action films of the previous decade . 	Translation	Positive	Negative	EmotionRationale
those who tend not to be nostalgic about 1980s can find very good reason in the type of movies that made ginty the star . 	those who tend not to be nostalgic about 1980s can find very good reason in the type of movies that made ginty the star .	3	-1	 those[0] who[0] tend[0] not[0] to[0] be[0] nostalgic[0] about[0] 1980s[0] can[0] find[0] very[0] good[1][1 LastWordBoosterStrength] reason[0] in[0] the[0] type[0] of[0] movies[0] that[0] made[0] ginty[0] the[0] star[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as director , ginty did very little to improve that impression . 	as director , ginty did very little to improve that impression .	2	-1	 as[0] director[0] ginty[0] did[0] very[0] little[0] to[0] improve[1] that[0] impression[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the protagonist of the movie is jack ( played by jeff fahey ) , yacht skipper that falls madly in love with christina ford ( played by bo derek ) . 	the protagonist of the movie is jack ( played by jeff fahey ) , yacht skipper that falls madly in love with christina ford ( played by bo derek ) .	3	-1	 the[0] protagonist[0] of[0] the[0] movie[0] is[0] jack[0] played[0] by[0] jeff[0] fahey[0] yacht[0] skipper[0] that[0] falls[0] madly[1] in[0] love[2] with[0] christina[0] ford[0] played[0] by[0] bo[0] derek[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , she has relationship with rich and powerful jonathan ashby ( steven bauer ) . 	however , she has relationship with rich and powerful jonathan ashby ( steven bauer ) .	1	-1	 however[0] she[0] has[0] relationship[0] with[0] rich[0] and[0] powerful[0] jonathan[0] ashby[0] steven[0] bauer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one stormy night , the tragedy occurs and jack is accused of rape and murder . 	one stormy night , the tragedy occurs and jack is accused of rape and murder .	1	-4	 one[0] stormy[-1] night[0] the[0] tragedy[-2] occurs[0] and[0] jack[0] is[0] accused[-1] of[0] rape[-3] and[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , his good friend walter j . hill ( robert mitchum ) happens to be very good lawyer , so jack might even prove his innocence in the end . 	however , his good friend walter j .<br> hill ( robert mitchum ) happens to be very good lawyer , so jack might even prove his innocence in the end .	3	-1	 however[0] his[0] good[1] friend[1] walter[0] j[0] [[Sentence=-1,2=word max, 1-5]] hill[0] robert[0] mitchum[0] happens[0] to[0] be[0] very[0] good[1][1 LastWordBoosterStrength] lawyer[0] so[0] jack[0] might[0] even[0] prove[0] his[0] innocence[1] in[0] the[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
belonging more to the genre of courtroom drama than erotic thriller , woman of desire distinguishes itself from similar films by having almost all characters behaving like total idiots . 	belonging more to the genre of courtroom drama than erotic thriller , woman of desire distinguishes itself from similar films by having almost all characters behaving like total idiots .	2	-4	 belonging[0] more[0] to[0] the[0] genre[0] of[0] courtroom[0] drama[0] than[0] erotic[0] thriller[1] woman[0] of[0] desire[0] distinguishes[0] itself[0] from[0] similar[0] films[0] by[0] having[0] almost[0] all[0] characters[0] behaving[0] like[1] total[0] idiots[-2][-1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
unfortunately , this film isn't comedy and any laugh is unintentional . 	unfortunately , this film isn't comedy and any laugh is unintentional .	2	-2	 unfortunately[-1] this[0] film[0] isn't[0] comedy[0] and[0] any[0] laugh[1] is[0] unintentional[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the characters are totally antipathetic and irritating and soon we stop caring what would happen to them . 	the characters are totally antipathetic and irritating and soon we stop caring what would happen to them .	3	-3	 the[0] characters[0] are[0] totally[0] antipathetic[0] and[0] irritating[-2] and[0] soon[0] we[0] stop[0] caring[2] what[0] would[0] happen[0] to[0] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the actors that play them don't help either . 	the actors that play them don't help either .	1	-1	 the[0] actors[0] that[0] play[0] them[0] don't[0] help[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is especially the case with jeff fahey , whose jack is so stupid that even the character played by fahey in lawnmower man looks like a genius in comparison . 	that is especially the case with jeff fahey , whose jack is so stupid that even the character played by fahey in lawnmower man looks like a genius in comparison .	2	-2	 that[0] is[0] especially[0] the[0] case[0] with[0] jeff[0] fahey[0] whose[0] jack[0] is[0] so[0] stupid[-1] that[0] even[0] the[0] character[0] played[0] by[0] fahey[0] in[0] lawnmower[0] man[0] looks[0] like[1] a[0] genius[0] in[0] comparison[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his partner bo derek , on the other hand , shows that she didn't age enough to cease being the sex goddess , but that is small compensation for her apparent lack of acting talents . 	his partner bo derek , on the other hand , shows that she didn't age enough to cease being the sex goddess , but that is small compensation for her apparent lack of acting talents .	2	-2	 his[0] partner[0] bo[0] derek[0] on[0] the[0] other[0] hand[0] shows[0] that[0] she[0] didn't[0] age[0] enough[0] to[0] cease[0] being[0] the[0] sex[0] goddess[0] but[0] that[0] is[0] small[0] compensation[0] for[0] her[0] apparent[0] lack[-1] of[0] acting[0] talents[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ginty , on the other hand , tries to bring some life in the movie by using many flashbacks and strange angles of shooting , but in the end it gets only irritating to the already bored and dissatisfied viewer . 	ginty , on the other hand , tries to bring some life in the movie by using many flashbacks and strange angles of shooting , but in the end it gets only irritating to the already bored and dissatisfied viewer .	1	-3	 ginty[0] on[0] the[0] other[0] hand[0] tries[0] to[0] bring[0] some[0] life[0] in[0] the[0] movie[0] by[0] using[0] many[0] flashbacks[0] and[0] strange[0] angles[0] of[0] shooting[-1] but[0] in[0] the[0] end[0] it[0] gets[0] only[0] irritating[-2] to[0] the[0] already[0] bored[-1] and[0] dissatisfied[-1] viewer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
