nearly every film tim burton has directed has been an homage to the horror genre -- " frankenweenie , " " beetlejuice , " " batman , " " edward scissorhands , " " ed wood , " " mars attacks ! " 	Translation	Positive	Negative	EmotionRationale
-- yet none of them have been horror films . 	- yet none of them have been horror films .	1	-4	 yet[0] none[0] of[0] them[0] have[0] been[0] horror[-3] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " sleepy hollow " is his first attempt to actually scare people . 	 " sleepy hollow " is his first attempt to actually scare people .	1	-4	 sleepy[0] hollow[-1] is[0] his[0] first[0] attempt[0] to[0] actually[0] scare[-3] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i greeted the prospect with high anticipation ; burton's whole career seemed to be leading up to this . 	i greeted the prospect with high anticipation ; burton's whole career seemed to be leading up to this .	1	-1	 i[0] greeted[0] the[0] prospect[0] with[0] high[0] anticipation[0] burton's[0] whole[0] career[0] seemed[0] to[0] be[0] leading[0] up[0] to[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i left disappointed . 	i left disappointed .	1	-2	 i[0] left[0] disappointed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
andrew kevin walker's screenplay takes only the character names from the classic short story " the legend of sleepy hollow . " 	andrew kevin walker's screenplay takes only the character names from the classic short story " the legend of sleepy hollow .<br> "	1	-2	 andrew[0] kevin[0] walker's[0] screenplay[0] takes[0] only[0] the[0] character[0] names[0] from[0] the[0] classic[0] short[0] story[0] the[0] legend[0] of[0] sleepy[0] hollow[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the movie ichabod crane ( johnny depp ) is a new york city police constable who is trying to introduce scientific methods of investigation to his superiors . 	in the movie ichabod crane ( johnny dep ) is a new york city police constable who is trying to introduce scientific methods of investigation to his superiors .	1	-1	 in[0] the[0] movie[0] ichabod[0] crane[0] johnny[0] depp/dep[0] is[0] a[0] new[0] york[0] city[0] police[0] constable[0] who[0] is[0] trying[0] to[0] introduce[0] scientific[0] methods[0] of[0] investigation[0] to[0] his[0] superiors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ichabod is dispatched to the small town of sleepy hollow to investigate a series of murders . 	ichabod is dispatched to the small town of sleepy hollow to investigate a series of murders .	1	-4	 ichabod[0] is[0] dispatched[0] to[0] the[0] small[0] town[0] of[0] sleepy[0] hollow[-1] to[0] investigate[0] a[0] series[0] of[0] murders[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
several of the town's leading citizens have been decapitated by the headless horseman . 	several of the town's leading citizens have been decapitated by the headless horseman .	1	-1	 several[0] of[0] the[0] town's[0] leading[0] citizens[0] have[0] been[0] decapitated[0] by[0] the[0] headless[0] horseman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although he rejects the ghost story the town elders tell him , ichabod finds that the facts of the case confound his scientific reasoning . 	although he rejects the ghost story the town elders tell him , ichabod finds that the facts of the case confound his scientific reasoning .	1	-2	 although[0] he[0] rejects[-1] the[0] ghost[0] story[0] the[0] town[0] elders[0] tell[0] him[0] ichabod[0] finds[0] that[0] the[0] facts[0] of[0] the[0] case[0] confound[-1] his[0] scientific[0] reasoning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also discovers that the killings are not random , that the victims are tied together by a secret . 	he also discovers that the killings are not random , that the victims are tied together by a secret .	1	-3	 he[0] also[0] discovers[0] that[0] the[0] killings[0] are[0] not[0] random[0] that[0] the[0] victims[-2] are[0] tied[0] together[0] by[0] a[0] secret[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way ichabod gets help from a bewitching ( literally ) young woman ( christina ricci ) and the son of one of the murder victims ( marc pickering ) . 	along the way ichabod gets help from a bewitching ( literally ) young woman ( christina ricci ) and the son of one of the murder victims ( marc pickering ) .	1	-4	 along[0] the[0] way[0] ichabod[0] gets[0] help[0] from[0] a[0] bewitching[0] literally[0] young[0] woman[0] christina[0] ricci[0] and[0] the[0] son[0] of[0] one[0] of[0] the[0] murder[-3] victims[-2][-1 MultiplePositiveWords] marc[0] pickering[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
my reaction : ho-hum . 	my reaction : ho-hum .	1	-1	 my[0] reaction[0] ho[0] hum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is an accumulation of cliches without even the slightest touch of originality to make it interesting . 	the plot is an accumulation of cliches without even the slightest touch of originality to make it interesting .	2	-1	 the[0] plot[0] is[0] an[0] accumulation[0] of[0] cliches[0] without[0] even[0] the[0] slightest[0] touch[0] of[0] originality[0] to[0] make[0] it[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that in itself is forgivable ; hollywood constantly tries to sell us used products in new packages . 	that in itself is forgivable ; hollywood constantly tries to sell us used products in new packages .	2	-1	 that[0] in[0] itself[0] is[0] forgivable[1] hollywood[0] constantly[0] tries[0] to[0] sell[0] us[0] used[0] products[0] in[0] new[0] packages[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , burton's attempts at inducing fright come off as goofy . 	however , burton's attempts at inducing fright come off as goofy .	1	-4	 however[0] burton's[0] attempts[0] at[0] inducing[0] fright[-3] come[0] off[0] as[0] goofy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it might be his background -- in his previous movies , goofy was the goal . 	it might be his background - in his previous movies , goofy was the goal .	1	-1	 it[0] might[0] be[0] his[0] background[0] in[0] his[0] previous[0] movies[0] goofy[0] was[0] the[0] goal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the same lines , it doesn't help that creature designer ( and producer ) kevin yagher has done his best work for the tongue-in-cheek tales from the crypt tv series . 	along the same lines , it doesn't help that creature designer ( and producer ) kevin yagher has done his best work for the tongue-in-cheek tales from the crypt tv series .	2	-1	 along[0] the[0] same[0] lines[0] it[0] doesn't[0] help[0] that[0] creature[0] designer[0] and[0] producer[0] kevin[0] yagher[0] has[0] done[0] his[0] best[1] work[0] for[0] the[0] tongue[0] in[0] cheek[0] tales[0] from[0] the[0] crypt[0] tv[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a witch's eyes and tongue shoot out like roger rabbit's , a tree spurts blood like it's in a monty python sketch , and the headless horseman . 	a witch's eyes and tongue shoot out like roger rabbit's , a tree spurts blood like it's in a monty python sketch , and the headless horseman .	2	-2	 a[0] witch's[0] eyes[0] and[0] tongue[0] shoot[-1] out[0] like[1] roger[0] rabbit's[0] a[0] tree[0] spurts[0] blood[0] like[1] it's[0] in[0] a[0] monty[0] python[0] sketch[0] and[0] the[0] headless[0] horseman[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
well , he's a guy without a head . 	well , he's a guy without a head .	1	-1	 well[0] he's[0] a[0] guy[0] without[0] a[0] head[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
on a horse ( boo ! ) . 	on a horse ( boo !<br> ) .	1	-1	 on[0] a[0] horse[0] boo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances are also awful . 	the performances are also awful .	1	-4	 the[0] performances[0] are[0] also[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
