 " holy man " boasts a sweet , gentle , comic performance from an unusually subdued eddie murphy and a few moderately funny skits . 	Translation	Positive	Negative	EmotionRationale
unfortunately , to get to the good stuff you have to sit through a painfully long set-up , loads of tedious filler , interminable shots of jeff goldblum stammering and twitching , a superfluous romantic subplot and quite possibly the most annoying performance of robert loggia's career . 	unfortunately , to get to the good stuff you have to sit through a painfully long set-up , loads of tedious filler , interminable shots of jeff goldblum stammering and twitching , a superfluous romantic subplot and quite possibly the most annoying performance of robert loggia's career .	4	-4	 unfortunately[-1] to[0] get[0] to[0] the[0] good[1] stuff[0] you[0] have[0] to[0] sit[0] through[0] a[0] painfully[-3] long[0] set[0] up[0] loads[0] of[0] tedious[-2] filler[0] interminable[0] shots[0] of[0] jeff[0] goldblum[0] stammering[-1] and[0] twitching[0] a[0] superfluous[-1] romantic[3] subplot[0] and[0] quite[0] possibly[0] the[0] most[0] annoying[-2] performance[0] of[0] robert[0] loggia's[0] career[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
if ever a movie screamed " wait for video so you can fast-forward through all the dull and annoying parts , " this is it . 	if ever a movie screamed " wait for video so you can fast-forward through all the dull and annoying parts , " this is it .	1	-4	 if[0] ever[0] a[0] movie[0] screamed[-3] wait[0] for[0] video[0] so[0] you[0] can[0] fast[0] forward[0] through[0] all[0] the[0] dull[-1] and[0] annoying[-2] parts[0] this[0] is[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
eddie murphy plays g , a robed nomadic pilgrim wandering the land enjoying the moment and spreading his spiritual message . 	eddie murphy plays grin� , a robed nomadic pilgrim wandering the land enjoying the moment and spreading his spiritual message .	3	-1	 eddie[0] murphy[0] plays[1] g[0] a[0] robed[0] nomadic[0] pilgrim[0] wandering[0] the[0] land[0] enjoying[2] the[0] moment[0] and[0] spreading[0] his[0] spiritual[0] message[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a chance meeting with ricky hayman ( goldblum ) , a stressed-out executive of a home-shopping channel , and kate newell ( kelly preston ) , a no-nonsense media analyst , results in physical injury to g . quicker than you can say " the odd couple , " g ends up rooming with an extremely leery ricky . 	a chance meeting with ricky hayman ( goldblum ) , a stressed-out executive of a home-shopping channel , and kate newell ( kelly preston ) , a no-nonsense media analyst , results in physical injury to grin� .<br> quicker than you can say " the odd couple , " grin� ends up rooming with an extremely leery ricky .	1	-2	 a[0] chance[0] meeting[0] with[0] ricky[0] hayman[0] goldblum[0] a[0] stressed[-1] out[0] executive[0] of[0] a[0] home[0] shopping[0] channel[0] and[0] kate[0] newell[0] kelly[0] preston[0] a[0] no[0] nonsense[-1] media[0] analyst[0] results[0] in[0] physical[0] injury[-1] to[0] g[0] [[Sentence=-2,1=word max, 1-5]] quicker[0] than[0] you[0] can[0] say[0] the[0] odd[0] couple[0] g[0] ends[0] up[0] rooming[0] with[0] an[0] extremely[0] leery[0] ricky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
after some script gymnastics , g appears live on the air at the good buy shopping network , wreaking havoc on the cheesy product demonstrations , enraging network owner mr . mcbainbridge ( loggia ) , and becoming a national media sensation . 	after some script gymnastics , grin� appears live on the air at the good buy shopping network , wreaking havoc on the cheesy product demonstrations , enraging network owner mr .<br> mcbainbridge ( loggia ) , and becoming a national media sensation .	2	-4	 after[0] some[0] script[0] gymnastics[0] g[0] appears[0] live[0] on[0] the[0] air[0] at[0] the[0] good[1] buy[0] shopping[0] network[0] wreaking[0] havoc[-1] on[0] the[0] cheesy[0] product[0] demonstrations[0] enraging[-3] network[0] owner[0] mr[0] [[Sentence=-4,2=word max, 1-5]] mcbainbridge[0] loggia[0] and[0] becoming[0] a[0] national[0] media[0] sensation[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
 " holy man " attempts to be several things at once . 	 " holy man " attempts to be several things at once .	1	-1	 holy[0] man[0] attempts[0] to[0] be[0] several[0] things[0] at[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it tries to satirize home shopping networks , but it's difficult to effectively make fun of something that is already a self-parody . 	it tries to satirize home shopping networks , but it's difficult to effectively make fun of something that is already a self-parody .	2	-2	 it[0] tries[0] to[0] satirize[0] home[0] shopping[0] networks[0] but[0] it's[0] difficult[-1] to[0] effectively[0] make[0] fun[1] of[0] something[0] that[0] is[0] already[0] a[0] self[0] parody[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film attempts to teach us that collecting material possessions is merely a futile attempt to fill the spiritual holes in our hearts , but that's common knowledge already . 	the film attempts to teach us that collecting material possessions is merely a futile attempt to fill the spiritual holes in our hearts , but that's common knowledge already .	1	-1	 the[0] film[0] attempts[0] to[0] teach[0] us[0] that[0] collecting[0] material[0] possessions[0] is[0] merely[0] a[0] futile[0] attempt[0] to[0] fill[0] the[0] spiritual[0] holes[0] in[0] our[0] hearts[0] but[0] that's[0] common[0] knowledge[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " holy man " also tries to present a story of redemption , as ricky hayman tries to decide whether to exploit g's good will to achieve financial security or do the right thing at the expense of his career . 	 " holy man " also tries to present a story of redemption , as ricky hayman tries to decide whether to exploit g's good will to achieve financial security or do the right thing at the expense of his career .	2	-2	 holy[0] man[0] also[0] tries[0] to[0] present[0] a[0] story[0] of[0] redemption[0] as[0] ricky[0] hayman[0] tries[0] to[0] decide[0] whether[0] to[0] exploit[0] g's[0] good[1] will[0] to[0] achieve[0] financial[0] security[1] or[0] do[0] the[0] right[0] thing[0] at[0] the[0] expense[-1] of[0] his[0] career[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
anyone want to place a wager on his final decision ? 	anyone want to place a wager on his final decision ?	1	-1	 anyone[0] want[0] to[0] place[0] a[0] wager[0] on[0] his[0] final[0] decision[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
