the stereotypical american male has an undeniable fetishistic love of sports cars . 	Translation	Positive	Negative	EmotionRationale
producer jerry bruckheimer plays upon that attraction with a movie so loaded with testosterone and laced titillatingly with shot after frenetic shot of powerful muscle cars , sleek foreign road huggers and iconic speed machines that many males will leave the theater in an orgasmic haze . 	producer jerry bruckheimer plays upon that attraction with a movie so loaded with testosterone and laced titillatingly with shot after frenetic shot of powerful muscle cars , sleek foreign road huggers and iconic speed machines that many males will leave the theater in an orgasmic haze .	3	-2	 producer[0] jerry[0] bruckheimer[0] plays[1] upon[0] that[0] attraction[1] with[0] a[0] movie[0] so[0] loaded[0] with[0] testosterone[0] and[0] laced[0] titillatingly[0] with[0] shot[-1] after[0] frenetic[0] shot[-1] of[0] powerful[0] muscle[0] cars[0] sleek[0] foreign[-1] road[0] huggers[2] and[0] iconic[0] speed[0] machines[0] that[0] many[0] males[0] will[0] leave[0] the[0] theater[0] in[0] an[0] orgasmic[0] haze[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gone is 60 seconds is an orgy of maleness gone horribly awry . 	gone is 60 seconds is an orgy of maleness gone horribly awry .	1	-4	 gone[0] is[0] 60[0] seconds[0] is[0] an[0] orgy[0] of[0] maleness[0] gone[0] horribly[-3] awry[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
cage is legendary retired car thief , memphis raines ( don't you love cute movie names ) , who must call upon his time worn skills to save his thick-headed brother ( ribisi ) from being killed . 	cage is legendary retired car thief , memphis raines ( don't you love cute movie names ) , who must call upon his time worn skills to save his thick-headed brother ( ribisi ) from being killed .	2	-4	 cage[0] is[0] legendary[0] retired[-1] car[0] thief[-1] memphis[0] raines[0] don't[0] you[0] love[2][NegatedDueToPreviousWord] cute[1] movie[0] names[0] who[0] must[0] call[0] upon[0] his[0] time[0] worn[-1] skills[0] to[0] save[1] his[0] thick[0] headed[0] brother[0] ribisi[0] from[0] being[0] killed[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
seems a murderous crime boss ( eccleston ) with a fetish for wood ( insert your own joke ) hired brother kip to steal a ridiculous amount of expensive , exotic autos . 	seems a murderous crime boss ( eccleston ) with a fetish for wood ( insert your own joke ) hired brother kip to steal a ridiculous amount of expensive , exotic autos .	2	-4	 seems[0] a[0] murderous[-3] crime[-1] boss[0] eccleston[0] with[0] a[0] fetish[0] for[0] wood[0] insert[0] your[0] own[0] joke[1] hired[0] brother[0] kip[0] to[0] steal[-2] a[0] ridiculous[-2] amount[0] of[0] expensive[-1] exotic[0] autos[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
fifty cars , to be exact . 	fifty cars , to be exact .	1	-1	 fifty[0] cars[0] to[0] be[0] exact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poor kip screws the pooch and bungles the job badly . 	poor kip screws the pooch and bungles the job badly .	1	-2	 poor[-1] kip[0] screws[0] the[0] pooch[0] and[0] bungles[-1] the[0] job[0] badly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if the cars aren't delivered in three days , bossman has a casket carved out just for kip . 	if the cars aren't delivered in three days , bossman has a casket carved out just for kip .	1	-1	 if[0] the[0] cars[0] aren't[0] delivered[0] in[0] three[0] days[0] bossman[0] has[0] a[0] casket[0] carved[0] out[0] just[0] for[0] kip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
literally . 	literally .	1	-1	 literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if only someone could save him . 	if only someone could save him .	1	-1	 if[0] only[0] someone[0] could[0] save[1][-1 LastWordBoosterStrength] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmmmm . . wonder 	hm .<br> .<br> wonder	2	-1	 hmmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] wonder[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
