when respecting a director , you must also respect the fact that they are not perfect . 	Translation	Positive	Negative	EmotionRationale
woody allen has made a couple less-than good films , and he's my favorite . 	woody allen has made a couple less-than good films , and he's my favorite .	2	-1	 woody[0] allen[0] has[0] made[0] a[0] couple[0] less[0] than[0] good[1] films[0] and[0] he's[0] my[0] favorite[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even martin scorsese hasn't had a perfect track record . 	even martin scorsese hasn't had a perfect track record .	2	-1	 even[0] martin[0] scorsese[0] hasn't[0] had[0] a[0] perfect[1] track[0] record[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kevin smith , after a smashing debut with the classic " clerks " stooped as low to sell-out and make the dreadful " mallrats . " 	kevin smith , after a smashing debut with the classic " clerks " stooped as low to sell-out and make the dreadful " mallrats .<br> "	1	-4	 kevin[0] smith[0] after[0] a[0] smashing[0] debut[0] with[0] the[0] classic[0] clerks[0] stooped[0] as[0] low[-1] to[0] sell[0] out[0] and[0] make[0] the[0] dreadful[-3] mallrats[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i mean , so far the only director who's made several films , none of which have been bad is richard linklater ( " slacker , " " dazed and confused , " " before sunrise , " and " suburbia " . . . all 	i mean , so far the only director who's made several films , none of which have been bad is richard linklater ( " slacker , " " dazed and confused , " " before sunrise , " and " suburbia " .<br> .<br> .<br> all	1	-2	 i[0] mean[0] so[0] far[0] the[0] only[0] director[0] who's[0] made[0] several[0] films[0] none[0] of[0] which[0] have[0] been[0] bad[-1] is[0] richard[0] linklater[0] slacker[0] dazed[-1] and[0] confused[-1] before[0] sunrise[0] and[0] suburbia[0] [[Sentence=-2,1=word max, 1-5]] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
which were great ) . 	which were great ) .	3	-1	 which[0] were[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now , i adore quentin tarantino . 	now , i adore quentin tarantino .	4	-1	 now[0] i[0] adore[3] quentin[0] tarantino[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his first two films were classic films , the second one being one of the greatest films of all time . 	his first two films were classic films , the second one being one of the greatest films of all time .	3	-1	 his[0] first[0] two[0] films[0] were[0] classic[0] films[0] the[0] second[0] one[0] being[0] one[0] of[0] the[0] greatest[2] films[0] of[0] all[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but 1995 just wasn't that good of a year for him . 	but 1995 just wasn't that good of a year for him .	2	-1	 but[0] 1995[0] just[0] wasn't[0] that[0] good[1] of[0] a[0] year[0] for[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he made way too many tv appearances . 	he made way too many tv appearances .	1	-1	 he[0] made[0] way[0] too[0] many[0] tv[0] appearances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he mispronounced jackie chan's name on the mtv movie awards . 	he mispronounced jackie chan's name on the mtv movie awards .	1	-1	 he[0] mispronounced[0] jackie[0] chan's[0] name[0] on[0] the[0] mtv[0] movie[0] awards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he made this film . 	and he made this film .	1	-1	 and[0] he[0] made[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( he was also awarded an oscar , so i guess that would be a grand exception ) . 	 ( he was also awarded an oscar , so i guess that would be a grand exception ) .	2	-1	 he[0] was[0] also[0] awarded[0] an[0] oscar[0] so[0] i[0] guess[0] that[0] would[0] be[0] a[0] grand[1] exception[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robert rodriguez is also a great director ; not a brilliant one , but a cool one . 	robert rodriguez is also a great director ; not a brilliant one , but a cool one .	3	-2	 robert[0] rodriguez[0] is[0] also[0] a[0] great[2] director[0] not[0] a[0] brilliant[1][NegatedDueToPreviousWord] one[0] but[0] a[0] cool[1] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i've never seen an alexandre rockwell or allison anders film , so i can't comment on them . 	i've never seen an alexandre rockwell or allison anders film , so i can't comment on them .	1	-1	 i've[0] never[0] seen[0] an[0] alexandre[0] rockwell[0] or[0] allison[0] anders[0] film[0] so[0] i[0] can't[0] comment[0] on[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but in this crap ensemble director's film , all four give pitiful efforts . 	but in this crap ensemble director's film , all four give pitiful efforts .	1	-3	 but[0] in[0] this[0] crap[-2] ensemble[0] director's[0] film[0] all[0] four[0] give[0] pitiful[-2] efforts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
pitiful for any director , too . 	pitiful for any director , too .	1	-3	 pitiful[-2] for[0] any[0] director[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now in all fairness , ensemble director pieces never really work out . 	now in all fairness , ensemble director pieces never really work out .	1	-1	 now[0] in[0] all[0] fairness[0] ensemble[0] director[0] pieces[0] never[0] really[0] work[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've never seen all of " new york stories , " but have heard the first two films , by scorsese and francis ford coppola are crap ( i saw woody's one , which was hilarious but not totally up to par ) . but i will rate each film individually and then report back to you on the overal average score of the film . 	i've never seen all of " new york stories , " but have heard the first two films , by scorsese and francis ford coppola are crap ( i saw woody's one , which was hilarious but not totally up to par ) .<br> but i will rate each film individually and then report back to you on the overal average score of the film .	3	-3	 i've[0] never[0] seen[0] all[0] of[0] new[0] york[0] stories[0] but[0] have[0] heard[0] the[0] first[0] two[0] films[0] by[0] scorsese[0] and[0] francis[0] ford[0] coppola[0] are[0] crap[-2] i[0] saw[0] woody's[0] one[0] which[0] was[0] hilarious[2] but[0] not[0] totally[0] up[0] to[0] par[0] [[Sentence=-3,3=word max, 1-5]] but[0] i[0] will[0] rate[0] each[0] film[0] individually[0] and[0] then[0] report[0] back[0] to[0] you[0] on[0] the[0] overal[0] average[0] score[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
exposition : a simple one - a bellhop , ted ( the totally overdone tim roth , who's a god and all , but not in this one , though he has a couple good moments ) is working on new year's eve for his first shift ( ! ! ! ) in an old fancy hotel . 	exposition : a simple one - a bellhop , ted ( the totally overdone tim roth , who's a god and all , but not in this one , though he has a couple good moments ) is working on new year's eve for his first shift ( !<br> !<br> !<br> ) in an old fancy hotel .	2	-1	 exposition[0] a[0] simple[0] one[0] a[0] bellhop[0] ted[0] the[0] totally[0] overdone[0] tim[0] roth[0] who's[0] a[0] god[0] and[0] all[0] but[0] not[0] in[0] this[0] one[0] though[0] he[0] has[0] a[0] couple[0] good[1] moments[0] is[0] working[0] on[0] new[0] year's[0] eve[0] for[0] his[0] first[0] shift[0] [[Sentence=-1,2=word max, 1-5]] in[0] an[0] old[0] fancy[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
he's the only one there ( again : ! ! ! ) and he only has a couple rooms ( yet again : ! ! ! ) . 	he's the only one there ( again : !<br> !<br> !<br> ) and he only has a couple rooms ( yet again : !<br> !<br> !<br> ) .	1	-1	 he's[0] the[0] only[0] one[0] there[0] again[0] [[Sentence=-1,1=word max, 1-5]] and[0] he[0] only[0] has[0] a[0] couple[0] rooms[0] yet[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the old bellhop ( the seemingly immortal marc lawrence - who hated pulp fiction actually ) hands over his cap to ted and he goes to his job happily . 	the old bellhop ( the seemingly immortal marc lawrence - who hated pulp fiction actually ) hands over his cap to ted and he goes to his job happily .	3	-4	 the[0] old[0] bellhop[0] the[0] seemingly[0] immortal[1] marc[0] lawrence[0] who[0] hated[-3] pulp[0] fiction[0] actually[0] hands[0] over[0] his[0] cap[0] to[0] ted[0] and[0] he[0] goes[0] to[0] his[0] job[0] happily[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as the night goes on , he becomes increasingly annoyed and hostile . 	as the night goes on , he becomes increasingly annoyed and hostile .	1	-3	 as[0] the[0] night[0] goes[0] on[0] he[0] becomes[0] increasingly[0] annoyed[-2] and[0] hostile[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yea . 	yea .	1	-1	 yea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( the short films are presented in order , btw ) : 	 ( the short films are presented in order , by the way ) :	1	-1	 the[0] short[0] films[0] are[0] presented[0] in[0] order[0] btw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the missing ingredient writer/director : allison anders starring : sammi davis , amanda decadenet , valeria golino , madonna , ione skye , lili taylor , alicia witt 	the missing ingredient writer/director : allison anders starring : sammi davis , amanda decadenet , valeria golino , madonna , ione skye , lili taylor , alicia wit	1	-1	 the[0] missing[0] ingredient[0] writer/director[0] allison[0] anders[0] starring[0] sammi[0] davis[0] amanda[0] decadenet[0] valeria[0] golino[0] madonna[0] ione[0] skye[0] lili[0] taylor[0] alicia[0] witt/wit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this one starts it off horribly with no plot , no intrigue , and crap dialogue . 	this one starts it off horribly with no plot , no intrigue , and crap dialogue .	1	-4	 this[0] one[0] starts[0] it[0] off[0] horribly[-3] with[0] no[0] plot[0] no[0] intrigue[0] and[0] crap[-2] dialogue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the situation is so terrible that it's physically painful to watch . 	the situation is so terrible that it's physically painful to watch .	1	-4	 the[0] situation[0] is[0] so[0] terrible[-3] that[0] it's[0] physically[0] painful[-3] to[0] watch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the plot has something to do with a coven of witches needing sperm to bring back a godess who is ( gasp ! ) 	the plot has something to do with a coven of witches needing sperm to bring back a godess who is ( gasp !<br> )	1	-1	 the[0] plot[0] has[0] something[0] to[0] do[0] with[0] a[0] coven[0] of[0] witches[0] needing[0] sperm[0] to[0] bring[0] back[0] a[0] godess[0] who[0] is[0] gasp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stuck inside some object in their hotel room . 	stuck inside some object in their hotel room .	1	-1	 stuck[0] inside[0] some[0] object[0] in[0] their[0] hotel[0] room[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the witch that was supposed to bring it ( ione skye ) calls up ted and asks him if she can perform fellatio on him to get it . 	the witch that was supposed to bring it ( ione skye ) calls up ted and asks him if she can perform fellatio on him to get it .	1	-1	 the[0] witch[0] that[0] was[0] supposed[0] to[0] bring[0] it[0] ione[0] skye[0] calls[0] up[0] ted[0] and[0] asks[0] him[0] if[0] she[0] can[0] perform[0] fellatio[0] on[0] him[0] to[0] get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , that's what i said . 	yeah , that's what i said .	1	-1	 yeah[0] that's[0] what[0] i[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stupid plot , inane characters who aren't interesting at all , etc , etc , etc . the only good thing about this is it has a good cast which , in turn , it wastes pitifully . 	stupid plot , inane characters who aren't interesting at all , etc , etc , etc .<br> the only good thing about this is it has a good cast which , in turn , it wastes pitifully .	2	-3	 stupid[-1] plot[0] inane[-1] characters[0] who[0] aren't[0] interesting[1][NegatedDueToPreviousWord] at[0] all[0] etc[0] etc[0] etc[0] [[Sentence=-2,1=word max, 1-5]] the[0] only[0] good[1] thing[0] about[0] this[0] is[0] it[0] has[0] a[0] good[1] cast[0] which[0] in[0] turn[0] it[0] wastes[-1] pitifully[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not even actually funny for a second . 	not even actually funny for a second .	2	-1	 not[0] even[0] actually[0] funny[1] for[0] a[0] second[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
my rating ( out of 5 ) : no stars ! ! ! ! 	my rating ( out of 5 ) : no stars !<br> !<br> !<br> !	1	-1	 my[0] rating[0] out[0] of[0] 5[0] no[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
