ever since wargames , the first real computer hacking movie , hollywood has attempted to produce more and more films about hacking . 	Translation	Positive	Negative	EmotionRationale
these films usually show the audience a look into computers that really is not impossible and is usually ridiculous . 	these films usually show the audience a look into computers that really is not impossible and is usually ridiculous .	1	-3	 these[0] films[0] usually[0] show[0] the[0] audience[0] a[0] look[0] into[0] computers[0] that[0] really[0] is[0] not[0] impossible[0] and[0] is[0] usually[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if it's not this , the exaggeration about what is real is usually greater than you would expect . 	if it's not this , the exaggeration about what is real is usually greater than you would expect .	3	-2	 if[0] it's[0] not[0] this[0] the[0] exaggeration[-1] about[0] what[0] is[0] real[0] is[0] usually[0] greater[2] than[0] you[0] would[0] expect[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hackers is guilty of all of these crimes . 	hackers is guilty of all of these crimes .	1	-4	 hackers[0] is[0] guilty[-3] of[0] all[0] of[0] these[0] crimes[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to anyone familiar with computers and/or the internet , most of the movie is so incredibly stupid that you can't take it anymore . 	to anyone familiar with computers and/or the internet , most of the movie is so incredibly stupid that you can't take it anymore .	1	-4	 to[0] anyone[0] familiar[0] with[0] computers[0] and/or[0] the[0] internet[0] most[0] of[0] the[0] movie[0] is[0] so[0] incredibly[0] stupid[-1][-2 LastWordBoosterStrength] that[0] you[0] can't[0] take[0] it[0] anymore[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
those of you who frequent one of the greatest sites on the world wide web , the internet movie database , are probably aware of the section for movies entitled " goofs " . 	those of you who frequent one of the greatest sites on the world wide web , the internet movie database , are probably aware of the section for movies entitled " goofs " .	3	-1	 those[0] of[0] you[0] who[0] frequent[0] one[0] of[0] the[0] greatest[2] sites[0] on[0] the[0] world[0] wide[0] web[0] the[0] internet[0] movie[0] database[0] are[0] probably[0] aware[0] of[0] the[0] section[0] for[0] movies[0] entitled[0] goofs[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is the section for mistakes in the movies . 	this is the section for mistakes in the movies .	1	-2	 this[0] is[0] the[0] section[0] for[0] mistakes[-1] in[0] the[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , imdb sums up hackers extremely well with the first goof listed : " generally ill-informed and ridiculous to the extreme regarding the capabilities of computers and technology " . 	well , imdb sums up hackers extremely well with the first goof listed : " generally ill-informed and ridiculous to the extreme regarding the capabilities of computers and technology " .	1	-3	 well[0] imdb[0] sums[0] up[0] hackers[0] extremely[0] well[0] with[0] the[0] first[0] goof[0] listed[0] generally[0] ill[-1] informed[0] and[0] ridiculous[-2] to[0] the[0] extreme[0] regarding[0] the[0] capabilities[0] of[0] computers[0] and[0] technology[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and truthfully , this is one-hundred percent correct . 	and truthfully , this is one-hundred percent correct .	2	-1	 and[0] truthfully[1] this[0] is[0] one[0] hundred[0] percent[0] correct[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot , obviously , centers around computer hacking . 	the plot , obviously , centers around computer hacking .	1	-1	 the[0] plot[0] obviously[0] centers[0] around[0] computer[0] hacking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more specifically , it follows the exploits of dade murphy , a young computer hacker played by jonny lee miller . 	more specifically , it follows the exploits of dade murphy , a young computer hacker played by jonny lee miller .	1	-1	 more[0] specifically[0] it[0] follows[0] the[0] exploits[0] of[0] dade[0] murphy[0] a[0] young[0] computer[0] hacker[0] played[0] by[0] jonny[0] lee[0] miller[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
