susan granger's review of " two can play that game " ( screen gems ) 	Translation	Positive	Negative	EmotionRationale
since the success of " waiting to exhale , " there have been several romantic comedies about african-american professionals . 	since the success of " waiting to exhale , " there have been several romantic comedies about african-american professionals .	4	-1	 since[0] the[0] success[2] of[0] waiting[0] to[0] exhale[0] there[0] have[0] been[0] several[0] romantic[3] comedies[0] about[0] african[0] american[0] professionals[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this female revenge fantasy , vivica a . fox plays shante smith , a stunning ad exec who seems to have reached the pinnacle of success : a mansion , a sporty car and an idyllic relationship with a hunky , hot-shot lawyer , morris chestnut . 	this female revenge fantasy , vivica a .<br> fox plays shante smith , a stunning ad exec who seems to have reached the pinnacle of success : a mansion , a sporty car and an idyllic relationship with a hunky , hot-shot lawyer , morris chestnut .	3	-2	 this[0] female[0] revenge[-1] fantasy[0] vivica[0] a[0] [[Sentence=-2,1=word max, 1-5]] fox[0] plays[1] shante[0] smith[0] a[0] stunning[0] ad[0] exec[0] who[0] seems[0] to[0] have[0] reached[0] the[0] pinnacle[0] of[0] success[2] a[0] mansion[0] a[0] sporty[0] car[0] and[0] an[0] idyllic[0] relationship[0] with[0] a[0] hunky[0] hot[0] shot[-1] lawyer[0] morris[0] chestnut[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she's at a point in her life when she dispenses advice to her grateful girl-friends ( mo'nique , wendy racquel robinson , tamala jones ) . 	she's at a point in her life when she dispenses advice to her grateful girl-friends ( mo'nique , wendy racquel robinson , tamala jones ) .	2	-2	 she's[0] at[0] a[0] point[0] in[0] her[0] life[0] when[0] she[0] dispenses[-1] advice[0] to[0] her[0] grateful[1] girl[0] friends[1] mo'nique[0] wendy[0] racquel[0] robinson[0] tamala[0] jones[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " when your man messes up , no matter how small it is , " she smugly decrees , " yuh gots to punish him . " 	 " when your man messes up , no matter how small it is , " she smugly decrees , " yuh gots to punish him .<br> "	1	-2	 when[0] your[0] man[0] messes[0] up[0] no[0] matter[0] how[0] small[0] it[0] is[0] she[0] smugly[-1] decrees[0] yuh[0] gots[0] to[0] punish[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so when she catches her hot man dancing at a bar with a smart and sexy rival , gabrielle union , she devises her own version of " the rules , " a 10-day " tough love " emotionally punishing plan to get him back . 	so when she catches her hot man dancing at a bar with a smart and sexy rival , gabrielle union , she devises her own version of " the rules , " a 10-day " tough love " emotionally punishing plan to get him back .	3	-2	 so[0] when[0] she[0] catches[0] her[0] hot[0] man[0] dancing[0] at[0] a[0] bar[0] with[0] a[0] smart[1] and[0] sexy[2] rival[-1] gabrielle[0] union[0] she[0] devises[0] her[0] own[0] version[0] of[0] the[0] rules[0] a[0] 10[0] day[0] tough[-1] love[2] emotionally[0] punishing[-1] plan[0] to[0] get[0] him[0] back[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , writer/director mark brown ( " how to be a player " ) breaks the cardinal rule of romantic comedy : you have to like the protagonist - and shrill , self-congratulatory shante smith is a smirking , superficial , spiteful shrew who doesn't realize that rational rules cannot always be applied to love . 	unfortunately , writer/director mark brown ( " how to be a player " ) breaks the cardinal rule of romantic comedy : you have to like the protagonist - and shrill , self-congratulatory shante smith is a smirking , superficial , spiteful shrew who doesn't realize that rational rules cannot always be applied to love .	4	-4	 unfortunately[-1] writer/director[0] mark[0] brown[0] how[0] to[0] be[0] a[0] player[0] breaks[0] the[0] cardinal[0] rule[0] of[0] romantic[3] comedy[0] you[0] have[0] to[0] like[1] the[0] protagonist[0] and[0] shrill[-1] self[0] congratulatory[1] shante[0] smith[0] is[0] a[0] smirking[0] superficial[-1] spiteful[-3] shrew[-1] who[0] doesn't[0] realize[0] that[0] rational[0] rules[0] cannot[0] always[0] be[0] applied[0] to[0] love[2] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
having her talk directly into the camera gets stale very quickly and the " day one , " " day two " title-card device underscores the tedium . 	having her talk directly into the camera gets stale very quickly and the " day one , " " day two " title-card device underscores the tedium .	1	-2	 having[0] her[0] talk[0] directly[0] into[0] the[0] camera[0] gets[0] stale[-1] very[0] quickly[0] and[0] the[0] day[0] one[0] day[0] two[0] title[0] card[0] device[0] underscores[0] the[0] tedium[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comic anthony anderson scores as chestnut's boisterous best-friend , and singer bobby brown does a cameo as a scuzzy mechanic who's given a smooth makeover by ms . robinson . 	comic anthony anderson scores as chestnut's boisterous best-friend , and singer bobby brown does a cameo as a scuzy mechanic who's given a smooth makeover by ms .<br> robinson .	2	-2	 comic[0] anthony[0] anderson[0] scores[0] as[0] chestnut's[0] boisterous[-1] best[1] friend[1] and[0] singer[0] bobby[0] brown[0] does[0] a[0] cameo[0] as[0] a[0] scuzzy/scuzy[0] mechanic[0] who's[0] given[0] a[0] smooth[0] makeover[0] by[0] ms[0] [[Sentence=-2,2=word max, 1-5]] robinson[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
but the out-takes over the closing credits contain more humor than the film itself . 	but the out-takes over the closing credits contain more humor than the film itself .	3	-1	 but[0] the[0] out[0] takes[0] over[0] the[0] closing[0] credits[0] contain[0] more[0] humor[2] than[0] the[0] film[0] itself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the granger movie gauge of 1 to 10 , " two can play that game " is smarmy if slick 4 , filled with misogynistic attitude and blatant product placements ( coca-cola , miller genuine draft ) but little else . 	on the granger movie gauge of 1 to 10 , " two can play that game " is smarmy if slick 4 , filled with misogynistic attitude and blatant product placements ( coca-cola , miller genuine draft ) but little else .	1	-2	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] two[0] can[0] play[0] that[0] game[0] is[0] smarmy[0] if[0] slick[0] 4[0] filled[0] with[0] misogynistic[0] attitude[0] and[0] blatant[-1] product[0] placements[0] coca[0] cola[0] miller[0] genuine[0] draft[0] but[0] little[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
