disconnect the phone line . 	Translation	Positive	Negative	EmotionRationale
don't accept the charges . 	don't accept the charges .	1	-2	 don't[0] accept[0] the[0] charges[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
do anything you can to avoid the wretched , melodramatic sisterhood dramedy  hanging up' . 	do anything you can to avoid the wretched , melodramatic sisterhood dramedy  hanging up' .	1	-3	 do[0] anything[0] you[0] can[0] to[0] avoid[-1] the[0] wretched[-2] melodramatic[-1] sisterhood[0] dramedy[0] hanging[0] up'[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i figured i needed to get in touch with my feminine side , and  hanging up' seemed like an ideal opportunity to do so . 	i figured i needed to get in touch with my feminine side , and  hanging up' seemed like an ideal opportunity to do so .	2	-1	 i[0] figured[0] i[0] needed[0] to[0] get[0] in[0] touch[0] with[0] my[0] feminine[0] side[0] and[0] hanging[0] up'[0] seemed[0] like[1] an[0] ideal[0] opportunity[0] to[0] do[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film features an incredible palate of female talent , and the capability behind the camera brought to mind such sparkling gems as  sleepless in seattle' and  unsung heroes' . 	the film features an incredible palate of female talent , and the capability behind the camera brought to mind such sparkling gems as  sleepless in seattle' and  unsung heroes' .	3	-2	 the[0] film[0] features[0] an[0] incredible[0] palate[0] of[0] female[0] talent[1] and[0] the[0] capability[0] behind[0] the[0] camera[0] brought[0] to[0] mind[0] such[0] sparkling[0] gems[0] as[0] sleepless[-1] in[0] seattle'[0] and[0] unsung[0] heroes'[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
meg ryan , diane keaton and lisa kudrow play a trio of sisters who , once separated by career judgments over family ties , must reunite when their father ( walter matthau ) is admitted into the hospital with alzheimer's disease . 	meg ryan , diane keaton and lisa kudrow play a trio of sisters who , once separated by career judgments over family ties , must reunite when their father ( walter matthau ) is admitted into the hospital with alzheimer's disease .	1	-3	 meg[0] ryan[0] diane[0] keaton[0] and[0] lisa[0] kudrow[0] play[0] a[0] trio[0] of[0] sisters[0] who[0] once[0] separated[0] by[0] career[0] judgments[0] over[0] family[0] ties[0] must[0] reunite[0] when[0] their[0] father[0] walter[0] matthau[0] is[0] admitted[0] into[0] the[0] hospital[0] with[0] alzheimer's[0] disease[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while this may read like an optimum opportunity to rekindle their relationship and reflect with poignancy on the past , the script by sisters delia and nora ephron is exasperating , shapeless dreck teeming with emotional fakery . 	while this may read like an optimum opportunity to rekindle their relationship and reflect with poignancy on the past , the script by sisters delia and nora ephron is exasperating , shapeless dreck teeming with emotional fakery .	2	-2	 while[0] this[0] may[0] read[0] like[1] an[0] optimum[0] opportunity[0] to[0] rekindle[0] their[0] relationship[0] and[0] reflect[0] with[0] poignancy[0] on[0] the[0] past[0] the[0] script[0] by[0] sisters[0] delia[0] and[0] nora[0] ephron[0] is[0] exasperating[-1] shapeless[0] dreck[0] teeming[0] with[0] emotional[-1] fakery[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 hanging up' has the overall effect of a tele-marketer pestering you for two hours , while you don't have the option of doing as the title suggests . 	 hanging up' has the overall effect of a tele-marketer pestering you for two hours , while you don't have the option of doing as the title suggests .	1	-1	 hanging[0] up'[0] has[0] the[0] overall[0] effect[0] of[0] a[0] tele[0] marketer[0] pestering[0] you[0] for[0] two[0] hours[0] while[0] you[0] don't[0] have[0] the[0] option[0] of[0] doing[0] as[0] the[0] title[0] suggests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the first half-hour , the ephron sisters use telephone conversations for a basis of character development . 	for the first half-hour , the ephron sisters use telephone conversations for a basis of character development .	1	-1	 for[0] the[0] first[0] half[0] hour[0] the[0] ephron[0] sisters[0] use[0] telephone[0] conversations[0] for[0] a[0] basis[0] of[0] character[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an annoying and ineffective device . 	this is an annoying and ineffective device .	1	-3	 this[0] is[0] an[0] annoying[-2] and[0] ineffective[-1] device[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cell-phones ring every five minutes , and everyone hurriedly rushes along , leaving marginal time for the frustrated viewer to relate to the sisters' issues and problems . 	cell-phones ring every five minutes , and everyone hurriedly rushes along , leaving marginal time for the frustrated viewer to relate to the sisters' issues and problems .	1	-3	 cell[0] phones[0] ring[0] every[0] five[0] minutes[0] and[0] everyone[0] hurriedly[0] rushes[0] along[0] leaving[0] marginal[-1] time[0] for[0] the[0] frustrated[-2] viewer[0] to[0] relate[0] to[0] the[0] sisters'[0] issues[0] and[0] problems[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
