in french , the phrase " film noir " literally means " black film . " 	Translation	Positive	Negative	EmotionRationale
webster defines it as " a type of crime film featuring cynical malevolent characters in a sleazy setting and an ominous atmosphere that is conveyed by shadowy photography and foreboding background music . " 	webster defines it as " a type of crime film featuring cynical malevolent characters in a sleazy setting and an ominous atmosphere that is conveyed by shadowy photography and foreboding background music .<br> "	1	-3	 webster[0] defines[0] it[0] as[0] a[0] type[0] of[0] crime[-1] film[0] featuring[0] cynical[-1] malevolent[0] characters[0] in[0] a[0] sleazy[-2] setting[0] and[0] an[0] ominous[-2] atmosphere[0] that[0] is[0] conveyed[0] by[0] shadowy[0] photography[0] and[0] foreboding[-1] background[0] music[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
classic film noir , including such memorable fare as " the big sleep , " the original " cape fear , " and orson welles' striking " a touch of evil , " employed black and white photography to emphasize the long shadows associated with the genre . 	classic film noir , including such memorable fare as " the big sleep , " the original " cape fear , " and orson welles' striking " a touch of evil , " employed black and white photography to emphasize the long shadows associated with the genre .	2	-4	 classic[0] film[0] noir[0] including[0] such[0] memorable[0] fare[0] as[0] the[0] big[0] sleep[0] the[0] original[0] cape[0] fear[-3] and[0] orson[0] welles'[1] striking[0] a[0] touch[0] of[0] evil[-2] employed[0] black[0] and[0] white[0] photography[0] to[0] emphasize[0] the[0] long[0] shadows[0] associated[0] with[0] the[0] genre[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
color came into play with neo-noir films like " chinatown " and " blade runner . " 	color came into play with neo-noir films like " chinatown " and " blade runner .<br> "	2	-1	 color[0] came[0] into[0] play[0] with[0] neo[0] noir[0] films[0] like[1] chinatown[0] and[0] blade[0] runner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " l . a . confidential , " easily the best film of 1997 , is a wonderful piece of contemporary neo-noir filmmaking . 	 " l .<br> a .<br> confidential , " easily the best film of 1997 , is a wonderful piece of contemporary neo-noir filmmaking .	3	-1	 l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential[0] easily[0] the[0] best[1] film[0] of[0] 1997[0] is[0] a[0] wonderful[2] piece[0] of[0] contemporary[0] neo[0] noir[0] filmmaking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for a textbook example of how to take all the elements of neo-noir and create an absolute mess , there's " palmetto . " 	for a textbook example of how to take all the elements of neo-noir and create an absolute mess , there's " palmetto .<br> "	1	-1	 for[0] a[0] textbook[0] example[0] of[0] how[0] to[0] take[0] all[0] the[0] elements[0] of[0] neo[0] noir[0] and[0] create[0] an[0] absolute[0] mess[0] there's[0] palmetto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on " just another sucker , " a short story written by british author rene raymond under the pseudonym james hadley chase , " palmetto " shows what happens when a filmmaker puts style ahead of substance . 	based on " just another sucker , " a short story written by british author rene raymond under the pseudonym james hadley chase , " palmetto " shows what happens when a filmmaker puts style ahead of substance .	1	-2	 based[0] on[0] just[0] another[0] sucker[-1] a[0] short[0] story[0] written[0] by[0] british[0] author[0] rene[0] raymond[0] under[0] the[0] pseudonym[0] james[0] hadley[0] chase[-1] palmetto[0] shows[0] what[0] happens[0] when[0] a[0] filmmaker[0] puts[0] style[0] ahead[0] of[0] substance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director volker schlondorff ( " tin drum , " the handmaid's tale " ) stated " we weren't even sure for a long time if it was going to be a thriller or a comedy . " 	director volker schlondorff ( " tin drum , " the handmaid's tale " ) stated " we weren't even sure for a long time if it was going to be a thriller or a comedy .<br> "	2	-1	 director[0] volker[0] schlondorff[0] tin[0] drum[0] the[0] handmaid's[0] tale[0] stated[0] we[0] weren't[0] even[0] sure[0] for[0] a[0] long[0] time[0] if[0] it[0] was[0] going[0] to[0] be[0] a[0] thriller[1] or[0] a[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it shows . 	it shows .	1	-1	 it[0] shows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " palmetto " is too preposterous too be taken seriously as a thriller and too ponderous to work as a comedy . 	 " palmetto " is too preposterous too be taken seriously as a thriller and too ponderous to work as a comedy .	2	-2	 palmetto[0] is[0] too[0] preposterous[-1] too[0] be[0] taken[0] seriously[0] as[0] a[0] thriller[1] and[0] too[0] ponderous[0] to[0] work[0] as[0] a[0] comedy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story begins when journalist harry barber ( woody harrelson ) is released from prison . 	the story begins when journalist harry barber ( woody harrelson ) is released from prison .	1	-2	 the[0] story[0] begins[0] when[0] journalist[0] harry[0] barber[0] woody[0] harrelson[0] is[0] released[0] from[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
someone turned state's witness and revealed that harry was framed , a " reward " for blowing the lid on corruption in the small florida town of palmetto . 	someone turned state's witness and revealed that harry was framed , a " reward " for blowing the lid on corruption in the small florida town of palmetto .	2	-3	 someone[0] turned[0] state's[0] witness[0] and[0] revealed[0] that[0] harry[0] was[0] framed[0] a[0] reward[1] for[0] blowing[0] the[0] lid[0] on[0] corruption[-2] in[0] the[0] small[0] florida[0] town[0] of[0] palmetto[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bitter and broke , harry plans to hitchhike to miami and start his life over , but ex-girlfriend nina ( gina gershon ) appears to return him to palmetto . 	bitter and broke , harry plans to hitchike to miami and start his life over , but ex-girlfriend nina ( gina gershon ) appears to return him to palmetto .	1	-2	 bitter[-1] and[0] broke[-1] harry[0] plans[0] to[0] hitchhike/hitchike[0] to[0] miami[0] and[0] start[0] his[0] life[0] over[0] but[0] ex[0] girlfriend[0] nina[0] gina[0] gershon[0] appears[0] to[0] return[0] him[0] to[0] palmetto[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while hanging out at a bar , he notices that a beautiful woman has left her purse in a phone booth . 	while hanging out at a bar , he notices that a beautiful woman has left her purse in a phone booth .	3	-1	 while[0] hanging[0] out[0] at[0] a[0] bar[0] he[0] notices[0] that[0] a[0] beautiful[2] woman[0] has[0] left[0] her[0] purse[0] in[0] a[0] phone[0] booth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
harry pockets her cash , only to have the woman reappear and catch him with her money in his pocket . 	harry pockets her cash , only to have the woman reappear and catch him with her money in his pocket .	1	-1	 harry[0] pockets[0] her[0] cash[0] only[0] to[0] have[0] the[0] woman[0] reappear[0] and[0] catch[0] him[0] with[0] her[0] money[0] in[0] his[0] pocket[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no problem , though . 	no problem , though .	1	-2	 no[0] problem[-1] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the radiant blonde is rhea malroux ( elisabeth shue , ) the young wife of a very rich older man with heart problems , and she has a proposition for harry . 	the radiant blonde is rhea malroux ( elisabeth shue , ) the young wife of a very rich older man with heart problems , and she has a proposition for harry .	3	-2	 the[0] radiant[2] blonde[0] is[0] rhea[0] malroux[0] elisabeth[0] shue[0] the[0] young[0] wife[0] of[0] a[0] very[0] rich[0] older[0] man[0] with[0] heart[0] problems[-1] and[0] she[0] has[0] a[0] proposition[0] for[0] harry[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
