can a horror movie truly be called a horror movie if it has no scares , suspense , or even eerie elements ? 	Translation	Positive	Negative	EmotionRationale
i think not , but that's what children of the corn 666 : issac's return wants us to believe . 	i think not , but that's what children of the corn 66 : issac's return wants us to believe .	1	-1	 i[0] think[0] not[0] but[0] that's[0] what[0] children[0] of[0] the[0] corn[0] 666/66[0] issac's[0] return[0] wants[0] us[0] to[0] believe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sixth installment in the horrible , worn out series is by far the worst to date . 	the sixth instalment in the horrible , worn out series is by far the worst to date .	1	-4	 the[0] sixth[0] installment/instalment[0] in[0] the[0] horrible[-3] worn[-1] out[0] series[0] is[0] by[0] far[0] the[0] worst[-2] to[0] date[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unlike the other five chapters , children of the corn 666 is a confusing , brainless thriller that takes the psychological horror route rather than slasher horror , but either way , none of these movies are the least bit scary . 	unlike the other five chapters , children of the corn 66 is a confusing , brainless thriller that takes the psychological horror route rather than slasher horror , but either way , none of these movies are the least bit scary .	2	-4	 unlike[0] the[0] other[0] five[0] chapters[0] children[0] of[0] the[0] corn[0] 666/66[0] is[0] a[0] confusing[-1] brainless[0] thriller[1] that[0] takes[0] the[0] psychological[0] horror[-3] route[0] rather[0] than[0] slasher[-1] horror[-3] but[0] either[0] way[0] none[0] of[0] these[0] movies[0] are[0] the[0] least[0] bit[0] scary[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film follows hannah ( natalie ramsey ) a teen looking for her mother in gatlin , nebraska , on the eve of her 21st birthday . 	the film follows hannah ( natalie ramsey ) a teen looking for her mother in gatlin , nebraska , on the eve of her 21st birthday .	1	-1	 the[0] film[0] follows[0] hannah[0] natalie[0] ramsey[0] a[0] teen[0] looking[0] for[0] her[0] mother[0] in[0] gatlin[0] nebraska[0] on[0] the[0] eve[0] of[0] her[0] 21st[0] birthday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what starts out as a daughter in desperate search of her long lost mother turns into the story of hannah being the first daughter of the children of the corn , who roam the cornfields looking for adults to murder . 	what starts out as a daughter in desperate search of her long lost mother turns into the story of hannah being the first daughter of the children of the corn , who roam the cornfields looking for adults to murder .	1	-4	 what[0] starts[0] out[0] as[0] a[0] daughter[0] in[0] desperate[-2] search[0] of[0] her[0] long[0] lost[0] mother[0] turns[0] into[0] the[0] story[0] of[0] hannah[0] being[0] the[0] first[0] daughter[0] of[0] the[0] children[0] of[0] the[0] corn[0] who[0] roam[0] the[0] cornfields[0] looking[0] for[0] adults[0] to[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that's about all that's understandable in the film , as after we learn this much , issac ( john franklin ) who led the children of the corn in a previous chapter , now an older , strange man , is looking for hannah to fulfill his prophecy . 	that's about all that's understandable in the film , as after we learn this much , issac ( john franklin ) who led the children of the corn in a previous chapter , now an older , strange man , is looking for hannah to fulfil his prophecy .	1	-1	 that's[0] about[0] all[0] that's[0] understandable[0] in[0] the[0] film[0] as[0] after[0] we[0] learn[0] this[0] much[0] issac[0] john[0] franklin[0] who[0] led[0] the[0] children[0] of[0] the[0] corn[0] in[0] a[0] previous[0] chapter[0] now[0] an[0] older[0] strange[0] man[0] is[0] looking[0] for[0] hannah[0] to[0] fulfill/fulfil[0] his[0] prophecy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this is supposed to make sense . 	and this is supposed to make sense .	1	-1	 and[0] this[0] is[0] supposed[0] to[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
really . 	really .	1	-1	 really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the start the film is unclear of where its going , not developing any characters or throwing any concrete plot details across the table , constantly introducing new characters without personalities or the slightest hint of an individuality , and sub plots that have nothing to do with what seems to the main focus of the film . 	from the start the film is unclear of where its going , not developing any characters or throwing any concrete plot details across the table , constantly introducing new characters without personalities or the slightest hint of an individuality , and sub plots that have nothing to do with what seems to the main focus of the film .	1	-2	 from[0] the[0] start[0] the[0] film[0] is[0] unclear[-1] of[0] where[0] its[0] going[0] not[0] developing[0] any[0] characters[0] or[0] throwing[0] any[0] concrete[0] plot[0] details[0] across[0] the[0] table[0] constantly[0] introducing[0] new[0] characters[0] without[0] personalities[0] or[0] the[0] slightest[0] hint[0] of[0] an[0] individuality[0] and[0] sub[0] plots[0] that[0] have[0] nothing[0] to[0] do[0] with[0] what[0] seems[0] to[0] the[0] main[0] focus[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film runs at a short 78 minutes , but it seems to be more in the vicinity of two hours , as the bleak , slow pacing makes children of the corn 666 : issac's return excruciatingly boring . 	the film runs at a short 78 minutes , but it seems to be more in the vicinity of two hours , as the bleak , slow pacing makes children of the corn 66 : issac's return excruciatingly boring .	1	-5	 the[0] film[0] runs[0] at[0] a[0] short[0] 78[0] minutes[0] but[0] it[0] seems[0] to[0] be[0] more[0] in[0] the[0] vicinity[0] of[0] two[0] hours[0] as[0] the[0] bleak[-1] slow[0] pacing[0] makes[0] children[0] of[0] the[0] corn[0] 666/66[0] issac's[0] return[0] excruciatingly[-4] boring[-1] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
plot holes are everywhere in tim sulka and john franklin's unbelievably horrible script , as nothing is accomplished or clear when the film reaches its conclusion . 	plot holes are everywhere in tim sulka and john franklin's unbelievably horrible script , as nothing is accomplished or clear when the film reaches its conclusion .	2	-4	 plot[0] holes[0] are[0] everywhere[0] in[0] tim[0] sulka[0] and[0] john[0] franklin's[0] unbelievably[-1] horrible[-3] script[0] as[0] nothing[0] is[0] accomplished[1] or[0] clear[0] when[0] the[0] film[0] reaches[0] its[0] conclusion[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
