barb wire , pamela anderson lee's first foray into films , highlights the fact that her only talent lies in her silicone enhanced assets . 	Translation	Positive	Negative	EmotionRationale
being the only notable member of the cast , the camera lingers lustily o n her body at every opportunity , making her character's catch line , " don't call me babe , " sound very ironic indeed . 	being the only notable member of the cast , the camera lingers lustily o n her body at every opportunity , making her character's catch line , " don't call me babe , " sound very ironic indeed .	1	-3	 being[0] the[0] only[0] notable[0] member[0] of[0] the[0] cast[0] the[0] camera[0] lingers[0] lustily[0] o[0] n[0] her[0] body[0] at[0] every[0] opportunity[0] making[0] her[0] character's[0] catch[0] line[0] don't[0] call[0] me[0] babe[0] sound[0] very[0] ironic[-1][-1 LastWordBoosterStrength] indeed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
from the very opening of the movie , we are treated to a striptease routine from anderson , ending in her hurling her stiletto smack between the eyes of a lusty male who happened to call her babe . 	from the very opening of the movie , we are treated to a striptease routine from anderson , ending in her hurling her stiletto smack between the eyes of a lusty male who happened to call her babe .	1	-2	 from[0] the[0] very[0] opening[0] of[0] the[0] movie[0] we[0] are[0] treated[0] to[0] a[0] striptease[0] routine[0] from[0] anderson[0] ending[0] in[0] her[0] hurling[0] her[0] stiletto[0] smack[-1] between[0] the[0] eyes[0] of[0] a[0] lusty[0] male[0] who[0] happened[0] to[0] call[0] her[0] babe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
throughout the movie , there is ample footage of enormous breasts and cleavage , if not of anderson's , then at least of the female extras . 	throughout the movie , there is ample footage of enormous breasts and cleavage , if not of anderson's , then at least of the female extras .	1	-1	 throughout[0] the[0] movie[0] there[0] is[0] ample[0] footage[0] of[0] enormous[0] breasts[0] and[0] cleavage[0] if[0] not[0] of[0] anderson's[0] then[0] at[0] least[0] of[0] the[0] female[0] extras[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this alone is enough to retitle the movie babe wire . 	this alone is enough to retitle the movie babe wire .	1	-1	 this[0] alone[0] is[0] enough[0] to[0] retitle[0] the[0] movie[0] babe[0] wire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a plot , barb wire rehashes the casablanca storyline . 	for a plot , barb wire rehashes the casablanca storyline .	1	-1	 for[0] a[0] plot[0] barb[0] wire[0] rehashes[0] the[0] casablanca[0] storyline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is 2017 , the middle of the second american civil war , and barb wire , a former resistance fighter , runs a joint in steel harbour called hammerhead ( ! ! ) . 	it is 2017 , the middle of the second american civil war , and barb wire , a former resistance fighter , runs a joint in steel harbour called hammerhead ( !<br> !<br> ) .	1	-3	 it[0] is[0] 2017[0] the[0] middle[0] of[0] the[0] second[0] american[0] civil[0] war[-2] and[0] barb[0] wire[0] a[0] former[0] resistance[0] fighter[-2] runs[0] a[0] joint[0] in[0] steel[0] harbour[0] called[0] hammerhead[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
known for attracting resistance fighters an d characters of all sorts , the bar attracts the attention of the government forces who appear dressed in nazi-style uniforms . 	known for attracting resistance fighters an d characters of all sorts , the bar attracts the attention of the government forces who appear dressed in nazi-style uniforms .	2	-3	 known[0] for[0] attracting[1] resistance[0] fighters[-2] an[0] d[0] characters[0] of[0] all[0] sorts[0] the[0] bar[0] attracts[1] the[0] attention[0] of[0] the[0] government[0] forces[0] who[0] appear[0] dressed[0] in[0] nazi[-1] style[0] uniforms[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in between bashing up helpless males and showing off her trademark breasts , barb wire has to help a former lover and his wife get to the airport on the other side of the town , past the government-controlled areas , and to freedom . 	in between bashing up helpless males and showing off her trademark breasts , barb wire has to help a former lover and his wife get to the airport on the other side of the town , past the government-controlled areas , and to freedom .	4	-2	 in[0] between[0] bashing[0] up[0] helpless[-1] males[0] and[0] showing[0] off[0] her[0] trademark[0] breasts[0] barb[0] wire[0] has[0] to[0] help[0] a[0] former[0] lover[3] and[0] his[0] wife[0] get[0] to[0] the[0] airport[0] on[0] the[0] other[0] side[0] of[0] the[0] town[0] past[0] the[0] government[0] controlled[0] areas[0] and[0] to[0] freedom[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
even the airport looks like the one in casablanca , except that the plane in the background is a modern , private jet . 	even the airport looks like the one in casablanca , except that the plane in the background is a modern , private jet .	2	-1	 even[0] the[0] airport[0] looks[0] like[1] the[0] one[0] in[0] casablanca[0] except[0] that[0] the[0] plane[0] in[0] the[0] background[0] is[0] a[0] modern[0] private[0] jet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are hardly any significant moments in this film , and one gets the impression that it was designed for young teenagers familiar with the dark horse comics version of " barb wire . " 	there are hardly any significant moments in this film , and one gets the impression that it was designed for young teenagers familiar with the dark horse comics version of " barb wire .<br> "	1	-1	 there[0] are[0] hardly[0] any[0] significant[0] moments[0] in[0] this[0] film[0] and[0] one[0] gets[0] the[0] impression[0] that[0] it[0] was[0] designed[0] for[0] young[0] teenagers[0] familiar[0] with[0] the[0] dark[0] horse[0] comics[0] version[0] of[0] barb[0] wire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
