let me just start this review off by saying i am a huge fan of professional wrestling and have been for fifteen years . 	Translation	Positive	Negative	EmotionRationale
i am not too fond of ted turner's world championship wrestling , however , and i am even less fond of it now after seeing this ridiculous excuse for a wrestling movie tonight . 	i am not too fond of ted turner's world championship wrestling , however , and i am even less fond of it now after seeing this ridiculous excuse for a wrestling movie tonight .	3	-3	 i[0] am[0] not[0] too[0] fond[2][NegatedDueToPreviousWord] of[0] ted[0] turner's[0] world[0] championship[0] wrestling[0] however[0] and[0] i[0] am[0] even[0] less[0] fond[2] of[0] it[0] now[0] after[0] seeing[0] this[0] ridiculous[-2] excuse[0] for[0] a[0] wrestling[0] movie[0] tonight[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot concerns two losers named gordie boggs ( david arquette , aptly cast as a neandrathal ) and sean dawkins ( scott caan ) who are so obsessed with professional wrestling that they believe everything they see on wcw monday nitro is something more than a flashy show . 	the plot concerns two losers named gordie bogs ( david arquette , aptly cast as a neandrathal ) and sean dawkins ( scot can ) who are so obsessed with professional wrestling that they believe everything they see on wcw monday nitro is something more than a flashy show .	1	-3	 the[0] plot[0] concerns[-1] two[0] losers[-2] named[0] gordie[0] boggs/bogs[0] david[0] arquette[0] aptly[0] cast[0] as[0] a[0] neandrathal[0] and[0] sean[0] dawkins[0] scott/scot[0] caan/can[0] who[0] are[0] so[0] obsessed[-2] with[0] professional[0] wrestling[0] that[0] they[0] believe[0] everything[0] they[0] see[0] on[0] wcw[0] monday[0] nitro[0] is[0] something[0] more[0] than[0] a[0] flashy[0] show[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when they finally get to see their hero , wcw world champion jimmy king ( played by oliver platt . 	when they finally get to see their hero , wcw world champion jimmy king ( played by oliver platt .	3	-1	 when[0] they[0] finally[0] get[0] to[0] see[0] their[0] hero[2] wcw[0] world[0] champion[0] jimmy[0] king[0] played[0] by[0] oliver[0] platt[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i personally would have gotten a wrestler to play king ) , he ends up getting screwed over by evil promoter titus sinclair ( a wasted palitaliano , in a role originally meant for real-life wcw president eric bischoff before he was fired and rehired six months later , and if anyone reads this who knows bischoff , they will agree with me that the role of sinclair had his name written all over it ) , they embark on a quest to find him and help him get his title back . 	i personally would have gotten a wrestler to play king ) , he ends up getting screwed over by evil promoter titus sinclair ( a wasted palitaliano , in a role originally meant for real-life wcw president eric bischoff before he was fired and rehired six months later , and if anyone reads this who knows bischoff , they will agree with me that the role of sinclair had his name written all over it ) , they embark on a quest to find him and help him get his title back .	1	-3	 i[0] personally[0] would[0] have[0] gotten[0] a[0] wrestler[0] to[0] play[0] king[0] he[0] ends[0] up[0] getting[0] screwed[0] over[0] by[0] evil[-2] promoter[0] titus[0] sinclair[0] a[0] wasted[-1] palitaliano[0] in[0] a[0] role[0] originally[0] meant[0] for[0] real[0] life[0] wcw[0] president[0] eric[0] bischoff[0] before[0] he[0] was[0] fired[-2] and[0] rehired[0] six[0] months[0] later[0] and[0] if[0] anyone[0] reads[0] this[0] who[0] knows[0] bischoff[0] they[0] will[0] agree[0] with[0] me[0] that[0] the[0] role[0] of[0] sinclair[0] had[0] his[0] name[0] written[0] all[0] over[0] it[0] they[0] embark[0] on[0] a[0] quest[0] to[0] find[0] him[0] and[0] help[0] him[0] get[0] his[0] title[0] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when they find him , they discover in horror that jimmy king's real life is nothing like it is on wcw tv . 	when they find him , they discover in horror that jimmy king's real life is nothing like it is on wcw tv .	2	-4	 when[0] they[0] find[0] him[0] they[0] discover[0] in[0] horror[-3] that[0] jimmy[0] king's[0] real[0] life[0] is[0] nothing[0] like[1] it[0] is[0] on[0] wcw[0] tv[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
king is a drunken atlanta native rather than an english king . 	king is a drunken atlanta native rather than an english king .	1	-2	 king[0] is[0] a[0] drunken[-1] atlanta[0] native[0] rather[0] than[0] an[0] english[0] king[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after convincing king that they don't care that his persona isn't real , gordie and sean sneak him back onto wcw monday nitro , after which sinclair agrees to book him in a main event steel cage match for the wcw title and his job back in las vegas at wcw's pay-per-view . 	after convincing king that they don't care that his persona isn't real , gordie and sean sneak him back onto wcw monday nitro , after which sinclair agrees to book him in a main event steel cage match for the wcw title and his job back in las vegas at wcw's pay-per-view .	1	-2	 after[0] convincing[0] king[0] that[0] they[0] don't[0] care[1][NegatedDueToPreviousWord] that[0] his[0] persona[0] isn't[0] real[0] gordie[0] and[0] sean[0] sneak[-1] him[0] back[0] onto[0] wcw[0] monday[0] nitro[0] after[0] which[0] sinclair[0] agrees[0] to[0] book[0] him[0] in[0] a[0] main[0] event[0] steel[0] cage[0] match[0] for[0] the[0] wcw[0] title[0] and[0] his[0] job[0] back[0] in[0] las[0] vegas[0] at[0] wcw's[0] pay[0] per[0] view[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gee , whiz , there are so many things wrong with this movie , i don't know where to begin . 	gee , whiz , there are so many things wrong with this movie , i don't know where to begin .	1	-2	 gee[0] whiz[0] there[0] are[0] so[0] many[0] things[0] wrong[-1] with[0] this[0] movie[0] i[0] don't[0] know[0] where[0] to[0] begin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , i do . . . 	yes , i do .<br> .<br> .	1	-1	 yes[0] i[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 . the characters of gordie and sean show you what eric bischoff , wcw president who thought up this project , thinks of wrestling fans . 	1 .<br> the characters of gordie and sean show you what eric bischoff , wcw president who thought up this project , thinks of wrestling fans .	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]] the[0] characters[0] of[0] gordie[0] and[0] sean[0] show[0] you[0] what[0] eric[0] bischoff[0] wcw[0] president[0] who[0] thought[0] up[0] this[0] project[0] thinks[0] of[0] wrestling[0] fans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he thinks of us as idiots who take everything wrestlers do seriously . 	he thinks of us as idiots who take everything wrestlers do seriously .	1	-3	 he[0] thinks[0] of[0] us[0] as[0] idiots[-2] who[0] take[0] everything[0] wrestlers[0] do[0] seriously[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he actually thinks wrestling fans are dumb enough to believe this is meant to be taken seriously . 	he actually thinks wrestling fans are dumb enough to believe this is meant to be taken seriously .	1	-2	 he[0] actually[0] thinks[0] wrestling[0] fans[0] are[0] dumb[-1] enough[0] to[0] believe[0] this[0] is[0] meant[0] to[0] be[0] taken[0] seriously[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i got news for you , eric : nobody above the age of four is dumb enough for that , this is 2000 , you know , not 1985 ! 	i got news for you , eric : nobody above the age of four is dumb enough for that , this is 200 , you know , not 1985 !	1	-2	 i[0] got[0] news[0] for[0] you[0] eric[0] nobody[0] above[0] the[0] age[0] of[0] four[0] is[0] dumb[-1] enough[0] for[0] that[0] this[0] is[0] 2000/200[0] you[0] know[0] not[0] 1985[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i know he'll probably cover arguments up by saying it isn't meant to be taken seriously but it is , because that's how big an ego bischoff has . 	i know he'll probably cover arguments up by saying it isn't meant to be taken seriously but it is , because that's how big an ego bischoff has .	1	-2	 i[0] know[0] he'll[0] probably[0] cover[0] arguments[-1] up[0] by[0] saying[0] it[0] isn't[0] meant[0] to[0] be[0] taken[0] seriously[0] but[0] it[0] is[0] because[0] that's[0] how[0] big[0] an[0] ego[0] bischoff[0] has[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2 . there was a documentary made in 1998 , wrestling with shadows , that documented the owner of the world wrestling federation , vince mcmahon's screwing bret " the hitman " hart out of the title . 	2 .<br> there was a documentary made in 1998 , wrestling with shadows , that documented the owner of the world wrestling federation , vince mcmahon's screwing bret " the hitman " hart out of the title .	1	-1	 2[0] [[Sentence=-1,1=word max, 1-5]] there[0] was[0] a[0] documentary[0] made[0] in[0] 1998[0] wrestling[0] with[0] shadows[0] that[0] documented[0] the[0] owner[0] of[0] the[0] world[0] wrestling[0] federation[0] vince[0] mcmahon's[0] screwing[0] bret[0] the[0] hitman[0] hart[0] out[0] of[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie's storyline is basically a comic rip-off of that plot with the poor man's wayne and garth thrown in . 	this movie's storyline is basically a comic rip-off of that plot with the poor man's wayne and garth thrown in .	1	-2	 this[0] movie's[0] storyline[0] is[0] basically[0] a[0] comic[0] rip[-1] off[0] of[0] that[0] plot[0] with[0] the[0] poor[-1] man's[0] wayne[0] and[0] garth[0] thrown[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eric bischoff is trying to make vince mcmahon look bad with the character of titus sinclair , but any wrestling fan knows titus is more like bischoff than mcmahon , and that vince did what he had to do to bret hart . 	eric bischoff is trying to make vince mcmahon look bad with the character of titus sinclair , but any wrestling fan knows titus is more like bischoff than mcmahon , and that vince did what he had to do to bret hart .	2	-2	 eric[0] bischoff[0] is[0] trying[0] to[0] make[0] vince[0] mcmahon[0] look[0] bad[-1] with[0] the[0] character[0] of[0] titus[0] sinclair[0] but[0] any[0] wrestling[0] fan[0] knows[0] titus[0] is[0] more[0] like[1] bischoff[0] than[0] mcmahon[0] and[0] that[0] vince[0] did[0] what[0] he[0] had[0] to[0] do[0] to[0] bret[0] hart[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
3 . 	3 .	1	-1	 3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's main wrestler , jimmy king , has an english king gimmick and the audience cheered big for him . 	the movie's main wrestler , jimmy king , has an english king gimmick and the audience cheered big for him .	2	-1	 the[0] movie's[0] main[0] wrestler[0] jimmy[0] king[0] has[0] an[0] english[0] king[0] gimmick[0] and[0] the[0] audience[0] cheered[1] big[0] for[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no wrestling fan actually enjoys characters like that in this day and age , we want bad asses today ! 	no wrestling fan actually enjoys characters like that in this day and age , we want bad asses today !	3	-2	 no[0] wrestling[0] fan[0] actually[0] enjoys[2] characters[0] like[1] that[0] in[0] this[0] day[0] and[0] age[0] we[0] want[0] bad[-1] asses[0] today[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
4 . why make this a comedy , instead of an emotional , rocky-style drama ? 	4 .<br> why make this a comedy , instead of an emotional , rocky-style drama ?	1	-2	 4[0] [[Sentence=-1,1=word max, 1-5]] why[0] make[0] this[0] a[0] comedy[0] instead[0] of[0] an[0] emotional[-1] rocky[0] style[0] drama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i know wrestling isn't a sport , but you can still get behind a guy who struggles as a wrestler and finally makes it in the end . 	i know wrestling isn't a sport , but you can still get behind a guy who struggles as a wrestler and finally makes it in the end .	1	-2	 i[0] know[0] wrestling[0] isn't[0] a[0] sport[0] but[0] you[0] can[0] still[0] get[0] behind[0] a[0] guy[0] who[0] struggles[-1] as[0] a[0] wrestler[0] and[0] finally[0] makes[0] it[0] in[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
5 . 	5 .	1	-1	 5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
