some movies i should just skip . 	Translation	Positive	Negative	EmotionRationale
my daughter and i had a really vile time at my favorite martian a few weeks back , and here comes another disney effects-filled live-action flick based on an old tv program . 	my daughter and i had a really vile time at my favorite martian a few weeks back , and here comes another disney effects-filled live-action flick based on an old tv program .	2	-5	 my[0] daughter[0] and[0] i[0] had[0] a[0] really[0] vile[-3][-1 LastWordBoosterStrength] time[0] at[0] my[0] favorite[1] martian[0] a[0] few[0] weeks[0] back[0] and[0] here[0] comes[0] another[0] disney[0] effects[0] filled[0] live[0] action[0] flick[0] based[0] on[0] an[0] old[0] tv[0] program[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
true , the probgram is only 15 years old this time , and it's a cartoon . 	true , the probgram is only 15 years old this time , and it's a cartoon .	2	-1	 true[1] the[0] probgram[0] is[0] only[0] 15[0] years[0] old[0] this[0] time[0] and[0] it's[0] a[0] cartoon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but it's a cartoon i liked , and i was understandably reluctant to see what disney had done to it on the big screen . 	but it's a cartoon i liked , and i was understandably reluctant to see what disney had done to it on the big screen .	3	-2	 but[0] it's[0] a[0] cartoon[0] i[0] liked[2] and[0] i[0] was[0] understandably[0] reluctant[-1] to[0] see[0] what[0] disney[0] had[0] done[0] to[0] it[0] on[0] the[0] big[0] screen[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but my daughter really wanted to go , and how bad could it be ? 	but my daughter really wanted to go , and how bad could it be ?	1	-2	 but[0] my[0] daughter[0] really[0] wanted[0] to[0] go[0] and[0] how[0] bad[-1] could[0] it[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
turns out i was right , mostly . 	turns out i was right , mostly .	1	-1	 turns[0] out[0] i[0] was[0] right[0] mostly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inspector gadget , oddly enough , follows almost exactly the same format as my favorite martian , down to the jive-talking side-kick . 	inspector gadget , oddly enough , follows almost exactly the same format as my favorite martian , down to the jive-talking side-kick .	2	-2	 inspector[0] gadget[0] oddly[0] enough[0] follows[0] almost[0] exactly[0] the[0] same[0] format[0] as[0] my[0] favorite[1] martian[0] down[0] to[0] the[0] jive[0] talking[0] side[0] kick[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at first i thought it was done by the same people , but imdb informs me that ig was directed by david kellogg and written by dana olsen and kerry ehrin , where mfm was directed by donald petrie and written by sherri stoner and deanna oliver . 	at first i thought it was done by the same people , but imdb informs me that ig was directed by david kellogg and written by dana olsen and kerry ehrin , where mfm was directed by donald petrie and written by sherri stoner and deanna oliver .	1	-1	 at[0] first[0] i[0] thought[0] it[0] was[0] done[0] by[0] the[0] same[0] people[0] but[0] imdb[0] informs[0] me[0] that[0] ig[0] was[0] directed[0] by[0] david[0] kellogg[0] and[0] written[0] by[0] dana[0] olsen[0] and[0] kerry[0] ehrin[0] where[0] mfm[0] was[0] directed[0] by[0] donald[0] petrie[0] and[0] written[0] by[0] sherri[0] stoner[0] and[0] deanna[0] oliver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this odd similarity between the two movies may best be explained by the studio that produced it , where " formula " isn't just business , it's a way of life . 	this odd similarity between the two movies may best be explained by the studio that produced it , where " formula " isn't just business , it's a way of life .	1	-1	 this[0] odd[0] similarity[0] between[0] the[0] two[0] movies[0] may[0] best[1][-1 LastWordBoosterStrength] be[0] explained[0] by[0] the[0] studio[0] that[0] produced[0] it[0] where[0] formula[0] isn't[0] just[0] business[0] it's[0] a[0] way[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the producers who obviously micromanaged the two projects should get prominant screen credits . 	the producers who obviously micromanaged the two projects should get prominant screen credits .	1	-1	 the[0] producers[0] who[0] obviously[0] micromanaged[0] the[0] two[0] projects[0] should[0] get[0] prominant[0] screen[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in some parts you can just hear them saying " more zany ! 	in some parts you can just hear them saying " more zany !	1	-1	 in[0] some[0] parts[0] you[0] can[0] just[0] hear[0] them[0] saying[0] more[0] zany[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i want more zany here -- and -- here . " 	i want more zany here - and - here .<br> "	1	-1	 i[0] want[0] more[0] zany[0] here[0] and[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " let's have a really painful sexual reference for no reason right here -- make it really painful . 	 " let's have a really painful sexual reference for no reason right here - make it really painful .	1	-5	 let's[0] have[0] a[0] really[0] painful[-3][-1 LastWordBoosterStrength] sexual[0] reference[0] for[0] no[0] reason[0] right[0] here[0] make[0] it[0] really[0] painful[-3][-1 LastWordBoosterStrength] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
i want the audience squirming in their seats . " 	i want the audience squirming in their seats .<br> "	1	-3	 i[0] want[0] the[0] audience[0] squirming[-2] in[0] their[0] seats[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " ok , that's fine , but i want you to add bug guts . " 	 " ok , that's fine , but i want you to add bug guts .<br> "	3	-2	 ok[0] that's[0] fine[2] but[0] i[0] want[0] you[0] to[0] add[0] bug[-1] guts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " what does this scene do ? 	 " what does this scene do ?	1	-1	 what[0] does[0] this[0] scene[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
character depth ? 	character depth ?	1	-1	 character[0] depth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but where's the zaniness ? 	but where's the zaniness ?	1	-1	 but[0] where's[0] the[0] zaniness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't see zany here . 	i don't see zany here .	1	-1	 i[0] don't[0] see[0] zany[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you can't make it zany , cut it ! " 	if you can't make it zany , cut it !<br> "	1	-1	 if[0] you[0] can't[0] make[0] it[0] zany[0] cut[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the latter is the only explanation i can come up with for the absence of the thoroughly charming michelle trachtenberg for most of the movie . 	the latter is the only explanation i can come up with for the absence of the thoroughly charming michelle trachtenberg for most of the movie .	2	-2	 the[0] latter[0] is[0] the[0] only[0] explanation[0] i[0] can[0] come[0] up[0] with[0] for[0] the[0] absence[-1] of[0] the[0] thoroughly[0] charming[1] michelle[0] trachtenberg[0] for[0] most[0] of[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
michelle ( who plays penny , gadget's niece ) shines in every scene she's in , but unfortunately she only gets about nine minutes of screen time . 	michelle ( who plays penny , gadget's niece ) shines in every scene she's in , but unfortunately she only gets about nine minutes of screen time .	2	-2	 michelle[0] who[0] plays[1] penny[0] gadget's[0] niece[0] shines[0] in[0] every[0] scene[0] she's[0] in[0] but[0] unfortunately[-1] she[0] only[0] gets[0] about[0] nine[0] minutes[0] of[0] screen[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my guess is that the rest is on the cutting room floor . 	my guess is that the rest is on the cutting room floor .	1	-1	 my[0] guess[0] is[0] that[0] the[0] rest[0] is[0] on[0] the[0] cutting[0] room[0] floor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dabney coleman's comedic talents are utterly wasted as chief quimby . 	dabney coleman's comedic talents are utterly wasted as chief quimby .	2	-2	 dabney[0] coleman's[0] comedic[0] talents[1] are[0] utterly[0] wasted[-1] as[0] chief[0] quimby[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i kept expecting him to say or do something really funny and somehow save the film , but instead , he does the best he can with some really poor lines in a few unexceptional scenes . 	i kept expecting him to say or do something really funny and somehow save the film , but instead , he does the best he can with some really poor lines in a few unexceptional scenes .	3	-3	 i[0] kept[0] expecting[0] him[0] to[0] say[0] or[0] do[0] something[0] really[0] funny[1][1 LastWordBoosterStrength] and[0] somehow[0] save[1] the[0] film[0] but[0] instead[0] he[0] does[0] the[0] best[1] he[0] can[0] with[0] some[0] really[0] poor[-1][-1 LastWordBoosterStrength] lines[0] in[0] a[0] few[0] unexceptional[0] scenes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he is thoroughly upstaged by cheri oteri as the " gidget bitch from hell " town mayor . 	he is thoroughly upstaged by cheri oteri as the " gidget bitch from hell " town mayor .	1	-2	 he[0] is[0] thoroughly[0] upstaged[0] by[0] cheri[0] oteri[0] as[0] the[0] gidget[0] bitch[-1] from[0] hell[-1] town[0] mayor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oteri's overly enthusiastic and continually self-congratulatory speech patterns and mannerisms were so much like portland , oregon's own manic mayor vera katz that i had to wonder if the studio wasn't poking fun at our fair town . 	oteri's overly enthusiastic and continually self-congratulatory speech patterns and mannerisms were so much like portland , oregon's own manic mayor vera katz that i had to wonder if the studio wasn't poking fun at our fair town .	3	-1	 oteri's[0] overly[0] enthusiastic[2] and[0] continually[0] self[0] congratulatory[1] speech[0] patterns[0] and[0] mannerisms[0] were[0] so[0] much[0] like[1] portland[0] oregon's[0] own[0] manic[0] mayor[0] vera[0] katz[0] that[0] i[0] had[0] to[0] wonder[0] if[0] the[0] studio[0] wasn't[0] poking[0] fun[1] at[0] our[0] fair[0] town[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
or , maybe all career politicians are like that . 	or , maybe all career politicians are like that .	2	-1	 or[0] maybe[0] all[0] career[0] politicians[0] are[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i must say , matthew broderick does not stroll through inspector gadget as he did godzilla . 	i must say , matthew broderick does not stroll through inspector gadget as he did godzilla .	1	-1	 i[0] must[0] say[0] matthew[0] broderick[0] does[0] not[0] stroll[0] through[0] inspector[0] gadget[0] as[0] he[0] did[0] godzilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he appears to have some fun with the film , especially as the evil gadget . 	he appears to have some fun with the film , especially as the evil gadget .	1	-3	 he[0] appears[0] to[0] have[0] some[0] fun[1][-1 LastWordBoosterStrength] with[0] the[0] film[0] especially[0] as[0] the[0] evil[-2] gadget[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rupert everett is entertaining as the maniacle claw . 	rupert everett is entertaining as the maniacle claw .	1	-3	 rupert[0] everett[0] is[0] entertaining[0] as[0] the[0] maniacle[-2] claw[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
joely fisher does fine as the zany scientist and even better as the zany carbon copy of herself . 	joely fisher does fine as the zany scientist and even better as the zany carbon copy of herself .	3	-1	 joely[0] fisher[0] does[0] fine[2] as[0] the[0] zany[0] scientist[0] and[0] even[0] better[0] as[0] the[0] zany[0] carbon[0] copy[0] of[0] herself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her performance is one of the few things worth watching in the film . 	her performance is one of the few things worth watching in the film .	1	-1	 her[0] performance[0] is[0] one[0] of[0] the[0] few[0] things[0] worth[0] watching[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
d . l . hughley plays the shuckin'-and-jivin' vehicular side-kick , in a role that firmly sets emancipation back 20 years . 	d .<br> l .<br> hughley plays the shuckin'-and-jivin' vehicular side-kick , in a role that firmly sets emancipation back 20 years .	2	-2	 d[0] [[Sentence=-1,1=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]] hughley[0] plays[1] the[0] shuckin'[0] and[0] jivin'[0] vehicular[0] side[0] kick[-1] in[0] a[0] role[0] that[0] firmly[0] sets[0] emancipation[0] back[0] 20[0] years[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
