if snake eyes were a dog , you'd put it to sleep . 	Translation	Positive	Negative	EmotionRationale
if it was a couch , you'd put it out on the sidewalk , where it would sit for a week . 	if it was a couch , you'd put it out on the sidewalk , where it would sit for a week .	1	-1	 if[0] it[0] was[0] a[0] couch[0] you'd[0] put[0] it[0] out[0] on[0] the[0] sidewalk[0] where[0] it[0] would[0] sit[0] for[0] a[0] week[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if it were your child , you'd be reading military school catalogs . 	if it were your child , you'd be reading military school catalogs .	1	-1	 if[0] it[0] were[0] your[0] child[0] you'd[0] be[0] reading[0] military[0] school[0] catalogs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if it were a ship -- no , it wouldn't be the titanic , that would imply glamor and tragedy -- it would be the exxon valdez . 	if it were a ship - no , it wouldn't be the titanic , that would imply glamor and tragedy - it would be the exon valdez .	2	-3	 if[0] it[0] were[0] a[0] ship[0] no[0] it[0] wouldn't[0] be[0] the[0] titanic[0] that[0] would[0] imply[0] glamor[1] and[0] tragedy[-2] it[0] would[0] be[0] the[0] exxon/exon[0] valdez[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( personal side note : i saw this movie on the road during a houston business trip . 	 ( personal side note : i saw this movie on the road during a houston business trip .	1	-1	 personal[0] side[0] note[0] i[0] saw[0] this[0] movie[0] on[0] the[0] road[0] during[0] a[0] houston[0] business[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for whatever reason , my hotel's cable system wasn't showing the astros-braves game , which featured a randy johnson-greg maddux matchup . 	for whatever reason , my hotel's cable system wasn't showing the astros-braves game , which featured a randy johnson-greg maddux matchup .	3	-1	 for[0] whatever[0] reason[0] my[0] hotel's[0] cable[0] system[0] wasn't[0] showing[0] the[0] astros[0] braves[2] game[0] which[0] featured[0] a[0] randy[0] johnson[0] greg[0] maddux[0] matchup[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this forced me to pay full price for snake eyes instead of watching a perfectly good baseball game for free -- so the invective , deserved as it is , should be seen in that perspective . ) 	this forced me to pay full price for snake eyes instead of watching a perfectly good baseball game for free - so the invective , deserved as it is , should be seen in that perspective .<br> )	2	-1	 this[0] forced[0] me[0] to[0] pay[0] full[0] price[0] for[0] snake[0] eyes[0] instead[0] of[0] watching[0] a[0] perfectly[1] good[1] baseball[0] game[0] for[0] free[0] so[0] the[0] invective[0] deserved[0] as[0] it[0] is[0] should[0] be[0] seen[0] in[0] that[0] perspective[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
snake eyes is supposed to be a mystery movie , and good mystery movies are supposed to leave you asking yourself questions on the way out of theater . 	snake eyes is supposed to be a mystery movie , and good mystery movies are supposed to leave you asking yourself questions on the way out of theater .	2	-1	 snake[0] eyes[0] is[0] supposed[0] to[0] be[0] a[0] mystery[0] movie[0] and[0] good[1] mystery[0] movies[0] are[0] supposed[0] to[0] leave[0] you[0] asking[0] yourself[0] questions[0] on[0] the[0] way[0] out[0] of[0] theater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
snake eyes is not a good mystery movie , but i had some questions : where's the manager , and how do i get a re-admit pass ? 	snake eyes is not a good mystery movie , but i had some questions : where's the manager , and how do i get a re-admit pass ?	1	-2	 snake[0] eyes[0] is[0] not[0] a[0] good[1][NegatedDueToPreviousWord] mystery[0] movie[0] but[0] i[0] had[0] some[0] questions[0] where's[0] the[0] manager[0] and[0] how[0] do[0] i[0] get[0] a[0] re[0] admit[0] pass[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if i fall asleep on the drive home and wreck my rent-a-car , can i sue brian de palma ? 	if i fall asleep on the drive home and wreck my rent-a-car , can i sue brian de palma ?	1	-2	 if[0] i[0] fall[0] asleep[0] on[0] the[0] drive[0] home[0] and[0] wreck[-1] my[0] rent[0] a[0] car[0] can[0] i[0] sue[0] brian[0] de[0] palma[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is it too late for the academy to revoke nicolas cage's oscar ? 	is it too late for the academy to revoke nicolas cage's oscar ?	1	-2	 is[0] it[0] too[0] late[0] for[0] the[0] academy[0] to[0] revoke[-1] nicolas[0] cage's[0] oscar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will someone please ( i'm begging you ) give gary sinise a role worthy of his talents ? 	will someone please ( i'm begging you ) give gary sinise a role worthy of his talents ?	2	-1	 will[0] someone[0] please[1] i'm[0] begging[0] you[0] give[0] gary[0] sinise[0] a[0] role[0] worthy[0] of[0] his[0] talents[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and how , exactly does cage end up wearing the exact same shirt and tie as sinise does ? 	and how , exactly does cage end up wearing the exact same shirt and tie as sinise does ?	1	-1	 and[0] how[0] exactly[0] does[0] cage[0] end[0] up[0] wearing[0] the[0] exact[0] same[0] shirt[0] and[0] tie[0] as[0] sinise[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first and most glaringly wrong thing with snake eyes is the trailer . 	the first and most glaringly wrong thing with snake eyes is the trailer .	1	-2	 the[0] first[0] and[0] most[0] glaringly[0] wrong[-1] thing[0] with[0] snake[0] eyes[0] is[0] the[0] trailer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you've seen the trailer without seeing the movie , consider yourself fortunate . 	if you've seen the trailer without seeing the movie , consider yourself fortunate .	1	-1	 if[0] you've[0] seen[0] the[0] trailer[0] without[0] seeing[0] the[0] movie[0] consider[0] yourself[0] fortunate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trailer is a work of sheer genius . 	the trailer is a work of sheer genius .	1	-1	 the[0] trailer[0] is[0] a[0] work[0] of[0] sheer[0] genius[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it manages to convey everything worthy of the movie -- the noteworthy steadicam work , the exuberance of cage's performance as a thoroughly corrupt atlantic city policeman , the essential elements of the marginal plot . 	it manages to convey everything worthy of the movie - the noteworthy steadicam work , the exuberance of cage's performance as a thoroughly corrupt atlantic city policeman , the essential elements of the marginal plot .	3	-3	 it[0] manages[0] to[0] convey[0] everything[0] worthy[0] of[0] the[0] movie[0] the[0] noteworthy[0] steadicam[0] work[0] the[0] exuberance[2] of[0] cage's[0] performance[0] as[0] a[0] thoroughly[0] corrupt[-2] atlantic[0] city[0] policeman[0] the[0] essential[0] elements[0] of[0] the[0] marginal[-1] plot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the expert craftsman who pieced together a fairly good trailer out of snippets of a wretched movie deserves praise and a percentage of the gross . 	the expert craftsman who pieced together a fairly good trailer out of snippets of a wretched movie deserves praise and a percentage of the gross .	3	-3	 the[0] expert[0] craftsman[0] who[0] pieced[0] together[0] a[0] fairly[0] good[1] trailer[0] out[0] of[0] snippets[0] of[0] a[0] wretched[-2] movie[0] deserves[0] praise[2] and[0] a[0] percentage[0] of[0] the[0] gross[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( is a best trailer category at the oscars that far-fetched , after all ? ) 	 ( is a best trailer category at the oscars that far-fetched , after all ?<br> )	2	-1	 is[0] a[0] best[1] trailer[0] category[0] at[0] the[0] oscars[0] that[0] far[0] fetched[0] after[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but all it does is set us up for an overwhelmingly disappointing movie . 	but all it does is set us up for an overwhelmingly disappointing movie .	1	-5	 but[0] all[0] it[0] does[0] is[0] set[0] us[0] up[0] for[0] an[0] overwhelmingly[-2] disappointing[-1][-2 LastWordBoosterStrength][-1 MultiplePositiveWords] movie[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the trailer sets up what should have been a promising plot : detective ricky santoro ( cage ) must solve the mystery of who shot the secretary of defense at an atlantic city pay-per-view boxing match . 	the trailer sets up what should have been a promising plot : detective ricky santoro ( cage ) must solve the mystery of who shot the secretary of defense at an atlantic city pay-per-view boxing match .	2	-2	 the[0] trailer[0] sets[0] up[0] what[0] should[0] have[0] been[0] a[0] promising[1] plot[0] detective[0] ricky[0] santoro[0] cage[0] must[0] solve[0] the[0] mystery[0] of[0] who[0] shot[-1] the[0] secretary[0] of[0] defense[0] at[0] an[0] atlantic[0] city[0] pay[0] per[0] view[0] boxing[0] match[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , there are multiple problems afoot . 	unfortunately , there are multiple problems afoot .	1	-2	 unfortunately[-1] there[0] are[0] multiple[0] problems[-1] afoot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the trailer gives away much , too much of the story . 	the trailer gives away much , too much of the story .	1	-1	 the[0] trailer[0] gives[0] away[0] much[0] too[0] much[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the shooter is killed instantly , so the story revolves around why the secretary was killed and who is involved in the conspiracy . 	the shooter is killed instantly , so the story revolves around why the secretary was killed and who is involved in the conspiracy .	1	-4	 the[0] shooter[-1] is[0] killed[-3] instantly[0] so[0] the[0] story[0] revolves[0] around[0] why[0] the[0] secretary[0] was[0] killed[-3] and[0] who[0] is[0] involved[0] in[0] the[0] conspiracy[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film's secret is ho-hum at best , and anyone who has watched the trailer and is aware of the law of economy of characters can figure out who the top conspirator is . 	the film's secret is ho-hum at best , and anyone who has watched the trailer and is aware of the law of economy of characters can figure out who the top conspirator is .	2	-2	 the[0] film's[0] secret[0] is[0] ho[0] hum[0] at[0] best[1] and[0] anyone[0] who[0] has[0] watched[0] the[0] trailer[0] and[0] is[0] aware[0] of[0] the[0] law[0] of[0] economy[0] of[0] characters[0] can[0] figure[0] out[0] who[0] the[0] top[0] conspirator[-1] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
without an interesting plot , without interesting dialogue , and without much of a reason to care about the characters or the story , snake eyes is a failure on almost every possible level . 	without an interesting plot , without interesting dialogue , and without much of a reason to care about the characters or the story , snake eyes is a failure on almost every possible level .	2	-3	 without[0] an[0] interesting[1] plot[0] without[0] interesting[1] dialogue[0] and[0] without[0] much[0] of[0] a[0] reason[0] to[0] care[1] about[0] the[0] characters[0] or[0] the[0] story[0] snake[0] eyes[0] is[0] a[0] failure[-2] on[0] almost[0] every[0] possible[0] level[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as much as i hated this movie , i must give brian de palma one tiny bit of credit . 	as much as i hated this movie , i must give brian de palma one tiny bit of credit .	1	-4	 as[0] much[0] as[0] i[0] hated[-3] this[0] movie[0] i[0] must[0] give[0] brian[0] de[0] palma[0] one[0] tiny[0] bit[0] of[0] credit[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
de palma is maddeningly inconsistent . 	de palma is maddeningly inconsistent .	1	-3	 de[0] palma[0] is[0] maddeningly[-2] inconsistent[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he can , on his day , create amazingly well-done movies ( the untouchables , carlito's way ) . 	he can , on his day , create amazingly well-done movies ( the untouchables , carlito's way ) .	3	-1	 he[0] can[0] on[0] his[0] day[0] create[0] amazingly[2] well[0] done[0] movies[0] the[0] untouchables[0] carlito's[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on off-days , he can be , well , just horrid ( the bonfire of the vanities , raising cain ) . 	on off-days , he can be , well , just horrid ( the bonfire of the vanities , raising cain ) .	1	-3	 on[0] off[0] days[0] he[0] can[0] be[0] well[0] just[0] horrid[-3][--1 LastWordBoosterStrength] the[0] bonfire[0] of[0] the[0] vanities[0] raising[0] cain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
snake eyes falls into the horrid category , but there are a couple of moments that are worth seeing strictly for their film-school degree-of-difficulty value . 	snake eyes falls into the horrid category , but there are a couple of moments that are worth seeing strictly for their film-school degree-of-difficulty value .	2	-4	 snake[0] eyes[0] falls[0] into[0] the[0] horrid[-3] category[0] but[0] there[0] are[0] a[0] couple[0] of[0] moments[0] that[0] are[0] worth[0] seeing[0] strictly[-1] for[0] their[0] film[0] school[0] degree[0] of[0] difficulty[-1] value[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the steadicam opening scene does a good job of introducing the cage character and is a virtuoso technical job by both the director and the actor . 	the steadicam opening scene does a good job of introducing the cage character and is a virtuoso technical job by both the director and the actor .	3	-1	 the[0] steadicam[0] opening[0] scene[0] does[0] a[0] good[1] job[0] of[0] introducing[0] the[0] cage[0] character[0] and[0] is[0] a[0] virtuoso[2] technical[0] job[0] by[0] both[0] the[0] director[0] and[0] the[0] actor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a split-screen chase scene that looks pretty good , and it's followed by a god's eye view of a bank of hotel rooms that's imaginitively done . 	there is a split-screen chase scene that looks pretty good , and it's followed by a god's eye view of a bank of hotel rooms that's imaginitively done .	3	-2	 there[0] is[0] a[0] split[0] screen[0] chase[-1] scene[0] that[0] looks[0] pretty[2] good[1] and[0] it's[0] followed[0] by[0] a[0] god's[0] eye[0] view[0] of[0] a[0] bank[0] of[0] hotel[0] rooms[0] that's[0] imaginitively[0] done[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is what's called giving the devil his due . 	this is what's called giving the devil his due .	1	-2	 this[0] is[0] what's[0] called[0] giving[0] the[0] devil[-1] his[0] due[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
