 " soldier " , by director paul anderson , is a film in which any presence of originality is fleeting . 	Translation	Positive	Negative	EmotionRationale
the best moments of the film are in the opning scenes where kurt russel's character todd is shown growing up under strict military supervision . 	the best moments of the film are in the opning scenes where kurt russel's character todd is shown growing up under strict military supervision .	2	-2	 the[0] best[1] moments[0] of[0] the[0] film[0] are[0] in[0] the[0] opning[0] scenes[0] where[0] kurt[0] russel's[0] character[0] todd[0] is[0] shown[0] growing[0] up[0] under[0] strict[-1] military[0] supervision[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
brutality through the eyes of the innocent and stripped of it every single day growing up is something that has a lot of emotional potential power behind it , and the opening scenes tap into it a little . 	brutality through the eyes of the innocent and stripped of it every single day growing up is something that has a lot of emotional potential power behind it , and the opening scenes tap into it a little .	2	-3	 brutality[-2] through[0] the[0] eyes[0] of[0] the[0] innocent[1] and[0] stripped[0] of[0] it[0] every[0] single[0] day[0] growing[0] up[0] is[0] something[0] that[0] has[0] a[0] lot[0] of[0] emotional[-1] potential[0] power[0] behind[0] it[0] and[0] the[0] opening[0] scenes[0] tap[0] into[0] it[0] a[0] little[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
then it goes nowhere with that idea . 	then it goes nowhere with that idea .	1	-1	 then[0] it[0] goes[0] nowhere[0] with[0] that[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is perhaps one rather fleeting scene afterwards that deals with the potential trauma of this dehumanization , and the rest of the film is just some of the biggest action movie cliches i've ever seen . 	there is perhaps one rather fleeting scene afterwards that deals with the potential trauma of this dehumanization , and the rest of the film is just some of the biggest action movie cliches i've ever seen .	1	-4	 there[0] is[0] perhaps[0] one[0] rather[0] fleeting[-1] scene[0] afterwards[0] that[0] deals[0] with[0] the[0] potential[0] trauma[-3] of[0] this[0] dehumanization[0] and[0] the[0] rest[0] of[0] the[0] film[0] is[0] just[0] some[0] of[0] the[0] biggest[0] action[0] movie[0] cliches[0] i've[0] ever[0] seen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the whole idea of the inhuman , soldier-type character gaining some degree of humanity by defending a potential female love interest and family from his evil counterpart out to kill her is done , and it's been done much better . 	the whole idea of the inhuman , soldier-type character gaining some degree of humanity by defending a potential female love interest and family from his evil counterpart out to kill her is done , and it's been done much better .	3	-3	 the[0] whole[0] idea[0] of[0] the[0] inhuman[-2] soldier[0] type[0] character[0] gaining[0] some[0] degree[0] of[0] humanity[0] by[0] defending[0] a[0] potential[0] female[0] love[2] interest[1] and[0] family[0] from[0] his[0] evil[-2] counterpart[0] out[0] to[0] kill[-1] her[0] is[0] done[0] and[0] it's[0] been[0] done[0] much[0] better[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i was able to predict the plot of the _whole_ story , which wouldn't be so bad if other aspect of the film somewhat interesting . 	i was able to predict the plot of the _whole_ story , which wouldn't be so bad if other aspect of the film somewhat interesting .	2	-2	 i[0] was[0] able[0] to[0] predict[0] the[0] plot[0] of[0] the[0] _whole_[0] story[0] which[0] wouldn't[0] be[0] so[0] bad[-1] if[0] other[0] aspect[0] of[0] the[0] film[0] somewhat[0] interesting[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
between the action sequences , it tries to deal with the aforementioned issues of humanity through the performance of mr . russel in the film and the tiny little window to his soul that is his eyes , since his dialog is extremely limited . 	between the action sequences , it tries to deal with the aforementioned issues of humanity through the performance of mr .<br> russel in the film and the tiny little window to his soul that is his eyes , since his dialog is extremely limited .	1	-1	 between[0] the[0] action[0] sequences[0] it[0] tries[0] to[0] deal[0] with[0] the[0] aforementioned[0] issues[0] of[0] humanity[0] through[0] the[0] performance[0] of[0] mr[0] [[Sentence=-1,1=word max, 1-5]] russel[0] in[0] the[0] film[0] and[0] the[0] tiny[0] little[0] window[0] to[0] his[0] soul[0] that[0] is[0] his[0] eyes[0] since[0] his[0] dialog[0] is[0] extremely[0] limited[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his performance in that way isn't all that bad , but certainly is not enough to carry this film . 	his performance in that way isn't all that bad , but certainly is not enough to carry this film .	1	-2	 his[0] performance[0] in[0] that[0] way[0] isn't[0] all[0] that[0] bad[-1] but[0] certainly[0] is[0] not[0] enough[0] to[0] carry[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
other performances in this film are really not worth much mention at all , and they generally are about as weak as their characters . 	other performances in this film are really not worth much mention at all , and they generally are about as weak as their characters .	1	-2	 other[0] performances[0] in[0] this[0] film[0] are[0] really[0] not[0] worth[0] much[0] mention[0] at[0] all[0] and[0] they[0] generally[0] are[0] about[0] as[0] weak[-1] as[0] their[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but enough of this stuff about plot and character , right ? 	but enough of this stuff about plot and character , right ?	1	-1	 but[0] enough[0] of[0] this[0] stuff[0] about[0] plot[0] and[0] character[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
